,MPWR
2014-01-02,30.82197380065918
2014-01-03,31.039342880249023
2014-01-06,30.568363189697266
2014-01-07,30.695167541503906
2014-01-08,31.04840850830078
2014-01-09,30.53213882446289
2014-01-10,30.477787017822266
2014-01-13,29.952463150024414
2014-01-14,30.59554100036621
2014-01-15,30.894426345825195
2014-01-16,30.785737991333008
2014-01-17,31.148038864135742
2014-01-21,31.18427085876465
2014-01-22,31.356355667114258
2014-01-23,31.410703659057617
2014-01-24,30.459680557250977
2014-01-27,30.360050201416016
2014-01-28,30.260421752929688
2014-01-29,30.00681495666504
2014-01-30,30.296642303466797
2014-01-31,29.608301162719727
2014-02-03,29.3275203704834
2014-02-04,28.602935791015625
2014-02-05,28.40367889404297
2014-02-06,29.35469627380371
2014-02-07,30.785737991333008
2014-02-10,30.86726188659668
2014-02-11,31.111801147460938
2014-02-12,31.465042114257812
2014-02-13,31.863554000854492
2014-02-14,31.78204917907715
2014-02-18,31.727710723876953
2014-02-19,31.1208553314209
2014-02-20,31.6643009185791
2014-02-21,31.329181671142578
2014-02-24,32.37982940673828
2014-02-25,32.41606140136719
2014-02-26,32.977596282958984
2014-02-27,32.832698822021484
2014-02-28,32.46135330200195
2014-03-03,32.14433670043945
2014-03-04,33.58445739746094
2014-03-05,33.539161682128906
2014-03-06,33.493873596191406
2014-03-07,33.448585510253906
2014-03-10,33.330841064453125
2014-03-11,33.14970016479492
2014-03-12,33.511993408203125
2014-03-13,33.511993408203125
2014-03-14,34.26374053955078
2014-03-17,34.761898040771484
2014-03-18,35.196651458740234
2014-03-19,34.78907012939453
2014-03-20,34.93397903442383
2014-03-21,34.28185272216797
2014-03-24,33.68408203125
2014-03-25,33.801822662353516
2014-03-26,33.74748611450195
2014-03-27,33.89239501953125
2014-03-28,33.62068557739258
2014-03-31,35.11511993408203
2014-04-01,36.02991485595703
2014-04-02,35.53177261352539
2014-04-03,35.549888610839844
2014-04-04,34.02825164794922
2014-04-07,33.24934387207031
2014-04-08,33.665958404541016
2014-04-09,33.982967376708984
2014-04-10,32.89609146118164
2014-04-11,31.827335357666016
2014-04-14,32.2620964050293
2014-04-15,32.34360122680664
2014-04-16,32.542850494384766
2014-04-17,32.905147552490234
2014-04-21,33.21308898925781
2014-04-22,33.593505859375
2014-04-23,33.55727005004883
2014-04-24,34.49924087524414
2014-04-25,34.02825164794922
2014-04-28,33.52103805541992
2014-04-29,33.62974166870117
2014-04-30,33.602569580078125
2014-05-01,33.24934387207031
2014-05-02,33.24934387207031
2014-05-05,33.25837707519531
2014-05-06,33.03194808959961
2014-05-07,33.36707305908203
2014-05-08,33.07723617553711
2014-05-09,33.675018310546875
2014-05-12,35.187583923339844
2014-05-13,34.35432434082031
2014-05-14,33.83806228637695
2014-05-15,33.511993408203125
2014-05-16,34.019203186035156
2014-05-19,34.3271484375
2014-05-20,34.109771728515625
2014-05-21,34.36335754394531
2014-05-22,34.752838134765625
2014-05-23,35.31438064575195
2014-05-27,36.01179885864258
2014-05-28,35.749149322509766
2014-05-29,35.75819778442383
2014-05-30,35.58610153198242
2014-06-02,35.36873245239258
2014-06-03,35.21474838256836
2014-06-04,35.486480712890625
2014-06-05,35.94839096069336
2014-06-06,36.40126037597656
2014-06-09,37.61494445800781
2014-06-10,37.82326126098633
2014-06-11,37.50625991821289
2014-06-12,37.46096420288086
2014-06-13,37.79610061645508
2014-06-16,37.968177795410156
2014-06-17,38.366695404052734
2014-06-18,38.348575592041016
2014-06-19,38.10404586791992
2014-06-20,38.2308349609375
2014-06-23,38.47539138793945
2014-06-24,37.63306427001953
2014-06-25,37.9500617980957
2014-06-26,37.8318977355957
2014-06-27,38.29547119140625
2014-06-30,38.49545669555664
2014-07-01,38.749977111816406
2014-07-02,38.61362838745117
2014-07-03,39.17719650268555
2014-07-07,38.34092330932617
2014-07-08,37.904624938964844
2014-07-09,38.2681999206543
2014-07-10,37.76826858520508
2014-07-11,37.722816467285156
2014-07-14,37.95915603637695
2014-07-15,37.595558166503906
2014-07-16,37.69553756713867
2014-07-17,37.15924835205078
2014-07-18,38.3045768737793
2014-07-21,38.40456008911133
2014-07-22,38.831790924072266
2014-07-23,37.05926513671875
2014-07-24,37.35922622680664
2014-07-25,37.9137077331543
2014-07-28,38.10459518432617
2014-07-29,38.4590950012207
2014-07-30,39.004493713378906
2014-07-31,37.48648452758789
2014-08-01,37.722816467285156
2014-08-04,37.75918197631836
2014-08-05,38.5409049987793
2014-08-06,38.50453567504883
2014-08-07,38.35001754760742
2014-08-08,38.53181457519531
2014-08-11,38.60453796386719
2014-08-12,39.34080123901367
2014-08-13,40.08619689941406
2014-08-14,39.72257614135742
2014-08-15,40.04983139038086
2014-08-18,40.440696716308594
2014-08-19,41.27692794799805
2014-08-20,41.83142852783203
2014-08-21,41.54053497314453
2014-08-22,42.085933685302734
2014-08-25,41.595088958740234
2014-08-26,42.667686462402344
2014-08-27,42.54951477050781
2014-08-28,42.504066467285156
2014-08-29,43.43122482299805
2014-09-02,43.340335845947266
2014-09-03,42.64950180053711
2014-09-04,42.640419006347656
2014-09-05,42.94037628173828
2014-09-08,42.731319427490234
2014-09-09,41.70416259765625
2014-09-10,41.5587272644043
2014-09-11,41.92232894897461
2014-09-12,41.88596725463867
2014-09-15,41.22239685058594
2014-09-16,41.64053726196289
2014-09-17,42.013221740722656
2014-09-18,42.95856475830078
2014-09-19,41.31330490112305
2014-09-22,40.50431442260742
2014-09-23,40.386131286621094
2014-09-24,40.78608703613281
2014-09-25,40.26795959472656
2014-09-26,40.724021911621094
2014-09-29,40.68752670288086
2014-09-30,40.17677307128906
2014-10-01,39.65688705444336
2014-10-02,40.22238540649414
2014-10-03,40.03083419799805
2014-10-06,40.18588638305664
2014-10-07,38.94546890258789
2014-10-08,39.75720977783203
2014-10-09,38.288780212402344
2014-10-10,32.48800277709961
2014-10-13,31.6397647857666
2014-10-14,31.439119338989258
2014-10-15,32.9896354675293
2014-10-16,34.676963806152344
2014-10-17,34.68608093261719
2014-10-20,34.93235778808594
2014-10-21,35.926513671875
2014-10-22,35.76233673095703
2014-10-23,36.10892105102539
2014-10-24,36.911556243896484
2014-10-27,36.482879638671875
2014-10-28,38.77217483520508
2014-10-29,38.288780212402344
2014-10-30,38.46207046508789
2014-10-31,40.304443359375
2014-11-03,40.22238540649414
2014-11-04,39.8940315246582
2014-11-05,40.50510787963867
2014-11-06,40.87905502319336
2014-11-07,40.76049041748047
2014-11-10,40.91554641723633
2014-11-11,40.94291305541992
2014-11-12,41.38983154296875
2014-11-13,40.924659729003906
2014-11-14,41.46279525756836
2014-11-17,41.02499008178711
2014-11-18,42.329261779785156
2014-11-19,41.82762908935547
2014-11-20,42.128604888916016
2014-11-21,42.52992248535156
2014-11-24,43.04066848754883
