,BX
2014-01-02,17.810516357421875
2014-01-03,18.248943328857422
2014-01-06,17.924392700195312
2014-01-07,18.0781307220459
2014-01-08,17.94716453552246
2014-01-09,18.18631362915039
2014-01-10,18.379901885986328
2014-01-13,18.271717071533203
2014-01-14,18.260330200195312
2014-01-15,18.41975975036621
2014-01-16,18.499475479125977
2014-01-17,18.613351821899414
2014-01-21,18.744312286376953
2014-01-22,18.898048400878906
2014-01-23,18.112287521362305
2014-01-24,17.7251033782959
2014-01-27,17.377779006958008
2014-01-28,17.713714599609375
2014-01-29,17.611225128173828
2014-01-30,18.3514347076416
2014-01-31,18.647518157958984
2014-02-03,17.7421875
2014-02-04,18.174917221069336
2014-02-05,18.0781307220459
2014-02-06,18.130325317382812
2014-02-07,18.17673110961914
2014-02-10,18.29851722717285
2014-02-11,18.356517791748047
2014-02-12,18.211517333984375
2014-02-13,18.333316802978516
2014-02-14,18.095529556274414
2014-02-18,18.257923126220703
2014-02-19,18.194128036499023
2014-02-20,18.385517120361328
2014-02-21,18.594314575195312
2014-02-24,19.06409454345703
2014-02-25,19.098901748657227
2014-02-26,18.948101043701172
2014-02-27,19.116294860839844
2014-02-28,19.34249496459961
2014-03-03,18.953903198242188
2014-03-04,19.522287368774414
2014-03-05,19.9456729888916
2014-03-06,19.974679946899414
2014-03-07,20.16607093811035
2014-03-10,20.40386199951172
2014-03-11,19.974679946899414
2014-03-12,19.876081466674805
2014-03-13,19.377290725708008
2014-03-14,19.104700088500977
2014-03-17,19.412094116210938
2014-03-18,19.829681396484375
2014-03-19,19.58608627319336
2014-03-20,19.603487014770508
2014-03-21,19.673078536987305
2014-03-24,19.20909881591797
2014-03-25,19.069902420043945
2014-03-26,18.507314682006836
2014-03-27,18.7915096282959
2014-03-28,19.162700653076172
2014-03-31,19.28449249267578
2014-04-01,19.533889770507812
2014-04-02,19.33669090270996
2014-04-03,19.464292526245117
2014-04-04,19.023502349853516
2014-04-07,18.078128814697266
2014-04-08,17.64313507080078
2014-04-09,18.136125564575195
2014-04-10,17.422744750976562
2014-04-11,17.480745315551758
2014-04-14,17.26614761352539
2014-04-15,17.515546798706055
2014-04-16,17.944730758666992
2014-04-17,18.17673110961914
2014-04-21,18.40291976928711
2014-04-22,19.122095108032227
2014-04-23,18.855302810668945
2014-04-24,18.7263240814209
2014-04-25,18.186933517456055
2014-04-28,17.571313858032227
2014-04-29,17.583044052124023
2014-04-30,17.313343048095703
2014-05-01,17.248849868774414
2014-05-02,17.336793899536133
2014-05-05,17.284032821655273
2014-05-06,17.04364776611328
2014-05-07,16.76808738708496
2014-05-08,16.920530319213867
2014-05-09,16.7211856842041
2014-05-12,17.131587982177734
2014-05-13,17.266443252563477
2014-05-14,17.360246658325195
2014-05-15,17.04364776611328
2014-05-16,17.11986541748047
2014-05-19,17.454055786132812
2014-05-20,17.59476661682129
2014-05-21,18.175201416015625
2014-05-22,18.327640533447266
2014-05-23,18.280733108520508
2014-05-27,18.14588737487793
2014-05-28,18.15174674987793
2014-05-29,18.3217716217041
2014-05-30,18.222103118896484
2014-06-02,18.298320770263672
2014-06-03,18.30418586730957
2014-06-04,18.74390983581543
2014-06-05,19.177776336669922
2014-06-06,19.805105209350586
2014-06-09,19.64094352722168
2014-06-10,19.723026275634766
2014-06-11,19.89891242980957
2014-06-12,19.664396286010742
2014-06-13,19.51195526123047
2014-06-16,19.34779930114746
2014-06-17,19.482633590698242
2014-06-18,19.69957160949707
2014-06-19,19.711299896240234
2014-06-20,19.57645034790039
2014-06-23,19.523681640625
2014-06-24,19.15431785583496
2014-06-25,19.160179138183594
2014-06-26,19.453330993652344
2014-06-27,19.61749267578125
2014-06-30,19.60576057434082
2014-07-01,19.687847137451172
2014-07-02,19.84028434753418
2014-07-03,19.81096839904785
2014-07-07,19.51195526123047
2014-07-08,19.189495086669922
2014-07-09,19.259849548339844
2014-07-10,18.913938522338867
2014-07-11,18.9197998046875
2014-07-14,19.230541229248047
2014-07-15,19.582313537597656
2014-07-16,19.922367095947266
2014-07-17,20.01616668701172
2014-07-18,20.93079376220703
2014-07-21,20.883895874023438
2014-07-22,20.854581832885742
2014-07-23,21.1184139251709
2014-07-24,20.84453582763672
2014-07-25,20.523021697998047
2014-07-28,20.445627212524414
2014-07-29,20.356311798095703
2014-07-30,20.25510597229004
2014-07-31,19.457277297973633
2014-08-01,19.30247688293457
2014-08-04,19.53468132019043
2014-08-05,19.32033920288086
2014-08-06,19.421554565429688
2014-08-07,19.42751121520996
2014-08-08,19.635902404785156
2014-08-11,20.07052230834961
2014-08-12,19.77878761291504
2014-08-13,19.897865295410156
2014-08-14,19.969310760498047
2014-08-15,19.7728328704834
2014-08-18,19.67162322998047
2014-08-19,19.647802352905273
2014-08-20,19.57636070251465
2014-08-21,19.49895668029785
2014-08-22,19.30247688293457
2014-08-25,19.635902404785156
