,OTIS
2020-03-19,42.465579986572266
2020-03-20,42.230960845947266
2020-03-23,37.53863906860352
2020-03-24,37.53863906860352
2020-03-25,38.48647689819336
2020-03-26,42.230960845947266
2020-03-27,42.451507568359375
2020-03-30,46.92328643798828
2020-03-31,46.92328643798828
2020-04-01,43.82635498046875
2020-04-02,41.29249572753906
2020-04-03,44.408203125
2020-04-06,43.11312103271485
2020-04-07,41.555267333984375
2020-04-08,41.376956939697266
2020-04-09,46.11620330810547
2020-04-13,43.16942596435547
2020-04-14,43.06618881225586
2020-04-15,41.80864715576172
2020-04-16,42.81280899047851
2020-04-17,43.31019973754883
2020-04-20,42.596961975097656
2020-04-21,43.075584411621094
2020-04-22,44.15480422973633
2020-04-23,44.54896926879883
2020-04-24,44.90558242797851
2020-04-27,45.25282287597656
2020-04-28,46.79190826416016
2020-04-29,48.00252151489258
2020-04-30,47.77729034423828
2020-05-01,46.65113067626953
2020-05-04,46.48220443725586
2020-05-05,45.13082504272461
2020-05-06,45.337284088134766
2020-05-07,48.621917724609375
2020-05-08,49.69175720214844
2020-05-11,48.621917724609375
2020-05-12,46.660526275634766
2020-05-13,45.24343490600586
2020-05-14,45.046363830566406
2020-05-15,45.881591796875
2020-05-18,48.922218322753906
2020-05-19,49.09114456176758
2020-05-20,49.907615661621094
2020-05-21,49.01270294189453
2020-05-22,48.71125030517578
2020-05-26,47.938812255859375
2020-05-27,49.342403411865234
2020-05-28,48.004756927490234
2020-05-29,49.59675216674805
2020-06-01,50.943817138671875
2020-06-02,51.00975799560547
2020-06-03,52.253211975097656
2020-06-04,52.187278747558594
2020-06-05,55.17344284057617
2020-06-08,57.70744705200195
2020-06-09,57.13282012939453
2020-06-10,55.60675811767578
2020-06-11,52.98797607421875
2020-06-12,52.79015350341797
2020-06-15,54.32564163208008
2020-06-16,54.49518966674805
2020-06-17,53.44955825805664
2020-06-18,54.15605926513672
2020-06-19,53.694488525390625
2020-06-22,53.751014709472656
2020-06-23,53.506080627441406
2020-06-24,52.319149017333984
2020-06-25,52.94087600708008
2020-06-26,52.554649353027344
2020-06-29,53.2894172668457
2020-06-30,53.56260299682617
2020-07-01,52.54523086547851
2020-07-02,53.22347259521485
2020-07-06,53.56260299682617
2020-07-07,53.524925231933594
2020-07-08,53.61911392211914
2020-07-09,52.85609436035156
2020-07-10,53.6756477355957
2020-07-13,53.59085464477539
2020-07-14,54.04303741455078
2020-07-15,54.82489776611328
2020-07-16,54.93793869018555
2020-07-17,55.15459442138672
2020-07-20,55.16401290893555
2020-07-21,55.05097961425781
2020-07-22,55.088653564453125
2020-07-23,55.63502502441406
2020-07-24,54.75894927978515
2020-07-27,54.93793869018555
2020-07-28,56.784271240234375
2020-07-29,60.5711555480957
2020-07-30,59.713905334472656
2020-07-31,59.10160827636719
2020-08-03,59.54435348510742
2020-08-04,58.97915267944336
2020-08-05,59.43131637573242
2020-08-06,59.79869842529297
2020-08-07,60.67476272583008
2020-08-10,61.42838287353515
2020-08-11,60.637081146240234
2020-08-12,61.136348724365234
2020-08-13,60.28854751586914
2020-08-14,60.3544807434082
2020-08-17,60.250858306884766
2020-08-18,59.77043914794922
2020-08-19,59.27117156982422
2020-08-20,59.50742721557617
2020-08-21,60.13113021850586
2020-08-24,60.291778564453125
2020-08-25,60.754852294921875
2020-08-26,60.65089797973633
2020-08-27,59.75312423706055
2020-08-28,60.09333419799805
2020-08-31,59.44127655029297
2020-09-01,60.528038024902344
2020-09-02,61.74711227416992
2020-09-03,58.449012756347656
2020-09-04,58.10881042480469
2020-09-08,57.29610824584961
2020-09-09,58.6663703918457
2020-09-10,56.60623550415039
2020-09-11,56.83304214477539
2020-09-14,56.6912841796875
2020-09-15,56.98424530029297
2020-09-16,56.50228500366211
2020-09-17,57.68355941772461
2020-09-18,57.532352447509766
2020-09-21,56.1431884765625
2020-09-22,57.63630294799805
2020-09-23,57.08819961547851
2020-09-24,58.6663703918457
2020-09-25,58.16551208496094
2020-09-28,59.07271957397461
2020-09-29,58.97822189331055
2020-09-30,58.9876708984375
2020-10-01,58.94041061401367
2020-10-02,59.68698501586914
2020-10-05,60.99109649658203
2020-10-06,60.32014083862305
2020-10-07,61.47306442260742
2020-10-08,61.15174865722656
2020-10-09,61.756561279296875
2020-10-12,62.07786178588867
2020-10-13,61.548641204833984
2020-10-14,62.00226593017578
2020-10-15,61.61479568481445
2020-10-16,61.45414352416992
2020-10-19,60.82099151611328
2020-10-20,60.84933853149414
2020-10-21,60.216190338134766
2020-10-22,59.7625846862793
2020-10-23,59.96103286743164
2020-10-26,59.7342414855957
2020-10-27,58.562408447265625
2020-10-28,55.746280670166016
2020-10-29,57.44729995727539
2020-10-30,57.91035461425781
2020-11-02,58.72306823730469
2020-11-03,59.26172637939453
2020-11-04,58.874267578125
2020-11-05,59.186126708984375
2020-11-06,60.08388900756836
2020-11-09,60.0082893371582
2020-11-10,62.12511444091797
2020-11-11,62.48421478271485
2020-11-12,62.36135482788086
2020-11-13,61.96445846557617
2020-11-16,63.684383392333984
2020-11-17,63.50482940673828
2020-11-18,62.96617889404297
2020-11-19,62.71024703979492
2020-11-20,62.861915588378906
2020-11-23,63.7434196472168
2020-11-24,63.88560104370117
2020-11-25,63.86664581298828
2020-11-27,63.828739166259766
2020-11-30,63.44959259033203
2020-12-01,63.34531784057617
2020-12-02,62.26476287841797
2020-12-03,62.07518768310547
2020-12-04,61.76238632202149
2020-12-07,61.468563079833984
2020-12-08,62.66286087036133
2020-12-09,62.07518768310547
2020-12-10,60.66287612915039
2020-12-11,60.406959533691406
2020-12-14,59.506492614746094
2020-12-15,61.35481262207031
2020-12-16,61.83821868896485
2020-12-17,62.35954666137695
2020-12-18,62.188934326171875
2020-12-21,62.70076751708984
2020-12-22,61.99935531616211
2020-12-23,62.2078742980957
2020-12-24,62.35954666137695
2020-12-28,62.558589935302734
2020-12-29,62.26476287841797
2020-12-30,63.241058349609375
2020-12-31,64.02777862548828
2021-01-04,62.16995620727539
2021-01-05,61.70551300048828
2021-01-06,63.42115020751953
2021-01-07,64.24576568603516
2021-01-08,63.34531784057617
2021-01-11,62.89982223510742
2021-01-12,61.828739166259766
2021-01-13,60.63444137573242
2021-01-14,61.55385971069336
2021-01-15,62.11309814453125
2021-01-19,61.96143341064453
2021-01-20,61.79083633422851
2021-01-21,60.207908630371094
2021-01-22,61.49698257446289
2021-01-25,60.87141418457031
2021-01-26,60.19841766357422
2021-01-27,58.99464797973633
2021-01-28,60.501739501953125
2021-01-29,61.27898788452149
2021-02-01,61.18418884277344
2021-02-02,61.269500732421875
2021-02-03,60.71026611328125
2021-02-04,59.98990631103515
2021-02-05,60.59652328491211
2021-02-08,60.406959533691406
2021-02-09,61.00410079956055
2021-02-10,61.904563903808594
2021-02-11,60.307281494140625
2021-02-12,60.78265380859375
2021-02-16,60.079097747802734
2021-02-17,59.60371017456055
2021-02-18,59.95549011230469
2021-02-19,59.93648147583008
2021-02-22,60.11712646484375
2021-02-23,60.11712646484375
2021-02-24,61.18199157714844
2021-02-25,61.28657531738281
2021-02-26,60.57349395751953
2021-03-01,61.73343276977539
2021-03-02,62.189796447753906
2021-03-03,63.70151901245117
2021-03-04,60.80168533325195
2021-03-05,61.6763916015625
2021-03-08,62.0091552734375
2021-03-09,61.73343276977539
2021-03-10,62.98844528198242
2021-03-11,63.98676300048828
2021-03-12,62.750762939453125
2021-03-15,63.33071517944336
2021-03-16,64.36705017089844
