,LVS
2014-01-02,57.550716400146484
2014-01-03,56.66119384765625
2014-01-06,55.880165100097656
2014-01-07,57.1168098449707
2014-01-08,58.70780944824219
2014-01-09,58.295597076416016
2014-01-10,58.281131744384766
2014-01-13,57.25421142578125
2014-01-14,58.071407318115234
2014-01-15,58.584861755371094
2014-01-16,58.48362731933594
2014-01-17,59.250186920166016
2014-01-21,59.32251739501953
2014-01-22,58.1943473815918
2014-01-23,56.928768157958984
2014-01-24,53.450279235839844
2014-01-27,53.081459045410156
2014-01-28,54.426578521728516
2014-01-29,53.4647331237793
2014-01-30,56.343017578125
2014-01-31,55.33777618408203
2014-02-03,53.88420104980469
2014-02-04,54.26023864746094
2014-02-05,53.500911712646484
2014-02-06,55.164215087890625
2014-02-07,55.66322326660156
2014-02-10,54.990657806396484
2014-02-11,56.63951873779297
2014-02-12,56.9721565246582
2014-02-13,56.979393005371094
2014-02-14,57.96293640136719
2014-02-18,58.38960647583008
2014-02-19,57.63026809692383
2014-02-20,58.281131744384766
2014-02-21,58.498069763183594
2014-02-24,61.04367446899414
2014-02-25,60.23371887207031
2014-02-26,60.13972473144531
2014-02-27,61.564369201660156
2014-02-28,61.65114974975586
2014-03-03,62.171844482421875
2014-03-04,62.99627685546875
2014-03-05,63.075836181640625
2014-03-06,63.50247573852539
2014-03-07,62.93840789794922
2014-03-10,61.839176177978516
2014-03-11,61.02922058105469
2014-03-12,61.55716323852539
2014-03-13,59.43821716308594
2014-03-14,59.48161697387695
2014-03-17,60.64593505859375
2014-03-18,60.42897415161133
2014-03-19,59.534114837646484
2014-03-20,59.23583221435547
2014-03-21,59.23583221435547
2014-03-24,58.48646926879883
2014-03-25,57.329673767089844
2014-03-26,56.21653747558594
2014-03-27,56.231101989746094
2014-03-28,56.929542541503906
2014-03-31,58.77019119262695
2014-04-01,60.20344924926758
2014-04-02,60.29074478149414
2014-04-03,59.279476165771484
2014-04-04,56.973182678222656
2014-04-07,54.75421142578125
2014-04-08,55.729087829589844
2014-04-09,56.47118377685547
2014-04-10,55.04521560668945
2014-04-11,54.2885856628418
2014-04-14,54.31769561767578
2014-04-15,53.240936279296875
2014-04-16,55.576316833496094
2014-04-17,55.62724685668945
2014-04-21,55.09614944458008
2014-04-22,58.246376037597656
2014-04-23,56.71126937866211
2014-04-24,57.82440185546875
2014-04-25,56.02011489868164
2014-04-28,54.121253967285156
2014-04-29,57.198726654052734
2014-04-30,57.56975555419922
2014-05-01,57.729827880859375
2014-05-02,58.63923645019531
2014-05-05,58.013553619384766
2014-05-06,57.41698455810547
2014-05-07,56.56576156616211
2014-05-08,54.39046096801758
2014-05-09,54.33223342895508
2014-05-12,55.24165725708008
2014-05-13,55.21982955932617
2014-05-14,53.611976623535156
2014-05-15,53.40827941894531
2014-05-16,53.22639465332031
