,ECL
2014-01-02,91.94486236572266
2014-01-03,92.0600357055664
2014-01-06,90.60718536376953
2014-01-07,91.53738403320312
2014-01-08,92.2549057006836
2014-01-09,93.01677703857422
2014-01-10,93.36226654052734
2014-01-13,91.33361053466797
2014-01-14,92.4232406616211
2014-01-15,91.79425048828125
2014-01-16,92.52953338623047
2014-01-17,92.26378631591797
2014-01-21,92.04234313964844
2014-01-22,91.85628509521484
2014-01-23,90.30599975585938
2014-01-24,88.0115737915039
2014-01-27,87.48893737792969
2014-01-28,88.45452117919922
2014-01-29,88.7911605834961
2014-01-30,89.32268524169922
2014-01-31,89.06578063964844
2014-02-03,86.84219360351562
2014-02-04,87.43573760986328
2014-02-05,87.84326171875
2014-02-06,88.48995971679688
2014-02-07,88.70256805419922
2014-02-10,89.13662719726562
2014-02-11,89.83648681640625
2014-02-12,89.5972900390625
2014-02-13,90.62491607666016
2014-02-14,91.37788391113281
2014-02-18,91.31587982177734
2014-02-19,90.33257293701172
2014-02-20,90.24396514892578
2014-02-21,90.52747344970703
2014-02-24,90.70462799072266
2014-02-25,92.64470672607422
2014-02-26,93.39767456054688
2014-02-27,94.47846221923828
2014-02-28,95.45289611816406
2014-03-03,95.65667724609375
2014-03-04,97.14495086669922
2014-03-05,96.89688110351562
2014-03-06,97.32210540771484
2014-03-07,97.548583984375
2014-03-10,97.85053253173828
2014-03-11,98.79190826416016
2014-03-12,98.24129486083984
2014-03-13,97.02460479736328
2014-03-14,96.4739761352539
2014-03-17,97.70844268798828
2014-03-18,97.99259948730469
2014-03-19,97.08678436279297
2014-03-20,97.72620391845703
2014-03-21,98.3390121459961
2014-03-24,97.548583984375
2014-03-25,96.18976593017578
2014-03-26,95.0707778930664
2014-03-27,94.31591796875
2014-03-28,94.34258270263672
2014-03-31,95.90557861328125
2014-04-01,96.50064086914062
2014-04-02,96.43842315673828
2014-04-03,96.84699249267578
2014-04-04,95.18624877929688
2014-04-07,93.89850616455078
2014-04-08,93.44556427001953
2014-04-09,95.2040023803711
2014-04-10,93.26795196533203
2014-04-11,92.09563446044922
2014-04-14,92.60185241699219
2014-04-15,93.6231689453125
2014-04-16,95.05300903320312
2014-04-17,95.72795867919922
2014-04-21,95.80789184570312
2014-04-22,95.27505493164062
2014-04-23,94.92866516113281
2014-04-24,94.21820068359375
2014-04-25,93.45445251464844
2014-04-28,93.09920501708984
2014-04-29,92.6285171508789
2014-04-30,92.93048858642578
2014-05-01,92.9038314819336
2014-05-02,92.8061294555664
2014-05-05,93.5255126953125
2014-05-06,92.63739013671875
2014-05-07,93.34786987304688
2014-05-08,92.8061294555664
2014-05-09,93.02816009521484
2014-05-12,93.774169921875
2014-05-13,93.87186431884766
2014-05-14,94.31591796875
2014-05-15,93.96954345703125
2014-05-16,94.04058837890625
2014-05-19,95.2040023803711
2014-05-20,94.7332992553711
2014-05-21,95.71908569335938
2014-05-22,95.38163757324219
2014-05-23,95.95889282226562
2014-05-27,96.52726745605469
2014-05-28,96.0299301147461
2014-05-29,96.51839447021484
2014-05-30,96.97132110595703
2014-06-02,96.83808135986328
2014-06-03,96.91801452636719
2014-06-04,97.67290496826172
2014-06-05,97.51305389404297
2014-06-06,97.99259948730469
2014-06-09,97.7350845336914
2014-06-10,97.74395751953125
2014-06-11,97.09564971923828
2014-06-12,96.2164306640625
2014-06-13,96.29209899902344
2014-06-16,95.93595886230469
2014-06-17,95.98046112060547
2014-06-18,96.54142761230469
2014-06-19,96.49690246582031
2014-06-20,96.76400756835938
2014-06-23,96.4434814453125
2014-06-24,95.42847442626953
2014-06-25,95.66886901855469
2014-06-26,95.49971008300781
2014-06-27,96.71949005126953
2014-06-30,99.13235473632812
2014-07-01,99.30152893066406
2014-07-02,98.50020599365234
2014-07-03,98.4823989868164
2014-07-07,98.18856048583984
2014-07-08,98.29540252685547
2014-07-09,98.17967224121094
2014-07-10,97.94818115234375
2014-07-11,97.57421112060547
2014-07-14,97.83242797851562
2014-07-15,98.14405822753906
2014-07-16,98.4556655883789
2014-07-17,97.9214859008789
2014-07-18,98.3221206665039
2014-07-21,97.39617156982422
2014-07-22,97.9214859008789
2014-07-23,97.93928527832031
2014-07-24,98.2865219116211
2014-07-25,98.4556655883789
2014-07-28,98.8474349975586
2014-07-29,97.78791046142578
2014-07-30,97.36052703857422
2014-07-31,96.63046264648438
2014-08-01,96.39004516601562
2014-08-04,97.3338394165039
2014-08-05,96.32772064208984
2014-08-06,96.92427062988281
2014-08-07,96.20308685302734
2014-08-08,97.14686584472656
2014-08-11,97.38723754882812
2014-08-12,97.95708465576172
2014-08-13,99.07001495361328
2014-08-14,99.69326782226562
2014-08-15,100.04940795898438
2014-08-18,100.96649169921875
2014-08-19,101.34046173095703
2014-08-20,101.2247085571289
2014-08-21,101.29590606689453
2014-08-22,101.19798278808594
2014-08-25,102.0171127319336
2014-08-26,102.27531433105469
2014-08-27,101.5719223022461
2014-08-28,101.84793853759766
2014-08-29,102.23078918457031
2014-09-02,102.07942199707031
2014-09-03,102.24858856201172
2014-09-04,102.29312133789062
2014-09-05,102.84513854980469
2014-09-08,102.96087646484375
2014-09-09,102.08834075927734
2014-09-10,102.16846466064453
2014-09-11,102.12393188476562
2014-09-12,103.05658721923828
2014-09-15,102.71746826171875
2014-09-16,103.63671875
2014-09-17,104.14545440673828
2014-09-18,104.8951644897461
2014-09-19,105.3770980834961
2014-09-22,104.69878387451172
2014-09-23,104.21685791015625
2014-09-24,104.98440551757812
2014-09-25,103.20832061767578
2014-09-26,104.02940368652344
2014-09-29,103.81523895263672
2014-09-30,102.48541259765625
2014-10-01,100.58439636230469
2014-10-02,101.1198959350586
2014-10-03,102.32475280761719
2014-10-06,101.22698974609375
2014-10-07,99.79008483886719
2014-10-08,101.29838562011719
2014-10-09,98.76371002197266
2014-10-10,97.53204345703125
2014-10-13,95.97911834716797
2014-10-14,95.47930908203125
2014-10-15,94.0156021118164
2014-10-16,94.06023406982422
2014-10-17,96.29148864746094
2014-10-20,98.1300277709961
2014-10-21,100.58439636230469
2014-10-22,100.32559204101562
2014-10-23,100.4594497680664
2014-10-24,100.60223388671875
2014-10-27,98.745849609375
2014-10-28,98.71907043457031
2014-10-29,96.532470703125
2014-10-30,96.7020263671875
2014-10-31,99.27242279052734
2014-11-03,98.2638931274414
2014-11-04,97.59452056884766
2014-11-05,98.585205078125
2014-11-06,99.9061050415039
2014-11-07,100.38804626464844
2014-11-10,100.61117553710938
2014-11-11,100.66471862792969
2014-11-12,100.83429718017578
2014-11-13,100.80751037597656
2014-11-14,100.32559204101562
2014-11-17,100.12922668457031
2014-11-18,101.01277160644531
2014-11-19,101.04849243164062
2014-11-20,101.26268768310547
2014-11-21,102.24443817138672
2014-11-24,102.19090270996094
2014-11-25,101.29838562011719
2014-11-26,101.52149200439453
2014-11-28,97.2375259399414
2014-12-01,93.08740997314453
2014-12-02,94.80992889404297
2014-12-03,97.50527954101562
2014-12-04,97.75517272949219
2014-12-05,97.3178482055664
2014-12-08,92.6858139038086
2014-12-09,94.1137924194336
2014-12-10,93.00707244873047
2014-12-11,93.39085388183594
2014-12-12,91.61811828613281
2014-12-15,91.34954071044922
2014-12-16,90.9197998046875
2014-12-17,93.49832153320312
2014-12-18,94.2682876586914
2014-12-19,95.468017578125
2014-12-22,95.6470718383789
2014-12-23,96.20220184326172
2014-12-24,95.96044158935547
2014-12-26,95.89778900146484
2014-12-29,95.5665283203125
2014-12-30,94.25037384033203
2014-12-31,93.578857421875
2015-01-02,93.390869140625
2015-01-05,91.30477142333984
2015-01-06,88.57402801513672
2015-01-07,89.87226104736328
2015-01-08,91.87779998779297
2015-01-09,90.72281646728516
2015-01-12,90.21248626708984
2015-01-13,91.25106811523438
2015-01-14,90.72281646728516
2015-01-15,90.140869140625
2015-01-16,91.51068115234375
2015-01-20,91.82406616210938
2015-01-21,93.11332702636719
2015-01-22,95.23522186279297
2015-01-23,94.79653930664062
2015-01-26,95.81717681884766
2015-01-27,95.33370971679688
2015-01-28,92.73729705810547
2015-01-29,93.45354461669922
2015-01-30,92.9073715209961
2015-02-02,92.65672302246094
2015-02-03,94.97560119628906
2015-02-04,93.50724792480469
2015-02-05,95.2441635131836
2015-02-06,95.51277160644531
2015-02-09,96.01415252685547
2015-02-10,96.99007415771484
2015-02-11,97.86746978759766
2015-02-12,99.17463684082031
2015-02-13,99.93563842773438
2015-02-17,99.98041534423828
2015-02-18,99.88192749023438
2015-02-19,100.06995391845703
2015-02-20,100.75041198730469
2015-02-23,99.74764251708984
2015-02-24,101.17118072509766
2015-02-25,103.5438232421875
2015-02-26,103.99144744873047
2015-02-27,103.44532775878906
2015-03-02,103.82135009765625
2015-03-03,104.02727508544922
2015-03-04,104.01832580566406
2015-03-05,104.54656982421875
2015-03-06,102.97530364990234
2015-03-09,104.04376220703125
2015-03-10,103.15489196777344
2015-03-11,102.80473327636719
2015-03-12,103.98089599609375
2015-03-13,102.77778625488281
2015-03-16,103.40628051757812
2015-03-17,102.63414764404297
2015-03-18,103.88213348388672
2015-03-19,103.26262664794922
2015-03-20,103.49602508544922
2015-03-23,102.60720825195312
2015-03-24,101.97869873046875
2015-03-25,102.1941909790039
2015-03-26,102.58921813964844
2015-03-27,102.5712661743164
2015-03-30,103.06509399414062
2015-03-31,102.69698333740234
2015-04-01,101.94278717041016
2015-04-02,101.79015350341797
2015-04-06,102.9304428100586
2015-04-07,102.8675765991211
2015-04-08,103.55891418457031
2015-04-09,104.02581024169922
2015-04-10,104.47473907470703
2015-04-13,103.6397476196289
2015-04-14,104.28617858886719
2015-04-15,105.06730651855469
2015-04-16,104.89673614501953
2015-04-17,103.4332275390625
2015-04-20,104.28617858886719
2015-04-21,104.04376220703125
2015-04-22,104.19640350341797
2015-04-23,104.01683044433594
2015-04-24,103.78336334228516
2015-04-27,104.23233032226562
2015-04-28,101.43098449707031
2015-04-29,102.72393035888672
2015-04-30,100.5421142578125
2015-05-01,102.31087493896484
2015-05-04,102.328857421875
2015-05-05,100.88330841064453
2015-05-06,101.00901794433594
2015-05-07,101.7093276977539
2015-05-08,103.06509399414062
2015-05-11,101.97869873046875
2015-05-12,101.86197662353516
2015-05-13,102.3647689819336
2015-05-14,104.14252471923828
2015-05-15,104.25924682617188
2015-05-18,104.01683044433594
2015-05-19,103.90910339355469
2015-05-20,103.76543426513672
2015-05-21,104.18741607666016
2015-05-22,103.48709106445312
2015-05-26,102.1941909790039
2015-05-27,102.75981903076172
2015-05-28,103.07408142089844
2015-05-29,102.93939971923828
2015-06-01,103.3075180053711
2015-06-02,103.85520935058594
2015-06-03,104.47473907470703
2015-06-04,102.37374877929688
2015-06-05,102.3647689819336
2015-06-08,101.99662017822266
2015-06-09,102.0505142211914
2015-06-10,103.80134582519531
2015-06-11,103.89111328125
2015-06-12,102.88263702392578
2015-06-15,102.54048919677734
2015-06-16,103.05372619628906
2015-06-17,103.58499145507812
2015-06-18,105.54791259765625
2015-06-19,105.50288391113281
2015-06-22,106.00713348388672
2015-06-23,105.54791259765625
2015-06-24,104.6834945678711
2015-06-25,104.41337585449219
2015-06-26,104.206298828125
2015-06-29,101.6850814819336
2015-06-30,101.81114959716797
2015-07-01,101.92819213867188
2015-07-02,101.5770263671875
2015-07-06,100.75765228271484
2015-07-07,101.00977325439453
2015-07-08,99.6051025390625
2015-07-09,99.59609985351562
2015-07-10,101.09982299804688
2015-07-13,102.40543365478516
2015-07-14,103.27882385253906
2015-07-15,103.18878173828125
2015-07-16,103.27882385253906
2015-07-17,101.55001831054688
2015-07-20,101.541015625
2015-07-21,101.36094665527344
2015-07-22,100.71263122558594
2015-07-23,100.16336822509766
2015-07-24,98.6236343383789
2015-07-27,97.59713745117188
2015-07-28,102.44144439697266
2015-07-29,103.83710479736328
2015-07-30,104.53941345214844
2015-07-31,104.2782974243164
2015-08-03,103.80110931396484
2015-08-04,103.83710479736328
2015-08-05,105.1247329711914
2015-08-06,104.72855377197266
2015-08-07,102.97270965576172
2015-08-10,104.98065948486328
2015-08-11,104.38636779785156
2015-08-12,103.58499145507812
2015-08-13,103.80110931396484
2015-08-14,104.881591796875
2015-08-17,104.76454162597656
2015-08-18,104.3593521118164
2015-08-19,103.42289733886719
2015-08-20,101.40595245361328
2015-08-21,98.9568099975586
2015-08-24,94.85985565185547
2015-08-25,94.12152099609375
2015-08-26,95.88633728027344
2015-08-27,98.97480010986328
2015-08-28,99.46102905273438
2015-08-31,98.2724609375
2015-09-01,94.92288970947266
2015-09-02,97.22798156738281
2015-09-03,97.99333190917969
2015-09-04,95.93138122558594
2015-09-08,97.7772216796875
2015-09-09,99.51506042480469
2015-09-10,99.4430160522461
2015-09-11,99.33464813232422
2015-09-14,98.36832427978516
2015-09-15,99.53333282470703
2015-09-16,102.59490203857422
2015-09-17,102.54073333740234
2015-09-18,101.64665985107422
2015-09-21,101.80921173095703
2015-09-22,100.12034606933594
2015-09-23,99.37981414794922
2015-09-24,99.83135986328125
2015-09-25,99.75911712646484
2015-09-28,96.9233169555664
2015-09-29,97.86253356933594
2015-09-30,99.09081268310547
2015-10-01,101.44794464111328
2015-10-02,103.13677215576172
2015-10-05,104.52762603759766
2015-10-06,105.83715057373047
2015-10-07,106.81251525878906
2015-10-08,108.85357666015625
2015-10-09,108.86260986328125
2015-10-12,108.88972473144531
2015-10-13,108.51942443847656
2015-10-14,109.5851058959961
2015-10-15,109.80184936523438
2015-10-16,110.271484375
2015-10-19,107.81498718261719
2015-10-20,107.86014556884766
2015-10-21,106.47838592529297
2015-10-22,108.87164306640625
2015-10-23,108.36589050292969
2015-10-26,107.99562072753906
2015-10-27,107.04732513427734
2015-10-28,108.00463104248047
2015-10-29,108.31172180175781
2015-10-30,108.69104766845703
2015-11-02,106.55963897705078
2015-11-03,108.41104888916016
2015-11-04,106.10809326171875
2015-11-05,106.24354553222656
2015-11-06,106.02678680419922
2015-11-09,104.7262954711914
2015-11-10,105.07852172851562
2015-11-11,106.09001922607422
2015-11-12,103.99476623535156
2015-11-13,105.15077209472656
2015-11-16,105.39460754394531
2015-11-17,105.43978881835938
2015-11-18,106.85767364501953
2015-11-19,106.48741149902344
2015-11-20,106.68608093261719
2015-11-23,107.9414291381836
2015-11-24,108.12205505371094
2015-11-25,107.4898452758789
2015-11-27,107.39051055908203
2015-11-30,107.61630249023438
2015-12-01,108.07691955566406
2015-12-02,107.14667510986328
2015-12-03,106.4693374633789
2015-12-04,107.67955017089844
2015-12-07,106.8938217163086
2015-12-08,105.09657287597656
2015-12-09,105.62040710449219
2015-12-10,104.7262954711914
2015-12-11,101.80943298339844
2015-12-14,102.94175720214844
2015-12-15,104.23712921142578
2015-12-16,106.79165649414062
2015-12-17,104.44547271728516
2015-12-18,102.01778411865234
2015-12-21,102.56129455566406
2015-12-22,103.64832305908203
2015-12-23,105.53250885009766
2015-12-24,104.88030242919922
2015-12-28,104.59947204589844
2015-12-29,105.43286895751953
2015-12-30,104.56326293945312
2015-12-31,103.61209869384766
2016-01-04,101.90003204345703
2016-01-05,102.27141571044922
2016-01-06,97.89613342285156
2016-01-07,95.35971069335938
2016-01-08,94.52633666992188
2016-01-11,94.77090454101562
2016-01-12,95.76737976074219
2016-01-13,93.42118072509766
2016-01-14,94.95207977294922
2016-01-15,92.92298126220703
2016-01-19,92.7327651977539
2016-01-20,92.7961654663086
2016-01-21,92.26171112060547
2016-01-22,95.10609436035156
2016-01-25,93.53897094726562
2016-01-26,94.32705688476562
2016-01-27,93.1041259765625
2016-01-28,94.20929718017578
2016-01-29,97.7149429321289
2016-02-01,97.30731964111328
2016-02-02,95.05171203613281
2016-02-03,97.18048095703125
2016-02-04,98.89258575439453
2016-02-05,96.17499542236328
2016-02-08,93.86505889892578
2016-02-09,97.10802459716797
2016-02-10,96.21119689941406
2016-02-11,93.5751953125
2016-02-12,96.5916976928711
2016-02-16,98.42152404785156
2016-02-17,99.60818481445312
2016-02-18,98.52116394042969
2016-02-19,97.6243667602539
2016-02-22,97.91424560546875
2016-02-23,90.71267700195312
2016-02-24,92.51532745361328
2016-02-25,93.91940307617188
2016-02-26,96.27462768554688
2016-02-29,92.89580535888672
2016-03-01,95.8941650390625
2016-03-02,94.82526397705078
2016-03-03,95.33253479003906
2016-03-04,96.3199234008789
2016-03-07,95.98477172851562
2016-03-08,94.46292877197266
2016-03-09,94.40855407714844
2016-03-10,95.35065460205078
2016-03-11,96.66853332519531
2016-03-14,93.65105438232422
2016-03-15,94.56900787353516
2016-03-16,96.22320556640625
2016-03-17,98.0136947631836
2016-03-18,98.28634643554688
2016-03-21,99.0498046875
2016-03-22,100.48584747314453
2016-03-23,99.97685241699219
2016-03-24,100.45857238769531
2016-03-28,100.5221939086914
2016-03-29,101.30382537841797
2016-03-30,102.17636108398438
2016-03-31,101.35836791992188
2016-04-01,102.17636108398438
2016-04-04,101.8673324584961
2016-04-05,101.15840911865234
2016-04-06,102.12181854248047
2016-04-07,100.6403579711914
2016-04-08,101.45831298828125
2016-04-11,101.31291961669922
2016-04-12,102.33087158203125
2016-04-13,103.73055267333984
2016-04-14,104.94844055175781
2016-04-15,104.5303726196289
2016-04-18,104.68486022949219
2016-04-19,105.46651458740234
2016-04-20,105.0393295288086
2016-04-21,104.78482818603516
2016-04-22,105.64830017089844
2016-04-25,105.18476867675781
2016-04-26,105.39379119873047
2016-04-27,106.02095031738281
2016-04-28,104.79393005371094
2016-04-29,104.50310516357422
2016-05-02,103.85779571533203
2016-05-03,103.23974609375
2016-05-04,104.8030014038086
2016-05-05,104.55764770507812
2016-05-06,106.38445281982422
2016-05-09,104.94844055175781
2016-05-10,106.43899536132812
2016-05-11,105.9482192993164
2016-05-12,106.45716857910156
2016-05-13,105.44831848144531
2016-05-16,107.39334869384766
2016-05-17,106.36629486083984
2016-05-18,105.43923950195312
2016-05-19,105.5755844116211
2016-05-20,106.08453369140625
2016-05-23,106.20269012451172
2016-05-24,107.75688171386719
2016-05-25,107.72052764892578
2016-05-26,107.4296875
2016-05-27,107.55693054199219
2016-05-31,106.55714416503906
2016-06-01,107.72052764892578
2016-06-02,108.03864288330078
2016-06-03,107.96591186523438
2016-06-06,109.18383026123047
2016-06-07,109.8018569946289
2016-06-08,110.47443389892578
2016-06-09,109.78369140625
2016-06-10,109.29289245605469
2016-06-13,108.46583557128906
2016-06-14,108.47490692138672
2016-06-15,107.79322814941406
2016-06-16,108.4476318359375
2016-06-17,108.11035919189453
2016-06-20,108.60259246826172
2016-06-21,108.86695861816406
2016-06-22,108.8760757446289
2016-06-23,110.24340057373047
2016-06-24,106.07757568359375
2016-06-27,104.34564971923828
2016-06-28,105.05663299560547
2016-06-29,106.46044921875
2016-06-30,108.11035919189453
2016-07-01,108.33824920654297
2016-07-05,107.18968963623047
2016-07-06,107.38111114501953
2016-07-07,107.18968963623047
2016-07-08,108.65729522705078
2016-07-11,108.56614685058594
2016-07-12,109.6600341796875
2016-07-13,109.8969955444336
2016-07-14,110.5442123413086
2016-07-15,110.25252532958984
2016-07-18,109.69645690917969
2016-07-19,109.5141372680664
2016-07-20,109.41389465332031
2016-07-21,109.05838775634766
2016-07-22,109.40474700927734
2016-07-25,109.19511413574219
2016-07-26,109.15863800048828
2016-07-27,108.66641235351562
2016-07-28,108.59349060058594
2016-07-29,107.90980529785156
2016-08-01,108.17414855957031
2016-08-02,111.94799041748047
2016-08-03,110.67182159423828
