,CRM
2014-01-02,54.61753463745117
2014-01-03,54.87638473510742
2014-01-06,53.99031448364258
2014-01-07,54.70713424682617
2014-01-08,56.68833923339844
2014-01-09,56.04121398925781
2014-01-10,56.698299407958984
2014-01-13,55.96156692504883
2014-01-14,57.25581741333008
2014-01-15,59.456058502197266
2014-01-16,58.948307037353516
2014-01-17,59.595436096191406
2014-01-21,60.68061828613281
2014-01-22,60.86977767944336
2014-01-23,59.8144645690918
2014-01-24,58.14189147949219
2014-01-27,56.82772445678711
2014-01-28,59.10759735107422
2014-01-29,57.703834533691406
2014-01-30,60.700531005859375
2014-01-31,60.262474060058594
2014-02-03,58.211578369140625
2014-02-04,60.690574645996094
2014-02-05,61.35761260986328
2014-02-06,61.42730712890625
2014-02-07,61.2779655456543
2014-02-10,60.77021789550781
2014-02-11,60.95937728881836
2014-02-12,61.208274841308594
2014-02-13,62.85098648071289
2014-02-14,62.522438049316406
2014-02-18,63.44832992553711
2014-02-19,62.74147033691406
2014-02-20,62.73151397705078
2014-02-21,63.3089485168457
2014-02-24,63.62753677368164
2014-02-25,63.37863540649414
2014-02-26,63.458290100097656
2014-02-27,65.92733001708984
2014-02-28,62.094337463378906
2014-03-03,61.218231201171875
2014-03-04,62.79124450683594
2014-03-05,63.3985481262207
2014-03-06,62.86093521118164
2014-03-07,60.4715461730957
2014-03-10,59.515785217285156
2014-03-11,60.750308990478516
2014-03-12,61.24809646606445
2014-03-13,58.79896926879883
2014-03-14,57.90294647216797
2014-03-17,58.06223678588867
2014-03-18,59.366451263427734
2014-03-19,58.1717529296875
2014-03-20,58.858707427978516
2014-03-21,56.7779426574707
2014-03-24,56.110904693603516
2014-03-25,56.399627685546875
2014-03-26,54.96598815917969
2014-03-27,55.722625732421875
2014-03-28,55.503597259521484
2014-03-31,56.837677001953125
2014-04-01,58.54011917114258
2014-04-02,57.89299392700195
2014-04-03,55.493648529052734
2014-04-04,54.16952133178711
2014-04-07,53.731468200683594
2014-04-08,54.96598815917969
2014-04-09,56.698299407958984
2014-04-10,54.308902740478516
2014-04-11,52.63632583618164
2014-04-14,53.54230499267578
2014-04-15,54.98589324951172
2014-04-16,55.732582092285156
2014-04-17,55.85205078125
2014-04-21,55.86200714111328
2014-04-22,56.82772445678711
2014-04-23,55.39408493041992
2014-04-24,54.48810577392578
2014-04-25,52.56663513183594
2014-04-28,48.91285705566406
2014-04-29,50.53565216064453
2014-04-30,51.421722412109375
2014-05-01,51.84981918334961
2014-05-02,52.208229064941406
2014-05-05,53.41288375854492
2014-05-06,51.551143646240234
2014-05-07,50.207115173339844
2014-05-08,49.928348541259766
2014-05-09,50.057777404785156
2014-05-12,53.19385528564453
2014-05-13,52.04893493652344
2014-05-14,51.65070724487305
2014-05-15,51.1927375793457
2014-05-16,51.5710563659668
2014-05-19,52.99473571777344
2014-05-20,52.6562385559082
2014-05-21,49.96817398071289
2014-05-22,53.03456115722656
2014-05-23,53.17394256591797
2014-05-27,54.11974334716797
2014-05-28,53.104251861572266
2014-05-29,54.159568786621094
2014-05-30,52.39738845825195
2014-06-02,52.148494720458984
2014-06-03,50.724815368652344
2014-06-04,50.84428405761719
2014-06-05,51.1429557800293
2014-06-06,51.5710563659668
2014-06-09,51.4814567565918
2014-06-10,52.82548904418945
2014-06-11,53.07438659667969
2014-06-12,52.805580139160156
2014-06-13,54.06996536254883
2014-06-16,54.3686408996582
2014-06-17,57.564449310302734
2014-06-18,57.50471496582031
2014-06-19,57.62418746948242
2014-06-20,57.25581741333008
2014-06-23,57.743656158447266
2014-06-24,57.2060432434082
2014-06-25,57.1562614440918
2014-06-26,56.91732406616211
2014-06-27,57.126399993896484
2014-06-30,57.823307037353516
2014-07-01,58.9383544921875
2014-07-02,58.649635314941406
2014-07-03,58.50029373168945
2014-07-07,57.08657455444336
2014-07-08,54.64739990234375
2014-07-09,54.35868453979492
2014-07-10,54.06000900268555
2014-07-11,53.970401763916016
2014-07-14,54.48810577392578
2014-07-15,53.50248718261719
2014-07-16,53.71155548095703
2014-07-17,52.407344818115234
2014-07-18,53.26354217529297
2014-07-21,53.0843391418457
2014-07-22,53.363101959228516
2014-07-23,53.363101959228516
2014-07-24,53.82107162475586
2014-07-25,54.64739990234375
2014-07-28,53.76133346557617
