,DAL
2014-01-02,24.347787857055664
2014-01-03,25.692623138427734
2014-01-06,25.745372772216797
2014-01-07,25.297090530395508
2014-01-08,26.193645477294922
2014-01-09,27.301166534423828
2014-01-10,27.66154670715332
2014-01-13,27.178104400634766
2014-01-14,28.13619613647461
2014-01-15,27.687915802001953
2014-01-16,27.758237838745117
2014-01-17,27.30995750427246
2014-01-21,28.197725296020508
2014-01-22,28.865755081176758
2014-01-23,28.566896438598633
2014-01-24,27.345115661621094
2014-01-27,26.888046264648438
2014-01-28,27.160531997680664
2014-01-29,26.29912567138672
2014-01-30,26.879257202148438
2014-01-31,26.905624389648438
2014-02-03,25.82447624206543
2014-02-04,26.316699981689453
2014-02-05,26.387025833129883
2014-02-06,27.1517391204834
2014-02-07,27.819761276245117
2014-02-10,27.433012008666992
2014-02-11,27.608810424804688
2014-02-12,27.362688064575195
2014-02-13,27.55607032775879
2014-02-14,27.547279357910156
2014-02-18,27.178104400634766
2014-02-19,26.922710418701172
2014-02-20,28.041181564331055
2014-02-21,27.970727920532227
2014-02-24,28.578407287597656
2014-02-25,29.274154663085938
2014-02-26,29.51193618774414
2014-02-27,29.344600677490234
2014-02-28,29.247732162475586
2014-03-03,28.701704025268555
2014-03-04,30.33978271484375
2014-03-05,30.577577590942383
2014-03-06,31.15001678466797
2014-03-07,31.141216278076172
2014-03-10,30.973880767822266
2014-03-11,30.753707885742188
2014-03-12,30.383821487426758
2014-03-13,29.573591232299805
2014-03-14,30.04916000366211
2014-03-17,30.11960792541504
2014-03-18,30.005130767822266
2014-03-19,29.7056884765625
2014-03-20,29.626428604125977
2014-03-21,28.824996948242188
2014-03-24,29.344600677490234
2014-03-25,30.322172164916992
2014-03-26,29.908245086669922
2014-03-27,30.057971954345703
2014-03-28,29.529544830322266
2014-03-31,30.51592254638672
2014-04-01,31.48468589782715
2014-04-02,31.440650939941406
2014-04-03,31.15001678466797
2014-04-04,30.480690002441406
2014-04-07,29.934667587280273
2014-04-08,29.51193618774414
2014-04-09,30.58637809753418
2014-04-10,29.071592330932617
2014-04-11,28.64005470275879
2014-04-14,27.944307327270508
2014-04-15,28.102832794189453
2014-04-16,29.608810424804688
2014-04-17,29.73211669921875
2014-04-21,29.890634536743164
