,TJX
2014-01-02,27.379148483276367
2014-01-03,27.430904388427734
2014-01-06,27.133304595947266
2014-01-07,27.24974822998047
2014-01-08,27.387775421142578
2014-01-09,27.310138702392578
2014-01-10,27.6249942779541
2014-01-13,27.133304595947266
2014-01-14,27.111738204956055
2014-01-15,26.978031158447266
2014-01-16,26.79688835144043
2014-01-17,26.680435180664062
2014-01-21,25.968780517578125
2014-01-22,25.528852462768555
2014-01-23,25.188119888305664
2014-01-24,24.907779693603516
2014-01-27,25.058738708496094
2014-01-28,25.080299377441406
2014-01-29,24.692127227783203
2014-01-30,24.804262161254883
2014-01-31,24.739566802978516
2014-02-03,24.25650405883789
2014-02-04,24.165937423706055
2014-02-05,24.925033569335938
2014-02-06,25.6151123046875
2014-02-07,25.63236427307129
2014-02-10,25.559049606323242
2014-02-11,25.924392700195312
2014-02-12,25.99789047241211
2014-02-13,26.015182495117188
2014-02-14,25.850889205932617
2014-02-18,26.04112434387207
2014-02-19,25.876829147338867
2014-02-20,25.950340270996094
2014-02-21,25.976274490356445
2014-02-24,26.110307693481445
2014-02-25,26.369720458984375
2014-02-26,26.06707191467285
2014-02-27,26.257312774658203
2014-02-28,26.57293701171875
2014-03-03,26.326480865478516
2014-03-04,26.60752296447754
2014-03-05,26.689672470092773
2014-03-06,26.430255889892578
2014-03-07,26.68101692199707
2014-03-10,26.905851364135742
2014-03-11,26.737228393554688
2014-03-12,26.594547271728516
2014-03-13,26.39999008178711
2014-03-14,26.525373458862305
2014-03-17,26.828022003173828
2014-03-18,26.287574768066406
2014-03-19,26.16219139099121
2014-03-20,26.24001693725586
2014-03-21,26.698318481445312
2014-03-24,26.188133239746094
2014-03-25,25.967628479003906
2014-03-26,25.7946834564209
2014-03-27,25.682266235351562
2014-03-28,25.984922409057617
2014-03-31,26.22272300720215
2014-04-01,26.456195831298828
2014-04-02,26.87558937072754
2014-04-03,26.611845016479492
2014-04-04,26.451873779296875
2014-04-07,25.889806747436523
2014-04-08,26.13625144958496
2014-04-09,26.049774169921875
2014-04-10,25.45744514465332
2014-04-11,25.003463745117188
2014-04-14,25.202348709106445
2014-04-15,25.370967864990234
2014-04-16,25.522296905517578
2014-04-17,25.379613876342773
2014-04-21,25.67793846130371
2014-04-22,25.811981201171875
2014-04-23,25.44447135925293
2014-04-24,25.185049057006836
2014-04-25,25.13749122619629
2014-04-28,25.31043815612793
2014-04-29,25.27152442932129
2014-04-30,25.154787063598633
2014-05-01,25.18937110900879
2014-05-02,25.241262435913086
2014-05-05,25.120195388793945
2014-05-06,24.657577514648438
2014-05-07,24.735395431518555
2014-05-08,24.999141693115234
2014-05-09,25.28017234802246
2014-05-12,25.88115119934082
2014-05-13,25.618804931640625
2014-05-14,25.640491485595703
2014-05-15,25.20252227783203
2014-05-16,25.39332389831543
2014-05-19,25.323944091796875
2014-05-20,23.39429473876953
2014-05-21,24.543415069580078
2014-05-22,24.05340576171875
2014-05-23,23.91464614868164
2014-05-27,23.70216941833496
2014-05-28,23.546062469482422
2014-05-29,23.61110496520996
2014-05-30,23.61110496520996
2014-06-02,23.47234535217285
2014-06-03,23.515703201293945
2014-06-04,24.079423904418945
2014-06-05,24.29190444946289
2014-06-06,24.465360641479492
2014-06-09,24.378629684448242
2014-06-10,24.30925178527832
2014-06-11,24.05340576171875
2014-06-12,23.71517562866211
2014-06-13,23.7585391998291
2014-06-16,23.723854064941406
2014-06-17,23.736858367919922
2014-06-18,24.092439651489258
2014-06-19,23.90163230895996
2014-06-20,23.827926635742188
2014-06-23,23.7672176361084
2014-06-24,23.346593856811523
2014-06-25,23.043048858642578
2014-06-26,22.904296875
2014-06-27,22.882606506347656
2014-06-30,23.04738426208496
2014-07-01,23.2034912109375
2014-07-02,23.29021644592285
2014-07-03,23.329246520996094
2014-07-07,23.16012954711914
2014-07-08,23.350929260253906
2014-07-09,23.624114990234375
2014-07-10,23.320573806762695
2014-07-11,23.220840454101562
2014-07-14,23.17747688293457
2014-07-15,23.389955520629883
2014-07-16,22.80021858215332
2014-07-17,22.6484432220459
2014-07-18,22.973670959472656
2014-07-21,22.717830657958984
2014-07-22,22.756853103637695
2014-07-23,23.02570152282715
2014-07-24,23.073408126831055
2014-07-25,22.787212371826172
2014-07-28,22.826236724853516
2014-07-29,22.76119613647461
2014-07-30,23.277206420898438
2014-07-31,23.108097076416016
2014-08-01,23.034378051757812
2014-08-04,23.29021644592285
2014-08-05,23.043048858642578
2014-08-06,23.376949310302734
2014-08-07,23.194822311401367
2014-08-08,23.806236267089844
2014-08-11,23.615446090698242
2014-08-12,23.582815170288086
2014-08-13,23.204341888427734
2014-08-14,23.47406005859375
2014-08-15,23.117334365844727
2014-08-18,23.447959899902344
2014-08-19,25.47517967224121
2014-08-20,25.840606689453125
2014-08-21,25.627443313598633
2014-08-22,25.823200225830078
2014-08-25,25.657896041870117
2014-08-26,25.884103775024414
2014-08-27,25.901512145996094
2014-08-28,26.00156593322754
2014-08-29,25.931964874267578
2014-09-02,26.293033599853516
2014-09-03,26.25823402404785
2014-09-04,26.48879623413086
2014-09-05,26.601905822753906
2014-09-08,26.33218002319336
2014-09-09,25.979814529418945
2014-09-10,25.971115112304688
2014-09-11,26.1799259185791
2014-09-12,26.053768157958984
2014-09-15,25.971115112304688
2014-09-16,26.201679229736328
2014-09-17,26.06682586669922
2014-09-18,26.19732666015625
2014-09-19,25.94936180114746
2014-09-22,25.74489974975586
2014-09-23,25.56218910217285
2014-09-24,26.25823402404785
2014-09-25,25.797107696533203
2014-09-26,26.06682586669922
2014-09-29,26.014619827270508
2014-09-30,25.74054718017578
2014-10-01,25.762298583984375
2014-10-02,26.07987403869629
2014-10-03,26.57145118713379
2014-10-06,26.232128143310547
2014-10-07,25.966760635375977
2014-10-08,26.53229522705078
2014-10-09,26.31477928161621
2014-10-10,26.78461456298828
2014-10-13,26.375686645507812
2014-10-14,26.715007781982422
2014-10-15,26.14512062072754
2014-10-16,25.936309814453125
2014-10-17,26.27562713623047
2014-10-20,26.388734817504883
2014-10-21,27.04128074645996
2014-10-22,26.806360244750977
2014-10-23,27.11958122253418
2014-10-24,27.006479263305664
2014-10-27,27.33275032043457
2014-10-28,27.27619171142578
2014-10-29,27.28489875793457
2014-10-30,27.515459060668945
2014-10-31,27.545913696289062
2014-11-03,27.79822540283203
2014-11-04,27.78082275390625
2014-11-05,27.719924926757812
2014-11-06,28.085342407226562
2014-11-07,27.841732025146484
2014-11-10,27.88317108154297
2014-11-11,27.590900421142578
2014-11-12,27.800291061401367
2014-11-13,27.699960708618164
2014-11-14,27.18521499633789
2014-11-17,26.844968795776367
2014-11-18,26.88858985900879
2014-11-19,27.10233497619629
2014-11-20,27.63888931274414
2014-11-21,27.726131439208984
2014-11-24,27.704317092895508
2014-11-25,27.90061378479004
2014-11-26,28.1448974609375
2014-11-28,28.860301971435547
2014-12-01,28.454618453979492
2014-12-02,28.458984375
2014-12-03,28.72943878173828
2014-12-04,28.75125503540039
2014-12-05,28.6072998046875
2014-12-08,28.489513397216797
2014-12-09,28.537504196166992
2014-12-10,28.044572830200195
2014-12-11,28.616018295288086
2014-12-12,28.620376586914062
2014-12-15,28.92573356628418
2014-12-16,28.363008499145508
2014-12-17,28.511329650878906
2014-12-18,29.261625289916992
2014-12-19,28.82539939880371
2014-12-22,29.34014320373535
2014-12-23,29.715290069580078
2014-12-24,29.60624122619629
2014-12-26,29.69347381591797
2014-12-29,29.82434844970703
2014-12-30,29.854896545410156
2014-12-31,29.91596031188965
2015-01-02,29.645496368408203
2015-01-05,29.31396484375
2015-01-06,29.170013427734375
2015-01-07,29.767637252807617
2015-01-08,29.924684524536133
2015-01-09,29.55389976501465
2015-01-12,29.401220321655273
2015-01-13,29.296520233154297
2015-01-14,28.890844345092773
2015-01-15,28.4764347076416
2015-01-16,29.117671966552734
2015-01-20,28.8864688873291
2015-01-21,28.794876098632812
2015-01-22,29.444839477539062
2015-01-23,29.50154685974121
2015-01-26,29.72401237487793
2015-01-27,29.772001266479492
2015-01-28,29.344507217407227
2015-01-29,29.492828369140625
2015-01-30,28.764333724975586
2015-02-02,28.733797073364258
2015-02-03,29.357593536376953
2015-02-04,29.60624122619629
2015-02-05,29.854896545410156
2015-02-06,29.772001266479492
2015-02-09,29.444839477539062
2015-02-10,29.866878509521484
2015-02-11,29.89750099182129
2015-02-12,30.124916076660156
2015-02-13,30.28235626220703
2015-02-17,29.99808120727539
2015-02-18,29.595726013183594
2015-02-19,29.661319732666016
2015-02-20,30.059324264526367
2015-02-23,29.914993286132812
2015-02-24,29.37267303466797
2015-02-25,30.34359359741211
2015-02-26,29.770652770996094
2015-02-27,30.019960403442383
2015-03-02,30.382953643798828
2015-03-03,30.0068302154541
2015-03-04,29.866878509521484
2015-03-05,30.054943084716797
2015-03-06,29.75316619873047
2015-03-09,29.840641021728516
2015-03-10,29.569486618041992
2015-03-11,29.368303298950195
2015-03-12,30.041828155517578
2015-03-13,29.735679626464844
2015-03-16,30.02870750427246
2015-03-17,29.87562370300293
2015-03-18,29.71817970275879
2015-03-19,29.810033798217773
2015-03-20,30.382953643798828
2015-03-23,30.38733673095703
2015-03-24,30.64975357055664
2015-03-25,30.413576126098633
2015-03-26,30.186155319213867
2015-03-27,30.435447692871094
2015-03-30,30.820316314697266
2015-03-31,30.636625289916992
2015-04-01,30.15553092956543
2015-04-02,30.31735610961914
2015-04-06,30.308609008789062
2015-04-07,30.024330139160156
2015-04-08,30.321733474731445
2015-04-09,30.015575408935547
2015-04-10,29.971843719482422
2015-04-13,29.80127716064453
2015-04-14,29.42514991760254
2015-04-15,29.188983917236328
2015-04-16,29.075273513793945
2015-04-17,28.53732681274414
2015-04-20,28.852230072021484
2015-04-21,28.992177963256836
2015-04-22,29.04465675354004
2015-04-23,29.009668350219727
2015-04-24,28.992177963256836
2015-04-27,28.563568115234375
2015-04-28,28.39299964904785
2015-04-29,28.091230392456055
2015-04-30,28.226808547973633
2015-05-01,28.66853904724121
2015-05-04,28.664161682128906
2015-05-05,28.70351219177246
2015-05-06,28.795366287231445
2015-05-07,28.94843864440918
2015-05-08,29.442644119262695
2015-05-11,29.232717514038086
2015-05-12,29.127426147460938
2015-05-13,28.89928436279297
2015-05-14,28.807157516479492
2015-05-15,28.934377670288086
2015-05-18,29.509113311767578
2015-05-19,30.355873107910156
2015-05-20,30.035602569580078
2015-05-21,29.77674674987793
2015-05-22,29.46525001525879
2015-05-26,29.030906677246094
2015-05-27,29.175682067871094
2015-05-28,28.94315528869629
2015-05-29,28.24557113647461
2015-06-01,28.557071685791016
2015-06-02,28.46932601928711
2015-06-03,28.965089797973633
2015-06-04,28.785215377807617
2015-06-05,28.793983459472656
2015-06-08,28.63166046142578
2015-06-09,28.385967254638672
2015-06-10,28.74573516845703
2015-06-11,28.750118255615234
2015-06-12,28.67991828918457
2015-06-15,28.548297882080078
2015-06-16,28.675537109375
2015-06-17,28.82908058166504
2015-06-18,29.46525001525879
2015-06-19,29.23272132873535
2015-06-22,29.193225860595703
2015-06-23,29.618806838989258
2015-06-24,29.649513244628906
2015-06-25,29.522279739379883
2015-06-26,29.842554092407227
2015-06-29,28.991409301757812
2015-06-30,29.030906677246094
2015-07-01,29.579313278198242
2015-07-02,29.307302474975586
2015-07-06,29.35556983947754
2015-07-07,29.93030548095703
2015-07-08,29.566160202026367
2015-07-09,29.689006805419922
2015-07-10,29.89081573486328
2015-07-13,30.34271240234375
2015-07-14,30.329547882080078
2015-07-15,30.14967155456543
2015-07-16,30.43484878540039
2015-07-17,30.1584529876709
2015-07-20,30.316387176513672
2015-07-21,30.06631088256836
2015-07-22,30.101411819458008
2015-07-23,29.939077377319336
2015-07-24,29.58808708190918
2015-07-27,29.544218063354492
2015-07-28,29.77236557006836
2015-07-29,30.474328994750977
2015-07-30,30.544527053833008
2015-07-31,30.632280349731445
2015-08-03,30.430452346801758
2015-08-04,30.518207550048828
2015-08-05,30.79021453857422
2015-08-06,30.487491607666016
2015-08-07,30.548917770385742
2015-08-10,30.78583335876465
2015-08-11,30.79022979736328
2015-08-12,30.834238052368164
2015-08-13,31.05426788330078
2015-08-14,31.06745719909668
2015-08-17,31.51190948486328
