,LYB
2014-01-02,46.55687713623047
2014-01-03,46.51551818847656
2014-01-06,46.078189849853516
2014-01-07,46.65144348144531
2014-01-08,47.11830520629883
2014-01-09,47.56153869628906
2014-01-10,47.48469924926758
2014-01-13,47.17148208618164
2014-01-14,48.34752655029297
2014-01-15,48.90305709838867
2014-01-16,48.58982467651367
2014-01-17,48.10523223876953
2014-01-21,47.83927536010742
2014-01-22,47.40788650512695
2014-01-23,45.954078674316406
2014-01-24,44.866695404052734
2014-01-27,44.760311126708984
2014-01-28,45.321754455566406
2014-01-29,45.30402755737305
2014-01-30,46.131370544433594
2014-01-31,46.54506301879883
2014-02-03,45.62904739379883
2014-02-04,46.11955261230469
2014-02-05,45.86544418334961
2014-02-06,46.75782012939453
2014-02-07,47.768375396728516
2014-02-10,47.845211029052734
2014-02-11,48.270694732666016
2014-02-12,48.82621765136719
2014-02-13,49.269432067871094
2014-02-14,49.91952133178711
2014-02-18,50.42777633666992
2014-02-19,49.80723190307617
2014-02-20,50.70552062988281
2014-02-21,50.61687088012695
2014-02-24,50.80598831176758
2014-02-25,51.001007080078125
2014-02-26,51.66287612915039
2014-02-27,52.287696838378906
2014-02-28,52.41264724731445
2014-03-03,52.644744873046875
2014-03-04,53.364768981933594
2014-03-05,53.614681243896484
2014-03-06,54.18592071533203
2014-03-07,54.09071350097656
2014-03-10,54.16807174682617
2014-03-11,53.816993713378906
2014-03-12,53.650390625
2014-03-13,52.977962493896484
2014-03-14,52.912506103515625
2014-03-17,53.91221237182617
2014-03-18,53.97170639038086
2014-03-19,53.376644134521484
2014-03-20,53.70989227294922
2014-03-21,53.578975677490234
2014-03-24,53.29930114746094
2014-03-25,53.89436340332031
2014-03-26,53.483760833740234
2014-03-27,51.984222412109375
2014-03-28,52.59117889404297
2014-03-31,52.92441177368164
2014-04-01,52.8232421875
2014-04-02,53.71583557128906
2014-04-03,53.828895568847656
2014-04-04,52.977962493896484
2014-04-07,51.84141159057617
2014-04-08,51.79379653930664
2014-04-09,52.68640899658203
2014-04-10,51.99610900878906
2014-04-11,51.83546447753906
2014-04-14,52.45431900024414
2014-04-15,53.28739547729492
2014-04-16,54.42396545410156
2014-04-17,54.81074142456055
2014-04-21,54.88810348510742
2014-04-22,55.501014709472656
2014-04-23,54.923824310302734
2014-04-24,54.851863861083984
2014-04-25,54.59403991699219
2014-04-28,54.40814971923828
2014-04-29,54.54605484008789
2014-04-30,55.46345520019531
2014-05-01,55.41547775268555
2014-05-02,55.40348815917969
2014-05-05,56.159000396728516
2014-05-06,56.392860412597656
2014-05-07,57.424156188964844
2014-05-08,56.632659912109375
2014-05-09,57.232276916503906
2014-05-12,57.72995376586914
2014-05-13,57.556068420410156
2014-05-14,57.903846740722656
2014-05-15,57.106353759765625
2014-05-16,57.64602279663086
2014-05-19,58.04175567626953
2014-05-20,58.16169357299805
2014-05-21,58.85721969604492
2014-05-22,58.581390380859375
2014-05-23,59.22896957397461
2014-05-27,59.04310989379883
2014-05-28,59.354896545410156
2014-05-29,60.170345306396484
2014-05-30,59.70264434814453
2014-06-02,60.08041000366211
2014-06-03,59.894535064697266
2014-06-04,60.03843688964844
2014-06-05,59.384857177734375
2014-06-06,59.36087417602539
2014-06-09,59.312904357910156
2014-06-10,59.930484771728516
2014-06-11,59.480804443359375
2014-06-12,59.516788482666016
2014-06-13,59.3369026184082
2014-06-16,59.2829475402832
2014-06-17,59.22896957397461
2014-06-18,59.34288787841797
2014-06-19,59.24097442626953
2014-06-20,60.05044174194336
2014-06-23,60.3922119140625
2014-06-24,60.02044677734375
2014-06-25,59.109039306640625
2014-06-26,59.061092376708984
2014-06-27,58.08372116088867
2014-06-30,58.55141830444336
2014-07-01,59.07305145263672
2014-07-02,59.21097946166992
2014-07-03,59.762603759765625
2014-07-07,58.96514129638672
2014-07-08,58.56942367553711
2014-07-09,59.252960205078125
2014-07-10,59.05506134033203
2014-07-11,59.45683288574219
2014-07-14,59.354896545410156
2014-07-15,59.04310989379883
2014-07-16,59.63069534301758
2014-07-17,59.67866897583008
2014-07-18,60.578094482421875
2014-07-21,60.691993713378906
2014-07-22,61.24965286254883
2014-07-23,61.459503173828125
2014-07-24,61.411529541015625
2014-07-25,64.45152282714844
2014-07-28,65.74667358398438
2014-07-29,64.93119812011719
2014-07-30,64.86524200439453
2014-07-31,63.7080192565918
2014-08-01,63.88790512084961
2014-08-04,65.14107513427734
2014-08-05,64.37359619140625
2014-08-06,65.35093688964844
2014-08-07,64.7153549194336
2014-08-08,64.97918701171875
2014-08-11,64.92521667480469
2014-08-12,65.29097747802734
2014-08-13,65.86659240722656
2014-08-14,65.83062744140625
2014-08-15,66.31627655029297
2014-08-18,66.652099609375
2014-08-19,67.27567291259766
2014-08-20,67.25768280029297
2014-08-21,67.75846862792969
2014-08-22,67.66194915771484
2014-08-25,68.15067291259766
2014-08-26,67.9394760131836
2014-08-27,68.5428466796875
2014-08-28,68.47046661376953
2014-08-29,68.9953842163086
2014-09-02,68.89885711669922
2014-09-03,68.92298889160156
2014-09-04,68.68767547607422
2014-09-05,69.14019012451172
2014-09-08,68.78421020507812
2014-09-09,68.19894409179688
2014-09-10,68.45236206054688
2014-09-11,68.31961822509766
2014-09-12,67.3843765258789
2014-09-15,67.49300384521484
2014-09-16,67.3119888305664
2014-09-17,67.32405853271484
2014-09-18,68.63336944580078
2014-09-19,68.78421020507812
2014-09-22,67.9455337524414
2014-09-23,66.5577621459961
2014-09-24,67.54731750488281
2014-09-25,66.40693664550781
2014-09-26,68.33168029785156
2014-09-29,68.3618392944336
2014-09-30,65.56222534179688
2014-10-01,63.3538818359375
2014-10-02,62.14712905883789
2014-10-03,61.37482833862305
2014-10-06,61.47739028930664
2014-10-07,59.93276596069336
2014-10-08,61.89371109008789
2014-10-09,59.842254638671875
2014-10-10,57.34428787231445
2014-10-13,52.24582290649414
2014-10-14,51.521766662597656
2014-10-15,51.84760284423828
2014-10-16,53.89906692504883
2014-10-17,54.080074310302734
2014-10-20,55.52213668823242
2014-10-21,57.4348258972168
2014-10-22,56.403072357177734
2014-10-23,56.9159049987793
2014-10-24,55.745361328125
2014-10-27,52.60786056518555
2014-10-28,53.83872985839844
2014-10-29,54.77997970581055
2014-10-30,54.91273498535156
2014-10-31,55.28681945800781
2014-11-03,53.83268737792969
2014-11-04,50.7253303527832
2014-11-05,51.43730545043945
2014-11-06,52.07084655761719
2014-11-07,52.770755767822266
2014-11-10,53.11467742919922
2014-11-11,53.422420501708984
2014-11-12,53.45256805419922
2014-11-13,53.06037521362305
2014-11-14,53.29568862915039
2014-11-17,52.91557312011719
2014-11-18,53.724082946777344
2014-11-19,53.91112518310547
2014-11-20,54.98752212524414
2014-11-21,55.46187973022461
2014-11-24,55.072669982910156
2014-11-25,55.12740707397461
2014-11-26,54.45236587524414
2014-11-28,47.95748519897461
2014-12-01,46.710811614990234
2014-12-02,46.844627380371094
2014-12-03,47.872352600097656
2014-12-04,49.34403991699219
2014-12-05,49.11902618408203
2014-12-08,47.252052307128906
2014-12-09,47.85409927368164
2014-12-10,45.37900924682617
2014-12-11,45.79255676269531
2014-12-12,42.94038772583008
2014-12-15,42.976863861083984
2014-12-16,43.51203536987305
2014-12-17,45.974971771240234
2014-12-18,48.20075988769531
2014-12-19,49.86703109741211
2014-12-22,49.32579803466797
2014-12-23,49.9886589050293
2014-12-24,49.44742202758789
2014-12-26,49.24673080444336
2014-12-29,49.094703674316406
2014-12-30,49.015647888183594
2014-12-31,48.27980422973633
2015-01-02,48.693328857421875
2015-01-05,46.2425537109375
2015-01-06,45.263458251953125
2015-01-07,45.73780059814453
2015-01-08,47.568294525146484
2015-01-09,48.030460357666016
2015-01-12,46.309452056884766
2015-01-13,45.79255676269531
2015-01-14,45.22089767456055
2015-01-15,45.774295806884766
2015-01-16,48.5534553527832
2015-01-20,47.39802932739258
2015-01-21,49.489986419677734
2015-01-22,49.50822448730469
2015-01-23,49.13726806640625
2015-01-26,48.206825256347656
2015-01-27,47.841941833496094
2015-01-28,46.49797439575195
2015-01-29,47.29462814331055
2015-01-30,48.09737014770508
2015-02-02,49.86703109741211
2015-02-03,52.846893310546875
2015-02-04,51.9042854309082
2015-02-05,53.30299758911133
2015-02-06,52.7982292175293
2015-02-09,53.72260284423828
2015-02-10,53.64354705810547
2015-02-11,53.017173767089844
2015-02-12,54.61048126220703
