,EL
2014-01-02,64.4670181274414
2014-01-03,64.41455841064453
2014-01-06,64.79065704345703
2014-01-07,64.62446594238281
2014-01-08,63.91603088378906
2014-01-09,64.23087310791016
2014-01-10,64.76441192626953
2014-01-13,64.5807113647461
2014-01-14,64.4932632446289
2014-01-15,63.732364654541016
2014-01-16,63.13765335083008
2014-01-17,63.46997833251953
2014-01-21,63.12889862060547
2014-01-22,63.08514404296875
2014-01-23,61.63331604003906
2014-01-24,60.163997650146484
2014-01-27,59.96281814575195
2014-01-28,61.091068267822266
2014-01-29,59.945369720458984
2014-01-30,60.30390548706055
2014-01-31,60.120269775390625
2014-02-03,59.71794509887695
2014-02-04,60.51382064819336
2014-02-05,57.164093017578125
2014-02-06,58.42351150512695
2014-02-07,58.161128997802734
2014-02-10,58.064945220947266
2014-02-11,58.4060173034668
2014-02-12,58.49350357055664
2014-02-13,59.070709228515625
2014-02-14,59.45555114746094
2014-02-18,59.543006896972656
2014-02-19,58.93952560424805
2014-02-20,59.350582122802734
2014-02-21,59.16694641113281
2014-02-24,59.38558578491211
2014-02-25,59.01823425292969
2014-02-26,59.632293701171875
2014-02-27,59.298954010009766
2014-02-28,60.38667297363281
2014-03-03,60.141056060791016
2014-03-04,61.16739273071289
2014-03-05,60.763877868652344
2014-03-06,60.5621223449707
2014-03-07,61.42177200317383
2014-03-10,61.579689025878906
2014-03-11,61.50074005126953
2014-03-12,61.579689025878906
2014-03-13,61.21126937866211
2014-03-14,60.79021072387695
2014-03-17,61.360389709472656
2014-03-18,61.509517669677734
2014-03-19,61.13233184814453
2014-03-20,60.632293701171875
2014-03-21,59.97440719604492
2014-03-24,59.035789489746094
2014-03-25,59.09720230102539
2014-03-26,58.974388122558594
2014-03-27,58.974388122558594
2014-03-28,58.535797119140625
2014-03-31,58.6673698425293
2014-04-01,59.87790298461914
2014-04-02,59.728790283203125
2014-04-03,59.83405685424805
2014-04-04,58.755096435546875
2014-04-07,59.035789489746094
2014-04-08,60.99195861816406
2014-04-09,61.149845123291016
2014-04-10,60.45685577392578
2014-04-11,59.80772399902344
2014-04-14,60.6849479675293
2014-04-15,62.105995178222656
2014-04-16,63.237613677978516
2014-04-17,63.29023361206055
2014-04-21,63.0709228515625
2014-04-22,63.24637222290039
2014-04-23,62.869163513183594
2014-04-24,63.237613677978516
2014-04-25,63.33407974243164
2014-04-28,63.0709228515625
2014-04-29,63.9744758605957
2014-04-30,63.658653259277344
2014-05-01,63.32534408569336
2014-05-02,66.3341064453125
2014-05-05,64.96568298339844
2014-05-06,64.51831817626953
2014-05-07,64.64112091064453
2014-05-08,64.31657409667969
2014-05-09,64.24637603759766
2014-05-12,64.58847045898438
2014-05-13,64.85164642333984
2014-05-14,64.63233947753906
2014-05-15,64.0972900390625
2014-05-16,64.17623138427734
2014-05-19,64.93061065673828
2014-05-20,64.80778503417969
2014-05-21,65.0183334350586
2014-05-22,65.71129608154297
2014-05-23,65.70254516601562
2014-05-27,66.2990493774414
2014-05-28,66.5364990234375
2014-05-29,67.29291534423828
2014-05-30,67.3896484375
2014-06-02,67.50398254394531
2014-06-03,67.45122528076172
2014-06-04,67.24893951416016
2014-06-05,67.3720703125
