,DELL
2016-08-17,11.263916015625
2016-08-18,11.198426246643066
2016-08-19,11.394889831542969
2016-08-22,11.43418312072754
2016-08-23,11.787817001342772
2016-08-24,11.944989204406738
2016-08-25,11.895216941833496
2016-08-26,11.98427963256836
2016-08-29,12.1283540725708
2016-08-30,11.827110290527344
2016-08-31,11.703991889953612
2016-09-01,11.394889831542969
2016-09-02,11.25867748260498
2016-09-06,11.905695915222168
2016-09-07,12.573673248291016
2016-09-08,13.178776741027832
2016-09-09,12.85657787322998
2016-09-12,12.940404891967772
2016-09-13,12.704647064208984
2016-09-14,12.665355682373049
2016-09-15,12.806807518005373
2016-09-16,12.69678783416748
2016-09-19,12.772754669189451
2016-09-20,12.76489543914795
2016-09-21,12.683691024780272
2016-09-22,12.581530570983888
2016-09-23,12.576292037963867
2016-09-26,12.5448579788208
2016-09-27,12.518661499023438
2016-09-28,12.536998748779297
2016-09-29,12.461030960083008
2016-09-30,12.521282196044922
2016-10-03,12.555335998535156
2016-10-04,12.536998748779297
2016-10-05,12.69678783416748
2016-10-06,12.675832748413086
2016-10-07,12.59200668334961
2016-10-10,12.447936058044434
2016-10-11,12.348392486572266
2016-10-12,12.340535163879396
2016-10-13,12.345773696899414
2016-10-14,12.374588966369627
2016-10-17,12.413881301879885
2016-10-18,12.489849090576172
2016-10-19,12.49770736694336
2016-10-20,12.495086669921877
2016-10-21,12.374588966369627
2016-10-24,12.557952880859377
2016-10-25,12.309100151062012
2016-10-26,12.238375663757324
2016-10-27,12.660115242004396
2016-10-28,12.801569938659668
2016-10-31,12.859198570251465
2016-11-01,12.69678783416748
2016-11-02,12.835620880126951
2016-11-03,12.775373458862305
2016-11-04,12.736083030700684
2016-11-07,12.971839904785156
2016-11-08,13.013750076293944
2016-11-09,12.932547569274902
2016-11-10,12.903731346130373
2016-11-11,12.874916076660156
2016-11-14,12.833003044128418
2016-11-15,13.1185302734375
2016-11-16,13.267842292785645
2016-11-17,13.56908893585205
2016-11-18,13.618857383728027
2016-11-21,13.736735343933104
2016-11-22,13.645052909851074
2016-11-23,13.500980377197266
2016-11-25,13.67124843597412
2016-11-28,13.658150672912598
2016-11-29,13.954155921936035
2016-11-30,14.030121803283691
2016-12-01,13.590043067932127
2016-12-02,13.817941665649414
2016-12-05,13.899147033691406
2016-12-06,13.980350494384766
2016-12-07,14.119185447692873
2016-12-08,14.124425888061523
2016-12-09,14.13752269744873
2016-12-12,14.119185447692873
2016-12-13,14.085131645202637
2016-12-14,14.200389862060549
2016-12-15,14.868367195129396
2016-12-16,14.78454303741455
2016-12-19,14.771445274353027
2016-12-20,14.944332122802734
2016-12-21,15.007201194763184
2016-12-22,14.627373695373535
2016-12-23,14.692859649658203
2016-12-27,14.682381629943848
2016-12-28,14.4963960647583
2016-12-29,14.475438117980955
2016-12-30,14.399474143981934
2017-01-03,14.294692993164062
2017-01-04,14.407331466674805
2017-01-05,14.478059768676758
2017-01-06,14.876226425170898
2017-01-09,14.797639846801758
2017-01-10,14.928616523742676
2017-01-11,15.083165168762209
2017-01-12,15.098883628845217
2017-01-13,15.23771858215332
2017-01-17,15.177468299865724
2017-01-18,15.342498779296877
2017-01-19,15.405367851257324
2017-01-20,15.523248672485352
2017-01-23,15.266531944274902
2017-01-24,15.656838417053224
2017-01-25,15.732805252075195
2017-01-26,15.614928245544434
2017-01-27,16.385066986083984
2017-01-30,16.356250762939453
2017-01-31,16.500324249267578
2017-02-01,16.529138565063477
2017-02-02,16.754417419433594
2017-02-03,16.856576919555664
2017-02-06,16.92992401123047
2017-02-07,16.990175247192383
2017-02-08,16.984939575195312
2017-02-09,17.02684783935547
2017-02-10,16.95612144470215
2017-02-13,16.982318878173828
2017-02-14,16.987558364868164
2017-02-15,17.058279037475586
2017-02-16,17.058279037475586
2017-02-17,16.919445037841797
2017-02-21,17.053041458129883
2017-02-22,16.96660041809082
2017-02-23,16.79633140563965
2017-02-24,16.82776641845703
2017-02-27,16.775375366210938
2017-02-28,16.631303787231445
2017-03-01,16.78585433959961
2017-03-02,16.626062393188477
2017-03-03,16.618206024169922
2017-03-06,16.426979064941406
2017-03-07,16.51604461669922
2017-03-08,16.639158248901367
2017-03-09,16.536996841430664
2017-03-10,16.62868309020996
2017-03-13,16.63391876220703
2017-03-14,16.631303787231445
2017-03-15,16.694168090820312
2017-03-16,16.764894485473633
2017-03-17,16.814664840698242
2017-03-20,16.783233642578125
2017-03-21,16.356250762939453
2017-03-22,16.497705459594727
2017-03-23,16.52389907836914
2017-03-24,16.599864959716797
2017-03-27,16.599864959716797
2017-03-28,16.652257919311523
2017-03-29,16.738698959350586
2017-03-30,16.76227378845215
2017-03-31,16.78585433959961
2017-04-03,16.725601196289062
2017-04-04,16.81204605102539
2017-04-05,16.7701358795166
2017-04-06,16.817285537719727
2017-04-07,16.9927921295166
2017-04-10,17.00326919555664
2017-04-11,17.055662155151367
2017-04-12,16.738698959350586
2017-04-13,16.743938446044922
2017-04-17,16.830385208129883
2017-04-18,16.86705207824707
