,MCO
2014-01-02,68.76663970947266
2014-01-03,69.2202377319336
2014-01-06,69.2202377319336
2014-01-07,69.27355194091797
2014-01-08,67.84169006347656
2014-01-09,68.09071350097656
2014-01-10,68.25968170166016
2014-01-13,66.77444458007812
2014-01-14,67.61932373046875
2014-01-15,68.00177764892578
2014-01-16,67.68158721923828
2014-01-17,67.37030792236328
2014-01-21,67.788330078125
2014-01-22,68.11737823486328
2014-01-23,67.12129974365234
2014-01-24,64.89784240722656
2014-01-27,65.52041625976562
2014-01-28,66.43644714355469
2014-01-29,65.18246459960938
2014-01-30,66.85446166992188
2014-01-31,66.32976531982422
2014-02-03,64.61324310302734
2014-02-04,66.5876693725586
2014-02-05,66.3030776977539
2014-02-06,68.2774658203125
2014-02-07,71.16798400878906
2014-02-10,70.56318664550781
2014-02-11,70.7054672241211
2014-02-12,70.77661895751953
2014-02-13,70.6610107421875
2014-02-14,70.73214721679688
2014-02-18,70.88385009765625
2014-02-19,70.69645690917969
2014-02-20,70.44658660888672
2014-02-21,70.33052062988281
2014-02-24,70.29483795166016
2014-02-25,69.92891693115234
2014-02-26,70.4197998046875
2014-02-27,70.41085052490234
2014-02-28,70.509033203125
2014-03-03,70.20559692382812
2014-03-04,72.41899871826172
2014-03-05,73.19554138183594
2014-03-06,73.94523620605469
2014-03-07,73.88275909423828
2014-03-10,74.10587310791016
2014-03-11,74.23974609375
2014-03-12,74.59676361083984
2014-03-13,70.91958618164062
2014-03-14,72.01741027832031
2014-03-17,72.90098571777344
2014-03-18,73.1419448852539
2014-03-19,72.90098571777344
2014-03-20,72.23159790039062
2014-03-21,72.37442016601562
2014-03-24,71.66038513183594
2014-03-25,71.16950225830078
2014-03-26,70.22342681884766
2014-03-27,69.40231323242188
2014-03-28,69.23269653320312
2014-03-31,70.79463195800781
2014-04-01,72.11557006835938
2014-04-02,71.65147399902344
2014-04-03,71.5711441040039
2014-04-04,71.0623779296875
2014-04-07,69.5897445678711
2014-04-08,69.91102600097656
2014-04-09,71.11598205566406
2014-04-10,68.36698150634766
2014-04-11,66.48375701904297
2014-04-14,67.67080688476562
2014-04-15,67.39415740966797
2014-04-16,69.30411529541016
2014-04-17,70.37512969970703
2014-04-21,70.37512969970703
2014-04-22,71.11598205566406
2014-04-23,71.29444885253906
2014-04-24,71.08917999267578
2014-04-25,70.62506103515625
2014-04-28,69.92891693115234
2014-04-29,69.97352600097656
2014-04-30,70.06277465820312
2014-05-01,69.84857177734375
2014-05-02,70.13416290283203
2014-05-05,71.16950225830078
2014-05-06,72.57968139648438
2014-05-07,73.16874694824219
2014-05-08,73.02593231201172
2014-05-09,73.9006118774414
2014-05-12,74.84669494628906
2014-05-13,74.2933120727539
2014-05-14,74.15049743652344
2014-05-15,72.35655975341797
2014-05-16,72.8759994506836
2014-05-19,72.96554565429688
2014-05-20,72.2938461303711
2014-05-21,73.00138092041016
2014-05-22,73.34170532226562
2014-05-23,73.88802337646484
2014-05-27,76.73607635498047
2014-05-28,76.98688507080078
2014-05-29,76.20769500732422
2014-05-30,76.61071014404297
2014-06-02,76.84355163574219
2014-06-03,76.27932739257812
2014-06-04,76.5927734375
2014-06-05,77.30928802490234
2014-06-06,77.91832733154297
2014-06-09,78.17803955078125
2014-06-10,77.84664916992188
2014-06-11,77.5689926147461
2014-06-12,76.87044525146484
2014-06-13,76.80773162841797
2014-06-16,76.5927734375
2014-06-17,76.87044525146484
2014-06-18,77.46153259277344
2014-06-19,76.7540054321289
2014-06-20,77.4167709350586
2014-06-23,77.90039825439453
2014-06-24,77.86458587646484
2014-06-25,77.69438934326172
2014-06-26,77.9093246459961
2014-06-27,78.73330688476562
2014-06-30,78.50941467285156
2014-07-01,80.64990997314453
2014-07-02,79.74534606933594
2014-07-03,80.62305450439453
2014-07-07,80.22898864746094
2014-07-08,79.7632827758789
2014-07-09,79.52143859863281
2014-07-10,79.26173400878906
2014-07-11,79.8707275390625
2014-07-14,80.37226867675781
2014-07-15,80.73051452636719
2014-07-16,80.78425598144531
2014-07-17,79.84386444091797
2014-07-18,80.99920654296875
2014-07-21,80.9096450805664
2014-07-22,81.59032440185547
2014-07-23,82.04706573486328
2014-07-24,82.82627868652344
2014-07-25,82.0560073852539
2014-07-28,81.50074005126953
2014-07-29,80.72157287597656
2014-07-30,80.52454376220703
2014-07-31,77.91832733154297
2014-08-01,77.9093246459961
2014-08-04,78.9930419921875
2014-08-05,77.79291534423828
2014-08-06,78.21382904052734
2014-08-07,77.85559844970703
2014-08-08,78.724365234375
2014-08-11,79.98715209960938
2014-08-12,80.34539794921875
2014-08-13,81.45594787597656
2014-08-14,82.127685546875
2014-08-15,81.82318115234375
2014-08-18,82.02080535888672
2014-08-19,82.09268951416016
2014-08-20,82.5598373413086
2014-08-21,83.14378356933594
2014-08-22,82.55084228515625
2014-08-25,82.80239868164062
2014-08-26,83.37731170654297
2014-08-27,83.44022369384766
2014-08-28,83.30548095703125
2014-08-29,84.06009674072266
2014-09-02,83.72772216796875
2014-09-03,83.62887573242188
