,PFG
2014-01-02,32.93027877807617
2014-01-03,33.160560607910156
2014-01-06,33.19443893432617
2014-01-07,33.21475601196289
2014-01-08,33.27570724487305
2014-01-09,33.72272872924805
2014-01-10,33.566951751708984
2014-01-13,32.32072067260742
2014-01-14,32.74741744995117
2014-01-15,32.65935134887695
2014-01-16,32.46973419189453
2014-01-17,32.13107681274414
2014-01-21,32.056575775146484
2014-01-22,31.98883628845215
2014-01-23,30.93903350830078
2014-01-24,29.78084373474121
2014-01-27,29.652164459228516
2014-01-28,30.004358291625977
2014-01-29,29.374465942382812
2014-01-30,30.004358291625977
2014-01-31,29.509931564331055
2014-02-03,28.250141143798828
2014-02-04,28.622661590576172
2014-02-05,28.703943252563477
2014-02-06,28.947771072387695
2014-02-07,29.455745697021484
2014-02-10,29.157737731933594
2014-02-11,29.6182918548584
2014-02-12,29.774080276489258
2014-02-13,30.112733840942383
2014-02-14,30.166908264160156
2014-02-18,30.336240768432617
2014-02-19,29.936626434326172
2014-02-20,29.86211585998535
2014-02-21,30.126270294189453
2014-02-24,30.397184371948242
2014-02-25,30.058542251586914
2014-02-26,30.072092056274414
2014-02-27,30.24819564819336
2014-02-28,30.71551513671875
2014-03-03,30.343002319335938
2014-03-04,31.406356811523438
2014-03-05,31.453777313232422
2014-03-06,31.814916610717773
2014-03-07,32.216949462890625
2014-03-10,32.15562438964844
2014-03-11,31.835357666015625
2014-03-12,31.66501235961914
2014-03-13,31.208459854125977
2014-03-14,30.915462493896484
2014-03-17,31.133512496948242
2014-03-18,31.433334350585938
2014-03-19,31.33794403076172
2014-03-20,31.365188598632812
2014-03-21,31.63093376159668
2014-03-24,31.978464126586914
2014-03-25,31.767223358154297
2014-03-26,31.801292419433594
2014-03-27,30.86095428466797
2014-03-28,31.21529197692871
2014-03-31,31.33794403076172
2014-04-01,31.937580108642578
2014-04-02,32.32597732543945
2014-04-03,32.20333480834961
2014-04-04,31.801292419433594
2014-04-07,31.004039764404297
2014-04-08,30.847318649291992
2014-04-09,31.33112335205078
2014-04-10,30.19318199157715
2014-04-11,29.49131965637207
2014-04-14,30.01600456237793
2014-04-15,30.1386661529541
2014-04-16,30.5883846282959
2014-04-17,30.799633026123047
2014-04-21,30.66333770751953
2014-04-22,30.874584197998047
2014-04-23,30.77236557006836
2014-04-24,30.52025604248047
2014-04-25,31.542362213134766
2014-04-28,31.433334350585938
2014-04-29,31.726337432861328
2014-04-30,31.917142868041992
2014-05-01,31.685457229614258
2014-05-02,31.78766441345215
2014-05-05,31.549171447753906
2014-05-06,31.06537437438965
2014-05-07,31.603696823120117
2014-05-08,31.876249313354492
2014-05-09,31.739961624145508
2014-05-12,32.52358627319336
2014-05-13,32.33279037475586
2014-05-14,31.719532012939453
2014-05-15,30.83368682861328
2014-05-16,31.004039764404297
2014-05-19,31.194852828979492
2014-05-20,30.935909271240234
2014-05-21,31.426523208618164
2014-05-22,31.62412452697754
2014-05-23,31.658203125
2014-05-27,31.889867782592773
2014-05-28,31.7740421295166
2014-05-29,31.7740421295166
2014-05-30,31.869434356689453
2014-06-02,32.216949462890625
2014-06-03,32.24422073364258
2014-06-04,32.837039947509766
2014-06-05,33.049678802490234
2014-06-06,33.52985763549805
2014-06-09,33.86598205566406
2014-06-10,33.96201705932617
2014-06-11,33.49555587768555
2014-06-12,33.392662048339844
2014-06-13,33.44068145751953
2014-06-16,33.4338264465332
2014-06-17,33.81796646118164
2014-06-18,34.215824127197266
2014-06-19,34.270687103271484
2014-06-20,34.55193328857422
2014-06-23,34.517642974853516
2014-06-24,34.30499267578125
2014-06-25,34.4970817565918
2014-06-26,34.55193328857422
2014-06-27,34.48335266113281
2014-06-30,34.62739181518555
2014-07-01,34.96350860595703
2014-07-02,34.88806915283203
2014-07-03,35.35451889038086
2014-07-07,35.29277420043945
2014-07-08,35.258487701416016
2014-07-09,35.33393478393555
2014-07-10,35.135013580322266
2014-07-11,35.29277420043945
2014-07-14,35.42311477661133
2014-07-15,35.49171447753906
2014-07-16,35.56715774536133
2014-07-17,35.045841217041016
2014-07-18,35.58088302612305
2014-07-21,35.40253829956055
2014-07-22,35.58773422241211
2014-07-23,35.471126556396484
2014-07-24,35.51914978027344
2014-07-25,35.5260124206543
2014-07-28,35.375099182128906
2014-07-29,34.95664978027344
2014-07-30,35.12814712524414
2014-07-31,34.07863235473633
2014-08-01,33.72877883911133
2014-08-04,34.01003646850586
2014-08-05,33.872840881347656
2014-08-06,34.435325622558594
2014-08-07,33.95514678955078
2014-08-08,34.435325622558594
2014-08-11,34.62739181518555
2014-08-12,34.85376739501953
2014-08-13,35.06640625
2014-08-14,35.258487701416016
2014-08-15,35.03211212158203
2014-08-18,35.67006301879883
2014-08-19,35.83469009399414
2014-08-20,36.06791687011719
2014-08-21,36.67843246459961
2014-08-22,36.30113983154297
2014-08-25,36.6578483581543
2014-08-26,37.09000778198242
2014-08-27,37.2889289855957
2014-08-28,36.993961334228516
2014-08-29,37.240901947021484
2014-09-02,37.41926574707031
2014-09-03,37.4672737121582
2014-09-04,37.398258209228516
2014-09-05,37.529415130615234
2014-09-08,37.41896057128906
2014-09-09,36.93577575683594
2014-09-10,37.1773796081543
2014-09-11,37.24640655517578
2014-09-12,37.30161666870117
2014-09-15,36.970298767089844
2014-09-16,37.080745697021484
2014-09-17,37.184261322021484
2014-09-18,37.695068359375
2014-09-19,37.577720642089844
2014-09-22,37.25330352783203
2014-09-23,36.942684173583984
2014-09-24,37.474185943603516
2014-09-25,36.618263244628906
2014-09-26,36.85985565185547
2014-09-29,36.58375549316406
2014-09-30,36.217899322509766
2014-10-01,34.98925018310547
2014-10-02,35.06517791748047
2014-10-03,35.54145431518555
2014-10-06,35.5207405090332
2014-10-07,34.74765396118164
2014-10-08,35.54835891723633
2014-10-09,34.5474853515625
2014-10-10,34.05740737915039
2014-10-13,33.47068786621094
2014-10-14,33.67776107788086
2014-10-15,33.049625396728516
2014-10-16,33.22218322753906
2014-10-17,34.071197509765625
2014-10-20,33.94005584716797
2014-10-21,34.94783020019531
2014-10-22,34.40253448486328
2014-10-23,34.927127838134766
2014-10-24,34.75455856323242
2014-10-27,34.76146697998047
2014-10-28,35.334388732910156
2014-10-29,35.458621978759766
2014-10-30,35.70712661743164
2014-10-31,36.14888381958008
2014-11-03,35.89348602294922
2014-11-04,36.05916213989258
2014-11-05,36.46641159057617
2014-11-06,36.16960906982422
2014-11-07,36.459510803222656
2014-11-10,36.76322555541992
2014-11-11,36.85985565185547
2014-11-12,36.84605407714844
2014-11-13,36.75630569458008
2014-11-14,36.48710250854492
2014-11-17,36.46641159057617
2014-11-18,36.63895797729492
2014-11-19,36.54234313964844
2014-11-20,36.61136245727539
2014-11-21,36.88746643066406
2014-11-24,37.218780517578125
2014-11-25,37.3292350769043
2014-11-26,37.398258209228516
2014-11-28,36.770118713378906
2014-12-01,36.349063873291016
2014-12-02,36.645870208740234
2014-12-03,36.79082489013672
2014-12-04,36.575469970703125
2014-12-05,37.14512634277344
2014-12-08,37.2910041809082
2014-12-09,36.8950309753418
2014-12-10,36.42263412475586
2014-12-11,37.02702713012695
2014-12-12,35.1444091796875
2014-12-15,34.5400390625
2014-12-16,34.03985595703125
2014-12-17,34.85956954956055
2014-12-18,36.30454635620117
2014-12-19,36.617164611816406
2014-12-22,36.68661117553711
2014-12-23,37.04091262817383
2014-12-24,36.867244720458984
2014-12-26,36.860294342041016
2014-12-29,36.88809585571289
2014-12-30,36.72831344604492
2014-12-31,36.082244873046875
2015-01-02,35.991939544677734
2015-01-05,34.81096267700195
2015-01-06,34.31772994995117
2015-01-07,34.90822219848633
2015-01-08,35.93635559082031
2015-01-09,35.491764068603516
2015-01-12,34.894317626953125
2015-01-13,34.37331008911133
2015-01-14,33.5327262878418
2015-01-15,32.97003173828125
2015-01-16,33.36599349975586
2015-01-20,33.11590576171875
2015-01-21,33.3173713684082
2015-01-22,34.26215362548828
2015-01-23,33.87311935424805
2015-01-26,34.269100189208984
2015-01-27,33.90090560913086
2015-01-28,33.30348205566406
2015-01-29,33.40074157714844
2015-01-30,32.60184097290039
2015-02-02,33.3104248046875
2015-02-03,33.97732925415039
2015-02-04,33.65776824951172
2015-02-05,33.991214752197266
2015-02-06,34.49140548706055
2015-02-09,34.248260498046875
2015-02-10,34.5400390625
2015-02-11,34.79706954956055
2015-02-12,35.49869918823242
2015-02-13,35.846038818359375
2015-02-17,35.9780387878418
2015-02-18,35.679325103759766
2015-02-19,35.846038818359375
2015-02-20,36.200355529785156
2015-02-23,35.658477783203125
