,SYK
2014-01-02,65.5113296508789
2014-01-03,65.69569396972656
2014-01-06,66.14334869384766
2014-01-07,66.52085876464844
2014-01-08,67.60932922363281
2014-01-09,67.58300018310547
2014-01-10,68.60124206542969
2014-01-13,67.96923828125
2014-01-14,68.61006164550781
2014-01-15,68.6890640258789
2014-01-16,69.06652069091797
2014-01-17,68.64515686035156
2014-01-21,68.98748779296875
2014-01-22,68.97872924804688
2014-01-23,68.2764892578125
2014-01-24,66.82806396484375
2014-01-27,66.99485778808594
2014-01-28,67.97801971435547
2014-01-29,67.50399780273438
2014-01-30,68.59246826171875
2014-01-31,68.11842346191406
2014-02-03,67.12654876708984
2014-02-04,67.37229919433594
2014-02-05,67.5917739868164
2014-02-06,68.6539077758789
2014-02-07,69.7248764038086
2014-02-10,70.59387969970703
2014-02-11,71.2259292602539
2014-02-12,71.05913543701172
2014-02-13,72.63921356201172
2014-02-14,73.16590118408203
2014-02-18,72.52510070800781
2014-02-19,71.66484832763672
2014-02-20,72.55142211914062
2014-02-21,72.06865692138672
2014-02-24,72.5163345336914
2014-02-25,71.62095642089844
2014-02-26,71.21714782714844
2014-02-27,71.25225067138672
2014-02-28,70.43588256835938
2014-03-03,70.13744354248047
2014-03-04,71.86673736572266
2014-03-05,71.17327117919922
2014-03-06,71.05913543701172
2014-03-07,71.66484832763672
2014-03-10,71.80529022216797
2014-03-11,71.65604400634766
2014-03-12,71.65604400634766
2014-03-13,71.29615783691406
2014-03-14,70.46222686767578
2014-03-17,70.91868591308594
2014-03-18,71.56825256347656
2014-03-19,71.29615783691406
2014-03-20,71.36637878417969
2014-03-21,70.98013305664062
2014-03-24,69.61952209472656
2014-03-25,70.17254638671875
2014-03-26,69.86531829833984
2014-03-27,70.38082885742188
2014-03-28,70.97120666503906
2014-03-31,71.79075622558594
2014-04-01,72.15198516845703
2014-04-02,72.5133056640625
2014-04-03,74.13470458984375
2014-04-04,72.78646087646484
2014-04-07,71.57923126220703
2014-04-08,71.60565948486328
2014-04-09,72.34589385986328
2014-04-10,70.17815399169922
2014-04-11,69.9314193725586
2014-04-14,70.31915283203125
2014-04-15,70.11646270751953
2014-04-16,69.65826416015625
2014-04-17,69.4203109741211
2014-04-21,70.03716278076172
2014-04-22,69.38504791259766
2014-04-23,69.07667541503906
2014-04-24,68.62723541259766
2014-04-25,67.60504150390625
2014-04-28,67.70199584960938
2014-04-29,68.64484405517578
2014-04-30,68.5126953125
2014-05-01,68.230712890625
2014-05-02,68.5743408203125
2014-05-05,69.46435546875
2014-05-06,69.64942169189453
2014-05-07,69.98429107666016
2014-05-08,70.53063201904297
2014-05-09,71.04168701171875
2014-05-12,71.46468353271484
2014-05-13,70.80378723144531
2014-05-14,70.59229278564453
2014-05-15,69.71991729736328
2014-05-16,70.58349609375
2014-05-19,70.58349609375
2014-05-20,70.5394515991211
2014-05-21,70.82140350341797
2014-05-22,71.01525115966797
2014-05-23,70.73328399658203
2014-05-27,70.81259155273438
2014-05-28,72.82170104980469
2014-05-29,73.92320251464844
2014-05-30,74.45188903808594
2014-06-02,74.75150299072266
2014-06-03,75.3066635131836
2014-06-04,75.36835479736328
2014-06-05,75.58865356445312
2014-06-06,75.3947982788086
2014-06-09,75.34190368652344
2014-06-10,74.98944854736328
2014-06-11,74.68983459472656
2014-06-12,73.8262710571289
2014-06-13,73.52666473388672
2014-06-16,74.55764770507812
2014-06-17,73.84387969970703
2014-06-18,74.39905548095703
2014-06-19,75.46528625488281
2014-06-20,75.85301208496094
2014-06-23,75.13041687011719
2014-06-24,74.66340637207031
2014-06-25,75.34190368652344
2014-06-26,74.82456970214844
2014-06-27,74.25859832763672
2014-06-30,74.56810760498047
2014-07-01,75.61163330078125
2014-07-02,75.5232162475586
2014-07-03,75.72663116455078
2014-07-07,75.66471862792969
2014-07-08,74.22322082519531
2014-07-09,74.26744079589844
2014-07-10,74.00216674804688
2014-07-11,74.3028335571289
2014-07-14,73.79873657226562
2014-07-15,73.17086029052734
2014-07-16,72.77290344238281
2014-07-17,72.25997924804688
2014-07-18,72.65792083740234
2014-07-21,72.15388488769531
2014-07-22,72.41917419433594
2014-07-23,72.34839630126953
2014-07-24,71.44636535644531
2014-07-25,71.13685607910156
2014-07-28,70.82732391357422
2014-07-29,70.94229125976562
2014-07-30,71.11032104492188
2014-07-31,70.54432678222656
2014-08-01,70.74775695800781
2014-08-04,71.26067352294922
2014-08-05,70.73889923095703
2014-08-06,70.58856964111328
2014-08-07,70.08447265625
2014-08-08,70.5797348022461
2014-08-11,70.34980773925781
2014-08-12,70.38516235351562
2014-08-13,71.41101837158203
2014-08-14,71.56136322021484
2014-08-15,71.16339874267578
2014-08-18,71.91506958007812
2014-08-19,72.49876403808594
2014-08-20,72.41917419433594
2014-08-21,73.31233215332031
2014-08-22,72.64022064208984
2014-08-25,73.33889770507812
2014-08-26,73.26814270019531
2014-08-27,72.80829620361328
2014-08-28,73.10895538330078
2014-08-29,73.67493438720703
2014-09-02,73.50689697265625
2014-09-03,73.85179138183594
2014-09-04,73.692626953125
2014-09-05,74.40010833740234
2014-09-08,74.52388763427734
2014-09-09,74.06403350830078
2014-09-10,74.20552825927734
2014-09-11,74.49736785888672
2014-09-12,73.8076171875
2014-09-15,73.7545166015625
2014-09-16,74.33818054199219
2014-09-17,74.23208618164062
2014-09-18,74.3470458984375
2014-09-19,73.25926971435547
2014-09-22,72.64022064208984
2014-09-23,72.0831298828125
2014-09-24,72.63138580322266
2014-09-25,71.83548736572266
2014-09-26,72.34591674804688
2014-09-29,72.36366271972656
2014-09-30,71.68016815185547
2014-10-01,72.19499969482422
2014-10-02,72.55894470214844
2014-10-03,73.24246215820312
2014-10-06,74.29881286621094
2014-10-07,73.18032836914062
2014-10-08,74.87579345703125
2014-10-09,73.60641479492188
2014-10-10,72.70099639892578
2014-10-13,72.09735107421875
2014-10-14,71.5824966430664
2014-10-15,70.55278778076172
2014-10-16,70.30425262451172
2014-10-17,71.26293182373047
2014-10-20,71.90208435058594
2014-10-21,72.91401672363281
2014-10-22,73.28683471679688
2014-10-23,74.1479263305664
2014-10-24,74.7603988647461
2014-10-27,74.90242767333984
2014-10-28,76.50914001464844
2014-10-29,76.94409942626953
2014-10-30,77.2636489868164
2014-10-31,77.69861602783203
2014-11-03,77.09497833251953
2014-11-04,77.8051528930664
2014-11-05,78.13356018066406
2014-11-06,78.60405731201172
2014-11-07,77.6453628540039
2014-11-10,78.50641632080078
2014-11-11,78.71941375732422
2014-11-12,78.63067626953125
2014-11-13,78.86145782470703
2014-11-14,78.1158218383789
2014-11-17,78.58631134033203
2014-11-18,80.03323364257812
2014-11-19,79.57160186767578
2014-11-20,79.58047485351562
2014-11-21,79.98883819580078
2014-11-24,81.1339111328125
2014-11-25,81.57778930664062
2014-11-26,81.9949722290039
2014-11-28,82.47433471679688
2014-12-01,82.51871490478516
2014-12-02,84.02775573730469
2014-12-03,83.8946304321289
2014-12-04,83.77922058105469
2014-12-05,83.99227142333984
2014-12-08,83.97449493408203
2014-12-09,83.80585479736328
2014-12-10,82.23463439941406
2014-12-11,82.9181900024414
2014-12-12,81.66653442382812
2014-12-15,81.1339111328125
2014-12-16,80.5835952758789
2014-12-17,82.40331268310547
2014-12-18,85.06636810302734
2014-12-19,84.14317321777344
2014-12-22,84.32071685791016
2014-12-23,85.75874328613281
2014-12-24,85.21726989746094
2014-12-26,84.89769744873047
2014-12-29,85.03579711914062
2014-12-30,85.1337661743164
2014-12-31,84.03799438476562
2015-01-02,83.73506164550781
2015-01-05,82.44329833984375
2015-01-06,82.32748413085938
2015-01-07,83.88652038574219
2015-01-08,85.31197357177734
2015-01-09,84.27851867675781
2015-01-12,83.76181030273438
2015-01-13,83.93997955322266
2015-01-14,83.07584381103516
2015-01-15,81.51676940917969
2015-01-16,82.36309051513672
2015-01-20,81.66822814941406
2015-01-21,82.06021118164062
2015-01-22,83.18273162841797
2015-01-23,82.58582305908203
2015-01-26,82.45222473144531
2015-01-27,82.25621032714844
2015-01-28,82.6303939819336
2015-01-29,83.45890808105469
2015-01-30,81.1158676147461
2015-02-02,81.74840545654297
2015-02-03,82.62146759033203
2015-02-04,82.38091278076172
2015-02-05,83.44998931884766
2015-02-06,82.5947265625
2015-02-09,81.87311553955078
2015-02-10,82.90657806396484
2015-02-11,82.81745147705078
2015-02-12,83.18273162841797
2015-02-13,84.1983642578125
2015-02-17,84.69721984863281
2015-02-18,84.85758972167969
2015-02-19,84.24288940429688
2015-02-20,84.85758972167969
2015-02-23,85.16944122314453
2015-02-24,84.52800750732422
2015-02-25,84.25180053710938
2015-02-26,84.100341796875
2015-02-27,84.41214752197266
2015-03-02,85.5346908569336
2015-03-03,82.35420989990234
2015-03-04,82.29182434082031
2015-03-05,82.84419250488281
2015-03-06,80.24279022216797
2015-03-09,81.08914184570312
2015-03-10,80.44770050048828
2015-03-11,80.59024047851562
2015-03-12,81.91768646240234
2015-03-13,81.3296890258789
2015-03-16,82.6571044921875
2015-03-17,81.86422729492188
2015-03-18,82.95112609863281
2015-03-19,83.36091613769531
2015-03-20,83.43216705322266
2015-03-23,83.48564147949219
2015-03-24,83.2273178100586
2015-03-25,82.22059631347656
2015-03-26,81.54350280761719
2015-03-27,82.77310180664062
2015-03-30,83.65841674804688
2015-03-31,82.4958724975586
2015-04-01,81.53903198242188
2015-04-02,81.48535919189453
2015-04-06,82.05770111083984
2015-04-07,81.80730438232422
2015-04-08,82.29020690917969
2015-04-09,83.22917938232422
2015-04-10,83.82833099365234
2015-04-13,83.25598907470703
2015-04-14,82.75523376464844
2015-04-15,82.53160858154297
2015-04-16,82.43328094482422
2015-04-17,82.71945190429688
2015-04-20,83.47956085205078
2015-04-21,84.69578552246094
2015-04-22,86.25180053710938
2015-04-23,86.90460205078125
2015-04-24,86.65422821044922
2015-04-27,84.62419891357422
2015-04-28,85.04450225830078
2015-04-29,84.34698486328125
2015-04-30,82.48695373535156
2015-05-01,83.52428436279297
2015-05-04,83.72997283935547
2015-05-05,83.0771484375
2015-05-06,82.77310180664062
2015-05-07,82.81781768798828
2015-05-08,84.56163024902344
2015-05-11,84.38277435302734
2015-05-12,83.23812866210938
2015-05-13,83.08609008789062
2015-05-14,85.18762969970703
2015-05-15,85.41119384765625
2015-05-18,86.37698364257812
2015-05-19,86.45748138427734
2015-05-20,86.54688262939453
2015-05-21,86.20707702636719
2015-05-22,86.24285125732422
2015-05-26,85.42906188964844
2015-05-27,86.37698364257812
2015-05-28,86.06400299072266
2015-05-29,85.96563720703125
2015-06-01,85.95667266845703
2015-06-02,85.94773864746094
2015-06-03,85.88513946533203
2015-06-04,84.99088287353516
2015-06-05,85.13394927978516
2015-06-08,84.61526489257812
2015-06-09,84.20392608642578
2015-06-10,85.8582992553711
2015-06-11,86.3322525024414
2015-06-12,85.55425262451172
2015-06-15,84.65998840332031
2015-06-16,85.09819793701172
2015-06-17,85.04450225830078
2015-06-18,86.87774658203125
2015-06-19,86.63631439208984
2015-06-22,87.10134887695312
2015-06-23,86.40383911132812
2015-06-24,86.49323272705078
2015-06-25,86.25180053710938
2015-06-26,87.36017608642578
2015-06-29,85.58317565917969
2015-06-30,85.7716293334961
2015-07-01,86.2203598022461
2015-07-02,85.9421615600586
2015-07-06,86.14859008789062
2015-07-07,86.96529388427734
2015-07-08,85.63701629638672
2015-07-09,85.8524398803711
2015-07-10,86.48963165283203
2015-07-13,87.62042999267578
2015-07-14,88.18585205078125
2015-07-15,87.5127182006836
2015-07-16,88.10508728027344
2015-07-17,88.14097595214844
2015-07-20,88.29354095458984
2015-07-21,88.90381622314453
2015-07-22,88.43714141845703
2015-07-23,88.17688751220703
2015-07-24,90.61801147460938
2015-07-27,89.76541137695312
2015-07-28,91.19239044189453
2015-07-29,91.52445220947266
2015-07-30,91.39879608154297
2015-07-31,91.78475189208984
2015-08-03,91.1026611328125
2015-08-04,91.07574462890625
2015-08-05,92.547607421875
2015-08-06,90.93209838867188
2015-08-07,90.59107971191406
2015-08-10,91.71294403076172
2015-08-11,91.380859375
2015-08-12,92.55656433105469
2015-08-13,92.4129638671875
2015-08-14,93.0142593383789
2015-08-17,93.46299743652344
2015-08-18,93.61555480957031
2015-08-19,93.8130111694336
2015-08-20,92.00911712646484
2015-08-21,89.18205261230469
2015-08-24,85.80754089355469
2015-08-25,85.6998519897461
2015-08-26,88.67943572998047
2015-08-27,90.71673583984375
2015-08-28,89.46925354003906
2015-08-31,88.53587341308594
2015-09-01,85.67293548583984
2015-09-02,86.96529388427734
2015-09-03,86.7678451538086
2015-09-04,85.5652084350586
2015-09-08,88.46405792236328
2015-09-09,87.3152847290039
2015-09-10,88.22174072265625
2015-09-11,89.43336486816406
2015-09-14,88.63459014892578
2015-09-15,89.61283111572266
2015-09-16,90.28592681884766
2015-09-17,90.25006866455078
2015-09-18,89.04743194580078
2015-09-21,89.39743041992188
2015-09-22,88.45508575439453
2015-09-23,88.48204040527344
2015-09-24,88.14994812011719
2015-09-25,86.96529388427734
2015-09-28,83.22293090820312
2015-09-29,83.97052764892578
2015-09-30,84.75410461425781
2015-10-01,85.48368072509766
2015-10-02,86.87973022460938
2015-10-05,87.26699829101562
2015-10-06,85.49266052246094
2015-10-07,86.46537017822266
2015-10-08,87.68132781982422
2015-10-09,88.0416030883789
2015-10-12,88.72611999511719
2015-10-13,87.8794937133789
2015-10-14,87.27601623535156
2015-10-15,88.88824462890625
2015-10-16,90.09515380859375
2015-10-19,90.48246002197266
2015-10-20,89.35658264160156
2015-10-21,89.87899017333984
2015-10-22,88.74412536621094
2015-10-23,85.06033325195312
2015-10-26,84.57395935058594
