,CL
2014-01-02,49.85354232788086
2014-01-03,49.7605094909668
2014-01-06,49.729488372802734
2014-01-07,49.7760009765625
2014-01-08,49.264278411865234
2014-01-09,50.411766052246094
2014-01-10,50.458290100097656
2014-01-13,50.155921936035156
2014-01-14,50.27996063232422
2014-01-15,50.22569274902344
2014-01-16,50.38076400756836
2014-01-17,50.163665771484375
2014-01-21,50.19466781616211
2014-01-22,49.89070510864258
2014-01-23,49.44643020629883
2014-01-24,48.62804412841797
2014-01-27,48.40980529785156
2014-01-28,49.00216293334961
2014-01-29,48.004512786865234
2014-01-30,47.92656707763672
2014-01-31,47.72391891479492
2014-02-03,46.897735595703125
2014-02-04,47.03802490234375
2014-02-05,47.09258270263672
2014-02-06,47.23286819458008
2014-02-07,47.43552780151367
2014-02-10,47.949951171875
2014-02-11,48.6358528137207
2014-02-12,48.2617073059082
2014-02-13,48.56568908691406
2014-02-14,48.85407257080078
2014-02-18,48.62804412841797
2014-02-19,47.95774459838867
2014-02-20,48.2149543762207
2014-02-21,47.98112487792969
2014-02-24,48.28510284423828
2014-02-25,48.378623962402344
2014-02-26,48.28510284423828
2014-02-27,48.417598724365234
2014-02-28,48.970977783203125
2014-03-03,48.495540618896484
2014-03-04,49.111270904541016
2014-03-05,48.807308197021484
2014-03-06,49.11907196044922
2014-03-07,49.20480728149414
2014-03-10,49.142459869384766
2014-03-11,49.32951736450195
2014-03-12,49.274959564208984
2014-03-13,49.28276443481445
2014-03-14,49.750396728515625
2014-03-17,50.19467544555664
2014-03-18,50.14790725708008
2014-03-19,49.40745162963867
2014-03-20,49.56334686279297
2014-03-21,49.46201705932617
2014-03-24,49.34511184692383
2014-03-25,49.70363998413086
2014-03-26,50.09335708618164
2014-03-27,49.92967224121094
2014-03-28,49.96084213256836
2014-03-31,50.560997009277344
2014-04-01,50.054386138916016
2014-04-02,50.11674118041992
2014-04-03,50.10114669799805
2014-04-04,50.054386138916016
2014-04-07,50.59998321533203
2014-04-08,51.153358459472656
2014-04-09,51.23131561279297
2014-04-10,51.39500045776367
2014-04-11,50.90395736694336
2014-04-14,51.3326301574707
2014-04-15,51.73014831542969
2014-04-16,52.36146926879883
2014-04-17,52.455501556396484
2014-04-21,52.37712478637695
2014-04-22,52.000999450683594
2014-04-23,51.61702346801758
2014-04-24,52.05585479736328
2014-04-25,51.906982421875
2014-04-28,53.17645263671875
2014-04-29,52.53385925292969
2014-04-30,52.73760986328125
2014-05-01,52.5103645324707
2014-05-02,52.58088684082031
2014-05-05,52.424171447753906
2014-05-06,52.275264739990234
2014-05-07,52.68275833129883
2014-05-08,52.58088684082031
2014-05-09,53.01187515258789
2014-05-12,52.651397705078125
2014-05-13,52.706268310546875
2014-05-14,52.47117233276367
2014-05-15,52.040184020996094
2014-05-16,52.43983840942383
2014-05-19,52.29093551635742
2014-05-20,52.157711029052734
2014-05-21,52.353633880615234
2014-05-22,52.19691467285156
2014-05-23,52.29093551635742
2014-05-27,52.275264739990234
2014-05-28,51.812923431396484
2014-05-29,52.43983840942383
2014-05-30,53.599586486816406
2014-06-02,53.450706481933594
2014-06-03,52.690582275390625
2014-06-04,53.05887985229492
2014-06-05,53.25477981567383
2014-06-06,53.30181121826172
2014-06-09,53.63093185424805
2014-06-10,53.82683181762695
2014-06-11,53.771976470947266
2014-06-12,53.160743713378906
2014-06-13,53.17645263671875
2014-06-16,53.35665512084961
2014-06-17,53.1999397277832
2014-06-18,53.85817337036133
2014-06-19,54.40671920776367
2014-06-20,53.58391571044922
2014-06-23,53.152915954589844
2014-06-24,53.246952056884766
2014-06-25,53.246952056884766
2014-06-26,53.20777893066406
2014-06-27,53.623111724853516
2014-06-30,53.427188873291016
2014-07-01,53.662288665771484
2014-07-02,53.654441833496094
2014-07-03,53.92870330810547
2014-07-07,53.9600715637207
2014-07-08,54.4615592956543
2014-07-09,54.5791015625
2014-07-10,54.39888000488281
2014-07-11,54.477237701416016
2014-07-14,54.68880844116211
2014-07-15,54.586936950683594
2014-07-16,54.70510482788086
2014-07-17,54.035560607910156
2014-07-18,54.27188491821289
2014-07-21,54.161590576171875
2014-07-22,54.02769088745117
2014-07-23,53.69686508178711
2014-07-24,53.64960861206055
2014-07-25,53.239990234375
2014-07-28,53.03519821166992
2014-07-29,52.27113342285156
2014-07-30,52.07422637939453
2014-07-31,49.9395751953125
2014-08-01,50.372798919677734
2014-08-04,50.2231330871582
2014-08-05,50.23101043701172
2014-08-06,51.04234313964844
2014-08-07,50.766639709472656
2014-08-08,51.3416633605957
2014-08-11,51.24714279174805
2014-08-12,50.743019104003906
2014-08-13,50.71149444580078
2014-08-14,50.577598571777344
2014-08-15,50.51458740234375
2014-08-18,50.90056610107422
2014-08-19,50.61699295043945
2014-08-20,50.9399528503418
2014-08-21,51.05021286010742
2014-08-22,50.861167907714844
2014-08-25,51.09748458862305
2014-08-26,51.03447341918945
2014-08-27,51.06596374511719
2014-08-28,50.81391906738281
2014-08-29,50.987205505371094
2014-09-02,50.743019104003906
2014-09-03,50.743019104003906
2014-09-04,50.65635299682617
2014-09-05,51.089599609375
2014-09-08,50.12861633300781
2014-09-09,49.963199615478516
2014-09-10,50.41219711303711
2014-09-11,50.743019104003906
2014-09-12,50.790283203125
2014-09-15,50.81391906738281
2014-09-16,51.310157775878906
2014-09-17,51.38893508911133
2014-09-18,51.444068908691406
2014-09-19,51.42042541503906
2014-09-22,51.74340057373047
2014-09-23,51.51496887207031
2014-09-24,52.16874313354492
2014-09-25,51.577972412109375
2014-09-26,51.75126266479492
2014-09-29,51.69610595703125
2014-09-30,51.37317657470703
2014-10-01,51.11323547363281
2014-10-02,51.026588439941406
2014-10-03,51.56220626831055
2014-10-06,51.41255569458008
2014-10-07,51.1211051940918
2014-10-08,51.84578323364258
2014-10-09,51.35740661621094
2014-10-10,51.42829895019531
2014-10-13,50.56186294555664
2014-10-14,50.73514175415039
2014-10-15,50.3232307434082
2014-10-16,49.990543365478516
2014-10-17,50.481658935546875
2014-10-20,51.123287200927734
2014-10-21,51.820335388183594
2014-10-22,51.74114227294922
2014-10-23,51.527259826660156
2014-10-24,51.764892578125
2014-10-27,52.36691665649414
2014-10-28,52.113433837890625
2014-10-29,52.16094207763672
2014-10-30,52.604549407958984
2014-10-31,52.97683334350586
2014-11-03,53.396663665771484
2014-11-04,53.90360641479492
2014-11-05,53.98283767700195
2014-11-06,53.95115280151367
2014-11-07,53.90360641479492
2014-11-10,54.29966735839844
2014-11-11,54.236289978027344
2014-11-12,54.41849136352539
2014-11-13,54.09372329711914
2014-11-14,53.51547622680664
2014-11-17,53.800636291503906
2014-11-18,53.840232849121094
2014-11-19,54.09372329711914
2014-11-20,53.911521911621094
2014-11-21,54.133331298828125
2014-11-24,53.82440948486328
2014-11-25,54.125404357910156
2014-11-26,54.41056823730469
2014-11-28,55.12346649169922
2014-12-01,54.97296905517578
2014-12-02,55.33735275268555
2014-12-03,54.70365524291992
2014-12-04,55.01258087158203
2014-12-05,54.94919204711914
2014-12-08,55.004669189453125
2014-12-09,54.91751480102539
2014-12-10,54.55315399169922
2014-12-11,54.877906799316406
2014-12-12,54.31549835205078
2014-12-15,53.82440948486328
2014-12-16,53.47586441040039
2014-12-17,54.38682174682617
2014-12-18,55.03636169433594
2014-12-19,55.432403564453125
2014-12-22,55.65420913696289
2014-12-23,56.24034881591797
2014-12-24,55.82053756713867
2014-12-26,56.14530563354492
2014-12-29,55.82845687866211
