,GPC
2014-01-02,60.098182678222656
2014-01-03,60.39162063598633
2014-01-06,60.186214447021484
2014-01-07,60.98588562011719
2014-01-08,60.824493408203125
2014-01-09,60.76579666137695
2014-01-10,61.22062683105469
2014-01-13,59.88545608520508
2014-01-14,60.69976043701172
2014-01-15,61.308658599853516
2014-01-16,62.06429672241211
2014-01-17,61.72682571411133
2014-01-21,61.80018615722656
2014-01-22,62.174346923828125
2014-01-23,61.66081237792969
2014-01-24,60.40630340576172
2014-01-27,60.824493408203125
2014-01-28,61.044559478759766
2014-01-29,59.657997131347656
2014-01-30,60.21556854248047
2014-01-31,60.34028625488281
2014-02-03,57.03900146484375
2014-02-04,57.22239303588867
2014-02-05,57.27375030517578
2014-02-06,59.12980651855469
2014-02-07,59.856101989746094
2014-02-10,60.068843841552734
2014-02-11,60.78047180175781
2014-02-12,61.492088317871094
2014-02-13,62.0936393737793
2014-02-14,63.054691314697266
2014-02-18,64.12577819824219
2014-02-19,63.4288330078125
2014-02-20,63.861663818359375
2014-02-21,64.00841522216797
2014-02-24,63.91305160522461
2014-02-25,63.61223220825195
2014-02-26,63.93503189086914
2014-02-27,63.670894622802734
2014-02-28,64.62464141845703
2014-03-03,63.81031036376953
2014-03-04,64.50724792480469
2014-03-05,64.68817901611328
2014-03-06,64.31156158447266
2014-03-07,64.59957122802734
2014-03-10,63.912776947021484
2014-03-11,63.83156967163086
2014-03-12,64.0826644897461
2014-03-13,63.16696548461914
2014-03-14,63.08574295043945
2014-03-17,63.33679962158203
2014-03-18,63.39589309692383
2014-03-19,62.694366455078125
2014-03-20,62.82728958129883
2014-03-21,62.53927993774414
2014-03-24,62.17743682861328
2014-03-25,62.36943435668945
2014-03-26,62.20696258544922
2014-03-27,62.00020980834961
2014-03-28,62.93804931640625
2014-03-31,64.13433074951172
2014-04-01,64.09742736816406
2014-04-02,64.2450942993164
2014-04-03,64.69558715820312
2014-04-04,63.728206634521484
2014-04-07,62.531917572021484
2014-04-08,63.639564514160156
2014-04-09,64.2894287109375
2014-04-10,63.10789108276367
2014-04-11,62.4359016418457
2014-04-14,62.679595947265625
2014-04-15,62.915889739990234
2014-04-16,64.54785919189453
2014-04-17,64.48139953613281
2014-04-21,64.9466323852539
2014-04-22,63.646968841552734
2014-04-23,63.97923278808594
2014-04-24,63.67648696899414
2014-04-25,63.23344039916992
2014-04-28,63.905426025390625
2014-04-29,63.610023498535156
2014-04-30,64.33372497558594
2014-05-01,63.38850784301758
2014-05-02,63.189125061035156
2014-05-05,62.568824768066406
2014-05-06,62.229122161865234
2014-05-07,62.59097671508789
2014-05-08,62.768211364746094
2014-05-09,62.87158203125
2014-05-12,63.617408752441406
2014-05-13,63.38850784301758
2014-05-14,62.98975372314453
2014-05-15,62.42851257324219
2014-05-16,62.99710464477539
2014-05-19,62.694366455078125
2014-05-20,61.83036422729492
2014-05-21,62.605735778808594
2014-05-22,62.79774856567383
2014-05-23,63.05620574951172
2014-05-27,63.36634063720703
2014-05-28,63.62479019165039
2014-05-29,63.32944107055664
2014-05-30,63.750343322753906
2014-06-02,64.0826644897461
2014-06-03,63.21867752075195
2014-06-04,63.564361572265625
2014-06-05,63.91378402709961
2014-06-06,64.49365997314453
2014-06-09,64.53826904296875
2014-06-10,64.06246185302734
2014-06-11,63.60894775390625
2014-06-12,63.25953674316406
2014-06-13,63.26699447631836
2014-06-16,63.53462219238281
2014-06-17,63.94353103637695
2014-06-18,64.57543182373047
2014-06-19,64.4267349243164
2014-06-20,65.02892303466797
2014-06-23,64.63491821289062
2014-06-24,64.21859741210938
2014-06-25,64.33010864257812
2014-06-26,64.27806854248047
2014-06-27,64.9620132446289
2014-06-30,65.27428436279297
2014-07-01,65.3560791015625
2014-07-02,65.12559509277344
2014-07-03,66.20359802246094
2014-07-07,65.83184814453125
2014-07-08,65.3337173461914
2014-07-09,65.86161041259766
2014-07-10,64.59027862548828
2014-07-11,64.76874542236328
2014-07-14,64.88023376464844
2014-07-15,64.36725616455078
2014-07-16,64.5010986328125
2014-07-17,63.958396911621094
2014-07-18,64.82080078125
2014-07-21,64.9620132446289
2014-07-22,63.86174774169922
2014-07-23,63.423099517822266
2014-07-24,63.53462219238281
2014-07-25,63.423099517822266
2014-07-28,63.06624221801758
2014-07-29,62.62763595581055
2014-07-30,63.13318634033203
2014-07-31,61.57192611694336
2014-08-01,61.41579055786133
2014-08-04,61.78009796142578
2014-08-05,61.609100341796875
2014-08-06,61.69088363647461
2014-08-07,61.222530364990234
2014-08-08,62.62763595581055
2014-08-11,62.5161018371582
2014-08-12,62.3599739074707
2014-08-13,62.56815719604492
2014-08-14,63.60153579711914
2014-08-15,63.281856536865234
2014-08-18,64.04016876220703
2014-08-19,64.3523941040039
2014-08-20,64.76874542236328
2014-08-21,65.19994354248047
2014-08-22,65.31144714355469
2014-08-25,65.63111114501953
2014-08-26,65.28913879394531
2014-08-27,65.27428436279297
2014-08-28,65.01407623291016
2014-08-29,65.22968292236328
2014-09-02,65.41552734375
2014-09-03,65.46418762207031
2014-09-04,65.74852752685547
2014-09-05,66.03289031982422
2014-09-08,65.67371368408203
2014-09-09,65.09749603271484
2014-09-10,65.50909423828125
2014-09-11,65.30699157714844
2014-09-12,66.31727600097656
2014-09-15,66.15262603759766
2014-09-16,66.66149139404297
