,VLO
2014-01-02,32.86381149291992
2014-01-03,32.521141052246094
2014-01-06,32.83747100830078
2014-01-07,33.8852424621582
2014-01-08,34.17520523071289
2014-01-09,34.86056137084961
2014-01-10,35.08462905883789
2014-01-13,33.931396484375
2014-01-14,34.51789093017578
2014-01-15,34.03023147583008
2014-01-16,33.52940368652344
2014-01-17,33.8852424621582
2014-01-21,34.19497299194336
2014-01-22,33.57554244995117
2014-01-23,33.77323532104492
2014-01-24,32.31686019897461
2014-01-27,32.6661262512207
2014-01-28,33.081295013427734
2014-01-29,33.872074127197266
2014-01-30,33.87866973876953
2014-01-31,33.67437744140625
2014-02-03,32.191646575927734
2014-02-04,31.789670944213867
2014-02-05,30.5573673248291
2014-02-06,31.091136932373047
2014-02-07,32.171875
2014-02-10,31.370399475097656
2014-02-11,31.675092697143555
2014-02-12,31.555864334106445
2014-02-13,32.46333694458008
2014-02-14,33.02635955810547
2014-02-18,33.609256744384766
2014-02-19,33.450279235839844
2014-02-20,32.847511291503906
2014-02-21,33.27144241333008
2014-02-24,33.72848129272461
2014-02-25,34.503475189208984
2014-02-26,33.596004486083984
2014-02-27,32.13213348388672
2014-02-28,31.78107452392578
2014-03-03,32.02616882324219
2014-03-04,32.6024284362793
2014-03-05,33.304542541503906
2014-03-06,35.0267448425293
2014-03-07,35.09961700439453
2014-03-10,35.41755676269531
2014-03-11,35.5500373840332
2014-03-12,36.62308883666992
2014-03-13,35.795108795166016
2014-03-14,35.920963287353516
2014-03-17,35.98058319091797
2014-03-18,36.483985900878906
2014-03-19,35.99382400512695
2014-03-20,36.556854248046875
2014-03-21,35.629512786865234
2014-03-24,35.854736328125
2014-03-25,36.013694763183594
2014-03-26,35.72887420654297
2014-03-27,34.55644989013672
2014-03-28,35.013492584228516
2014-03-31,35.17247009277344
2014-04-01,36.768821716308594
2014-04-02,36.331634521484375
2014-04-03,36.954280853271484
2014-04-04,36.02031326293945
2014-04-07,34.38424301147461
2014-04-08,34.2120246887207
2014-04-09,35.073123931884766
2014-04-10,34.397483825683594
2014-04-11,33.754966735839844
2014-04-14,34.476966857910156
2014-04-15,35.48379898071289
2014-04-16,37.05363845825195
2014-04-17,37.09336853027344
2014-04-21,37.239105224609375
2014-04-22,37.45768356323242
2014-04-23,37.398075103759766
2014-04-24,37.45768356323242
2014-04-25,37.537174224853516
2014-04-28,38.39826583862305
2014-04-29,37.649776458740234
2014-04-30,37.86836624145508
2014-05-01,38.226051330566406
2014-05-02,38.3585319519043
2014-05-05,38.590370178222656
2014-05-06,38.75596237182617
2014-05-07,38.298912048339844
2014-05-08,37.62990951538086
2014-05-09,37.04701232910156
2014-05-12,37.27883529663086
2014-05-13,37.338462829589844
2014-05-14,37.437808990478516
2014-05-15,36.98076629638672
2014-05-16,36.49722671508789
2014-05-19,36.776702880859375
2014-05-20,36.5438117980957
2014-05-21,36.08470153808594
2014-05-22,36.377471923828125
2014-05-23,36.29094696044922
2014-05-27,35.75864791870117
2014-05-28,37.056182861328125
2014-05-29,37.68831253051758
2014-05-30,37.295719146728516
2014-06-02,37.601802825927734
2014-06-03,36.86320877075195
2014-06-04,36.29761505126953
2014-06-05,37.02289962768555
2014-06-06,36.74343490600586
2014-06-09,36.490577697753906
2014-06-10,35.46586608886719
2014-06-11,35.39268112182617
2014-06-12,35.805233001708984
2014-06-13,35.75864791870117
2014-06-16,35.49913787841797
2014-06-17,36.00483322143555
2014-06-18,37.02289962768555
2014-06-19,37.98774719238281
2014-06-20,38.16740036010742
