,VZ
2014-01-02,28.368595123291016
2014-01-03,28.032793045043945
2014-01-06,28.189109802246094
2014-01-07,28.542280197143555
2014-01-08,28.384265899658203
2014-01-09,27.799026489257812
2014-01-10,27.94533348083496
2014-01-13,27.523956298828125
2014-01-14,27.553218841552734
2014-01-15,28.249666213989258
2014-01-16,28.401823043823242
2014-01-17,28.296476364135742
2014-01-21,27.91607666015625
2014-01-22,27.699539184570312
2014-01-23,28.009702682495117
2014-01-24,27.875102996826172
2014-01-27,27.91022300720215
2014-01-28,27.717082977294922
2014-01-29,27.91022300720215
2014-01-30,27.875102996826172
2014-01-31,28.10334014892578
2014-02-03,27.16111183166504
2014-02-04,27.401058197021484
2014-02-05,27.324975967407227
2014-02-06,27.319122314453125
2014-02-07,27.39520835876465
2014-02-10,27.4537296295166
2014-02-11,27.629295349121094
2014-02-12,27.722938537597656
2014-02-13,27.687829971313477
2014-02-14,27.219629287719727
2014-02-18,26.90946388244629
2014-02-19,27.231342315673828
2014-02-20,28.161874771118164
2014-02-21,27.664411544799805
2014-02-24,27.055761337280273
2014-02-25,27.09086799621582
2014-02-26,27.125988006591797
2014-02-27,27.799026489257812
2014-02-28,27.845840454101562
2014-03-03,27.687829971313477
2014-03-04,28.033117294311523
2014-03-05,27.728790283203125
2014-03-06,27.77562141418457
2014-03-07,27.59419059753418
2014-03-10,27.523956298828125
2014-03-11,27.33082389831543
2014-03-12,27.13184356689453
2014-03-13,26.93871307373047
2014-03-14,26.96797752380371
2014-03-17,27.10258674621582
2014-03-18,27.33082389831543
2014-03-19,27.13184356689453
2014-03-20,27.629295349121094
2014-03-21,27.4537296295166
2014-03-24,27.512248992919922
2014-03-25,27.635154724121094
2014-03-26,27.512248992919922
2014-03-27,27.91022300720215
2014-03-28,27.75220489501953
2014-03-31,27.83999252319336
2014-04-01,27.94533348083496
2014-04-02,27.986305236816406
2014-04-03,28.161874771118164
2014-04-04,28.11505699157715
2014-04-07,28.161874771118164
2014-04-08,28.528762817382812
2014-04-09,28.392663955688477
2014-04-10,28.090862274169922
2014-04-11,27.85415267944336
2014-04-14,27.972511291503906
2014-04-15,27.765396118164062
2014-04-16,27.871904373168945
2014-04-17,28.167789459228516
2014-04-21,28.392663955688477
2014-04-22,28.357152938842773
2014-04-23,28.06719207763672
2014-04-24,27.38666343688965
2014-04-25,27.18547248840332
2014-04-28,27.576030731201172
2014-04-29,27.676626205444336
2014-04-30,27.652957916259766
2014-05-01,27.94291877746582
2014-05-02,27.883747100830078
2014-05-05,28.04351234436035
