,PLD
2014-01-02,26.747573852539062
2014-01-03,26.986719131469727
2014-01-06,27.102664947509766
2014-01-07,27.341808319091797
2014-01-08,27.305564880371094
2014-01-09,26.95773696899414
2014-01-10,27.24759864807129
2014-01-13,26.631635665893555
2014-01-14,26.97222137451172
2014-01-15,27.18238067626953
2014-01-16,27.022951126098633
2014-01-17,26.798307418823242
2014-01-21,27.059181213378906
2014-01-22,27.35630226135254
2014-01-23,27.117162704467773
2014-01-24,26.624380111694336
2014-01-27,26.457714080810547
2014-01-28,26.97947120666504
2014-01-29,26.820037841796875
2014-01-30,28.124452590942383
2014-01-31,28.08822250366211
2014-02-03,27.66065788269043
2014-02-04,28.080974578857422
2014-02-05,28.34909439086914
2014-02-06,28.682445526123047
2014-02-07,28.936086654663086
2014-02-10,29.233198165893555
2014-02-11,29.43610382080078
2014-02-12,29.501323699951172
2014-02-13,29.58827781677246
2014-02-14,29.472333908081055
2014-02-18,29.566539764404297
2014-02-19,29.508581161499023
2014-02-20,29.269437789916992
2014-02-21,29.42886734008789
2014-02-24,29.48682403564453
2014-02-25,29.64625358581543
2014-02-26,29.725976943969727
2014-02-27,29.639019012451172
2014-02-28,29.84916877746582
2014-03-03,29.660749435424805
2014-03-04,30.41442108154297
2014-03-05,30.262226104736328
2014-03-06,29.94336700439453
2014-03-07,29.61727523803711
2014-03-10,29.4565486907959
2014-03-11,29.551517486572266
2014-03-12,29.68301773071289
2014-03-13,29.48577308654785
2014-03-14,29.361574172973633
2014-03-17,29.588048934936523
2014-03-18,29.83643913269043
2014-03-19,29.237377166748047
2014-03-20,29.405410766601562
2014-03-21,29.6538028717041
2014-03-24,29.303125381469727
2014-03-25,29.566133499145508
2014-03-26,29.157007217407227
2014-03-27,29.31043815612793
2014-03-28,29.61727523803711
2014-03-31,29.82913589477539
2014-04-01,29.865673065185547
2014-04-02,29.814529418945312
2014-04-03,29.865673065185547
2014-04-04,29.9825496673584
2014-04-07,30.019088745117188
2014-04-08,30.070220947265625
2014-04-09,30.179807662963867
2014-04-10,29.551517486572266
2014-04-11,29.25928497314453
2014-04-14,29.295822143554688
2014-04-15,29.741474151611328
2014-04-16,29.88027572631836
2014-04-17,30.165206909179688
2014-04-21,30.238258361816406
2014-04-22,30.12135887145996
2014-04-23,29.909503936767578
2014-04-24,30.12135887145996
2014-04-25,29.75607681274414
2014-04-28,29.909503936767578
2014-04-29,29.872966766357422
2014-04-30,29.68301773071289
2014-05-01,29.909503936767578
2014-05-02,29.799901962280273
2014-05-05,30.092145919799805
2014-05-06,29.68301773071289
2014-05-07,30.114055633544922
2014-05-08,30.2309513092041
2014-05-09,30.09945297241211
2014-05-12,30.252870559692383
2014-05-13,30.216344833374023
2014-05-14,30.150592803955078
2014-05-15,29.94603729248047
2014-05-16,30.282073974609375
2014-05-19,30.040992736816406
2014-05-20,29.821828842163086
2014-05-21,29.66110610961914
2014-05-22,29.588048934936523
2014-05-23,29.967931747436523
2014-05-27,30.289396286010742
2014-05-28,29.9825496673584
2014-05-29,30.20173454284668
2014-05-30,30.325931549072266
2014-06-02,30.325931549072266
2014-06-03,29.98985481262207
2014-06-04,30.2309513092041
