,PLD
2014-06-05,31.071096420288086
2014-06-06,30.822702407836914
2014-06-09,30.506084442138672
2014-06-10,30.292543411254883
2014-06-11,30.329383850097656
2014-06-12,30.160015106201172
2014-06-13,30.12319564819336
2014-06-16,30.12319564819336
2014-06-17,30.211559295654297
2014-06-18,30.469280242919922
2014-06-19,30.69017219543457
2014-06-20,30.39564323425293
2014-06-23,30.34408950805664
2014-06-24,30.4619197845459
2014-06-25,30.6018123626709
2014-06-26,30.263093948364258
2014-06-27,30.322011947631836
2014-06-30,30.25572967529297
2014-07-01,30.28518295288086
2014-07-02,30.314651489257812
2014-07-03,30.115835189819336
2014-07-07,30.28518295288086
2014-07-08,30.277822494506836
2014-07-09,30.226280212402344
2014-07-10,30.358823776245117
2014-07-11,30.403013229370117
2014-07-14,30.6239013671875
2014-07-15,30.528182983398438
2014-07-16,30.712261199951172
2014-07-17,30.520814895629883
2014-07-18,30.712261199951172
2014-07-21,30.59444808959961
2014-07-22,30.91106414794922
2014-07-23,30.940519332885742
2014-07-24,30.830066680908203
2014-07-25,30.653364181518555
2014-07-28,31.04361915588379
2014-07-29,30.749080657958984
2014-07-30,30.506084442138672
2014-07-31,30.049564361572266
2014-08-01,29.858118057250977
2014-08-04,29.961198806762695
2014-08-05,29.570940017700195
2014-08-06,29.416324615478516
2014-08-07,29.357418060302734
2014-08-08,29.607765197753906
2014-08-11,29.703481674194336
2014-08-12,29.659324645996094
2014-08-13,30.101112365722656
2014-08-14,30.064292907714844
2014-08-15,30.042200088500977
2014-08-18,30.39564323425293
2014-08-19,30.38828468322754
2014-08-20,30.4619197845459
2014-08-21,30.292543411254883
2014-08-22,30.12319564819336
2014-08-25,30.064292907714844
2014-08-26,30.042200088500977
2014-08-27,30.00539779663086
2014-08-28,29.998023986816406
2014-08-29,30.145292282104492
2014-09-02,30.12319564819336
2014-09-03,29.98330307006836
2014-09-04,29.887569427490234
2014-09-05,30.380916595458984
2014-09-08,30.520814895629883
2014-09-09,30.447185516357422
2014-09-10,29.931764602661133
2014-09-11,29.755033493041992
2014-09-12,28.753633499145508
2014-09-15,28.59164047241211
2014-09-16,28.709455490112305
2014-09-17,28.79855728149414
2014-09-18,28.44953155517578
2014-09-19,28.702028274536133
2014-09-22,28.352991104125977
2014-09-23,28.189617156982422
2014-09-24,28.24160385131836
2014-09-25,27.810888290405273
2014-09-26,28.2490291595459
2014-09-29,28.352991104125977
2014-09-30,27.996540069580078
2014-10-01,27.892576217651367
2014-10-02,27.885154724121094
2014-10-03,27.944561004638672
2014-10-06,28.01881217956543
2014-10-07,27.699491500854492
2014-10-08,28.301013946533203
2014-10-09,27.944561004638672
2014-10-10,27.684646606445312
2014-10-13,27.602956771850586
2014-10-14,28.427248001098633
2014-10-15,28.367843627929688
2014-10-16,28.531230926513672
2014-10-17,29.02877426147461
2014-10-20,29.39266014099121
2014-10-21,29.860498428344727
2014-10-22,29.71198081970215
2014-10-23,30.038732528686523
2014-10-24,30.246654510498047
2014-10-27,30.2689266204834
2014-10-28,30.491722106933594
2014-10-29,30.439743041992188
2014-10-30,30.484283447265625
2014-10-31,30.929874420166016
2014-11-03,31.063526153564453
2014-11-04,30.840740203857422
2014-11-05,30.929874420166016
2014-11-06,30.877878189086914
2014-11-07,30.751630783081055
2014-11-10,30.952144622802734
2014-11-11,30.929874420166016
2014-11-12,30.447174072265625
2014-11-13,30.52141571044922
2014-11-14,30.276369094848633
2014-11-17,30.454586029052734
2014-11-18,30.729354858398438
2014-11-19,30.328346252441406
2014-11-20,30.4100341796875
2014-11-21,30.625391006469727
2014-11-24,30.811054229736328
2014-11-25,30.892736434936523
2014-11-26,31.189773559570312
2014-11-28,31.397703170776367
2014-12-01,31.41999626159668
2014-12-02,31.67247200012207
2014-12-03,31.71703338623047
2014-12-04,31.59078025817871
2014-12-05,31.62049102783203
2014-12-08,31.78386116027832
2014-12-09,31.89525604248047
2014-12-10,31.69475746154785
2014-12-11,31.85069465637207
2014-12-12,31.368009567260742
2014-12-15,30.903959274291992
2014-12-16,30.963844299316406
2014-12-17,31.719776153564453
2014-12-18,31.914377212524414
2014-12-19,31.809600830078125
2014-12-22,32.46075439453125
2014-12-23,32.543087005615234
2014-12-24,32.266151428222656
2014-12-26,32.52812194824219
2014-12-29,32.5655403137207
2014-12-30,32.66284942626953
2014-12-31,32.20628356933594
2015-01-02,32.50566482543945
2015-01-05,32.483219146728516
2015-01-06,32.595481872558594
2015-01-07,33.08945846557617
2015-01-08,33.09695053100586
2015-01-09,33.044559478759766
2015-01-12,33.3813591003418
2015-01-13,32.715240478515625
2015-01-14,32.722713470458984
2015-01-15,32.760128021240234
2015-01-16,33.044559478759766
2015-01-20,32.81253433227539
2015-01-21,32.95473861694336
2015-01-22,33.77056121826172
2015-01-23,33.91277313232422
2015-01-26,34.316932678222656
2015-01-27,35.27497482299805
2015-01-28,34.743568420410156
2015-01-29,34.60884094238281
2015-01-30,33.78553009033203
2015-02-02,33.79302215576172
2015-02-03,33.84540557861328
2015-02-04,33.807979583740234
2015-02-05,34.27202606201172
2015-02-06,33.41130447387695
2015-02-09,33.44123458862305
2015-02-10,33.5909309387207
2015-02-11,33.23916244506836
2015-02-12,33.508602142333984
2015-02-13,32.79008483886719
2015-02-17,32.715240478515625
2015-02-18,32.902347564697266
2015-02-19,32.0715446472168
2015-02-20,32.19879150390625
2015-02-23,32.52812194824219
2015-02-24,31.95180320739746
2015-02-25,32.108978271484375
2015-02-26,31.7572021484375
2015-02-27,31.966777801513672
2015-03-02,31.959287643432617
2015-03-03,31.921863555908203
2015-03-04,31.719776153564453
2015-03-05,31.929349899291992
2015-03-06,30.986295700073242
2015-03-09,31.031198501586914
2015-03-10,30.799179077148438
2015-03-11,31.22580909729004
2015-03-12,31.854507446289062
2015-03-13,31.77216339111328
2015-03-16,32.308109283447266
2015-03-17,32.29302215576172
2015-03-18,32.83652114868164
2015-03-19,32.97240447998047
2015-03-20,33.50836181640625
2015-03-23,33.76500701904297
2015-03-24,33.500816345214844
2015-03-25,32.9271125793457
2015-03-26,32.51193618774414
2015-03-27,32.489295959472656
2015-03-30,33.18376159667969
2015-03-31,32.881813049316406
2015-04-01,32.75349807739258
2015-04-02,32.90447235107422
2015-04-06,33.493255615234375
2015-04-07,32.723297119140625
2015-04-08,32.83652114868164
2015-04-09,31.98354721069336
2015-04-10,32.074127197265625
2015-04-13,32.02882385253906
2015-04-14,32.33831787109375
2015-04-15,32.2703857421875
2015-04-16,32.43645477294922
2015-04-17,32.36852264404297
2015-04-20,32.496849060058594
2015-04-21,32.27791976928711
2015-04-22,31.975988388061523
2015-04-23,32.12696075439453
2015-04-24,32.12696075439453
2015-04-27,32.043922424316406
2015-04-28,31.87784194946289
2015-04-29,31.0097713470459
2015-04-30,30.34548568725586
2015-05-01,30.51154899597168
2015-05-04,30.47380828857422
2015-05-05,29.824630737304688
2015-05-06,29.900114059448242
2015-05-07,30.368122100830078
2015-05-08,30.760656356811523
2015-05-11,30.52666473388672
2015-05-12,30.458707809448242
2015-05-13,30.126569747924805
2015-05-14,30.39832305908203
2015-05-15,30.74555778503418
2015-05-18,30.632335662841797
2015-05-19,30.60968017578125
2015-05-20,30.760656356811523
2015-05-21,30.44361686706543
2015-05-22,30.40587615966797
2015-05-26,30.156770706176758
2015-05-27,30.47380828857422
2015-05-28,30.390769958496094
2015-05-29,29.885007858276367
2015-06-01,30.28508949279785
2015-06-02,30.322830200195312
2015-06-03,30.156770706176758
2015-06-04,30.23980712890625
2015-06-05,30.179399490356445
2015-06-08,30.04353141784668
2015-06-09,29.761686325073242
2015-06-10,30.005449295043945
2015-06-11,30.20350456237793
2015-06-12,29.929275512695312
2015-06-15,29.73121452331543
2015-06-16,29.860708236694336
2015-06-17,30.01307487487793
2015-06-18,30.27968978881836
2015-06-19,29.9368896484375
2015-06-22,29.87595558166504
2015-06-23,29.556018829345703
2015-06-24,29.41889762878418
2015-06-25,29.030414581298828
2015-06-26,29.129440307617188
2015-06-29,28.30673599243164
2015-06-30,28.26103973388672
2015-07-01,28.79426383972168
2015-07-02,28.893291473388672
2015-07-06,28.862817764282227
2015-07-07,29.479835510253906
2015-07-08,29.106578826904297
2015-07-09,29.137039184570312
2015-07-10,29.380815505981445
2015-07-13,29.594099044799805
2015-07-14,29.624570846557617
2015-07-15,29.708370208740234
2015-07-16,30.0892333984375
2015-07-17,30.0892333984375
2015-07-20,30.20350456237793
2015-07-21,30.706268310546875
2015-07-22,30.576766967773438
2015-07-23,30.4091796875
2015-07-24,30.363475799560547
2015-07-27,30.432035446166992
2015-07-28,30.744356155395508
2015-07-29,30.9576416015625
2015-07-30,30.622474670410156
2015-07-31,30.934785842895508
2015-08-03,30.9576416015625
2015-08-04,30.812902450561523
2015-08-05,30.83576774597168
2015-08-06,30.995729446411133
2015-08-07,31.049062728881836
2015-08-10,31.026195526123047
2015-08-11,31.3385066986084
2015-08-12,31.368988037109375
2015-08-13,31.422313690185547
2015-08-14,31.49847984313965
2015-08-17,31.94791603088379
2015-08-18,32.18406677246094
2015-08-19,32.077415466308594
2015-08-20,31.696548461914062
2015-08-21,30.972871780395508
2015-08-24,29.007553100585938
2015-08-25,27.765897750854492
2015-08-26,28.58857536315918
2015-08-27,29.495073318481445
2015-08-28,29.624570846557617
2015-08-31,28.946619033813477
2015-09-01,28.139162063598633
2015-09-02,28.520030975341797
2015-09-03,28.801876068115234
2015-09-04,27.941102981567383
2015-09-08,28.390531539916992
2015-09-09,27.80397605895996
2015-09-10,27.994417190551758
2015-09-11,28.360065460205078
2015-09-14,28.337209701538086
2015-09-15,28.748559951782227
2015-09-16,29.033424377441406
2015-09-17,29.40298080444336
2015-09-18,29.3721866607666
2015-09-21,29.764848709106445
2015-09-22,29.36448860168457
2015-09-23,29.595458984375
2015-09-24,29.264400482177734
2015-09-25,29.764848709106445
2015-09-28,29.272092819213867
2015-09-29,29.826435089111328
2015-09-30,29.949626922607422
2015-10-01,30.242185592651367
2015-10-02,30.696447372436523
2015-10-05,31.2122859954834
2015-10-06,31.2122859954834
2015-10-07,31.37396240234375
2015-10-08,31.74350929260254
2015-10-09,31.882104873657227
2015-10-12,32.26705551147461
2015-10-13,31.797422409057617
2015-10-14,31.52794647216797
2015-10-15,31.951400756835938
2015-10-16,32.08998107910156
2015-10-19,32.56732940673828
2015-10-20,32.92148208618164
2015-10-21,32.944580078125
2015-10-22,33.267948150634766
2015-10-23,33.12936782836914
2015-10-26,33.28334426879883
2015-10-27,33.19865036010742
2015-10-28,33.375728607177734
2015-10-29,33.22944641113281
2015-10-30,32.89839172363281
2015-11-02,33.62980270385742
2015-11-03,33.29874038696289
2015-11-04,33.237152099609375
2015-11-05,33.22175216674805
2015-11-06,32.23625946044922
2015-11-09,31.458654403686523
2015-11-10,31.674219131469727
2015-11-11,31.828208923339844
2015-11-12,31.612632751464844
2015-11-13,31.54334259033203
2015-11-16,32.18236541748047
2015-11-17,32.02839279174805
2015-11-18,32.54423522949219
2015-11-19,32.55964660644531
2015-11-20,33.183258056640625
2015-11-23,33.2756462097168
2015-11-24,33.368038177490234
2015-11-25,33.29104995727539
2015-11-27,33.56821823120117
2015-11-30,32.91379928588867
2015-12-01,33.62211608886719
2015-12-02,32.605831146240234
2015-12-03,31.935998916625977
2015-12-04,32.87528991699219
2015-12-07,32.844486236572266
2015-12-08,32.675106048583984
2015-12-09,32.43644332885742
2015-12-10,32.32866668701172
2015-12-11,32.18873596191406
2015-12-14,32.09545135498047
2015-12-15,32.30532455444336
2015-12-16,32.896095275878906
2015-12-17,32.64735412597656
2015-12-18,32.40637969970703
2015-12-21,32.56962966918945
2015-12-22,32.7017707824707
2015-12-23,32.95051193237305
2015-12-24,33.00492477416992
2015-12-28,33.354713439941406
2015-12-29,33.86774826049805
2015-12-30,33.61123275756836
2015-12-31,33.36247253417969
2016-01-04,32.56962966918945
2016-01-05,33.253662109375
2016-01-06,33.07487487792969
2016-01-07,32.21205139160156
2016-01-08,31.92444610595703
2016-01-11,31.885581970214844
2016-01-12,31.629066467285156
2016-01-13,31.481372833251953
2016-01-14,30.820655822753906
2016-01-15,30.167715072631836
2016-01-19,30.346492767333984
2016-01-20,29.079469680786133
2016-01-21,29.32819938659668
2016-01-22,29.99669647216797
2016-01-25,29.709089279174805
2016-01-26,30.976119995117188
2016-01-27,30.680747985839844
2016-01-28,30.222126007080078
2016-01-29,30.680747985839844
2016-02-01,30.680747985839844
2016-02-02,30.52527618408203
2016-02-03,30.719602584838867
2016-02-04,30.76624298095703
2016-02-05,30.501949310302734
2016-02-08,29.266023635864258
2016-02-09,29.071699142456055
2016-02-10,28.99396324157715
2016-02-11,27.649202346801758
2016-02-12,28.03786277770996
2016-02-16,28.885128021240234
2016-02-17,29.11834144592285
2016-02-18,29.281566619873047
2016-02-19,29.01727294921875
2016-02-22,29.312658309936523
2016-02-23,29.46811866760254
2016-02-24,29.67023277282715
2016-02-25,30.36981773376465
2016-02-26,30.012245178222656
2016-02-29,29.89564323425293
2016-03-01,31.310361862182617
2016-03-02,31.458053588867188
2016-03-03,31.885581970214844
2016-03-04,32.25092315673828
2016-03-07,32.33642578125
2016-03-08,32.13432312011719
2016-03-09,32.42970657348633
2016-03-10,32.180965423583984
2016-03-11,33.028255462646484
2016-03-14,32.95051193237305
2016-03-15,32.91941452026367
2016-03-16,33.233463287353516
2016-03-17,33.735923767089844
2016-03-18,33.56320571899414
2016-03-21,33.453285217285156
2016-03-22,33.41401672363281
2016-03-23,33.11568832397461
2016-03-24,33.22560501098633
2016-03-28,33.72022247314453
2016-03-29,34.418975830078125
2016-03-30,34.285499572753906
2016-03-31,34.685909271240234
2016-04-01,35.03135299682617
2016-04-04,34.85077667236328
2016-04-05,34.638797760009766
2016-04-06,34.58383560180664
2016-04-07,34.269798278808594
2016-04-08,34.638797760009766
2016-04-11,34.52102279663086
2016-04-12,34.52102279663086
2016-04-13,34.960693359375
2016-04-14,34.85863494873047
2016-04-15,35.196231842041016
2016-04-18,35.423892974853516
2016-04-19,35.942054748535156
2016-04-20,35.35322570800781
2016-04-21,34.73301315307617
2016-04-22,35.251163482666016
2016-04-25,35.94990921020508
2016-04-26,35.957759857177734
2016-04-27,36.11478805541992
2016-04-28,35.84000778198242
2016-04-29,35.65156555175781
2016-05-02,36.12263107299805
2016-05-03,35.84000778198242
2016-05-04,36.020572662353516
2016-05-05,36.2011604309082
2016-05-06,36.58586502075195
2016-05-09,37.1275634765625
2016-05-10,37.48872756958008
2016-05-11,36.86848831176758
2016-05-12,37.25319290161133
2016-05-13,37.24534225463867
2016-05-16,37.75566482543945
2016-05-17,37.29244613647461
2016-05-18,36.78997802734375
2016-05-19,36.523048400878906
2016-05-20,36.77427673339844
2016-05-23,36.53874206542969
2016-05-24,37.10402297973633
2016-05-25,36.97054672241211
2016-05-26,36.98626708984375
2016-05-27,37.355262756347656
2016-05-31,37.31599044799805
2016-06-01,37.520137786865234
2016-06-02,37.69285583496094
2016-06-03,38.046146392822266
2016-06-06,37.93622970581055
2016-06-07,38.47794723510742
2016-06-08,38.752742767333984
2016-06-09,39.48915100097656
2016-06-10,39.52874755859375
2016-06-13,39.57625961303711
2016-06-14,39.077388763427734
2016-06-15,39.49706268310547
2016-06-16,39.85340118408203
2016-06-17,39.481224060058594
2016-06-20,39.5049934387207
2016-06-21,39.56834030151367
2016-06-22,39.61585998535156
2016-06-23,39.663360595703125
2016-06-24,38.119258880615234
2016-06-27,37.15322494506836
2016-06-28,37.97673034667969
2016-06-29,38.88734817504883
2016-06-30,38.831932067871094
2016-07-01,38.59437942504883
2016-07-05,39.22784423828125
2016-07-06,39.09322738647461
2016-07-07,38.60230255126953
2016-07-08,39.23575973510742
2016-07-11,39.520835876464844
2016-07-12,39.663360595703125
2016-07-13,40.106788635253906
2016-07-14,40.352256774902344
2016-07-15,40.64524841308594
2016-07-18,40.8748779296875
2016-07-19,40.94614028930664
2016-07-20,40.859031677246094
2016-07-21,41.00157928466797
2016-07-22,41.62712478637695
2016-07-25,41.95969772338867
2016-07-26,42.12599563598633
2016-07-27,41.58754348754883
2016-07-28,42.46647644042969
2016-07-29,43.147464752197266
2016-08-01,43.24248504638672
2016-08-02,42.91783142089844
2016-08-03,42.806976318359375
2016-08-04,42.759464263916016
2016-08-05,42.85447311401367
2016-08-08,42.56150817871094
2016-08-09,42.94950485229492
2016-08-10,43.076194763183594
2016-08-11,42.78321838378906
2016-08-12,43.03660202026367
2016-08-15,42.89407730102539
2016-08-16,42.66443634033203
2016-08-17,42.43480682373047
2016-08-18,42.30018997192383
2016-08-19,42.22100830078125
2016-08-22,42.44271469116211
2016-08-23,42.6169319152832
2016-08-24,42.118072509765625
2016-08-25,42.213096618652344
2016-08-26,41.61922073364258
2016-08-29,42.09430694580078
2016-08-30,42.07847595214844
2016-08-31,42.05472183227539
2016-09-01,41.98345184326172
2016-09-02,42.743629455566406
2016-09-06,42.862388610839844
2016-09-07,43.20289993286133
2016-09-08,42.79114532470703
2016-09-09,40.771942138671875
2016-09-12,41.55586624145508
2016-09-13,40.50270080566406
2016-09-14,40.77985382080078
2016-09-15,40.923561096191406
2016-09-16,41.091217041015625
2016-09-19,41.84963607788086
2016-09-20,41.729888916015625
2016-09-21,42.54423141479492
2016-09-22,43.42240524291992
2016-09-23,43.510223388671875
2016-09-26,43.38248062133789
2016-09-27,43.02322769165039
2016-09-28,43.518211364746094
2016-09-29,42.943389892578125
2016-09-30,42.743804931640625
2016-10-03,42.017311096191406
2016-10-04,40.85170364379883
2016-10-05,40.30881881713867
2016-10-06,40.08528518676758
2016-10-07,39.75797653198242
2016-10-10,39.99747085571289
2016-10-11,39.69411087036133
2016-10-12,40.061344146728516
2016-10-13,40.88364028930664
2016-10-14,40.612205505371094
2016-10-17,40.875648498535156
2016-10-18,41.57022476196289
2016-10-19,41.76183319091797
2016-10-20,42.0811653137207
2016-10-21,41.83367919921875
2016-10-24,42.161006927490234
2016-10-25,42.025291442871094
2016-10-26,41.578216552734375
2016-10-27,40.71600341796875
2016-10-28,40.77186965942383
2016-10-31,41.64207077026367
2016-11-01,40.54035568237305
2016-11-02,39.7978630065918
2016-11-03,39.34281921386719
2016-11-04,39.39073181152344
2016-11-07,40.57228469848633
2016-11-08,40.75589370727539
2016-11-09,38.783973693847656
2016-11-10,37.53055191040039
2016-11-11,37.027591705322266
2016-11-14,38.17722702026367
2016-11-15,38.35287094116211
2016-11-16,38.43268966674805
2016-11-17,38.33689880371094
2016-11-18,39.095333099365234
2016-11-21,39.04743576049805
2016-11-22,39.710052490234375
2016-11-23,39.68610763549805
2016-11-25,39.67813491821289
2016-11-28,40.404632568359375
2016-11-29,41.067264556884766
2016-11-30,40.63614273071289
2016-12-01,39.87771224975586
2016-12-02,39.87771224975586
2016-12-05,40.396644592285156
2016-12-06,40.47648239135742
2016-12-07,41.92949295043945
2016-12-08,41.89755630493164
2016-12-09,41.82569885253906
2016-12-12,42.272769927978516
2016-12-13,42.47237014770508
2016-12-14,41.32273483276367
2016-12-15,41.306640625
2016-12-16,42.240291595458984
2016-12-19,42.248348236083984
2016-12-20,42.21615219116211
2016-12-21,41.77347946166992
2016-12-22,41.77347946166992
2016-12-23,41.652740478515625
2016-12-27,41.88615417480469
2016-12-28,41.491756439208984
2016-12-29,42.0712776184082
2016-12-30,42.48982620239258
2017-01-03,42.497867584228516
2017-01-04,43.25446319580078
2017-01-05,43.27055358886719
2017-01-06,43.55226135253906
2017-01-09,43.222267150878906
2017-01-10,42.232261657714844
2017-01-11,42.05518341064453
2017-01-12,42.40932846069336
2017-01-13,42.095420837402344
2017-01-17,42.28054428100586
2017-01-18,42.538108825683594
2017-01-19,42.465675354003906
2017-01-20,42.312740325927734
2017-01-23,42.522010803222656
2017-01-24,41.717124938964844
2017-01-25,41.684940338134766
2017-01-26,41.00077819824219
2017-01-27,39.640533447265625
2017-01-30,39.23004150390625
2017-01-31,39.318572998046875
2017-02-01,38.98856735229492
2017-02-02,39.487606048583984
2017-02-03,40.41322326660156
2017-02-06,39.75321960449219
2017-02-07,39.22198486328125
2017-02-08,39.73711395263672
2017-02-09,39.77735900878906
2017-02-10,40.332725524902344
2017-02-13,40.22004318237305
2017-02-14,40.17980194091797
2017-02-15,39.769309997558594
2017-02-16,40.340782165527344
2017-02-17,40.397117614746094
2017-02-21,40.84785461425781
2017-02-22,40.51784896850586
2017-02-23,40.694915771484375
2017-02-24,41.113468170166016
2017-02-27,41.54005432128906
2017-02-28,41.08930969238281
2017-03-01,41.04103088378906
2017-03-02,41.08930969238281
2017-03-03,41.1617546081543
2017-03-06,40.71907043457031
2017-03-07,40.68687057495117
2017-03-08,40.1878547668457
2017-03-09,39.68076705932617
2017-03-10,39.76125717163086
2017-03-13,40.02926254272461
2017-03-14,40.08611297607422
2017-03-15,41.17435073852539
2017-03-16,41.17435073852539
2017-03-17,41.40174102783203
2017-03-20,41.832157135009766
2017-03-21,40.93882751464844
2017-03-22,40.85762023925781
2017-03-23,41.304290771484375
2017-03-24,41.442344665527344
2017-03-27,40.50028991699219
2017-03-28,40.8494987487793
2017-03-29,41.125614166259766
2017-03-30,41.56415557861328
2017-03-31,42.13264465332031
2017-04-03,42.425010681152344
2017-04-04,42.63615417480469
2017-04-05,42.77421569824219
2017-04-06,43.09093475341797
2017-04-07,43.51323699951172
2017-04-10,44.016761779785156
2017-04-11,44.32536315917969
2017-04-12,44.60959243774414
2017-04-13,44.31724166870117
2017-04-17,44.877601623535156
2017-04-18,44.309120178222656
2017-04-19,44.09797668457031
2017-04-20,44.28477096557617
2017-04-21,44.13857650756836
2017-04-24,44.130455017089844
2017-04-25,44.552757263183594
2017-04-26,44.219783782958984
2017-04-27,44.585243225097656
2017-04-28,44.18730163574219
2017-05-01,44.47154998779297
2017-05-02,44.34160232543945
2017-05-03,43.708152770996094
2017-05-04,43.943668365478516
2017-05-05,44.390342712402344
2017-05-08,44.504024505615234
2017-05-09,44.016761779785156
2017-05-10,44.365962982177734
2017-05-11,44.35784149169922
2017-05-12,44.13857650756836
2017-05-15,44.66645812988281
2017-05-16,44.52838897705078
2017-05-17,44.934452056884766
2017-05-18,44.47966003417969
2017-05-19,44.861366271972656
2017-05-22,44.99940872192383
2017-05-23,45.226802825927734
2017-05-24,45.37298583984375
2017-05-25,45.3973503112793
2017-05-26,45.308021545410156
2017-05-30,45.34051513671875
2017-05-31,45.1049919128418
2017-06-01,45.40547561645508
2017-06-02,46.19322967529297
2017-06-05,45.81153869628906
2017-06-06,45.868370056152344
2017-06-07,46.09578323364258
2017-06-08,45.85213851928711
2017-06-09,46.396263122558594
2017-06-12,46.92006301879883
2017-06-13,46.80546951293945
2017-06-14,47.32927322387695
2017-06-15,47.88578414916992
2017-06-16,47.574790954589844
2017-06-19,47.95126724243164
2017-06-20,47.19831848144531
2017-06-21,47.50931167602539
2017-06-22,47.17375946044922
2017-06-23,47.89397430419922
2017-06-26,48.33592987060547
2017-06-27,48.05765914916992
2017-06-28,48.442317962646484
2017-06-29,48.03309631347656
2017-06-30,47.9921875
2017-07-03,48.442317962646484
2017-07-05,47.90216064453125
2017-07-06,46.879127502441406
2017-07-07,47.2637939453125
2017-07-10,46.879127502441406
2017-07-11,46.60086441040039
2017-07-12,47.29653549194336
2017-07-13,47.10009765625
2017-07-14,47.533870697021484
2017-07-17,47.89397430419922
2017-07-18,49.20343780517578
2017-07-19,49.20343780517578
2017-07-20,48.42594909667969
2017-07-21,48.27862548828125
2017-07-24,49.350765228271484
2017-07-25,49.32621383666992
2017-07-26,50.03824234008789
2017-07-27,50.054603576660156
2017-07-28,50.37378692626953
2017-07-31,49.76815414428711
2017-08-01,50.20191192626953
2017-08-02,50.087337493896484
2017-08-03,50.0218620300293
2017-08-04,50.21827697753906
2017-08-07,49.63720703125
2017-08-08,49.743595123291016
2017-08-09,49.71086883544922
2017-08-10,49.05612564086914
2017-08-11,48.86789321899414
2017-08-14,50.193729400634766
2017-08-15,50.65205001831055
2017-08-16,50.946685791015625
2017-08-17,50.169166564941406
2017-08-18,50.11188888549805
2017-08-21,50.81573486328125
2017-08-22,50.49655532836914
2017-08-23,51.40499496459961
2017-08-24,50.96304702758789
2017-08-25,51.216758728027344
2017-08-28,51.093994140625
2017-08-29,50.8893928527832
2017-08-30,51.11854553222656
2017-08-31,51.85512161254883
2017-09-01,52.19887161254883
2017-09-05,51.9778938293457
2017-09-06,51.67507553100586
2017-09-07,52.14156723022461
2017-09-08,52.3543701171875
2017-09-11,53.3037223815918
2017-09-12,52.91907501220703
2017-09-13,52.38710403442383
2017-09-14,53.43467330932617
