,GLW
2014-01-02,13.361438751220703
2014-01-03,13.451664924621582
2014-01-06,13.33135986328125
2014-01-07,13.41407299041748
2014-01-08,13.51933765411377
2014-01-09,13.534379005432129
2014-01-10,13.752429008483887
2014-01-13,13.549415588378906
2014-01-14,13.902815818786621
2014-01-15,13.842660903930664
2014-01-16,13.917854309082031
2014-01-17,14.113349914550781
2014-01-21,14.105826377868652
2014-01-22,14.286280632019043
2014-01-23,14.271246910095215
2014-01-24,13.69227409362793
2014-01-27,13.699792861938477
2014-01-28,12.857659339904785
2014-01-29,12.902774810791016
2014-01-30,13.068191528320312
2014-01-31,12.94036865234375
2014-02-03,12.820062637329102
2014-02-04,12.925326347351074
2014-02-05,13.196013450622559
2014-02-06,13.59453010559082
2014-02-07,13.80506420135498
2014-02-10,13.857696533203125
2014-02-11,14.135906219482422
2014-02-12,14.293806076049805
2014-02-13,14.35395336151123
2014-02-14,14.368997573852539
2014-02-18,14.346439361572266
2014-02-19,14.226130485534668
2014-02-20,14.286280632019043
2014-02-21,14.338920593261719
2014-02-24,14.519377708435059
2014-02-25,14.496824264526367
2014-02-26,14.564844131469727
2014-02-27,14.617754936218262
2014-02-28,14.564844131469727
2014-03-03,14.391009330749512
2014-03-04,14.738690376281738
2014-03-05,14.859623908996582
2014-03-06,14.768919944763184
2014-03-07,14.844498634338379
2014-03-10,14.655546188354492
2014-03-11,14.557289123535156
2014-03-12,14.587520599365234
2014-03-13,14.489261627197266
2014-03-14,14.262511253356934
2014-03-17,14.459029197692871
2014-03-18,14.595077514648438
2014-03-19,14.391009330749512
2014-03-20,14.678221702575684
2014-03-21,14.753804206848145
2014-03-24,14.821825981140137
2014-03-25,15.161948204040527
2014-03-26,15.441614151000977
2014-03-27,15.464279174804688
2014-03-28,15.577655792236328
2014-03-31,15.736382484436035
2014-04-01,15.849754333496094
2014-04-02,16.144533157348633
2014-04-03,16.318363189697266
2014-04-04,16.136974334716797
2014-04-07,15.948009490966797
2014-04-08,15.879992485046387
2014-04-09,15.993363380432129
2014-04-10,15.698593139648438
2014-04-11,15.403816223144531
2014-04-14,15.517193794250488
2014-04-15,15.532302856445312
2014-04-16,15.668351173400879
2014-04-17,15.902660369873047
2014-04-21,15.887544631958008
2014-04-22,16.046268463134766
2014-04-23,15.985808372497559
2014-04-24,16.016040802001953
2014-04-25,15.675917625427246
2014-04-28,15.849754333496094
2014-04-29,15.766620635986328
2014-04-30,15.80440902709961
2014-05-01,15.917781829833984
2014-05-02,15.864871978759766
2014-05-05,15.834646224975586
2014-05-06,15.615448951721191
2014-05-07,15.781731605529785
2014-05-08,15.736382484436035
2014-05-09,15.675917625427246
2014-05-12,16.189882278442383
2014-05-13,16.099184036254883
2014-05-14,16.016040802001953
2014-05-15,15.84220027923584
2014-05-16,15.834646224975586
2014-05-19,15.963134765625
2014-05-20,15.925344467163086
2014-05-21,15.985808372497559
2014-05-22,16.038711547851562
2014-05-23,16.121856689453125
2014-05-27,16.204998016357422
2014-05-28,16.144250869750977
2014-05-29,16.250558853149414
2014-05-30,16.17462158203125
2014-06-02,16.17462158203125
2014-06-03,16.258150100708008
2014-06-04,16.220182418823242
2014-06-05,16.387245178222656
