,CCI
2014-01-02,46.593719482421875
2014-01-03,46.34003829956055
2014-01-06,46.35955047607422
2014-01-07,47.33526611328125
2014-01-08,46.847408294677734
2014-01-09,46.68478012084961
2014-01-10,46.736820220947266
2014-01-13,46.5742073059082
2014-01-14,47.42634201049805
2014-01-15,48.31747817993164
2014-01-16,47.95323181152344
2014-01-17,48.2784538269043
2014-01-21,48.38253402709961
2014-01-22,47.9857292175293
2014-01-23,47.61497116088867
2014-01-24,46.42460632324219
2014-01-27,46.0798454284668
2014-01-28,46.18392562866211
2014-01-29,45.839168548583984
2014-01-30,46.45711135864258
2014-01-31,46.15790557861328
2014-02-03,44.85694885253906
2014-02-04,44.93500518798828
2014-02-05,44.961021423339844
2014-02-06,45.87818145751953
2014-02-07,46.54819107055664
2014-02-10,47.088096618652344
2014-02-11,47.69303894042969
2014-02-12,47.58244323730469
2014-02-13,48.493133544921875
2014-02-14,48.79884719848633
2014-02-18,48.395538330078125
2014-02-19,48.46709060668945
2014-02-20,49.62494659423828
2014-02-21,48.707767486572266
2014-02-24,48.603702545166016
2014-02-25,48.30446243286133
2014-02-26,47.94020080566406
2014-02-27,49.085060119628906
2014-02-28,49.37126922607422
2014-03-03,48.62321472167969
2014-03-04,48.655731201171875
2014-03-05,48.46709060668945
2014-03-06,48.72078323364258
2014-03-07,48.545143127441406
2014-03-10,48.616703033447266
2014-03-11,48.85737228393555
2014-03-12,49.26719665527344
2014-03-13,48.902931213378906
2014-03-14,48.746803283691406
2014-03-17,48.707767486572266
2014-03-18,48.89729690551758
2014-03-19,48.14574432373047
2014-03-20,48.47251892089844
2014-03-21,48.16533660888672
2014-03-24,48.44635772705078
2014-03-25,48.15879440307617
2014-03-26,47.98234558105469
2014-03-27,49.13256072998047
2014-03-28,48.760047912597656
2014-03-31,48.21762466430664
2014-04-01,48.85807800292969
2014-04-02,48.77312088012695
2014-04-03,49.05414581298828
2014-04-04,48.85153579711914
2014-04-07,48.62282180786133
2014-04-08,48.760047912597656
2014-04-09,48.655487060546875
2014-04-10,47.949684143066406
2014-04-11,47.119693756103516
2014-04-14,47.734012603759766
2014-04-15,48.034637451171875
2014-04-16,48.361412048339844
2014-04-17,48.309120178222656
2014-04-21,48.85153579711914
2014-04-22,49.02146911621094
2014-04-23,48.91690444946289
2014-04-24,48.25685119628906
2014-04-25,47.56409454345703
2014-04-28,46.877891540527344
2014-04-29,46.92363739013672
