,KLAC
2014-01-02,40.465721130371094
2014-01-03,40.523193359375
2014-01-06,39.814491271972656
2014-01-07,39.79533386230469
2014-01-08,39.77618408203125
2014-01-09,39.89748764038086
2014-01-10,40.61894226074219
2014-01-13,39.782562255859375
2014-01-14,40.772193908691406
2014-01-15,40.784950256347656
2014-01-16,40.261409759521484
2014-01-17,40.05710220336914
2014-01-21,39.86556625366211
2014-01-22,40.64447784423828
2014-01-23,40.56149673461914
2014-01-24,39.62932586669922
2014-01-27,39.39310073852539
2014-01-28,39.33563995361328
2014-01-29,39.27819061279297
2014-01-30,39.380340576171875
2014-01-31,39.24625015258789
2014-02-03,38.135337829589844
2014-02-04,38.49287033081055
2014-02-05,38.9014892578125
2014-02-06,39.476104736328125
2014-02-07,39.73786926269531
2014-02-10,39.79533386230469
2014-02-11,40.612579345703125
2014-02-12,40.72748565673828
2014-02-13,41.43478775024414
2014-02-14,41.97489929199219
2014-02-18,41.46693801879883
2014-02-19,41.40907287597656
2014-02-20,41.56981658935547
2014-02-21,41.77558898925781
2014-02-24,42.0199089050293
2014-02-25,41.968475341796875
2014-02-26,41.94918441772461
2014-02-27,41.77558898925781
2014-02-28,41.89131164550781
2014-03-03,41.357627868652344
2014-03-04,41.93634033203125
2014-03-05,42.09064865112305
2014-03-06,42.521453857421875
2014-03-07,42.98442840576172
2014-03-10,42.52788543701172
2014-03-11,42.67577362060547
2014-03-12,43.485958099365234
2014-03-13,42.92010498046875
2014-03-14,43.003700256347656
2014-03-17,43.582401275634766
2014-03-18,44.07749938964844
2014-03-19,44.109657287597656
2014-03-20,44.97126770019531
2014-03-21,45.022705078125
2014-03-24,44.73979187011719
2014-03-25,44.8876953125
2014-03-26,44.36043167114258
2014-03-27,44.04536819458008
2014-03-28,44.20610809326172
2014-03-31,44.45687484741211
2014-04-01,45.022705078125
2014-04-02,45.58212661743164
2014-04-03,45.79431915283203
2014-04-04,44.624061584472656
2014-04-07,44.24467086791992
2014-04-08,43.74315643310547
2014-04-09,44.28327178955078
2014-04-10,42.87510299682617
2014-04-11,42.116371154785156
2014-04-14,42.37999725341797
2014-04-15,42.5343132019043
2014-04-16,42.296390533447266
2014-04-17,42.508602142333984
2014-04-21,42.695068359375
2014-04-22,42.92654800415039
2014-04-23,42.900821685791016
2014-04-24,43.55668258666992
2014-04-25,40.450992584228516
2014-04-28,40.7982177734375
2014-04-29,41.32548141479492
2014-04-30,41.14543914794922
2014-05-01,40.457435607910156
2014-05-02,40.637474060058594
2014-05-05,40.32239532470703
2014-05-06,40.05877685546875
2014-05-07,40.44457244873047
2014-05-08,40.24524688720703
2014-05-09,40.57959747314453
2014-05-12,41.229034423828125
2014-05-13,40.57316970825195
2014-05-14,40.5024528503418
2014-05-15,40.39882278442383
2014-05-16,40.89750289916992
2014-05-19,41.234256744384766
2014-05-20,40.942832946777344
2014-05-21,41.16300964355469
2014-05-22,41.21482849121094
2014-05-23,41.56454849243164
2014-05-27,42.25102615356445
2014-05-28,42.367584228515625
2014-05-29,42.51655197143555
2014-05-30,42.43235397338867
2014-06-02,42.47121810913086
2014-06-03,42.64606857299805
2014-06-04,42.90512466430664
2014-06-05,43.03464889526367
2014-06-06,43.37141418457031
2014-06-09,44.05142593383789
2014-06-10,44.109710693359375
2014-06-11,44.116180419921875
2014-06-12,43.94132614135742
2014-06-13,44.40761184692383
2014-06-16,44.491798400878906
2014-06-17,44.776763916015625
2014-06-18,44.71201705932617
2014-06-19,44.63428497314453
2014-06-20,45.33372497558594
2014-06-23,45.53447341918945
2014-06-24,44.97105026245117
2014-06-25,45.20417785644531
2014-06-26,45.30781936645508
2014-06-27,45.961910247802734
2014-06-30,47.04344940185547
2014-07-01,47.321922302246094
2014-07-02,47.43202209472656
2014-07-03,48.325748443603516
2014-07-07,47.94364929199219
2014-07-08,47.982505798339844
2014-07-09,48.48118209838867
2014-07-10,48.390525817871094
2014-07-11,48.319271087646484
2014-07-14,48.507083892822266
2014-07-15,48.073177337646484
2014-07-16,48.00193405151367
2014-07-17,47.930694580078125
2014-07-18,48.24803161621094
2014-07-21,48.325748443603516
