,GRMN
2014-01-02,31.98552131652832
2014-01-03,33.14540481567383
2014-01-06,33.0244255065918
2014-01-07,32.50496292114258
2014-01-08,32.30574035644531
2014-01-09,31.928585052490234
2014-01-10,32.05668258666992
2014-01-13,32.312835693359375
2014-01-14,32.95326232910156
2014-01-15,33.494083404541016
2014-01-16,33.4086799621582
2014-01-17,33.20232391357422
2014-01-21,33.13829040527344
2014-01-22,33.19520568847656
2014-01-23,32.874996185302734
2014-01-24,32.1705322265625
2014-01-27,32.21323013305664
2014-01-28,32.4836311340332
2014-01-29,31.87877655029297
2014-01-30,32.590354919433594
2014-01-31,32.05668258666992
2014-02-03,31.04624366760254
2014-02-04,31.38068199157715
2014-02-05,31.337984085083008
2014-02-06,32.11360168457031
2014-02-07,32.39824295043945
2014-02-10,31.67955207824707
2014-02-11,32.20610809326172
2014-02-12,32.74691390991211
2014-02-13,32.917686462402344
2014-02-14,32.78960418701172
2014-02-18,33.565223693847656
2014-02-19,36.77446365356445
2014-02-20,36.68907165527344
2014-02-21,36.980796813964844
2014-02-24,36.7886848449707
2014-02-25,36.99504470825195
2014-02-26,37.10889434814453
2014-02-27,38.10511779785156
2014-02-28,38.183387756347656
2014-03-03,38.140682220458984
2014-03-04,39.12267303466797
2014-03-05,38.78111267089844
2014-03-06,38.37550354003906
2014-03-07,38.1478157043457
2014-03-10,37.79913330078125
2014-03-11,38.00548553466797
2014-03-12,38.47512435913086
2014-03-13,37.6642951965332
2014-03-14,37.44902801513672
2014-03-17,38.29574203491211
2014-03-18,38.99176025390625
2014-03-19,39.07786178588867
2014-03-20,39.207035064697266
2014-03-21,39.537109375
2014-03-24,39.42947769165039
2014-03-25,39.07786178588867
2014-03-26,39.723663330078125
2014-03-27,40.19724655151367
2014-03-28,39.87435531616211
2014-03-31,39.65190887451172
2014-04-01,39.931758880615234
2014-04-02,40.82870101928711
2014-04-03,41.151588439941406
2014-04-04,39.97481918334961
2014-04-07,39.931758880615234
2014-04-08,40.742584228515625
2014-04-09,40.97937774658203
2014-04-10,39.630401611328125
2014-04-11,39.36489486694336
2014-04-14,39.54427719116211
2014-04-15,39.773895263671875
2014-04-16,40.05375289916992
2014-04-17,40.30488586425781
2014-04-21,40.548851013183594
2014-04-22,40.33358383178711
2014-04-23,40.261837005615234
