,PH
2014-10-24,97.57022094726562
2014-10-27,98.13099670410156
2014-10-28,102.91032409667969
2014-10-29,103.76409149169922
2014-10-30,104.34996795654297
2014-10-31,106.3253173828125
2014-11-03,106.10770416259766
2014-11-04,105.78128051757812
2014-11-05,106.95306396484375
2014-11-06,107.63443756103516
2014-11-07,108.088623046875
2014-11-10,108.0297622680664
2014-11-11,107.73535919189453
2014-11-12,108.14756774902344
2014-11-13,106.80168151855469
2014-11-14,108.0381851196289
2014-11-17,108.1895751953125
2014-11-18,109.74571228027344
2014-11-19,108.71112060546875
2014-11-20,109.71208953857422
2014-11-21,110.89811706542969
2014-11-24,111.56263732910156
2014-11-25,111.68879699707031
2014-11-26,110.7719497680664
2014-11-28,108.53447723388672
2014-12-01,107.38208770751953
2014-12-02,108.21482849121094
2014-12-03,110.60368347167969
2014-12-04,109.15691375732422
2014-12-05,109.3083267211914
2014-12-08,107.42411804199219
2014-12-09,108.12230682373047
2014-12-10,105.33808135986328
2014-12-11,106.05303955078125
2014-12-12,103.52959442138672
2014-12-15,102.55384826660156
2014-12-16,102.05754852294922
2014-12-17,103.89128875732422
2014-12-18,106.54933166503906
2014-12-19,107.89519500732422
2014-12-22,109.06443786621094
2014-12-23,110.24200439453125
2014-12-24,110.06537628173828
2014-12-26,110.0149154663086
2014-12-29,110.04012298583984
2014-12-30,109.61957550048828
2014-12-31,108.46715545654297
2015-01-02,108.64381408691406
2015-01-05,103.98381805419922
2015-01-06,102.46129608154297
2015-01-07,103.26042938232422
2015-01-08,106.52409362792969
2015-01-09,105.85958862304688
2015-01-12,105.80912780761719
2015-01-13,104.44645690917969
2015-01-14,102.9323959350586
2015-01-15,100.87991333007812
2015-01-16,100.9388198852539
2015-01-20,101.88092041015625
2015-01-21,102.71366882324219
2015-01-22,103.4538803100586
2015-01-23,102.59588623046875
2015-01-26,103.26042938232422
2015-01-27,102.07437896728516
2015-01-28,98.4742431640625
2015-01-29,99.7612075805664
2015-01-30,97.96110534667969
2015-02-02,100.63602447509766
2015-02-03,101.99026489257812
2015-02-04,100.70330047607422
2015-02-05,101.21640014648438
2015-02-06,101.96052551269531
2015-02-09,102.18033599853516
2015-02-10,102.5777587890625
2015-02-11,101.78295135498047
2015-02-12,103.01749420166016
2015-02-13,104.90316772460938
2015-02-17,104.17593383789062
2015-02-18,103.87999725341797
2015-02-19,104.21824645996094
2015-02-20,104.59030151367188
2015-02-23,104.12521362304688
2015-02-24,104.45498657226562
2015-02-25,104.37889862060547
2015-02-26,104.18441009521484
2015-02-27,103.74471282958984
2015-03-02,104.65789794921875
2015-03-03,104.3196792602539
2015-03-04,102.7215347290039
2015-03-05,103.3472671508789
2015-03-06,100.00721740722656
2015-03-09,100.1255874633789
2015-03-10,98.80650329589844
2015-03-11,99.47449493408203
2015-03-12,100.1255874633789
2015-03-13,99.54212951660156
2015-03-16,101.50389862060547
