,NDSN
2014-01-02,65.80632019042969
2014-01-03,66.00316619873047
2014-01-06,64.86686706542969
2014-01-07,64.63421630859375
2014-01-08,64.1600341796875
2014-01-09,64.32109069824219
2014-01-10,64.67897033691406
2014-01-13,63.40850830078125
2014-01-14,64.32109069824219
2014-01-15,64.7147445678711
2014-01-16,64.4552993774414
2014-01-17,64.83106231689453
2014-01-21,64.78634643554688
2014-01-22,65.38578796386719
2014-01-23,64.68792724609375
2014-01-24,63.05954360961914
2014-01-27,62.36164474487305
2014-01-28,62.67483139038086
2014-01-29,61.860633850097656
2014-01-30,62.40638732910156
2014-01-31,62.021690368652344
2014-02-03,60.82274627685547
2014-02-04,62.07534408569336
2014-02-05,60.84061813354492
2014-02-06,61.15379333496094
2014-02-07,61.85166931152344
2014-02-10,62.01271438598633
2014-02-11,62.83584213256836
2014-02-12,63.39056396484375
2014-02-13,63.23849868774414
2014-02-14,63.04165267944336
2014-02-18,62.737464904785156
2014-02-19,62.45113754272461
2014-02-20,62.87165832519531
2014-02-21,62.611507415771484
2014-02-24,62.79987716674805
2014-02-25,63.58028793334961
2014-02-26,64.05571746826172
2014-02-27,64.9796371459961
2014-02-28,65.6255111694336
2014-03-03,64.62084197998047
2014-03-04,65.3653564453125
2014-03-05,65.33844757080078
2014-03-06,65.35639190673828
2014-03-07,65.58063507080078
2014-03-10,65.26668548583984
2014-03-11,64.38761138916016
2014-03-12,64.18128967285156
2014-03-13,63.03313446044922
2014-03-14,62.88064193725586
2014-03-17,63.687923431396484
2014-03-18,63.643089294433594
2014-03-19,63.53544998168945
2014-03-20,63.759681701660156
2014-03-21,64.43244171142578
2014-03-24,63.11384963989258
2014-03-25,63.06899642944336
2014-03-26,62.0105094909668
2014-03-27,61.74140548706055
2014-03-28,61.965660095214844
2014-03-31,63.23044204711914
2014-04-01,63.75071334838867
2014-04-02,64.18128967285156
2014-04-03,64.36967468261719
2014-04-04,64.14542388916016
2014-04-07,63.22148132324219
2014-04-08,63.93012619018555
2014-04-09,65.03343963623047
2014-04-10,64.01087951660156
2014-04-11,63.239418029785156
2014-04-14,63.26633071899414
2014-04-15,64.36967468261719
2014-04-16,65.48198699951172
2014-04-17,66.18159484863281
2014-04-21,66.1278076171875
2014-04-22,66.10984802246094
2014-04-23,66.28926086425781
2014-04-24,66.86335754394531
2014-04-25,66.41487884521484
2014-04-28,66.66600799560547
2014-04-29,66.71085357666016
2014-04-30,66.69293975830078
2014-05-01,66.81851196289062
2014-05-02,66.92615509033203
2014-05-05,66.69293975830078
2014-05-06,66.80059051513672
2014-05-07,67.11451721191406
2014-05-08,67.36567687988281
2014-05-09,67.22217559814453
2014-05-12,67.96669006347656
2014-05-13,67.67964172363281
2014-05-14,67.34774017333984
2014-05-15,66.86335754394531
2014-05-16,67.3298110961914
2014-05-19,67.72449493408203
2014-05-20,66.45074462890625
2014-05-21,67.2311019897461
2014-05-22,67.3300552368164
2014-05-23,73.60626220703125
2014-05-27,74.9280776977539
2014-05-28,73.88501739501953
2014-05-29,74.35259246826172
2014-05-30,73.31853485107422
2014-06-02,74.0918197631836
2014-06-03,73.3275375366211
2014-06-04,73.37248992919922
2014-06-05,74.36155700683594
2014-06-06,75.2517318725586
2014-06-09,75.80024719238281
2014-06-10,75.4405746459961
2014-06-11,74.63133239746094
2014-06-12,73.73214721679688
2014-06-13,73.73214721679688
2014-06-16,73.09375
2014-06-17,73.66021728515625
2014-06-18,73.92098999023438
2014-06-19,73.63326263427734
2014-06-20,71.8529281616211
2014-06-23,72.7160873413086
2014-06-24,71.71800231933594
2014-06-25,71.4482650756836
2014-06-26,71.12455749511719
2014-06-27,71.17850494384766
2014-06-30,72.1046371459961
2014-07-01,72.47331237792969
2014-07-02,71.96077728271484
2014-07-03,72.54527282714844
2014-07-07,71.04364013671875
2014-07-08,70.68396759033203
2014-07-09,70.41421508789062
2014-07-10,69.32621765136719
2014-07-11,69.29022979736328
2014-07-14,70.60303497314453
2014-07-15,69.9466323852539
2014-07-16,70.16242980957031
2014-07-17,69.55098724365234
2014-07-18,70.77388000488281
2014-07-21,70.45914459228516
2014-07-22,70.89077758789062
2014-07-23,70.4231948852539
2014-07-24,70.46819305419922
2014-07-25,70.32431030273438
2014-07-28,70.03656005859375
2014-07-29,69.42512512207031
2014-07-30,69.38916015625
2014-07-31,67.5908203125
2014-08-01,66.98834228515625
2014-08-04,67.43795013427734
2014-08-05,67.31202697753906
2014-08-06,66.7905502319336
2014-08-07,66.98834228515625
2014-08-08,68.24718475341797
2014-08-11,68.77771759033203
2014-08-12,68.6788101196289
2014-08-13,69.488037109375
