,IEX
2014-01-02,62.8774299621582
2014-01-03,63.30164337158203
2014-01-06,62.912071228027344
2014-01-07,63.223724365234375
2014-01-08,63.310298919677734
2014-01-09,63.492103576660156
2014-01-10,63.92496109008789
2014-01-13,63.065216064453125
2014-01-14,64.06393432617188
2014-01-15,64.5676040649414
2014-01-16,64.0291976928711
2014-01-17,63.7773551940918
2014-01-21,63.95100021362305
2014-01-22,64.04654693603516
2014-01-23,63.29969024658203
2014-01-24,60.44257736206055
2014-01-27,60.121246337890625
2014-01-28,60.37310028076172
2014-01-29,59.99099349975586
2014-01-30,62.97837448120117
2014-01-31,62.53549575805664
2014-02-03,60.347049713134766
2014-02-04,60.74651336669922
2014-02-05,60.05177307128906
2014-02-06,60.89417266845703
2014-02-07,61.35443115234375
2014-02-10,61.24152755737305
2014-02-11,62.04917907714844
2014-02-12,62.86546325683594
2014-02-13,63.16073989868164
2014-02-14,63.308380126953125
2014-02-18,63.942344665527344
2014-02-19,63.3517951965332
2014-02-20,63.62971115112305
2014-02-21,63.812076568603516
2014-02-24,63.88151168823242
2014-02-25,64.09864044189453
2014-02-26,64.74996948242188
2014-02-27,64.99311828613281
2014-02-28,65.19285583496094
2014-03-03,64.38523864746094
2014-03-04,65.40127563476562
2014-03-05,65.43599700927734
2014-03-06,65.40127563476562
2014-03-07,65.59236145019531
2014-03-10,64.96707916259766
2014-03-11,64.46338653564453
2014-03-12,64.18547821044922
2014-03-13,63.221534729003906
2014-03-14,63.42995834350586
2014-03-17,64.2028579711914
2014-03-18,64.09864044189453
2014-03-19,63.59497833251953
2014-03-20,63.7860107421875
2014-03-21,63.85547637939453
2014-03-24,62.70917510986328
2014-03-25,63.00443649291992
2014-03-26,61.86678695678711
2014-03-27,61.85811996459961
2014-03-28,62.066551208496094
2014-03-31,63.29969024658203
2014-04-01,63.95100021362305
2014-04-02,64.23759460449219
2014-04-03,64.04654693603516
2014-04-04,63.334415435791016
2014-04-07,61.54547882080078
2014-04-08,61.71916961669922
2014-04-09,62.28363800048828
2014-04-10,61.25020980834961
2014-04-11,60.49467849731445
2014-04-14,60.347049713134766
2014-04-15,60.99836730957031
2014-04-16,62.9688606262207
2014-04-17,63.788429260253906
2014-04-21,63.83204650878906
2014-04-22,63.823341369628906
2014-04-23,64.8870620727539
2014-04-24,64.42494201660156
2014-04-25,63.54432678222656
2014-04-28,63.779762268066406
2014-04-29,64.51211547851562
2014-04-30,65.0178451538086
2014-05-01,65.05272674560547
2014-05-02,65.07015228271484
2014-05-05,64.97425842285156
2014-05-06,65.00911712646484
2014-05-07,65.35791015625
2014-05-08,65.20094299316406
2014-05-09,65.4886703491211
2014-05-12,66.42162322998047
2014-05-13,65.9507827758789
2014-05-14,65.21837615966797
2014-05-15,64.50341033935547
2014-05-16,65.0178451538086
2014-05-19,65.45377349853516
2014-05-20,64.0674819946289
2014-05-21,64.80856323242188
2014-05-22,64.78240203857422
2014-05-23,65.75896453857422
2014-05-27,66.50878143310547
2014-05-28,66.53496551513672
2014-05-29,66.9534683227539
2014-05-30,66.8575668334961
2014-06-02,67.43302154541016
2014-06-03,67.19757843017578
2014-06-04,67.45918273925781
2014-06-05,68.42698669433594
2014-06-06,69.04605102539062
2014-06-09,70.005126953125
2014-06-10,69.58665466308594
2014-06-11,69.18553924560547
2014-06-12,68.7146987915039
2014-06-13,69.00244140625
2014-06-16,68.97628021240234
2014-06-17,69.24658966064453
2014-06-18,69.49072265625
2014-06-19,69.73485565185547
2014-06-20,69.7958755493164
2014-06-23,69.69996643066406
2014-06-24,69.4558334350586
2014-06-25,69.7784194946289
2014-06-26,69.62152862548828
2014-06-27,70.16207885742188
2014-06-30,70.39747619628906
2014-07-01,70.82469940185547
2014-07-02,70.38877868652344
2014-07-03,71.12987518310547
2014-07-07,70.17948913574219
2014-07-08,69.67382049560547
2014-07-09,69.62152862548828
2014-07-10,68.98500061035156
2014-07-11,68.9152603149414
2014-07-14,69.29150390625
2014-07-15,68.9152603149414
2014-07-16,68.88899230957031
2014-07-17,68.36399841308594
2014-07-18,68.9940185546875
2014-07-21,68.88024139404297
2014-07-22,69.44023132324219
2014-07-23,70.09649658203125
2014-07-24,69.31775665283203
2014-07-25,69.16026306152344
2014-07-28,68.82774353027344
2014-07-29,68.06648254394531
2014-07-30,67.9264907836914
2014-07-31,66.34272003173828
2014-08-01,66.00146484375
2014-08-04,66.57899475097656
2014-08-05,66.13272094726562
2014-08-06,65.5989990234375
2014-08-07,65.4852294921875
2014-08-08,66.50023651123047
2014-08-11,66.55271911621094
2014-08-12,66.18526458740234
2014-08-13,66.90274810791016
2014-08-14,67.06897735595703
2014-08-15,66.77149963378906
2014-08-18,67.64649200439453
2014-08-19,67.77772521972656
2014-08-20,67.98775482177734
2014-08-21,67.82148742675781
2014-08-22,67.50650024414062
2014-08-25,68.17150115966797
2014-08-26,67.97900390625
2014-08-27,67.63774108886719
2014-08-28,67.46273803710938
2014-08-29,67.3227310180664
2014-09-02,67.90021514892578
2014-09-03,67.57649993896484
2014-09-04,67.31399536132812
2014-09-05,67.64649200439453
2014-09-08,67.73399353027344
2014-09-09,67.30522918701172
2014-09-10,67.53275299072266
2014-09-11,67.70773315429688
2014-09-12,66.86774444580078
2014-09-15,66.59651184082031
2014-09-16,66.40400695800781
2014-09-17,65.85273742675781
2014-09-18,66.68401336669922
2014-09-19,66.0802230834961
2014-09-22,65.07398223876953
2014-09-23,64.81147766113281
2014-09-24,65.1002426147461
2014-09-25,63.848976135253906
2014-09-26,64.24272155761719
2014-09-29,64.26895141601562
2014-09-30,63.323978424072266
2014-10-01,62.14271926879883
2014-10-02,62.28269958496094
2014-10-03,62.886478424072266
2014-10-06,62.921470642089844
2014-10-07,61.33771514892578
2014-10-08,62.116455078125
2014-10-09,60.1214599609375
2014-10-10,59.30772399902344
2014-10-13,58.12644958496094
2014-10-14,59.79601287841797
2014-10-15,59.30392074584961
2014-10-16,60.56047058105469
2014-10-17,61.342498779296875
2014-10-20,61.82582473754883
2014-10-21,64.26861572265625
2014-10-22,63.003265380859375
2014-10-23,64.38285064697266
2014-10-24,64.06653594970703
2014-10-27,64.0401611328125
2014-10-28,65.36700439453125
2014-10-29,65.13853454589844
2014-10-30,64.91006469726562
2014-10-31,65.82392120361328
2014-11-03,65.77120208740234
2014-11-04,65.00672912597656
2014-11-05,65.31427764892578
2014-11-06,65.6833267211914
2014-11-07,65.89422607421875
2014-11-10,66.36875915527344
2014-11-11,66.68507385253906
2014-11-12,67.19471740722656
2014-11-13,66.61476135253906
2014-11-14,66.98382568359375
2014-11-17,67.30892944335938
2014-11-18,67.73072052001953
2014-11-19,67.15077209472656
2014-11-20,67.29136657714844
2014-11-21,67.84496307373047
2014-11-24,68.26673126220703
2014-11-25,68.43366241455078
2014-11-26,68.15251159667969
2014-11-28,67.49346160888672
2014-12-01,66.53570556640625
2014-12-02,66.84320831298828
2014-12-03,67.79224395751953
2014-12-04,67.48468017578125
2014-12-05,67.61650085449219
2014-12-08,67.35287475585938
2014-12-09,67.64285278320312
2014-12-10,66.0787582397461
2014-12-11,66.39508056640625
2014-12-12,65.5163803100586
2014-12-15,64.36527252197266
2014-12-16,64.69041442871094
2014-12-17,65.41971588134766
2014-12-18,66.98382568359375
2014-12-19,67.6692123413086
2014-12-22,68.09101104736328
2014-12-23,68.74124908447266
2014-12-24,68.62700653076172
2014-12-26,68.89939880371094
2014-12-29,69.18060302734375
2014-12-30,68.82913208007812
2014-12-31,68.39851379394531
2015-01-02,68.43366241455078
2015-01-05,66.68507385253906
2015-01-06,65.29668426513672
2015-01-07,65.7360610961914
2015-01-08,66.7992935180664
2015-01-09,65.97331237792969
2015-01-12,64.85733032226562
2015-01-13,64.44278717041016
2015-01-14,63.99292755126953
2015-01-15,63.02267837524414
2015-01-16,63.64895248413086
2015-01-20,63.63129806518555
2015-01-21,64.2663803100586
2015-01-22,64.92794036865234
2015-01-23,64.50450897216797
2015-01-26,65.13078308105469
2015-01-27,63.96645736694336
2015-01-28,63.63129806518555
2015-01-29,63.90473937988281
2015-01-30,63.8165283203125
2015-02-02,64.83971405029297
2015-02-03,65.91583251953125
2015-02-04,65.25425720214844
2015-02-05,66.04810333251953
2015-02-06,66.02168273925781
2015-02-09,66.38330841064453
2015-02-10,66.59498596191406
2015-02-11,66.43622589111328
2015-02-12,67.36238098144531
2015-02-13,68.04155731201172
2015-02-17,67.60052490234375
2015-02-18,68.41201782226562
2015-02-19,68.35027313232422
2015-02-20,69.1794204711914
2015-02-23,68.5443344116211
2015-02-24,68.93246459960938
2015-02-25,69.16175079345703
2015-02-26,68.80896759033203
2015-02-27,68.14740753173828
2015-03-02,68.96771240234375
2015-03-03,68.51788330078125
2015-03-04,67.53881072998047
2015-03-05,67.51234436035156
2015-03-06,66.47149658203125
2015-03-09,66.79785919189453
2015-03-10,65.76586151123047
2015-03-11,66.2686538696289
2015-03-12,67.08014678955078
2015-03-13,65.9070053100586
2015-03-16,66.37448120117188
2015-03-17,66.25981140136719
2015-03-18,67.9356918334961
2015-03-19,67.3800277709961
2015-03-20,67.3447494506836
2015-03-23,66.82434844970703
2015-03-24,66.55088806152344
2015-03-25,65.79232025146484
2015-03-26,65.77468872070312
2015-03-27,66.17158508300781
2015-03-30,67.27417755126953
2015-03-31,66.88607025146484
2015-04-01,66.37448120117188
2015-04-02,66.80670166015625
2015-04-06,68.06803894042969
2015-04-07,67.41527557373047
2015-04-08,67.33592987060547
2015-04-09,66.98311614990234
2015-04-10,67.12422943115234
2015-04-13,67.10655212402344
2015-04-14,67.47705841064453
2015-04-15,68.24443054199219
2015-04-16,67.72403717041016
2015-04-17,66.80287170410156
2015-04-20,67.83916473388672
2015-04-21,67.24571228027344
2015-04-22,67.36972045898438
2015-04-23,67.64431762695312
2015-04-24,67.21916961669922
2015-04-27,67.36089324951172
2015-04-28,67.32543182373047
2015-04-29,67.22799682617188
2015-04-30,66.4396743774414
2015-05-01,66.60799407958984
2015-05-04,66.90029907226562
2015-05-05,66.64338684082031
2015-05-06,67.35200500488281
2015-05-07,67.11286163330078
2015-05-08,67.75061798095703
2015-05-11,67.82145690917969
2015-05-12,67.80374145507812
2015-05-13,68.62748718261719
2015-05-14,69.64608001708984
2015-05-15,69.22095489501953
2015-05-18,69.4423828125
2015-05-19,69.2563705444336
2015-05-20,69.64608001708984
2015-05-21,70.14209747314453
2015-05-22,69.91181182861328
2015-05-26,68.66288757324219
2015-05-27,69.3006362915039
2015-05-28,68.91091918945312
2015-05-29,68.43263244628906
2015-06-01,68.40604400634766
2015-06-02,68.51234436035156
2015-06-03,69.23863220214844
2015-06-04,68.64517974853516
2015-06-05,69.32720947265625
2015-06-08,68.99060821533203
2015-06-09,68.89321899414062
2015-06-10,69.81436920166016
2015-06-11,70.85071563720703
2015-06-12,70.63813781738281
2015-06-15,69.86752319335938
2015-06-16,70.08012390136719
2015-06-17,70.27497100830078
2015-06-18,70.82415008544922
2015-06-19,70.52300262451172
2015-06-22,70.76214599609375
2015-06-23,70.85955810546875
2015-06-24,70.35468292236328
2015-06-25,70.03579711914062
2015-06-26,70.47868347167969
2015-06-29,69.18550109863281
2015-06-30,69.60177612304688
2015-07-01,70.01812744140625
2015-07-02,70.08012390136719
2015-07-06,69.38922882080078
2015-07-07,69.78780364990234
2015-07-08,68.59207153320312
2015-07-09,68.80464172363281
2015-07-10,68.37947845458984
2015-07-13,69.2829360961914
2015-07-14,69.70093536376953
2015-07-15,69.02499389648438
2015-07-16,68.86492919921875
2015-07-17,68.50025939941406
2015-07-20,68.66925811767578
2015-07-21,67.78878021240234
2015-07-22,67.47748565673828
2015-07-23,67.85992431640625
2015-07-24,66.21454620361328
2015-07-27,65.45858001708984
2015-07-28,66.5614013671875
2015-07-29,67.94886016845703
2015-07-30,67.84212493896484
2015-07-31,67.61978912353516
2015-08-03,66.60588073730469
2015-08-04,66.44580078125
2015-08-05,67.1484146118164
2015-08-06,66.47249603271484
2015-08-07,66.0010986328125
2015-08-10,67.50415802001953
2015-08-11,66.54362487792969
2015-08-12,66.58810424804688
2015-08-13,66.54362487792969
2015-08-14,66.86382293701172
2015-08-17,67.29072570800781
2015-08-18,67.0861587524414
2015-08-19,66.44580078125
2015-08-20,64.53363037109375
2015-08-21,63.00389099121094
