,PPG
2014-01-02,79.13893127441406
2014-01-03,79.33580017089844
2014-01-06,78.5441665649414
2014-01-07,78.86248016357422
2014-01-08,79.36093139648438
2014-01-09,79.63735961914062
2014-01-10,79.82588195800781
2014-01-13,78.6446762084961
2014-01-14,79.9557113647461
2014-01-15,79.87612915039062
2014-01-16,78.60696411132812
2014-01-17,79.36512756347656
2014-01-21,79.58291625976562
2014-01-22,78.39337158203125
2014-01-23,78.2802963256836
2014-01-24,76.06452178955078
2014-01-27,76.73052215576172
2014-01-28,76.41220092773438
2014-01-29,76.73470306396484
2014-01-30,77.35041809082031
2014-01-31,76.38286590576172
2014-02-03,74.08332061767578
2014-02-04,74.23828887939453
2014-02-05,74.22992706298828
2014-02-06,74.94200134277344
2014-02-07,76.45824432373047
2014-02-10,77.04047393798828
2014-02-11,77.5556640625
2014-02-12,77.80696105957031
2014-02-13,78.42269134521484
2014-02-14,79.12220001220703
2014-02-18,78.15460968017578
2014-02-19,78.60845184326172
2014-02-20,79.31864929199219
2014-02-21,79.78932189941406
2014-02-24,79.22200012207031
2014-02-25,80.16756439208984
2014-02-26,81.15929412841797
2014-02-27,81.39462280273438
2014-02-28,83.13015747070312
2014-03-03,82.81078338623047
2014-03-04,84.12611389160156
2014-03-05,83.85295867919922
2014-03-06,84.1051025390625
2014-03-07,84.07569885253906
2014-03-10,84.17233276367188
2014-03-11,82.99988555908203
2014-03-12,82.87382507324219
2014-03-13,81.90728759765625
2014-03-14,81.76860809326172
2014-03-17,82.34852600097656
2014-03-18,83.18898010253906
2014-03-19,82.01239013671875
2014-03-20,81.83586120605469
2014-03-21,81.99552917480469
2014-03-24,81.19287109375
2014-03-25,81.05001831054688
2014-03-26,80.0162582397461
2014-03-27,79.64645385742188
2014-03-28,80.184326171875
2014-03-31,81.29796600341797
2014-04-01,82.63427734375
2014-04-02,82.89482879638672
2014-04-03,82.94104766845703
2014-04-04,83.10494995117188
2014-04-07,81.13407897949219
2014-04-08,80.89451599121094
2014-04-09,82.23506927490234
2014-04-10,79.82715606689453
2014-04-11,78.92781066894531
2014-04-14,79.2387924194336
2014-04-15,79.22618865966797
2014-04-16,80.52891540527344
2014-04-17,83.81934356689453
2014-04-21,82.59223937988281
2014-04-22,82.5166244506836
2014-04-23,82.49139404296875
2014-04-24,81.73919677734375
2014-04-25,81.09622955322266
2014-04-28,80.4616928100586
2014-04-29,81.10466766357422
2014-04-30,81.36518859863281
2014-05-01,80.95337677001953
2014-05-02,82.0207290649414
2014-05-05,82.31909942626953
2014-05-06,82.14263916015625
2014-05-07,83.51679229736328
2014-05-08,82.76201629638672
2014-05-09,82.9053726196289
2014-05-12,84.08177947998047
2014-05-13,83.37342071533203
2014-05-14,82.88008880615234
2014-05-15,82.06629943847656
2014-05-16,82.37409210205078
2014-05-19,82.66082000732422
2014-05-20,82.51326751708984
2014-05-21,83.13726043701172
2014-05-22,82.79154205322266
2014-05-23,83.8498764038086
2014-05-27,83.53787231445312
2014-05-28,84.43597412109375
2014-05-29,84.752197265625
2014-05-30,85.00940704345703
2014-06-02,85.31303405761719
2014-06-03,85.05579376220703
2014-06-04,85.95816040039062
2014-06-05,85.65873718261719
2014-06-06,86.40929412841797
2014-06-09,86.48523712158203
2014-06-10,86.77616882324219
2014-06-11,86.69184112548828
2014-06-12,85.840087890625
2014-06-13,86.13101196289062
2014-06-16,85.60394287109375
2014-06-17,85.38890075683594
2014-06-18,85.84429931640625
2014-06-19,85.68827819824219
2014-06-20,86.25752258300781
2014-06-23,86.17318725585938
2014-06-24,85.608154296875
2014-06-25,86.21533966064453
2014-06-26,85.4184341430664
2014-06-27,86.03826141357422
2014-06-30,88.6103286743164
2014-07-01,88.06641387939453
2014-07-02,87.83450317382812
2014-07-03,88.61456298828125
2014-07-07,87.86402130126953
2014-07-08,87.19781494140625
2014-07-09,87.62788391113281
2014-07-10,87.44657135009766
2014-07-11,87.7164306640625
2014-07-14,87.69955444335938
2014-07-15,86.6749496459961
2014-07-16,86.77194213867188
2014-07-17,87.57727813720703
2014-07-18,88.35734558105469
2014-07-21,88.02003479003906
2014-07-22,88.59349822998047
2014-07-23,88.67781066894531
2014-07-24,88.55554962158203
2014-07-25,88.07060241699219
2014-07-28,87.9863052368164
2014-07-29,86.43461608886719
2014-07-30,86.198486328125
2014-07-31,83.6390609741211
2014-08-01,83.6517105102539
2014-08-04,84.59198760986328
2014-08-05,83.57579040527344
2014-08-06,83.86251831054688
2014-08-07,83.48177337646484
2014-08-08,84.70867919921875
2014-08-11,84.26868438720703
2014-08-12,84.41677856445312
2014-08-13,85.46598815917969
2014-08-14,85.27983856201172
2014-08-15,85.57598114013672
2014-08-18,86.21062469482422
2014-08-19,86.57445526123047
2014-08-20,86.34175872802734
2014-08-21,86.76484680175781
2014-08-22,86.54061126708984
2014-08-25,87.25137329101562
2014-08-26,87.34870147705078
2014-08-27,86.83251953125
2014-08-28,86.91714477539062
2014-08-29,87.09483337402344
2014-09-02,86.81139373779297
2014-09-03,86.10909271240234
2014-09-04,86.14714050292969
