,FCX
2014-01-02,32.43064880371094
2014-01-03,32.163475036621094
2014-01-06,31.904922485351562
2014-01-07,31.59466552734375
2014-01-08,31.198230743408203
2014-01-09,30.775930404663086
2014-01-10,31.17237091064453
2014-01-13,30.975032806396484
2014-01-14,31.401018142700195
2014-01-15,31.826997756958008
2014-01-16,32.087799072265625
2014-01-17,31.461870193481445
2014-01-21,30.653366088867188
2014-01-22,30.010053634643555
2014-01-23,29.279788970947266
2014-01-24,28.48868179321289
2014-01-27,28.158329010009766
2014-01-28,28.306116104125977
2014-01-29,28.1148624420166
2014-01-30,28.175716400146484
2014-01-31,28.175716400146484
2014-02-03,27.01947593688965
2014-02-04,26.89776611328125
2014-02-05,27.02817153930664
2014-02-06,27.41937828063965
2014-02-07,28.123552322387695
2014-02-10,28.019237518310547
2014-02-11,28.85380744934082
2014-02-12,28.49737548828125
2014-02-13,28.827728271484375
2014-02-14,29.340639114379883
2014-02-18,29.33195686340332
2014-02-19,28.8364200592041
2014-02-20,29.340639114379883
2014-02-21,29.00160026550293
2014-02-24,28.871196746826172
2014-02-25,28.48868179321289
2014-02-26,29.04506492614746
2014-02-27,29.097227096557617
2014-02-28,28.358280181884766
2014-03-03,28.54083824157715
2014-03-04,29.149389266967773
2014-03-05,29.479740142822266
2014-03-06,29.410198211669922
2014-03-07,27.98445701599121
2014-03-10,27.28028106689453
2014-03-11,26.69781494140625
2014-03-12,26.74997901916504
2014-03-13,26.636960983276367
2014-03-14,27.00208854675293
2014-03-17,27.384607315063477
2014-03-18,27.49761962890625
2014-03-19,27.010780334472656
2014-03-20,26.862993240356445
2014-03-21,28.088781356811523
2014-03-24,27.48893165588379
2014-03-25,27.888824462890625
2014-03-26,27.549779891967773
2014-03-27,28.175716400146484
2014-03-28,28.566923141479492
2014-03-31,28.749488830566406
2014-04-01,28.619083404541016
2014-04-02,28.96682357788086
2014-04-03,29.04506492614746
2014-04-04,28.96682357788086
2014-04-07,28.758182525634766
2014-04-08,29.22763442993164
2014-04-09,29.540599822998047
2014-04-10,28.85380744934082
2014-04-11,28.575597763061523
2014-04-14,29.225046157836914
2014-04-15,28.97053337097168
2014-04-16,28.97053337097168
2014-04-17,28.97053337097168
2014-04-21,28.94420623779297
2014-04-22,29.225046157836914
2014-04-23,29.400569915771484
2014-04-24,29.777952194213867
2014-04-25,29.848159790039062
2014-04-28,29.74284553527832
2014-04-29,30.225547790527344
2014-04-30,30.164106369018555
2014-05-01,29.988576889038086
2014-05-02,30.436172485351562
2014-05-05,29.900819778442383
2014-05-06,29.698963165283203
2014-05-07,29.83060646057129
2014-05-08,29.698963165283203
2014-05-09,29.76039695739746
2014-05-12,30.620473861694336
2014-05-13,31.208494186401367
2014-05-14,31.15582847595215
2014-05-15,30.90131950378418
2014-05-16,30.70824432373047
2014-05-19,30.760900497436523
2014-05-20,30.225547790527344
2014-05-21,30.06757164001465
2014-05-22,30.102676391601562
2014-05-23,30.216764450073242
2014-05-27,29.804283142089844
2014-05-28,29.6901912689209
2014-05-29,30.07634925842285
2014-05-30,29.883268356323242
2014-06-02,29.9447078704834
2014-06-03,29.900819778442383
2014-06-04,30.286977767944336
2014-06-05,30.51516342163086
2014-06-06,30.655590057373047
2014-06-09,30.418621063232422
2014-06-10,30.155332565307617
2014-06-11,29.90959930419922
2014-06-12,29.549760818481445
2014-06-13,29.81306266784668
2014-06-16,29.839393615722656
2014-06-17,29.883268356323242
2014-06-18,30.532716751098633
2014-06-19,30.374744415283203
2014-06-20,30.594152450561523
2014-06-23,31.6297550201416
2014-06-24,31.296253204345703
2014-06-25,31.392786026000977
2014-06-26,31.33134651184082
2014-06-27,31.65608024597168
2014-06-30,32.033451080322266
2014-07-01,32.34063720703125
2014-07-02,33.200714111328125
2014-07-03,33.797489166259766
2014-07-07,33.93791198730469
2014-07-08,33.99934768676758
2014-07-09,34.26264190673828
2014-07-10,34.10467529296875
2014-07-11,34.24888229370117
2014-07-14,34.24002456665039
2014-07-15,33.877281188964844
2014-07-16,34.35505676269531
2014-07-17,34.06307601928711
2014-07-18,33.93037033081055
2014-07-21,34.2134895324707
2014-07-22,34.257728576660156
2014-07-23,34.107303619384766
2014-07-24,33.204864501953125
2014-07-25,33.611854553222656
2014-07-28,33.67378616333008
2014-07-29,33.54106903076172
2014-07-30,33.514530181884766
2014-07-31,32.93059539794922
2014-08-01,32.54129409790039
2014-08-04,32.948280334472656
2014-08-05,32.67401123046875
2014-08-06,32.470516204833984
2014-08-07,31.98390769958496
2014-08-08,32.28471755981445
2014-08-11,32.64747619628906
2014-08-12,32.62977600097656
2014-08-13,32.19623947143555
2014-08-14,31.895427703857422
2014-08-15,31.93965721130371
2014-08-18,32.178550720214844
2014-08-19,32.1077766418457
2014-08-20,32.71824264526367
2014-08-21,32.45282745361328
2014-08-22,32.240474700927734
2014-08-25,32.26702880859375
2014-08-26,32.19623947143555
2014-08-27,32.240474700927734
2014-08-28,31.992748260498047
2014-08-29,32.178550720214844
2014-09-02,31.39997100830078
2014-09-03,31.231857299804688
2014-09-04,31.16107749938965
2014-09-05,30.984134674072266
2014-09-08,30.886812210083008
2014-09-09,30.47097396850586
2014-09-10,30.57715606689453
2014-09-11,30.57715606689453
2014-09-12,30.29401969909668
2014-09-15,30.364803314208984
2014-09-16,30.869117736816406
2014-09-17,30.53291130065918
2014-09-18,30.3559513092041
2014-09-19,30.134765625
2014-09-22,29.347332000732422
2014-09-23,29.161537170410156
2014-09-24,29.41811752319336
2014-09-25,28.904956817626953
2014-09-26,29.081899642944336
2014-09-29,28.666072845458984
2014-09-30,28.887258529663086
2014-10-01,28.20600128173828
2014-10-02,28.374103546142578
2014-10-03,28.59528923034668
2014-10-06,28.745697021484375
2014-10-07,27.95827293395996
2014-10-08,28.577594757080078
2014-10-09,27.55128288269043
2014-10-10,27.402023315429688
2014-10-13,27.455646514892578
2014-10-14,27.518211364746094
2014-10-15,26.838972091674805
2014-10-16,27.026655197143555
2014-10-17,27.11603355407715
2014-10-20,27.491397857666016
2014-10-21,28.15276527404785
2014-10-22,27.60758399963379
2014-10-23,27.670148849487305
2014-10-24,27.527149200439453
2014-10-27,27.07134437561035
2014-10-28,25.94523048400879
2014-10-29,25.909482955932617
2014-10-30,25.09617805480957
2014-10-31,25.471546173095703
2014-11-03,24.83700180053711
2014-11-04,24.83700180053711
2014-11-05,24.247129440307617
2014-11-06,24.640371322631836
2014-11-07,25.328556060791016
2014-11-10,25.04255485534668
2014-11-11,25.40898895263672
2014-11-12,25.525175094604492
2014-11-13,24.9353084564209
2014-11-14,25.292800903320312
2014-11-17,25.40005111694336
2014-11-18,25.19449234008789
2014-11-19,25.09617805480957
2014-11-20,25.534109115600586
2014-11-21,26.445728302001953
2014-11-24,26.01673698425293
2014-11-25,26.168664932250977
2014-11-26,26.2222900390625
2014-11-28,23.996877670288086
2014-12-01,23.415952682495117
2014-12-02,23.121017456054688
2014-12-03,23.862821578979492
2014-12-04,23.621511459350586
2014-12-05,23.246135711669922
2014-12-08,22.45964813232422
2014-12-09,22.45964813232422
2014-12-10,21.413978576660156
2014-12-11,20.538116455078125
2014-12-12,19.465625762939453
2014-12-15,18.79532814025879
2014-12-16,18.938318252563477
2014-12-17,19.778430938720703
2014-12-18,20.395116806030273
2014-12-19,20.913484573364258
2014-12-22,20.153806686401367
2014-12-23,20.412988662719727
2014-12-24,20.475547790527344
2014-12-26,21.011795043945312
2014-12-29,20.788366317749023
2014-12-30,21.074359893798828
2014-12-31,20.877737045288086
2015-01-02,21.04754638671875
2015-01-05,19.796314239501953
2015-01-06,20.13593292236328
2015-01-07,20.43086814880371
2015-01-08,20.88667106628418
2015-01-09,20.958171844482422
2015-01-12,20.618553161621094
2015-01-13,19.06289291381836
2015-01-14,16.979026794433594
2015-01-15,16.60755157470703
2015-01-16,17.43204116821289
2015-01-20,17.459218978881836
2015-01-21,17.984710693359375
2015-01-22,18.138748168945312
2015-01-23,17.43204116821289
2015-01-26,17.721965789794922
2015-01-27,16.652851104736328
2015-01-28,15.783064842224121
2015-01-29,15.248505592346191
2015-01-30,15.23038101196289
2015-02-02,15.810243606567383
2015-02-03,17.196470260620117
2015-02-04,16.57131004333496
2015-02-05,17.749149322509766
2015-02-06,17.078683853149414
2015-02-09,17.676666259765625
2015-02-10,16.951845169067383
2015-02-11,16.85218048095703
2015-02-12,17.640430450439453
2015-02-13,18.383373260498047
2015-02-17,18.98134994506836
2015-02-18,19.289400100708008
2015-02-19,19.12632179260254
2015-02-20,19.280344009399414
2015-02-23,18.655176162719727
2015-02-24,19.22597885131836
2015-02-25,19.479665756225586
2015-02-26,19.12632179260254
2015-02-27,19.59745216369629
2015-03-02,19.144441604614258
2015-03-03,19.01759147644043
2015-03-04,18.908872604370117
2015-03-05,18.292766571044922
2015-03-06,17.613243103027344
2015-03-09,17.77632713317871
2015-03-10,17.06962776184082
2015-03-11,17.042444229125977
