,CEG
2022-01-19,40.90097427368164
2022-01-20,43.822471618652344
2022-01-21,43.822471618652344
2022-01-24,41.68003845214844
2022-01-25,40.801631927490234
2022-01-26,42.08905029296875
2022-01-27,44.56257629394531
2022-01-28,45.52667236328125
2022-01-31,46.74396896362305
2022-02-01,48.47737884521485
2022-02-02,51.62285614013672
2022-02-03,52.216896057128906
2022-02-04,48.82796478271485
2022-02-07,44.86446762084961
2022-02-08,44.30937957763672
2022-02-09,46.072021484375
2022-02-10,45.818824768066406
2022-02-11,46.83161544799805
2022-02-14,46.85108184814453
2022-02-15,46.74396896362305
2022-02-16,45.96489715576172
2022-02-17,44.10487365722656
2022-02-18,44.22174072265625
2022-02-22,42.40067672729492
2022-02-23,41.962440490722656
2022-02-24,43.30194854736328
2022-02-25,42.90137481689453
2022-02-28,44.923824310302734
2022-03-01,46.6922492980957
2022-03-02,48.32388687133789
2022-03-03,48.38251495361328
2022-03-04,49.828514099121094
2022-03-07,50.463584899902344
2022-03-08,51.11819076538086
2022-03-09,50.15093994140625
2022-03-10,50.14116668701172
2022-03-11,48.187103271484375
2022-03-14,49.7796630859375
2022-03-15,50.111854553222656
2022-03-16,50.5808219909668
2022-03-17,49.81874084472656
2022-03-18,47.88422775268555
2022-03-21,48.08940124511719
2022-03-22,49.965301513671875
2022-03-23,49.81874084472656
2022-03-24,51.20612335205078
2022-03-25,52.56419372558594
2022-03-28,55.47574615478515
2022-03-29,55.03608322143555
2022-03-30,56.17920684814453
2022-03-31,54.957916259765625
2022-04-01,56.687259674072266
2022-04-04,57.03899383544922
2022-04-05,57.64474868774414
2022-04-06,58.230960845947266
2022-04-07,59.5108757019043
2022-04-08,62.549434661865234
2022-04-11,59.286155700683594
2022-04-12,60.44882583618164
2022-04-13,62.725303649902344
2022-04-14,61.11320495605469
2022-04-18,61.85574722290039
2022-04-19,65.17765045166016
2022-04-20,63.90751266479492
2022-04-21,61.230445861816406
2022-04-22,60.9959602355957
2022-04-25,60.83964157104492
2022-04-26,58.57292938232422
2022-04-27,58.7097053527832
2022-04-28,59.90169143676758
2022-04-29,57.84993362426758
2022-05-02,56.86313247680664
2022-05-03,58.32867431640625
2022-05-04,60.39020538330078
2022-05-05,58.77810287475586
2022-05-06,58.88557815551758
2022-05-09,56.29644775390625
2022-05-10,55.729774475097656
2022-05-11,56.052188873291016
2022-05-12,52.3704833984375
2022-05-13,53.4870491027832
2022-05-16,55.42633056640625
2022-05-17,58.10020065307617
2022-05-18,56.102142333984375
2022-05-19,56.05316925048828
2022-05-20,55.485107421875
2022-05-23,55.43612289428711
2022-05-24,55.612422943115234
2022-05-25,57.95328140258789
2022-05-26,61.18541717529297
2022-05-27,65.23049926757812
2022-05-31,60.803443908691406
2022-06-01,62.34115219116211
2022-06-02,62.43910217285156
2022-06-03,63.82990264892578
2022-06-06,65.02481079101562
2022-06-07,65.18152618408203
2022-06-08,63.4381217956543
2022-06-09,59.95132827758789
2022-06-10,58.5605354309082
2022-06-13,54.33915710449219
2022-06-14,53.32054138183594
2022-06-15,57.00322723388672
2022-06-16,57.06199264526367
2022-06-17,56.90528106689453
2022-06-21,59.138397216796875
2022-06-22,57.99245834350586
2022-06-23,57.443973541259766
2022-06-24,58.06101989746094
2022-06-27,58.19813537597656
2022-06-28,56.88569641113281
2022-06-29,56.13152694702149
2022-06-30,56.082557678222656
2022-07-01,56.41556167602539
2022-07-05,53.81025695800781
2022-07-06,55.59283447265625
2022-07-07,57.89451217651367
2022-07-08,58.42340850830078
2022-07-11,58.60950469970703
2022-07-12,58.01205062866211
2022-07-13,58.58991622924805
2022-07-14,56.72897720336914
2022-07-15,54.51546096801758
2022-07-18,53.68294143676758
2022-07-19,53.8690299987793
2022-07-20,52.95814895629883
2022-07-21,53.04629898071289
2022-07-22,52.889591217041016
2022-07-25,53.82984924316406
2022-07-26,54.35874938964844
2022-07-27,54.38813018798828
2022-07-28,63.2618293762207
2022-07-29,64.74076843261719
2022-08-01,63.95723342895508
2022-08-02,64.48612213134766
2022-08-03,65.78877258300781
2022-08-04,66.07279968261719
2022-08-05,72.77216339111328
2022-08-08,74.32945251464844
2022-08-09,74.16295623779297
2022-08-10,75.53417205810547
2022-08-11,77.2090072631836
2022-08-12,79.96714782714844
2022-08-15,79.67278289794922
2022-08-16,79.86902618408203
2022-08-17,78.20098876953125
2022-08-18,80.06526947021484
2022-08-19,79.3195571899414
2022-08-22,78.15193939208984
2022-08-23,78.25006103515625
2022-08-24,78.85839080810547
2022-08-25,81.18382263183594
2022-08-26,79.30974578857422
2022-08-29,79.47654724121094
2022-08-30,78.1911849975586
2022-08-31,80.0554428100586
2022-09-01,80.96795654296875
2022-09-02,79.54523468017578
2022-09-06,80.71285247802734
2022-09-07,81.34080505371094
2022-09-08,84.17646026611328
2022-09-09,85.86410522460938
2022-09-12,86.47242736816406
2022-09-13,84.75535583496094
2022-09-14,86.3939437866211
2022-09-15,85.1674575805664
2022-09-16,83.96060180664062
2022-09-19,87.67930603027344
2022-09-20,86.09959411621094
2022-09-21,85.638427734375
2022-09-22,83.774169921875
2022-09-23,82.27294921875
2022-09-26,81.36042785644531
2022-09-27,82.39068603515625
2022-09-28,83.4209213256836
2022-09-29,81.47817993164062
2022-09-30,81.62535095214844
2022-10-03,84.9614028930664
2022-10-04,87.65968322753906
2022-10-05,86.51168823242188
2022-10-06,84.65724182128906
2022-10-07,82.80278015136719
2022-10-10,83.12657928466797
2022-10-11,81.32117462158203
2022-10-12,80.61473846435547
2022-10-13,82.2435073852539
2022-10-14,79.73165893554688
2022-10-17,83.58773803710938
2022-10-18,84.88291931152344
2022-10-19,84.07833862304688
2022-10-20,82.9695816040039
2022-10-21,85.638427734375
2022-10-24,85.93278503417969
2022-10-25,86.4920654296875
2022-10-26,87.11022186279297
2022-10-27,91.2900848388672
2022-10-28,91.98674011230467
2022-10-31,92.76187896728516
2022-11-01,93.72344207763672
2022-11-02,91.33914184570312
2022-11-03,92.6343231201172
2022-11-04,92.5460205078125
2022-11-07,91.74144744873048
2022-11-08,85.89354705810547
2022-11-09,85.70710754394531
2022-11-10,93.35059356689452
2022-11-11,90.57382202148438
2022-11-14,92.29451751708984
2022-11-15,91.8817901611328
2022-11-16,90.09327697753906
2022-11-17,88.49150848388672
2022-11-18,91.6852569580078
2022-11-21,91.773681640625
2022-11-22,94.60385131835938
2022-11-23,94.94779205322266
2022-11-25,95.47845458984376
2022-11-28,93.16912078857422
2022-11-29,92.7957000732422
2022-11-30,94.4564437866211
2022-12-01,92.83499908447266
2022-12-02,90.44705963134766
2022-12-05,88.50132751464844
2022-12-06,89.20885467529297
2022-12-07,90.3782730102539
2022-12-08,89.82796478271484
2022-12-09,88.1672134399414
2022-12-12,89.30712890625
2022-12-13,89.267822265625
2022-12-14,89.27765655517578
2022-12-15,88.14755249023438
2022-12-16,86.67350769042969
2022-12-19,86.21166229248047
2022-12-20,86.04460144042969
2022-12-21,88.09842681884766
2022-12-22,85.8185806274414
2022-12-23,86.51628875732422
2022-12-27,86.12321472167969
2022-12-28,85.11104583740234
2022-12-29,85.26826477050781
2022-12-30,84.71797180175781
2023-01-03,80.49238586425781
2023-01-04,81.9664306640625
2023-01-05,80.98373413085938
2023-01-06,82.05486297607422
2023-01-09,82.54621124267578
2023-01-10,81.64212799072266
2023-01-11,82.65431213378906
2023-01-12,82.88031768798828
2023-01-13,83.68614196777344
2023-01-17,81.92710876464844
2023-01-18,80.43342590332031
2023-01-19,79.4408950805664
2023-01-20,81.56350708007812
2023-01-23,82.68377685546875
2023-01-24,82.45777893066406
2023-01-25,81.95659637451172
2023-01-26,84.39366912841797
2023-01-27,85.08155822753906
2023-01-30,80.97390747070312
2023-01-31,83.88268280029297
2023-02-01,83.93181610107422
2023-02-02,83.85320281982422
2023-02-03,81.76005554199219
2023-02-06,81.81901550292969
2023-02-07,84.44281005859375
2023-02-08,82.88031768798828
2023-02-09,82.95893859863281
2023-02-10,85.30757904052734
2023-02-13,84.89485168457031
2023-02-14,84.57056427001953
2023-02-15,84.52142333984375
2023-02-16,84.14798736572266
2023-02-17,83.0866928100586
2023-02-21,78.97904205322266
2023-02-22,76.45352172851562
2023-02-23,77.84894561767578
2023-02-24,78.17635345458984
2023-02-27,77.28878021240234
2023-02-28,73.8567886352539
2023-03-01,73.32423400878906
2023-03-02,75.12899017333984
2023-03-03,77.89036560058594
2023-03-06,77.71284484863281
2023-03-07,76.82526397705078
2023-03-08,76.99291229248047
2023-03-09,77.5550537109375
2023-03-10,76.48008728027344
2023-03-13,76.03628540039062
2023-03-14,76.85484313964844
2023-03-15,76.26312255859375
2023-03-16,77.34794616699219
2023-03-17,75.7108383178711
2023-03-20,75.93766021728516
2023-03-21,75.46429443359375
2023-03-22,73.39326477050781
2023-03-23,72.38734436035156
2023-03-24,72.42678833007812
2023-03-27,74.23152923583984
2023-03-28,74.46823120117188
2023-03-29,74.83312225341797
2023-03-30,75.7601547241211
2023-03-31,77.4169692993164
2023-04-03,75.56292724609375
2023-04-04,74.97118377685547
2023-04-05,75.44457244873047
2023-04-06,75.89822387695312
2023-04-10,76.26312255859375
2023-04-11,76.35187530517578
2023-04-12,75.75028991699219
2023-04-13,76.07574462890625
2023-04-14,75.37553405761719
2023-04-17,74.00470733642578
2023-04-18,73.45244598388672
2023-04-19,73.71870422363281
2023-04-20,75.41498565673828
2023-04-21,75.49388122558594
2023-04-24,76.22367858886719
2023-04-25,75.8686294555664
2023-04-26,74.81340026855469
2023-04-27,75.69112396240234
2023-04-28,76.3321533203125
2023-05-01,75.98698425292969
2023-05-02,75.7305679321289
2023-05-03,75.45442962646484
2023-05-04,77.5057373046875
2023-05-05,78.39332580566406
2023-05-08,77.62408447265625
2023-05-09,77.86076354980469
2023-05-10,78.35880279541016
2023-05-11,78.30635070800781
2023-05-12,79.02883911132812
2023-05-15,79.44451141357422
2023-05-16,78.18758392333984
2023-05-17,79.56329345703125
2023-05-18,80.56290435791016
2023-05-19,81.45365142822266
2023-05-22,82.6709976196289
2023-05-23,83.17574310302734
2023-05-24,82.45325469970703
2023-05-25,81.89901733398438
2023-05-26,82.98770904541016
2023-05-30,82.83924865722656
2023-05-31,83.15595245361328
2023-06-01,87.96597290039062
2023-06-02,86.63976287841797
2023-06-05,86.61006927490234
2023-06-06,88.62908935546875
2023-06-07,89.87612915039062
2023-06-08,91.3508071899414
2023-06-09,92.33061981201172
2023-06-12,92.785888671875
2023-06-13,93.28075408935548
2023-06-14,92.24154663085938
2023-06-15,92.49887084960938
2023-06-16,91.93473815917967
2023-06-20,91.0439910888672
2023-06-21,89.56930541992188
2023-06-22,88.33216857910156
2023-06-23,89.43074798583984
2023-06-26,89.6979751586914
2023-06-27,89.91571044921875
2023-06-28,89.61880493164062
2023-06-29,89.93550872802734
2023-06-30,90.6085205078125
2023-07-03,90.6580047607422
2023-07-05,91.19245147705078
2023-07-06,90.06417846679688
2023-07-07,90.39077758789062
2023-07-10,92.63743591308594
2023-07-11,93.3896255493164
2023-07-12,95.07213592529295
