,NRG
2014-01-02,22.25169563293457
2014-01-03,22.31398582458496
2014-01-06,22.35291290283203
2014-01-07,22.306196212768555
2014-01-08,22.150480270385742
2014-01-09,21.8546199798584
2014-01-10,21.846830368041992
2014-01-13,21.37969207763672
2014-01-14,21.636621475219727
2014-01-15,21.8234806060791
2014-01-16,21.862411499023438
2014-01-17,21.8546199798584
2014-01-21,21.8546199798584
2014-01-22,21.7144775390625
2014-01-23,21.286258697509766
2014-01-24,20.88140296936035
2014-01-27,20.826906204223633
2014-01-28,21.17725944519043
2014-01-29,21.169477462768555
2014-01-30,21.607406616210938
2014-01-31,21.779455184936523
2014-02-03,21.451005935668945
2014-02-04,21.419721603393555
2014-02-05,21.396257400512695
2014-02-06,21.6230525970459
2014-02-07,21.591772079467773
2014-02-10,21.568307876586914
2014-02-11,21.701250076293945
2014-02-12,21.49010467529297
2014-02-13,22.11573028564453
2014-02-14,22.2330379486084
2014-02-18,22.459821701049805
2014-02-19,22.311235427856445
2014-02-20,22.459821701049805
2014-02-21,22.334699630737305
2014-02-24,22.584941864013672
2014-02-25,22.530208587646484
2014-02-26,22.452001571655273
2014-02-27,22.405078887939453
2014-02-28,22.733530044555664
2014-03-03,22.3503360748291
2014-03-04,22.569303512573242
2014-03-05,22.577125549316406
2014-03-06,22.49110221862793
2014-03-07,22.44417953491211
2014-03-10,22.694427490234375
2014-03-11,22.936859130859375
2014-03-12,23.39825439453125
2014-03-13,23.29659080505371
2014-03-14,23.43735694885254
2014-03-17,23.37479019165039
2014-03-18,23.5859432220459
2014-03-19,23.29659080505371
2014-03-20,23.828367233276367
2014-03-21,23.75798797607422
2014-03-24,23.74234390258789
2014-03-25,24.05515480041504
2014-03-26,24.133358001708984
2014-03-27,24.461809158325195
2014-03-28,24.672964096069336
2014-03-31,24.86845588684082
2014-04-01,24.77461814880371
2014-04-02,25.142175674438477
2014-04-03,24.97012710571289
2014-04-04,25.541011810302734
2014-04-07,25.110891342163086
2014-04-08,25.29075813293457
2014-04-09,25.713050842285156
2014-04-10,25.33768081665039
2014-04-11,24.805906295776367
2014-04-14,25.040510177612305
2014-04-15,25.306398391723633
2014-04-16,25.533185958862305
2014-04-17,25.189096450805664
2014-04-21,25.29075813293457
2014-04-22,25.298583984375
2014-04-23,25.52536964416504
2014-04-24,25.783437728881836
2014-04-25,25.932018280029297
2014-04-28,25.783437728881836
2014-04-29,25.767736434936523
2014-04-30,25.697052001953125
2014-05-01,26.34105110168457
2014-05-02,26.364599227905273
2014-05-05,26.505971908569336
2014-05-06,26.882946014404297
2014-05-07,27.550500869750977
2014-05-08,27.09499168395996
2014-05-09,26.7887020111084
2014-05-12,26.780839920043945
2014-05-13,26.45099449157715
2014-05-14,26.757282257080078
2014-05-15,26.45099449157715
2014-05-16,26.52952766418457
2014-05-19,26.246797561645508
2014-05-20,26.356748580932617
2014-05-21,26.411733627319336
2014-05-22,26.42742919921875
2014-05-23,26.48241424560547
2014-05-27,27.731142044067383
2014-05-28,27.613327026367188
2014-05-29,27.91962242126465
2014-05-30,27.99030303955078
2014-06-02,27.982446670532227
2014-06-03,28.320158004760742
2014-06-04,28.320158004760742
2014-06-05,28.64216423034668
2014-06-06,28.351581573486328
2014-06-09,28.626455307006836
2014-06-10,28.461517333984375
2014-06-11,28.49293327331543
2014-06-12,28.218061447143555
2014-06-13,28.83064079284668
2014-06-16,29.026988983154297
2014-06-17,28.854202270507812
2014-06-18,29.474639892578125
2014-06-19,29.576732635498047
2014-06-20,29.246891021728516
2014-06-23,29.08981704711914
2014-06-24,28.862051010131836
2014-06-25,28.924890518188477
2014-06-26,28.79922866821289
2014-06-27,29.0976619720459
2014-06-30,29.215471267700195
2014-07-01,28.540058135986328
2014-07-02,28.08454132080078
2014-07-03,27.888195037841797
2014-07-07,27.479820251464844
2014-07-08,27.841079711914062
2014-07-09,27.91962242126465
2014-07-10,27.770404815673828
2014-07-11,27.134258270263672
2014-07-14,26.458847045898438
2014-07-15,26.097583770751953
2014-07-16,25.838417053222656
2014-07-17,24.966659545898438
2014-07-18,25.35934066772461
2014-07-21,24.98236846923828
2014-07-22,24.652511596679688
2014-07-23,24.801729202270508
2014-07-24,24.880268096923828
2014-07-25,24.621103286743164
2014-07-28,24.95095443725586
2014-07-29,24.44832420349121
2014-07-30,24.314208984375
2014-07-31,24.424652099609375
2014-08-01,24.243200302124023
2014-08-04,24.479877471923828
2014-08-05,24.235315322875977
2014-08-06,23.754079818725586
2014-08-07,23.533184051513672
2014-08-08,23.367517471313477
2014-08-11,23.13873291015625
2014-08-12,23.036170959472656
2014-08-13,23.115062713623047
2014-08-14,23.20973014831543
2014-08-15,23.004619598388672
2014-08-18,22.925722122192383
2014-08-19,23.37540054321289
2014-08-20,23.477964401245117
2014-08-21,23.675188064575195
2014-08-22,23.351736068725586
2014-08-25,23.454296112060547
2014-08-26,23.46218490600586
2014-08-27,23.974979400634766
2014-08-28,24.045978546142578
2014-08-29,24.28264808654785
2014-09-02,24.0380916595459
2014-09-03,24.07753562927246
2014-09-04,23.903974533081055
2014-09-05,24.369436264038086
2014-09-08,24.29843521118164
2014-09-09,24.069644927978516
2014-09-10,24.227418899536133
2014-09-11,24.4404354095459
2014-09-12,23.88819694519043
2014-09-15,23.825077056884766
2014-09-16,24.195865631103516
2014-09-17,24.109092712402344
2014-09-18,24.29843521118164
2014-09-19,24.6534423828125
2014-09-22,24.416767120361328
2014-09-23,24.266874313354492
2014-09-24,23.7225284576416
2014-09-25,23.485851287841797
2014-09-26,23.509517669677734
2014-09-29,23.99075698852539
2014-09-30,24.045978546142578
2014-10-01,24.60610008239746
2014-10-02,24.842777252197266
2014-10-03,24.898000717163086
2014-10-06,24.850666046142578
2014-10-07,24.732332229614258
2014-10-08,25.095232009887695
2014-10-09,24.48776626586914
2014-10-10,23.777746200561523
2014-10-13,22.980947494506836
2014-10-14,22.18414878845215
2014-10-15,21.38735580444336
2014-10-16,22.15259552001953
2014-10-17,22.255151748657227
2014-10-20,22.436601638793945
2014-10-21,22.57071304321289
2014-10-22,23.02039337158203
2014-10-23,23.14661979675293
2014-10-24,23.44640350341797
2014-10-27,22.681163787841797
2014-10-28,23.06772804260254
2014-10-29,23.05195426940918
2014-10-30,23.583070755004883
2014-10-31,23.76538848876953
2014-11-03,24.122112274169922
2014-11-04,23.733678817749023
2014-11-05,25.580690383911133
2014-11-06,25.86606216430664
2014-11-07,26.73012351989746
2014-11-10,26.294124603271484
2014-11-11,26.28619956970215
2014-11-12,25.7154483795166
2014-11-13,25.009939193725586
2014-11-14,24.819692611694336
2014-11-17,25.112993240356445
2014-11-18,25.16055679321289
2014-11-19,24.8117618560791
2014-11-20,24.692853927612305
2014-11-21,24.819692611694336
2014-11-24,24.573951721191406
2014-11-25,24.367847442626953
2014-11-26,24.510540008544922
2014-11-28,24.780059814453125
2014-12-01,24.462970733642578
2014-12-02,24.45504379272461
2014-12-03,23.242202758789062
2014-12-04,22.6159610748291
2014-12-05,22.40985870361328
2014-12-08,21.934232711791992
2014-12-09,22.06899642944336
2014-12-10,21.363481521606445
2014-12-11,21.339702606201172
2014-12-12,21.133596420288086
2014-12-15,20.705535888671875
2014-12-16,20.47565460205078
2014-12-17,21.204946517944336
2014-12-18,22.005577087402344
2014-12-19,21.41897201538086
2014-12-22,21.08603286743164
2014-12-23,21.51409339904785
2014-12-24,21.98972511291504
2014-12-26,22.116558074951172
2014-12-29,22.322668075561523
2014-12-30,21.958017349243164
2014-12-31,21.363481521606445
2015-01-02,21.799467086791992
2015-01-05,20.967130661010742
2015-01-06,20.69761085510254
2015-01-07,20.79273223876953
2015-01-08,21.252504348754883
2015-01-09,21.51409339904785
2015-01-12,21.157384872436523
2015-01-13,21.307992935180664
2015-01-14,21.37934112548828
2015-01-15,21.062252044677734
2015-01-16,20.84822654724121
2015-01-20,19.56403350830078
2015-01-21,20.190275192260742
2015-01-22,19.8890438079834
2015-01-23,19.849409103393555
2015-01-26,20.24576759338379
2015-01-27,20.087223052978516
2015-01-28,19.508541107177734
2015-01-29,19.480634689331055
2015-01-30,19.664039611816406
2015-02-02,20.11058807373047
2015-02-03,20.764455795288086
2015-02-04,20.764455795288086
2015-02-05,21.003679275512695
2015-02-06,20.158432006835938
2015-02-09,20.756488800048828
2015-02-10,21.171138763427734
2015-02-11,20.565113067626953
2015-02-12,20.301971435546875
2015-02-13,20.230201721191406
2015-02-17,19.919212341308594
2015-02-18,20.668771743774414
2015-02-19,20.206275939941406
2015-02-20,20.24614715576172
2015-02-23,20.206275939941406
2015-02-24,20.63688087463379
2015-02-25,20.238178253173828
2015-02-26,19.751758575439453
2015-02-27,19.121803283691406
2015-03-02,18.65133285522461
2015-03-03,19.2493896484375
2015-03-04,19.4487361907959
2015-03-05,19.99098014831543
2015-03-06,19.528484344482422
2015-03-09,18.91447639465332
2015-03-10,18.65133285522461
2015-03-11,18.436037063598633
2015-03-12,18.563617706298828
2015-03-13,18.715124130249023
2015-03-16,18.962326049804688
2015-03-17,19.400897979736328
2015-03-18,20.206275939941406
2015-03-19,19.63214683532715
2015-03-20,20.29399299621582
2015-03-23,20.517261505126953
2015-03-24,20.166404724121094
2015-03-25,19.7437801361084
2015-03-26,19.664039611816406
2015-03-27,19.297229766845703
2015-03-30,19.87136459350586
2015-03-31,20.086666107177734
2015-04-01,18.818790435791016
2015-04-02,19.129783630371094
2015-04-06,19.53645896911621
2015-04-07,19.847436904907227
2015-04-08,19.87136459350586
2015-04-09,19.624168395996094
2015-04-10,19.592269897460938
2015-04-13,19.60822296142578
2015-04-14,19.41684341430664
2015-04-15,20.05477523803711
2015-04-16,20.01490020751953
2015-04-17,19.90326499938965
2015-04-20,20.66080093383789
2015-04-21,20.309940338134766
2015-04-22,19.99098014831543
2015-04-23,19.70391273498535
2015-04-24,20.3577823638916
2015-04-27,20.182353973388672
2015-04-28,20.42157554626465
2015-04-29,20.577959060668945
2015-04-30,20.24114227294922
2015-05-01,20.24114227294922
2015-05-04,20.465679168701172
2015-05-05,20.136878967285156
2015-05-06,19.719873428344727
2015-05-07,20.024612426757812
2015-05-08,21.171396255493164
2015-05-11,20.85062026977539
2015-05-12,21.19545555114746
2015-05-13,20.898725509643555
2015-05-14,20.682214736938477
2015-05-15,20.93081283569336
2015-05-18,20.890714645385742
2015-05-19,20.69022560119629
2015-05-20,20.63408660888672
2015-05-21,20.93081283569336
2015-05-22,20.826562881469727
2015-05-26,20.281232833862305
2015-05-27,20.3293514251709
2015-05-28,20.3854923248291
2015-05-29,20.209060668945312
2015-06-01,20.16094398498535
2015-06-02,19.824121475219727
2015-06-03,19.816112518310547
2015-06-04,19.55948257446289
2015-06-05,19.551464080810547
2015-06-08,19.270782470703125
2015-06-09,19.13445281982422
2015-06-10,19.743934631347656
2015-06-11,19.67176055908203
2015-06-12,19.39107322692871
2015-06-15,19.198610305786133
2015-06-16,19.415132522583008
2015-06-17,19.575519561767578
2015-06-18,20.024612426757812
2015-06-19,19.984516143798828
2015-06-22,20.120845794677734
2015-06-23,20.040653228759766
2015-06-24,19.960451126098633
2015-06-25,19.535430908203125
2015-06-26,19.407114028930664
2015-06-29,18.797630310058594
2015-06-30,18.348543167114258
2015-07-01,18.003705978393555
2015-07-02,18.123992919921875
2015-07-06,18.252309799194336
2015-07-07,18.524974822998047
2015-07-08,17.723024368286133
2015-07-09,17.554616928100586
2015-07-10,17.450361251831055
2015-07-13,17.827280044555664
2015-07-14,17.706987380981445
2015-07-15,17.554616928100586
2015-07-16,17.843318939208984
2015-07-17,17.835294723510742
2015-07-20,17.297992706298828
2015-07-21,16.889001846313477
2015-07-22,17.626794815063477
2015-07-23,17.362144470214844
2015-07-24,17.161663055419922
2015-07-27,17.281953811645508
2015-07-28,17.771141052246094
2015-07-29,17.6428279876709
2015-07-30,18.050495147705078
2015-07-31,18.123153686523438
2015-08-03,17.97784423828125
2015-08-04,16.177642822265625
2015-08-05,16.169567108154297
2015-08-06,15.685208320617676
2015-08-07,15.822443962097168
2015-08-10,16.024261474609375
2015-08-11,15.523756980895996
2015-08-12,16.573198318481445
2015-08-13,16.411745071411133
2015-08-14,16.783090591430664
2015-08-17,17.146358489990234
2015-08-18,16.944543838500977
2015-08-19,16.920320510864258
2015-08-20,16.387527465820312
2015-08-21,15.806294441223145
2015-08-24,15.515681266784668
2015-08-25,15.25735855102539
2015-08-26,15.394593238830566
2015-08-27,16.000041961669922
2015-08-28,16.32295036315918
2015-08-31,16.080772399902344
2015-09-01,15.531824111938477
2015-09-02,15.079758644104004
2015-09-03,15.25735855102539
2015-09-04,14.47430419921875
2015-09-08,14.86179256439209
2015-09-09,14.530810356140137
2015-09-10,14.813363075256348
2015-09-11,14.894079208374023
2015-09-14,14.869867324829102
2015-09-15,15.378447532653809
2015-09-16,15.313861846923828
2015-09-17,15.475317001342773
2015-09-18,14.514670372009277
2015-09-21,13.239185333251953
2015-09-22,12.399629592895508
2015-09-23,12.456135749816895
2015-09-24,12.496500968933105
2015-09-25,12.165520668029785
2015-09-28,12.02021312713623
2015-09-29,11.68116283416748
2015-09-30,11.987922668457031
2015-10-01,11.899124145507812
2015-10-02,12.004067420959473
2015-10-05,12.74675178527832
2015-10-06,12.738679885864258
2015-10-07,12.43191909790039
2015-10-08,12.472285270690918
2015-10-09,12.480354309082031
2015-10-12,12.036357879638672
2015-10-13,12.133230209350586
2015-10-14,12.270465850830078
2015-10-15,12.415773391723633
2015-10-16,12.12515640258789
2015-10-19,11.947558403015137
2015-10-20,12.31082820892334
2015-10-21,11.947558403015137
2015-10-22,12.044431686401367
2015-10-23,11.317888259887695
2015-10-26,10.615568161010742
2015-10-27,10.211935043334961
2015-10-28,10.518692016601562
2015-10-29,10.522777557373047
2015-10-30,10.522777557373047
2015-11-02,10.906460762023926
2015-11-03,11.004424095153809
2015-11-04,11.49423599243164
2015-11-05,11.086061477661133
2015-11-06,11.028914451599121
2015-11-09,10.8574800491333
2015-11-10,11.086061477661133
2015-11-11,10.637063026428223
2015-11-12,10.21256160736084
2015-11-13,10.294197082519531
2015-11-16,10.384001731872559
2015-11-17,9.812552452087402
2015-11-18,9.902349472045898
2015-11-19,9.739078521728516
2015-11-20,9.796222686767578
2015-11-23,9.918678283691406
2015-11-24,10.302361488342285
2015-11-25,9.943169593811035
2015-11-27,9.48600959777832
2015-11-30,10.090109825134277
2015-12-01,10.081950187683105
2015-12-02,8.80843734741211
2015-12-03,8.955381393432617
2015-12-04,7.347165584564209
2015-12-07,7.796159744262695
2015-12-08,8.236990928649902
2015-12-09,8.612513542175293
2015-12-10,8.547205924987793
2015-12-11,8.277811050415039
2015-12-14,7.510437965393066
2015-12-15,7.575744152069092
2015-12-16,7.869633197784424
2015-12-17,7.771670818328857
2015-12-18,8.465570449829102
2015-12-21,9.037016868591309
2015-12-22,8.898235321044922
2015-12-23,9.420697212219238
2015-12-24,9.38804817199707
2015-12-28,9.28192138671875
