,KKR
2014-01-02,17.527544021606445
2014-01-03,17.90410614013672
2014-01-06,18.039094924926758
2014-01-07,18.230920791625977
2014-01-08,18.316179275512695
2014-01-09,18.351701736450195
2014-01-10,18.43696403503418
2014-01-13,18.053298950195312
2014-01-14,18.294864654541016
2014-01-15,18.294864654541016
2014-01-16,18.351701736450195
2014-01-17,18.273550033569336
2014-01-21,18.643001556396484
2014-01-22,18.685630798339844
2014-01-23,18.30908203125
2014-01-24,17.449392318725586
2014-01-27,17.05152702331543
2014-01-28,17.207834243774414
2014-01-29,17.016000747680664
2014-01-30,17.371246337890625
2014-01-31,17.129680633544922
2014-02-03,16.19184684753418
2014-02-04,16.646547317504883
2014-02-05,16.490249633789062
2014-02-06,16.97337532043457
2014-02-07,17.17230796813965
2014-02-10,17.392560958862305
2014-02-11,17.22914695739746
2014-02-12,17.32150650024414
2014-02-13,17.488201141357422
2014-02-14,17.49544906616211
2014-02-18,17.372243881225586
2014-02-19,17.357749938964844
2014-02-20,17.270776748657227
2014-02-21,17.379486083984375
2014-02-24,17.502702713012695
2014-02-25,17.415725708007812
2014-02-26,17.256282806396484
2014-02-27,17.256282806396484
2014-02-28,17.49544906616211
2014-03-03,17.14032554626465
2014-03-04,17.480955123901367
2014-03-05,17.567920684814453
2014-03-06,17.727371215820312
2014-03-07,17.59691619873047
2014-03-10,17.63315200805664
2014-03-11,17.553422927856445
2014-03-12,17.336008071899414
2014-03-13,17.075096130371094
2014-03-14,16.647493362426758
2014-03-17,16.843177795410156
2014-03-18,16.966384887695312
2014-03-19,16.879417419433594
2014-03-20,17.00261688232422
2014-03-21,16.661989212036133
2014-03-24,16.546030044555664
2014-03-25,16.444561004638672
2014-03-26,16.17640495300293
2014-03-27,16.23438835144043
2014-03-28,16.335851669311523
2014-03-31,16.55327606201172
2014-04-01,16.951885223388672
2014-04-02,16.71271514892578
2014-04-03,17.17656135559082
2014-04-04,17.14032554626465
2014-04-07,16.661989212036133
2014-04-08,16.28511619567871
2014-04-09,16.872169494628906
2014-04-10,16.26338005065918
2014-04-11,15.850271224975586
2014-04-14,15.770544052124023
2014-04-15,16.024211883544922
2014-04-16,16.792438507080078
2014-04-17,16.71271514892578
2014-04-21,16.814189910888672
2014-04-22,17.28527069091797
2014-04-23,17.133075714111328
2014-04-24,17.691129684448242
2014-04-25,17.183813095092773
2014-04-28,16.821430206298828
2014-04-29,16.843177795410156
2014-04-30,16.45905303955078
2014-05-01,17.0316104888916
2014-05-02,16.640243530273438
2014-05-05,16.654739379882812
2014-05-06,16.61125373840332
2014-05-07,16.271499633789062
2014-05-08,16.07206916809082
2014-05-09,16.50046157836914
2014-05-12,16.951019287109375
2014-05-13,17.143051147460938
2014-05-14,17.061800003051758
2014-05-15,16.537391662597656
2014-05-16,16.559551239013672
2014-05-19,17.19475555419922
2014-05-20,16.884538650512695
2014-05-21,17.290773391723633
2014-05-22,17.268611907958984
2014-05-23,17.017486572265625
2014-05-27,16.92146873474121
2014-05-28,16.92146873474121
2014-05-29,16.82545280456543
2014-05-30,16.788516998291016
2014-06-02,16.914079666137695
2014-06-03,17.246450424194336
2014-06-04,17.460655212402344
2014-06-05,17.512359619140625
2014-06-06,17.76348114013672
2014-06-09,17.87427520751953
2014-06-10,17.815185546875
2014-06-11,17.852115631103516
2014-06-12,17.903812408447266
2014-06-13,17.63791847229004
2014-06-16,17.578832626342773
2014-06-17,17.72654914855957
2014-06-18,17.925975799560547
2014-06-19,17.933361053466797
2014-06-20,17.756092071533203
2014-06-23,17.63791847229004
2014-06-24,17.416337966918945
2014-06-25,17.445884704589844
2014-06-26,17.630531311035156
2014-06-27,17.87427520751953
2014-06-30,17.970291137695312
2014-07-01,18.08846664428711
2014-07-02,18.25095558166504
2014-07-03,18.36174774169922
2014-07-07,18.46515464782715
2014-07-08,18.140174865722656
2014-07-09,18.3543701171875
2014-07-10,18.066312789916992
2014-07-11,18.243576049804688
2014-07-14,18.45777130126953
2014-07-15,18.531631469726562
2014-07-16,18.635042190551758
2014-07-17,18.41345977783203
2014-07-18,18.546401977539062
2014-07-21,18.620262145996094
2014-07-22,18.649810791015625
2014-07-23,18.701507568359375
2014-07-24,18.420846939086914
2014-07-25,18.30266571044922
2014-07-28,18.044153213500977
2014-07-29,18.162328720092773
2014-07-30,17.95551872253418
2014-07-31,17.408647537231445
2014-08-01,17.385862350463867
2014-08-04,17.454219818115234
2014-08-05,17.287126541137695
2014-08-06,17.31749725341797
2014-08-07,17.203580856323242
