,DOC
2014-01-02,18.601476669311523
2014-01-03,18.58606719970703
2014-01-06,18.90970802307129
2014-01-07,19.233348846435547
2014-01-08,19.192249298095703
2014-01-09,19.21792984008789
2014-01-10,19.96795082092285
2014-01-13,19.577524185180664
2014-01-14,19.515884399414062
2014-01-15,19.541568756103516
2014-01-16,19.72650718688965
2014-01-17,19.541568756103516
2014-01-21,19.72136878967285
2014-01-22,19.747055053710938
2014-01-23,19.793291091918945
2014-01-24,19.829248428344727
2014-01-27,19.731643676757812
2014-01-28,20.096378326416016
2014-01-29,19.947399139404297
2014-01-30,19.97822380065918
2014-01-31,20.111785888671875
2014-02-03,19.947399139404297
2014-02-04,20.04500389099121
2014-02-05,19.829248428344727
2014-02-06,19.87354278564453
2014-02-07,20.019441604614258
2014-02-10,20.22786521911621
2014-02-11,19.696378707885742
2014-02-12,19.5921630859375
2014-02-13,19.738067626953125
2014-02-14,19.639053344726562
2014-02-18,19.732847213745117
2014-02-19,19.868324279785156
2014-02-20,19.71721839904785
2014-02-21,19.336837768554688
2014-02-24,19.70679473876953
2014-02-25,19.50879669189453
2014-02-26,19.805803298950195
2014-02-27,19.98296356201172
2014-02-28,20.20181655883789
2014-03-03,20.16012191772461
2014-03-04,20.54050636291504
2014-03-05,20.451923370361328
2014-03-06,20.10280990600586
2014-03-07,19.633853912353516
2014-03-10,19.378522872924805
2014-03-11,19.51399803161621
2014-03-12,19.5921630859375
2014-03-13,19.352474212646484
2014-03-14,19.362895965576172
2014-03-17,19.3107852935791
2014-03-18,19.3107852935791
2014-03-19,18.91998863220215
2014-03-20,18.883506774902344
2014-03-21,19.21178436279297
2014-03-24,19.12320327758789
2014-03-25,19.378522872924805
2014-03-26,19.34204864501953
2014-03-27,19.680742263793945
2014-03-28,19.88917350769043
2014-03-31,20.212230682373047
2014-04-01,20.22786521911621
2014-04-02,20.326860427856445
2014-04-03,20.326860427856445
2014-04-04,20.566560745239258
2014-04-07,20.9521484375
2014-04-08,21.202259063720703
2014-04-09,21.06157875061035
2014-04-10,20.863569259643555
2014-04-11,20.957359313964844
2014-04-14,21.118894577026367
2014-04-15,21.4836368560791
2014-04-16,21.40547752380371
2014-04-17,21.118894577026367
2014-04-21,21.270004272460938
2014-04-22,21.176210403442383
2014-04-23,21.259584426879883
2014-04-24,21.311683654785156
2014-04-25,21.238739013671875
2014-04-28,21.681650161743164
2014-04-29,21.785860061645508
2014-04-30,21.81191062927246
2014-05-01,21.97865867614746
2014-05-02,21.92133903503418
2014-05-05,21.989076614379883
2014-05-06,21.869226455688477
2014-05-07,22.124557495117188
2014-05-08,22.370004653930664
2014-05-09,22.227479934692383
2014-05-12,22.127193450927734
2014-05-13,22.079683303833008
2014-05-14,22.274988174438477
2014-05-15,22.306657791137695
2014-05-16,22.523073196411133
2014-05-19,22.32777214050293
2014-05-20,22.333049774169922
2014-05-21,22.090246200561523
2014-05-22,22.000503540039062
2014-05-23,22.227479934692383
2014-05-27,22.227479934692383
2014-05-28,21.879108428955078
2014-05-29,21.96356201171875
2014-05-30,22.03746223449707
2014-06-02,22.190536499023438
2014-06-03,22.2591552734375
2014-06-04,22.079683303833008
2014-06-05,22.507246017456055
2014-06-06,22.396394729614258
2014-06-09,22.021629333496094
2014-06-10,21.83160400390625
2014-06-11,21.879108428955078
2014-06-12,21.873828887939453
2014-06-13,21.90021324157715
2014-06-16,21.69964027404785
2014-06-17,21.35126304626465
2014-06-18,21.456832885742188
2014-06-19,21.462112426757812
2014-06-20,21.736587524414062
2014-06-23,21.741865158081055
2014-06-24,21.76297950744629
2014-06-25,21.64686393737793
2014-06-26,21.85271453857422
2014-06-27,21.805206298828125
2014-06-30,21.84215545654297
2014-07-01,21.88438606262207
2014-07-02,21.78409194946289
2014-07-03,21.530733108520508
2014-07-07,21.61518669128418
2014-07-08,21.736587524414062
2014-07-09,21.81576919555664
2014-07-10,21.926610946655273
2014-07-11,21.747142791748047
2014-07-14,21.873828887939453
2014-07-15,21.9318904876709
2014-07-16,22.100805282592773
2014-07-17,22.090246200561523
2014-07-18,22.264436721801758
2014-07-21,22.253875732421875
2014-07-22,22.2591552734375
2014-07-23,22.311931610107422
2014-07-24,22.406951904296875
2014-07-25,22.33833122253418
2014-07-28,22.50196647644043
2014-07-29,22.43862533569336
2014-07-30,22.132469177246094
2014-07-31,21.921337127685547
2014-08-01,22.048017501831055
2014-08-04,22.026905059814453
2014-08-05,21.71548080444336
2014-08-06,21.69964027404785
2014-08-07,21.777206420898438
2014-08-08,21.87883758544922
2014-08-11,21.910940170288086
2014-08-12,21.91629409790039
2014-08-13,22.26934051513672
2014-08-14,22.467269897460938
2014-08-15,22.40842056274414
2014-08-18,22.60100555419922
2014-08-19,22.718692779541016
2014-08-20,22.75078582763672
2014-08-21,22.7614803314209
2014-08-22,22.60100555419922
2014-08-25,22.633100509643555
2014-08-26,22.745437622070312
2014-08-27,22.905921936035156
2014-08-28,23.05570411682129
2014-08-29,23.178735733032227
2014-09-02,23.05034828186035
2014-09-03,23.168041229248047
2014-09-04,23.23223114013672
2014-09-05,23.3927059173584
2014-09-08,23.216171264648438
2014-09-09,23.093143463134766
2014-09-10,22.68124771118164
2014-09-11,22.707992553710938
2014-09-12,21.691621780395508
2014-09-15,21.664865493774414
2014-09-16,21.798595428466797
2014-09-17,21.654170989990234
2014-09-18,21.30645751953125
2014-09-19,21.392059326171875
2014-09-22,21.247617721557617
2014-09-23,21.140628814697266
2014-09-24,21.1138916015625
2014-09-25,21.247617721557617
2014-09-26,21.408100128173828
