,CE
2014-08-18,48.66339111328125
2014-08-19,48.96233367919922
2014-08-20,49.560218811035156
2014-08-21,49.568302154541016
2014-08-22,49.43903350830078
2014-08-25,49.95611572265625
2014-08-26,49.94804763793945
2014-08-27,49.883419036865234
2014-08-28,50.04499816894531
2014-08-29,50.52977752685547
2014-09-02,50.448974609375
2014-09-03,50.56209182739258
2014-09-04,50.626731872558594
2014-09-05,50.650962829589844
2014-09-08,50.3196907043457
2014-09-09,49.673336029052734
2014-09-10,49.535987854003906
2014-09-11,49.48750686645508
2014-09-12,48.760345458984375
2014-09-15,48.7199592590332
2014-09-16,49.43095397949219
2014-09-17,49.52790069580078
2014-09-18,49.729896545410156
2014-09-19,49.721824645996094
2014-09-22,49.503665924072266
2014-09-23,49.26127243041992
2014-09-24,49.51981735229492
2014-09-25,48.978485107421875
2014-09-26,48.978485107421875
2014-09-29,48.30789566040039
2014-09-30,47.281776428222656
2014-10-01,45.68202209472656
2014-10-02,45.892086029052734
2014-10-03,45.85976791381836
2014-10-06,45.722415924072266
2014-10-07,44.19536590576172
2014-10-08,44.33272933959961
2014-10-09,43.39548873901367
2014-10-10,42.24010467529297
2014-10-13,41.13320541381836
2014-10-14,41.40790939331055
2014-10-15,42.434017181396484
2014-10-16,43.28237533569336
2014-10-17,43.702510833740234
2014-10-20,44.63167190551758
2014-10-21,47.27370071411133
2014-10-22,46.35263442993164
2014-10-23,46.74043655395508
2014-10-24,47.14442443847656
2014-10-27,46.12640380859375
2014-10-28,46.99091720581055
2014-10-29,46.60308837890625
2014-10-30,46.887107849121094
2014-10-31,47.65800476074219
2014-11-03,47.617431640625
2014-11-04,46.822200775146484
2014-11-05,47.84465408325195
2014-11-06,48.323421478271484
2014-11-07,48.128665924072266
2014-11-10,48.53441619873047
2014-11-11,48.96448516845703
2014-11-12,49.05375289916992
2014-11-13,48.428916931152344
2014-11-14,48.49382781982422
2014-11-17,48.5019416809082
2014-11-18,49.402687072753906
2014-11-19,48.86711120605469
2014-11-20,49.264732360839844
2014-11-21,49.89768981933594
2014-11-24,49.694820404052734
2014-11-25,49.49195098876953
2014-11-26,49.48383331298828
2014-11-28,48.74538803100586
2014-12-01,48.761627197265625
2014-12-02,49.264732360839844
2014-12-03,50.774085998535156
2014-12-04,50.619911193847656
2014-12-05,51.01752853393555
2014-12-08,50.12489318847656
2014-12-09,50.74973678588867
2014-12-10,48.75351333618164
2014-12-11,48.112430572509766
2014-12-12,46.684226989746094
2014-12-15,46.00260543823242
2014-12-16,45.353416442871094
2014-12-17,46.497596740722656
2014-12-18,47.544395446777344
2014-12-19,48.27473831176758
2014-12-22,48.58309555053711
2014-12-23,48.84276580810547
2014-12-24,48.940147399902344
2014-12-26,49.086212158203125
2014-12-29,49.17547607421875
2014-12-30,49.03752136230469
2014-12-31,48.6561279296875
2015-01-02,48.68048095703125
2015-01-05,47.025047302246094
2015-01-06,46.31095886230469
2015-01-07,46.878990173339844
2015-01-08,47.81218338012695
2015-01-09,47.236053466796875
2015-01-12,46.960147857666016
2015-01-13,46.24604034423828
2015-01-14,45.109981536865234
2015-01-15,45.19111633300781
2015-01-16,45.81595993041992
2015-01-20,45.7429313659668
2015-01-21,47.10620880126953
2015-01-22,47.43890380859375
2015-01-23,43.53572082519531
2015-01-26,44.59062957763672
2015-01-27,44.03070068359375
2015-01-28,43.40587615966797
2015-01-29,43.68989562988281
2015-01-30,43.624961853027344
2015-02-02,43.34095764160156
2015-02-03,44.67987823486328
2015-02-04,44.72859191894531
2015-02-05,45.29661178588867
2015-02-06,45.223575592041016
2015-02-09,45.507598876953125
2015-02-10,46.36776351928711
2015-02-11,46.854637145996094
2015-02-12,47.074703216552734
2015-02-13,47.254005432128906
2015-02-17,47.139888763427734
2015-02-18,47.26215362548828
2015-02-19,47.27845764160156
2015-02-20,46.90354919433594
2015-02-23,47.539249420166016
2015-02-24,47.180660247802734
2015-02-25,47.139888763427734
2015-02-26,46.62645721435547
2015-02-27,46.544952392578125
2015-03-02,47.47404861450195
2015-03-03,47.245853424072266
2015-03-04,48.085304260253906
2015-03-05,47.653358459472656
2015-03-06,46.96061706542969
2015-03-09,47.05024719238281
2015-03-10,45.90108871459961
2015-03-11,46.2026481628418
2015-03-12,46.62645721435547
2015-03-13,45.48544692993164
2015-03-16,45.257240295410156
2015-03-17,44.83343505859375
2015-03-18,45.7869987487793
2015-03-19,45.208351135253906
2015-03-20,45.7869987487793
2015-03-23,45.273536682128906
2015-03-24,45.322444915771484
2015-03-25,44.96383285522461
2015-03-26,44.81712341308594
2015-03-27,44.849735260009766
2015-03-30,45.77885055541992
2015-03-31,45.52619171142578
2015-04-01,45.16758728027344
2015-04-02,45.200191497802734
2015-04-06,46.08039474487305
2015-04-07,46.25968933105469
2015-04-08,46.699798583984375
2015-04-09,47.61259841918945
2015-04-10,48.02009963989258
2015-04-13,46.96873474121094
2015-04-14,46.68349838256836
2015-04-15,47.05024719238281
2015-04-16,47.384395599365234
2015-04-17,54.75204086303711
2015-04-20,54.23044967651367
2015-04-21,53.74143600463867
2015-04-22,53.58659744262695
2015-04-23,53.05683517456055
2015-04-24,53.6680793762207
2015-04-27,53.44804382324219
2015-04-28,53.6680793762207
2015-04-29,54.01039123535156
2015-04-30,54.3297004699707
2015-05-01,54.992835998535156
2015-05-04,54.82091522216797
2015-05-05,54.542564392089844
2015-05-06,54.65718460083008
2015-05-07,54.444313049316406
2015-05-08,55.09928512573242
2015-05-11,54.40337371826172
