,HII
2014-01-02,72.66826629638672
2014-01-03,73.08985900878906
2014-01-06,74.4289779663086
2014-01-07,75.37959289550781
2014-01-08,75.01589965820312
2014-01-09,75.11506652832031
2014-01-10,76.54515075683594
2014-01-13,76.8923110961914
2014-01-14,77.81815338134766
2014-01-15,78.77703094482422
2014-01-16,78.71089935302734
2014-01-17,78.72740936279297
2014-01-21,79.47964477539062
2014-01-22,80.95104217529297
2014-01-23,80.34759521484375
2014-01-24,77.24774932861328
2014-01-27,76.86751556396484
2014-01-28,77.60322570800781
2014-01-29,77.0658950805664
2014-01-30,77.62802124023438
2014-01-31,78.54556274414062
2014-02-03,74.15621948242188
2014-02-04,74.97455596923828
2014-02-05,74.85882568359375
2014-02-06,75.07373809814453
2014-02-07,76.78485870361328
2014-02-10,75.5780029296875
2014-02-11,76.7187271118164
2014-02-12,77.27255249023438
2014-02-13,78.7935562133789
2014-02-14,79.36393737792969
2014-02-18,80.32278442382812
2014-02-19,79.35564422607422
2014-02-20,81.01716613769531
2014-02-21,81.09153747558594
2014-02-24,81.0832748413086
2014-02-25,80.18226623535156
2014-02-26,80.09960174560547
2014-02-27,83.2242202758789
2014-02-28,83.76155090332031
2014-03-03,85.35693359375
2014-03-04,86.42327880859375
2014-03-05,86.04228210449219
2014-03-06,86.92845153808594
2014-03-07,86.8042221069336
2014-03-10,87.26802062988281
2014-03-11,85.82695007324219
2014-03-12,86.01742553710938
2014-03-13,84.7254409790039
2014-03-14,84.76685333251953
2014-03-17,84.38587188720703
2014-03-18,84.73371124267578
2014-03-19,83.70674133300781
2014-03-20,83.39202880859375
2014-03-21,82.40645599365234
2014-03-24,82.72119903564453
2014-03-25,83.11872863769531
2014-03-26,82.32364654541016
2014-03-27,82.78744506835938
2014-03-28,82.73774719238281
2014-03-31,84.69230651855469
2014-04-01,85.57020568847656
2014-04-02,86.26589965820312
2014-04-03,86.5392074584961
2014-04-04,83.49139404296875
2014-04-07,82.67147064208984
2014-04-08,81.35465240478516
2014-04-09,83.04418182373047
2014-04-10,82.33192443847656
2014-04-11,81.30493927001953
2014-04-14,81.59483337402344
2014-04-15,82.66322326660156
2014-04-16,83.94695281982422
2014-04-17,86.16651916503906
2014-04-21,86.09197998046875
2014-04-22,85.82695007324219
2014-04-23,86.21621704101562
2014-04-24,85.98429870605469
2014-04-25,83.28436279296875
2014-04-28,82.05862426757812
2014-04-29,83.88068389892578
2014-04-30,85.30517578125
2014-05-01,85.48739624023438
2014-05-02,86.37358093261719
2014-05-05,85.7772445678711
2014-05-06,84.49354553222656
2014-05-07,85.92633056640625
2014-05-08,83.45000457763672
2014-05-09,83.01104736328125
2014-05-12,83.84754180908203
2014-05-13,84.22850799560547
2014-05-14,82.57211303710938
2014-05-15,79.88042449951172
2014-05-16,79.63196563720703
2014-05-19,79.50773620605469
2014-05-20,78.86174011230469
2014-05-21,79.84732818603516
2014-05-22,80.5015640258789
2014-05-23,81.67761993408203
2014-05-27,82.2242660522461
2014-05-28,82.93794250488281
2014-05-29,82.47322082519531
2014-05-30,82.84666442871094
2014-06-02,83.825927734375
2014-06-03,83.89228820800781
2014-06-04,83.92550659179688
2014-06-05,84.48985290527344
2014-06-06,85.06246185302734
2014-06-09,85.67654418945312
2014-06-10,85.14543914794922
2014-06-11,83.834228515625
2014-06-12,82.27405548095703
2014-06-13,82.02507781982422
2014-06-16,81.68484497070312
2014-06-17,82.00019073486328
2014-06-18,81.22012329101562
2014-06-19,80.78025817871094
2014-06-20,80.62258911132812
2014-06-23,79.92550659179688
2014-06-24,77.92549896240234
2014-06-25,78.1246566772461
2014-06-26,77.66819763183594
2014-06-27,78.19935607910156
2014-06-30,78.49811553955078
2014-07-01,79.1205062866211
2014-07-02,78.18275451660156
2014-07-03,78.04167175292969
2014-07-07,77.6184310913086
2014-07-08,76.52300262451172
2014-07-09,76.38191986083984
2014-07-10,76.69728088378906
2014-07-11,76.44001007080078
2014-07-14,76.97940826416016
2014-07-15,77.0707015991211
2014-07-16,76.1329574584961
2014-07-17,75.07901763916016
2014-07-18,76.39022064208984
2014-07-21,76.58938598632812
2014-07-22,77.21179962158203
2014-07-23,77.37776184082031
2014-07-24,77.51054382324219
2014-07-25,77.51054382324219
2014-07-28,77.70143127441406
2014-07-29,77.16200256347656
2014-07-30,77.2283935546875
2014-07-31,75.45246887207031
2014-08-01,75.02922821044922
2014-08-04,74.09976959228516
2014-08-05,74.6557846069336
2014-08-06,74.19102478027344
2014-08-07,77.3113784790039
2014-08-08,78.72217559814453
2014-08-11,79.69312286376953
2014-08-12,79.56031799316406
2014-08-13,82.3404541015625
2014-08-14,83.15372467041016
2014-08-15,82.74710083007812
2014-08-18,84.18278503417969
2014-08-19,85.30310821533203
2014-08-20,85.36119842529297
2014-08-21,85.834228515625
2014-08-22,85.40269470214844
2014-08-25,85.61844635009766
2014-08-26,85.07073211669922
2014-08-27,85.64448547363281
2014-08-28,84.87950134277344
2014-08-29,84.9044189453125
2014-09-02,87.0912857055664
2014-09-03,85.10399627685547
2014-09-04,84.1228256225586
2014-09-05,85.32019805908203
2014-09-08,85.96873474121094
2014-09-09,86.9831771850586
2014-09-10,88.34685516357422
2014-09-11,87.83131408691406
2014-09-12,87.44882202148438
2014-09-15,87.35735321044922
2014-09-16,87.95603942871094
2014-09-17,88.98709106445312
2014-09-18,89.46105194091797
2014-09-19,88.03917694091797
2014-09-22,86.77531433105469
2014-09-23,86.11012268066406
2014-09-24,86.81689453125
2014-09-25,86.55912780761719
2014-09-26,87.20767974853516
2014-09-29,87.47378540039062
2014-09-30,86.65060424804688
2014-10-01,85.67774200439453
2014-10-02,85.56133270263672
2014-10-03,86.41778564453125
2014-10-06,84.75474548339844
2014-10-07,81.82789611816406
2014-10-08,82.65107727050781
2014-10-09,81.41214752197266
2014-10-10,79.2419204711914
2014-10-13,76.80563354492188
2014-10-14,78.08617401123047
2014-10-15,77.58724212646484
2014-10-16,76.93869018554688
2014-10-17,78.44368743896484
2014-10-20,77.4708480834961
2014-10-21,80.5224380493164
2014-10-22,80.01522064208984
2014-10-23,81.26246643066406
2014-10-24,81.19595336914062
2014-10-27,82.24365234375
2014-10-28,84.8296127319336
2014-10-29,85.9022445678711
2014-10-30,86.40945434570312
2014-10-31,87.98931121826172
2014-11-03,87.50703430175781
2014-11-04,87.71492004394531
2014-11-05,87.27420806884766
2014-11-06,88.07241821289062
2014-11-07,88.82911682128906
2014-11-10,91.09912872314453
2014-11-11,90.0347900390625
2014-11-12,90.1012954711914
2014-11-13,89.66060638427734
2014-11-14,89.67724609375
2014-11-17,89.84355926513672
2014-11-18,90.37570190429688
2014-11-19,90.70000457763672
2014-11-20,90.16783905029297
2014-11-21,89.76869201660156
2014-11-24,91.51485443115234
2014-11-25,91.90707397460938
2014-11-26,91.33126068115234
2014-11-28,90.93905639648438
2014-12-01,89.37010955810547
2014-12-02,89.87918090820312
2014-12-03,91.19772338867188
2014-12-04,89.73731231689453
2014-12-05,91.24781036376953
2014-12-08,90.4049301147461
2014-12-09,89.88752746582031
2014-12-10,86.96665954589844
