,FDX
2014-01-02,121.23069763183594
2014-01-03,121.47360229492188
2014-01-06,120.32003021240234
2014-01-07,121.98530578613281
2014-01-08,121.75112915039062
2014-01-09,122.73989868164062
2014-01-10,123.71136474609375
2014-01-13,121.85519409179688
2014-01-14,123.77206420898438
2014-01-15,123.64196014404297
2014-01-16,123.0001220703125
2014-01-17,121.87260437011719
2014-01-21,123.2950439453125
2014-01-22,123.42520904541016
2014-01-23,121.6384048461914
2014-01-24,116.72916412353516
2014-01-27,114.44796752929688
2014-01-28,116.52094268798828
2014-01-29,114.36124420166016
2014-01-30,116.02655792236328
2014-01-31,115.63629913330078
2014-02-03,112.27088928222656
2014-02-04,113.12092590332031
2014-02-05,112.73062133789062
2014-02-06,113.48521423339844
2014-02-07,114.283203125
2014-02-10,112.65257263183594
2014-02-11,115.48880767822266
2014-02-12,115.35868835449219
2014-02-13,115.41942596435547
2014-02-14,116.15665435791016
2014-02-18,115.17655944824219
2014-02-19,113.92755889892578
2014-02-20,115.35003662109375
2014-02-21,117.0067138671875
2014-02-24,116.98064422607422
2014-02-25,115.21993255615234
2014-02-26,114.812255859375
2014-02-27,115.83573913574219
2014-02-28,115.64494323730469
2014-03-03,115.68828582763672
2014-03-04,118.90621185302734
2014-03-05,118.75007629394531
2014-03-06,119.07965087890625
2014-03-07,119.33149719238281
2014-03-10,119.70484924316406
2014-03-11,119.20989227294922
2014-03-12,119.64402770996094
2014-03-13,118.6802749633789
2014-03-14,118.74969482421875
2014-03-17,119.46176147460938
2014-03-18,120.32135772705078
2014-03-19,120.1563720703125
2014-03-20,118.52392578125
2014-03-21,118.77571105957031
2014-03-24,117.17811584472656
2014-03-25,116.49211883544922
2014-03-26,114.72077941894531
2014-03-27,114.7120590209961
2014-03-28,114.62525939941406
2014-03-31,115.10279846191406
2014-04-01,116.4487075805664
2014-04-02,117.01311492919922
2014-04-03,117.48200988769531
2014-04-04,116.65706634521484
2014-04-07,115.46749877929688
2014-04-08,115.40677642822266
2014-04-09,116.35322570800781
2014-04-10,114.66866302490234
2014-04-11,113.94799041748047
2014-04-14,114.61659240722656
2014-04-15,114.76420593261719
2014-04-16,116.1361083984375
2014-04-17,117.6990737915039
2014-04-21,118.32422637939453
2014-04-22,118.98416137695312
2014-04-23,118.37635040283203
2014-04-24,118.15928649902344
2014-04-25,116.53553009033203
2014-04-28,116.8133773803711
2014-04-29,117.62958526611328
2014-04-30,118.30686950683594
2014-05-01,118.29823303222656
2014-05-02,118.91465759277344
2014-05-05,117.95954132080078
2014-05-06,117.64695739746094
2014-05-07,120.29529571533203
2014-05-08,118.6976089477539
2014-05-09,119.40961456298828
2014-05-12,121.69326782226562
2014-05-13,121.6845474243164
2014-05-14,120.98123931884766
2014-05-15,120.41686248779297
2014-05-16,120.02615356445312
2014-05-19,120.6947021484375
2014-05-20,119.35749816894531
2014-05-21,120.73811340332031
2014-05-22,120.98123931884766
2014-05-23,122.86549377441406
2014-05-27,123.508056640625
2014-05-28,124.57605743408203
2014-05-29,125.49639892578125
2014-05-30,125.17516326904297
2014-06-02,125.25337219238281
2014-06-03,124.1244888305664
2014-06-04,124.16791534423828
2014-06-05,123.86399841308594
2014-06-06,123.90744018554688
2014-06-09,124.73234558105469
2014-06-10,124.85391235351562
2014-06-11,123.95088195800781
2014-06-12,120.87710571289062
2014-06-13,121.7974624633789
2014-06-16,121.08541870117188
2014-06-17,122.00715637207031
2014-06-18,129.52012634277344
2014-06-19,128.3462371826172
2014-06-20,128.79840087890625
2014-06-23,129.45921325683594
2014-06-24,130.15493774414062
2014-06-25,131.6679229736328
2014-06-26,131.73751831054688
2014-06-27,131.65927124023438
2014-06-30,131.63314819335938
2014-07-01,132.5027313232422
2014-07-02,132.4070281982422
2014-07-03,133.572265625
2014-07-07,131.89401245117188
2014-07-08,131.45053100585938
2014-07-09,131.5810089111328
2014-07-10,130.65924072265625
2014-07-11,130.98968505859375
2014-07-14,131.36361694335938
2014-07-15,132.08531188964844
2014-07-16,134.24183654785156
2014-07-17,132.08531188964844
2014-07-18,132.9287567138672
2014-07-21,132.47666931152344
2014-07-22,133.2940216064453
2014-07-23,132.76358032226562
2014-07-24,132.60702514648438
2014-07-25,131.1809844970703
2014-07-28,130.0244903564453
2014-07-29,127.94622039794922
2014-07-30,129.87667846679688
2014-07-31,127.72016143798828
2014-08-01,127.60710144042969
2014-08-04,129.41580200195312
2014-08-05,127.68539428710938
2014-08-06,126.4941177368164
2014-08-07,126.97235107421875
2014-08-08,128.56362915039062
2014-08-11,128.93756103515625
2014-08-12,129.06797790527344
2014-08-13,129.8679962158203
2014-08-14,130.12008666992188
2014-08-15,129.32012939453125
2014-08-18,130.79835510253906
2014-08-19,130.4331817626953
2014-08-20,130.98098754882812
2014-08-21,130.91140747070312
2014-08-22,129.9635772705078
2014-08-25,130.25051879882812
2014-08-26,129.80709838867188
2014-08-27,129.65057373046875
2014-08-28,128.58102416992188
2014-08-29,128.58969116210938
2014-09-02,130.7809600830078
2014-09-03,131.92005920410156
2014-09-04,132.2070770263672
2014-09-05,133.30264282226562
2014-09-08,132.69326782226562
2014-09-09,131.47425842285156
2014-09-10,131.26528930664062
2014-09-11,132.80636596679688
2014-09-12,133.8860321044922
2014-09-15,134.12115478515625
2014-09-16,134.66099548339844
2014-09-17,139.05799865722656
2014-09-18,138.37884521484375
2014-09-19,137.8563690185547
2014-09-22,137.4471893310547
2014-09-23,137.56907653808594
2014-09-24,138.70968627929688
2014-09-25,136.83773803710938
2014-09-26,139.118896484375
2014-09-29,141.20852661132812
2014-09-30,140.572998046875
2014-10-01,137.69097900390625
2014-10-02,138.46591186523438
2014-10-03,141.69613647460938
2014-10-06,138.6487274169922
2014-10-07,135.8799591064453
2014-10-08,139.52816772460938
2014-10-09,136.27175903320312
2014-10-10,134.73931884765625
2014-10-13,131.7006378173828
2014-10-14,133.84251403808594
2014-10-15,133.9296112060547
2014-10-16,132.28402709960938
2014-10-17,135.93218994140625
2014-10-20,135.71450805664062
2014-10-21,139.20599365234375
2014-10-22,137.97830200195312
2014-10-23,141.4871368408203
2014-10-24,142.68875122070312
2014-10-27,143.85552978515625
2014-10-28,146.4501190185547
2014-10-29,144.33436584472656
2014-10-30,143.9163818359375
2014-10-31,145.75357055664062
2014-11-03,145.5793914794922
2014-11-04,145.37045288085938
2014-11-05,147.5123748779297
2014-11-06,149.49749755859375
2014-11-07,149.07960510253906
2014-11-10,149.53236389160156
2014-11-11,150.05479431152344
2014-11-12,149.58462524414062
2014-11-13,149.3843536376953
2014-11-14,149.3756103515625
2014-11-17,149.16664123535156
2014-11-18,149.7587890625
2014-11-19,149.48011779785156
2014-11-20,150.19406127929688
2014-11-21,151.90069580078125
2014-11-24,152.83229064941406
2014-11-25,152.24888610839844
2014-11-26,152.44049072265625
2014-11-28,155.13958740234375
2014-12-01,154.72171020507812
2014-12-02,157.06381225585938
2014-12-03,156.75912475585938
2014-12-04,156.88096618652344
2014-12-05,158.49179077148438
2014-12-08,158.0564422607422
2014-12-09,155.65330505371094
2014-12-10,153.8140869140625
2014-12-11,154.18020629882812
2014-12-12,153.2301025390625
2014-12-15,153.64849853515625
2014-12-16,151.89645385742188
2014-12-17,146.24806213378906
2014-12-18,152.0010986328125
2014-12-19,151.86163330078125
2014-12-22,154.17149353027344
2014-12-23,154.2324676513672
2014-12-24,153.77926635742188
2014-12-26,153.32594299316406
2014-12-29,152.9947509765625
2014-12-30,152.54150390625
2014-12-31,151.3734893798828
2015-01-02,150.31875610351562
2015-01-05,148.0088348388672
2015-01-06,148.00015258789062
2015-01-07,149.08969116210938
2015-01-08,152.5763397216797
2015-01-09,150.5017547607422
2015-01-12,150.42337036132812
2015-01-13,149.49061584472656
2015-01-14,150.5802459716797
2015-01-15,151.53903198242188
2015-01-16,154.0755615234375
2015-01-20,156.14141845703125
2015-01-21,155.7579345703125
2015-01-22,158.12013244628906
2015-01-23,153.42185974121094
2015-01-26,153.9884490966797
2015-01-27,151.56517028808594
2015-01-28,149.4470977783203
2015-01-29,150.7022705078125
2015-01-30,147.4073486328125
2015-02-02,149.27272033691406
2015-02-03,150.77198791503906
2015-02-04,149.99620056152344
2015-02-05,151.12063598632812
2015-02-06,151.0160675048828
2015-02-09,149.61268615722656
2015-02-10,151.05966186523438
2015-02-11,151.60008239746094
2015-02-12,153.6746826171875
2015-02-13,153.82281494140625
2015-02-17,156.49880981445312
2015-02-18,156.70806884765625
2015-02-19,155.72303771972656
2015-02-20,155.59225463867188
2015-02-23,155.41796875
2015-02-24,154.98208618164062
2015-02-25,153.09938049316406
2015-02-26,152.19281005859375
2015-02-27,154.2674102783203
2015-03-02,154.1104736328125
2015-03-03,153.5438690185547
2015-03-04,152.21026611328125
2015-03-05,152.38462829589844
2015-03-06,150.9637451171875
2015-03-09,150.8939208984375
2015-03-10,148.35446166992188
2015-03-11,149.71578979492188
2015-03-12,151.47862243652344
2015-03-13,151.25173950195312
2015-03-16,154.74241638183594
2015-03-17,153.3374481201172
2015-03-18,151.2342987060547
2015-03-19,151.71424865722656
2015-03-20,150.1347198486328
2015-03-23,148.91299438476562
2015-03-24,147.62142944335938
2015-03-25,144.36639404296875
2015-03-26,144.41868591308594
2015-03-27,143.63328552246094
2015-03-30,145.51829528808594
2015-03-31,144.38377380371094
2015-04-01,145.07321166992188
2015-04-02,145.05575561523438
2015-04-06,145.44845581054688
2015-04-07,149.3667755126953
2015-04-08,149.96014404296875
2015-04-09,150.9026336669922
2015-04-10,152.16806030273438
2015-04-13,151.08590698242188
2015-04-14,149.66348266601562
2015-04-15,147.93557739257812
2015-04-16,147.6912078857422
2015-04-17,146.609130859375
2015-04-20,147.5341796875
2015-04-21,148.27593994140625
2015-04-22,148.36317443847656
2015-04-23,148.44175720214844
2015-04-24,148.3108673095703
2015-04-27,147.50794982910156
2015-04-28,149.43658447265625
2015-04-29,147.979248046875
2015-04-30,147.979248046875
2015-05-01,149.8641357421875
2015-05-04,150.38778686523438
2015-05-05,148.1886749267578
2015-05-06,147.970458984375
2015-05-07,149.8729705810547
2015-05-08,151.27789306640625
2015-05-11,152.01966857910156
2015-05-12,151.33900451660156
2015-05-13,150.0386962890625
2015-05-14,151.36521911621094
2015-05-15,152.83999633789062
2015-05-18,154.6202392578125
2015-05-19,155.31842041015625
2015-05-20,154.91696166992188
2015-05-21,154.0704803466797
2015-05-22,152.8749237060547
2015-05-26,151.941162109375
2015-05-27,154.16647338867188
2015-05-28,152.80511474609375
2015-05-29,151.1645050048828
2015-06-01,153.04071044921875
2015-06-02,153.34613037109375
