,SWK
2014-01-02,62.018428802490234
2014-01-03,62.173118591308594
2014-01-06,61.60072708129883
2014-01-07,61.86374282836914
2014-01-08,61.94108200073242
2014-01-09,62.11124801635742
2014-01-10,62.97755432128906
2014-01-13,61.99523162841797
2014-01-14,63.580867767333984
2014-01-15,63.84385681152344
2014-01-16,63.72783660888672
2014-01-17,62.78416442871094
2014-01-21,62.652679443359375
2014-01-22,62.5985221862793
2014-01-23,62.196319580078125
2014-01-24,60.18522644042969
2014-01-27,59.82944107055664
2014-01-28,60.278076171875
2014-01-29,60.35542297363281
2014-01-30,60.23166275024414
2014-01-31,59.868133544921875
2014-02-03,58.50678634643555
2014-02-04,58.87031173706055
2014-02-05,58.5145149230957
2014-02-06,59.141029357910156
2014-02-07,60.95100402832031
2014-02-10,61.07475280761719
2014-02-11,61.8869514465332
2014-02-12,62.3587532043457
2014-02-13,62.33555603027344
2014-02-14,62.90021514892578
2014-02-18,62.86925506591797
2014-02-19,62.38969802856445
2014-02-20,62.98527526855469
2014-02-21,63.22505187988281
2014-02-24,63.48805618286133
2014-02-25,63.20186996459961
2014-02-26,63.42618179321289
2014-02-27,64.16099548339844
2014-02-28,64.2306137084961
2014-03-03,63.6158561706543
2014-03-04,63.81040573120117
2014-03-05,63.45240020751953
2014-03-06,63.71700668334961
2014-03-07,64.20723724365234
2014-03-10,63.73255157470703
2014-03-11,63.39794158935547
2014-03-12,62.6898078918457
2014-03-13,61.545875549316406
2014-03-14,61.491424560546875
2014-03-17,62.54195785522461
2014-03-18,62.37856674194336
2014-03-19,61.89608383178711
2014-03-20,62.22291564941406
2014-03-21,62.028377532958984
2014-03-24,61.74042510986328
2014-03-25,62.510833740234375
2014-03-26,61.794925689697266
2014-03-27,61.538116455078125
2014-03-28,62.790985107421875
2014-03-31,63.21897506713867
2014-04-01,63.63918685913086
2014-04-02,63.678104400634766
2014-04-03,63.50692367553711
2014-04-04,62.837677001953125
2014-04-07,61.553688049316406
2014-04-08,61.37469482421875
2014-04-09,62.47971725463867
2014-04-10,61.00117492675781
2014-04-11,60.37086486816406
2014-04-14,60.931121826171875
2014-04-15,62.425254821777344
2014-04-16,63.40573501586914
2014-04-17,63.74811935424805
2014-04-21,63.514705657958984
2014-04-22,63.60029602050781
2014-04-23,64.15278625488281
2014-04-24,66.5573501586914
2014-04-25,66.32391357421875
2014-04-28,65.56908416748047
2014-04-29,66.00484466552734
2014-04-30,66.83748626708984
2014-05-01,66.91531372070312
2014-05-02,66.86862182617188
2014-05-05,66.71297454833984
2014-05-06,66.29278564453125
2014-05-07,67.039794921875
2014-05-08,67.2343521118164
2014-05-09,67.17988586425781
2014-05-12,67.98919677734375
2014-05-13,67.70125579833984
2014-05-14,66.75189971923828
2014-05-15,66.13713073730469
2014-05-16,66.68965148925781
2014-05-19,67.28106689453125
2014-05-20,66.04377746582031
2014-05-21,67.07093811035156
2014-05-22,67.02427673339844
2014-05-23,67.89582824707031
2014-05-27,68.01253509521484
2014-05-28,68.01253509521484
2014-05-29,67.8413314819336
2014-05-30,68.01253509521484
2014-06-02,68.48212432861328
2014-06-03,67.80120849609375
2014-06-04,67.39424133300781
2014-06-05,68.54476165771484
2014-06-06,68.76387786865234
2014-06-09,69.07695770263672
2014-06-10,69.06128692626953
2014-06-11,68.4508285522461
2014-06-12,68.18473052978516
2014-06-13,68.22384643554688
2014-06-16,68.68561553955078
2014-06-17,68.85780334472656
2014-06-18,69.08477020263672
2014-06-19,69.17083740234375
2014-06-20,69.6717758178711
2014-06-23,69.24129486083984
2014-06-24,68.38038635253906
2014-06-25,68.55256652832031
2014-06-26,68.29429626464844
2014-06-27,68.90473937988281
2014-06-30,68.73258209228516
2014-07-01,68.84212493896484
2014-07-02,68.74824523925781
2014-07-03,69.38216400146484
2014-07-07,68.97518157958984
2014-07-08,68.13774108886719
2014-07-09,68.18473052978516
2014-07-10,67.37859344482422
2014-07-11,67.22205352783203
2014-07-14,67.61336517333984
2014-07-15,67.03419494628906
2014-07-16,67.51162719726562
2014-07-17,66.5333251953125
2014-07-18,66.67420959472656
2014-07-21,67.16727447509766
2014-07-22,67.56641387939453
2014-07-23,67.59772491455078
2014-07-24,66.54115295410156
2014-07-25,71.04142761230469
2014-07-28,70.95530700683594
2014-07-29,69.9300308227539
2014-07-30,69.9535140991211
2014-07-31,68.4429702758789
2014-08-01,68.4429702758789
2014-08-04,68.8343276977539
2014-08-05,68.02035522460938
2014-08-06,67.82469940185547
2014-08-07,67.9812240600586
2014-08-08,69.05347442626953
2014-08-11,69.40567016601562
2014-08-12,69.2882308959961
2014-08-13,69.94570922851562
2014-08-14,70.4700698852539
2014-08-15,70.2665786743164
2014-08-18,70.7596664428711
2014-08-19,71.2840347290039
2014-08-20,71.64403533935547
2014-08-21,71.65970611572266
2014-08-22,71.19009399414062
2014-08-25,71.34664154052734
2014-08-26,71.17445373535156
2014-08-27,71.00225830078125
2014-08-28,71.04924774169922
2014-08-29,71.61272430419922
2014-09-02,71.68318939208984
2014-09-03,71.89568328857422
2014-09-04,71.8563461303711
2014-09-05,72.360107421875
2014-09-08,72.2420425415039
2014-09-09,72.18694305419922
2014-09-10,72.44669342041016
2014-09-11,72.5096664428711
2014-09-12,72.32861328125
2014-09-15,72.2420425415039
2014-09-16,72.33648681640625
2014-09-17,72.62773132324219
2014-09-18,73.56439208984375
2014-09-19,73.39912414550781
2014-09-22,72.12396240234375
2014-09-23,71.99014282226562
2014-09-24,72.16331481933594
2014-09-25,71.0849380493164
2014-09-26,71.02198791503906
2014-09-29,70.82520294189453
2014-09-30,69.8885498046875
2014-10-01,68.87316131591797
2014-10-02,68.68425750732422
2014-10-03,69.26671600341797
2014-10-06,69.44774627685547
2014-10-07,67.07848358154297
2014-10-08,67.97583770751953
2014-10-09,66.25205993652344
2014-10-10,65.78765869140625
2014-10-13,64.0323486328125
2014-10-14,64.99263763427734
2014-10-15,64.00086212158203
2014-10-16,65.23664093017578
2014-10-17,66.26779174804688
2014-10-20,66.48030853271484
2014-10-21,67.76332092285156
2014-10-22,68.80232238769531
2014-10-23,70.0381088256836
2014-10-24,70.9354248046875
2014-10-27,70.48675537109375
2014-10-28,71.9193115234375
2014-10-29,71.99803161621094
2014-10-30,72.47027587890625
2014-10-31,73.70606994628906
2014-11-03,73.68247985839844
2014-11-04,73.32039642333984
2014-11-05,73.41481018066406
2014-11-06,74.3042984008789
2014-11-07,74.78445434570312
2014-11-10,75.46922302246094
2014-11-11,75.42987823486328
2014-11-12,75.72897338867188
2014-11-13,75.4534683227539
2014-11-14,75.30392456054688
2014-11-17,74.91824340820312
2014-11-18,74.87100982666016
2014-11-19,74.6821060180664
2014-11-20,74.93396759033203
2014-11-21,75.02056884765625
2014-11-24,74.98120880126953
2014-11-25,75.02056884765625
2014-11-26,74.59552764892578
2014-11-28,74.33575439453125
2014-12-01,73.63525390625
2014-12-02,74.36725616455078
2014-12-03,75.47529602050781
2014-12-04,75.06377410888672
2014-12-05,75.67321014404297
2014-12-08,75.43573760986328
2014-12-09,75.63363647460938
2014-12-10,74.75508117675781
2014-12-11,75.13499450683594
2014-12-12,74.16146087646484
2014-12-15,73.53620910644531
2014-12-16,74.06652069091797
2014-12-17,74.70758056640625
2014-12-18,76.30638122558594
2014-12-19,76.6941909790039
2014-12-22,76.8287582397461
2014-12-23,77.02662658691406
2014-12-24,77.05828857421875
2014-12-26,76.81293487548828
2014-12-29,76.55970001220703
2014-12-30,76.55172729492188
2014-12-31,76.04519653320312
2015-01-02,75.9977035522461
2015-01-05,74.37518310546875
2015-01-06,73.63117218017578
2015-01-07,74.89753723144531
2015-01-08,76.32218933105469
2015-01-09,74.88172149658203
2015-01-12,74.40684509277344
2015-01-13,73.97946166992188
2015-01-14,74.07440948486328
2015-01-15,72.60224914550781
2015-01-16,72.68143463134766
2015-01-20,72.66558837890625
2015-01-21,73.16423034667969
2015-01-22,74.29602813720703
2015-01-23,73.9161376953125
2015-01-26,73.98734283447266
