,CPB
2014-01-02,30.992259979248047
2014-01-03,30.768842697143555
2014-01-06,30.754348754882812
2014-01-07,31.095243453979492
2014-01-08,30.892147064208984
2014-01-09,30.819618225097656
2014-01-10,31.066238403320312
2014-01-13,30.645538330078125
2014-01-14,30.921171188354492
2014-01-15,30.689056396484375
2014-01-16,31.08074188232422
2014-01-17,30.311880111694336
2014-01-21,30.536745071411133
2014-01-22,30.69631576538086
2014-01-23,30.36265754699707
2014-01-24,30.67455291748047
2014-01-27,30.41343116760254
2014-01-28,30.44243812561035
2014-01-29,29.81139373779297
2014-01-30,29.85491943359375
2014-01-31,29.891185760498047
2014-02-03,28.926488876342773
2014-02-04,29.049795150756836
2014-02-05,28.89746856689453
2014-02-06,29.028032302856445
2014-02-07,29.245637893676758
2014-02-10,29.4849910736084
2014-02-11,29.666330337524414
2014-02-12,29.637317657470703
2014-02-13,29.717111587524414
2014-02-14,31.196781158447266
2014-02-18,31.370878219604492
2014-02-19,31.588478088378906
2014-02-20,31.690017700195312
2014-02-21,31.900373458862305
2014-02-24,32.05268859863281
2014-02-25,31.871353149414062
2014-02-26,31.370878219604492
2014-02-27,31.283838272094727
2014-02-28,31.414405822753906
2014-03-03,31.2113037109375
2014-03-04,31.90762710571289
2014-03-05,31.755308151245117
2014-03-06,31.711782455444336
2014-03-07,31.849605560302734
2014-03-10,31.820589065551758
2014-03-11,31.63925552368164
2014-03-12,32.06719970703125
2014-03-13,31.929393768310547
2014-03-14,31.951152801513672
2014-03-17,31.835098266601562
2014-03-18,32.183258056640625
2014-03-19,31.90762710571289
2014-03-20,32.37909698486328
2014-03-21,32.30656814575195
2014-03-24,32.09621810913086
2014-03-25,32.14698791503906
2014-03-26,31.951152801513672
2014-03-27,32.02367401123047
2014-03-28,32.32106399536133
2014-03-31,32.55318069458008
2014-04-01,32.32106399536133
2014-04-02,32.32832717895508
2014-04-03,32.54592514038086
2014-04-04,32.36479187011719
2014-04-07,32.729984283447266
2014-04-08,32.63503646850586
2014-04-09,32.83224868774414
2014-04-10,32.6423454284668
2014-04-11,32.3282585144043
2014-04-14,32.57660675048828
2014-04-15,32.262516021728516
2014-04-16,32.63503646850586
2014-04-17,32.53278732299805
2014-04-21,32.44513702392578
2014-04-22,32.67154312133789
2014-04-23,32.81763458251953
2014-04-24,32.77381134033203
2014-04-25,32.82493591308594
2014-04-28,33.36545944213867
2014-04-29,33.16093826293945
2014-04-30,33.226680755615234
2014-05-01,33.01485824584961
2014-05-02,32.8614616394043
2014-05-05,33.00754928588867
2014-05-06,32.79573440551758
