,LHX
2014-01-02,54.77570724487305
2014-01-03,55.431602478027344
2014-01-06,55.031673431396484
2014-01-07,55.199642181396484
2014-01-08,54.319766998291016
2014-01-09,54.68770980834961
2014-01-10,55.159664154052734
2014-01-13,54.35176086425781
2014-01-14,55.42361831665039
2014-01-15,56.02352523803711
2014-01-16,56.463443756103516
2014-01-17,56.42346954345703
2014-01-21,56.391448974609375
2014-01-22,56.66341781616211
2014-01-23,55.79955291748047
2014-01-24,54.43975067138672
2014-01-27,54.951683044433594
2014-01-28,56.34346389770508
2014-01-29,56.37546157836914
2014-01-30,55.80753707885742
2014-01-31,55.4636116027832
2014-02-03,53.78384780883789
2014-02-04,53.85586166381836
2014-02-05,54.367774963378906
2014-02-06,55.11964797973633
2014-02-07,56.72740173339844
2014-02-10,56.84739685058594
2014-02-11,57.031368255615234
2014-02-12,57.24732971191406
2014-02-13,57.34331130981445
2014-02-14,57.59128189086914
2014-02-18,59.159034729003906
2014-02-19,58.047203063964844
2014-02-20,58.10318374633789
2014-02-21,58.271175384521484
2014-02-24,58.12721252441406
2014-02-25,57.80723571777344
2014-02-26,57.967220306396484
2014-02-27,59.24702072143555
2014-02-28,59.04705810546875
2014-03-03,59.02307891845703
2014-03-04,59.75096130371094
2014-03-05,59.638973236083984
2014-03-06,59.838958740234375
2014-03-07,60.10437774658203
2014-03-10,60.353736877441406
2014-03-11,60.02397537231445
2014-03-12,59.6378288269043
2014-03-13,58.91389083862305
2014-03-14,58.36689758300781
2014-03-17,59.1954231262207
2014-03-18,59.452850341796875
2014-03-19,59.573482513427734
2014-03-20,59.76654052734375
2014-03-21,59.16325378417969
2014-03-24,58.423221588134766
2014-03-25,58.85758590698242
2014-03-26,58.14970779418945
2014-03-27,57.88425827026367
2014-03-28,57.81989669799805
2014-03-31,58.84952926635742
2014-04-01,59.380428314208984
2014-04-02,60.22503662109375
2014-04-03,59.67805862426758
2014-04-04,58.26232147216797
2014-04-07,57.39359664916992
2014-04-08,57.482059478759766
2014-04-09,58.18993377685547
2014-04-10,56.23525619506836
2014-04-11,55.96979904174805
2014-04-14,55.776756286621094
2014-04-15,56.68571472167969
2014-04-16,57.441837310791016
2014-04-17,58.093421936035156
2014-04-21,58.214054107666016
2014-04-22,58.519718170166016
2014-04-23,58.52778244018555
2014-04-24,58.029029846191406
2014-04-25,57.61075210571289
2014-04-28,57.41770935058594
2014-04-29,58.431236267089844
2014-04-30,59.139129638671875
2014-05-01,59.10693359375
2014-05-02,59.01844787597656
2014-05-05,59.16325378417969
2014-05-06,59.29195785522461
2014-05-07,60.22503662109375
2014-05-08,60.2813606262207
2014-05-09,60.20087814331055
2014-05-12,61.013370513916016
2014-05-13,61.045536041259766
2014-05-14,60.788116455078125
2014-05-15,60.24113845825195
2014-05-16,60.52265548706055
2014-05-19,60.65943908691406
2014-05-20,60.52265548706055
2014-05-21,60.90879821777344
2014-05-22,61.15816116333008
2014-05-23,61.73732376098633
2014-05-27,62.292354583740234
2014-05-28,62.24381637573242
2014-05-29,62.27616882324219
2014-05-30,62.47835922241211
2014-06-02,62.421730041503906
2014-06-03,61.111515045166016
2014-06-04,61.2490234375
2014-06-05,61.86368179321289
2014-06-06,62.559234619140625
2014-06-09,62.72099685668945
2014-06-10,62.648216247558594
2014-06-11,62.58350372314453
2014-06-12,61.67767333984375
2014-06-13,61.459266662597656
2014-06-16,61.26520538330078
2014-06-17,61.224735260009766
2014-06-18,61.12770462036133
2014-06-19,61.062965393066406
2014-06-20,61.289451599121094
2014-06-23,61.15196228027344
2014-06-24,60.69096374511719
2014-06-25,60.67479705810547
2014-06-26,61.07109832763672
2014-06-27,61.451210021972656
2014-06-30,61.26520538330078
2014-07-01,61.46737289428711
2014-07-02,61.16814422607422
2014-07-03,61.612972259521484
2014-07-07,59.61529541015625
2014-07-08,59.36457061767578
2014-07-09,59.324127197265625
2014-07-10,59.22706985473633
2014-07-11,59.07339859008789
2014-07-14,59.14619064331055
2014-07-15,59.170440673828125
2014-07-16,59.469688415527344
2014-07-17,58.95207214355469
2014-07-18,59.63144302368164
2014-07-21,59.655738830566406
2014-07-22,59.372623443603516
2014-07-23,59.12191390991211
2014-07-24,59.33220291137695
2014-07-25,58.790321350097656
2014-07-28,58.53150939941406
2014-07-29,55.11844253540039
2014-07-30,56.16987228393555
2014-07-31,55.21549987792969
2014-08-01,55.35300827026367
2014-08-04,55.87062454223633
2014-08-05,55.87871551513672
2014-08-06,55.78974151611328
2014-08-07,55.17506790161133
2014-08-08,55.91915512084961
2014-08-11,55.57136917114258
2014-08-12,55.587528228759766
2014-08-13,56.1860237121582
2014-08-14,55.79783248901367
2014-08-15,55.82208251953125
2014-08-18,56.315452575683594
2014-08-19,56.71174240112305
2014-08-20,56.97864532470703
2014-08-21,57.46391296386719
2014-08-22,57.43966293334961
2014-08-25,57.285987854003906
2014-08-26,57.528629302978516
2014-08-27,57.20511245727539
2014-08-28,57.3587760925293
2014-08-29,57.7389030456543
2014-09-02,57.423465728759766
2014-09-03,57.44773864746094
2014-09-04,56.792633056640625
2014-09-05,57.55801010131836
2014-09-08,57.444007873535156
2014-09-09,56.78448486328125
2014-09-10,56.86590576171875
2014-09-11,57.354454040527344
2014-09-12,56.80890655517578
2014-09-15,56.141239166259766
2014-09-16,56.73563766479492
2014-09-17,56.78448486328125
2014-09-18,57.19974136352539
2014-09-19,56.89033508300781
2014-09-22,55.61201095581055
2014-09-23,55.27001190185547
2014-09-24,55.56312942504883
2014-09-25,54.78147888183594
2014-09-26,55.13973617553711
2014-09-29,54.68376159667969
2014-09-30,54.06494903564453
2014-10-01,54.06494903564453
2014-10-02,53.78811264038086
2014-10-03,53.38099670410156
2014-10-06,53.58455276489258
2014-10-07,52.680755615234375
2014-10-08,53.283294677734375
2014-10-09,51.79324722290039
2014-10-10,50.40092086791992
2014-10-13,50.09149932861328
2014-10-14,50.33577346801758
2014-10-15,51.1174430847168
2014-10-16,51.288429260253906
2014-10-17,52.29808044433594
2014-10-20,52.713340759277344
2014-10-21,54.23594284057617
2014-10-22,53.747413635253906
2014-10-23,54.3662223815918
2014-10-24,54.822208404541016
