,TAP
2014-01-02,42.857112884521484
2014-01-03,42.694122314453125
2014-01-06,42.531124114990234
2014-01-07,42.9579963684082
2014-01-08,42.857112884521484
2014-01-09,42.91917419433594
2014-01-10,43.524559020996094
2014-01-13,43.41591262817383
2014-01-14,43.98246765136719
2014-01-15,43.6409912109375
2014-01-16,43.578895568847656
2014-01-17,43.13651657104492
2014-01-21,42.771724700927734
2014-01-22,42.9579963684082
2014-01-23,42.259490966796875
2014-01-24,41.770545959472656
2014-01-27,42.09650802612305
2014-01-28,42.453521728515625
2014-01-29,41.452335357666016
2014-01-30,41.762786865234375
2014-01-31,40.85471725463867
2014-02-03,39.93891143798828
2014-02-04,39.95443344116211
2014-02-05,39.830257415771484
2014-02-06,40.101890563964844
2014-02-07,40.67621994018555
2014-02-10,40.7615852355957
2014-02-11,41.35919952392578
2014-02-12,41.21173858642578
2014-02-13,42.32159423828125
2014-02-14,42.701881408691406
2014-02-18,43.252933502197266
2014-02-19,43.55560302734375
2014-02-20,43.5633659362793
2014-02-21,43.92814254760742
2014-02-24,44.448143005371094
2014-02-25,44.43262481689453
2014-02-26,44.27638626098633
2014-02-27,44.4560432434082
2014-02-28,44.393558502197266
2014-03-03,44.229515075683594
2014-03-04,44.463863372802734
2014-03-05,44.90913772583008
2014-03-06,45.29970932006836
2014-03-07,45.4950065612793
2014-03-10,45.6668586730957
2014-03-11,45.33094024658203
2014-03-12,45.39345169067383
2014-03-13,45.018497467041016
2014-03-14,45.00286865234375
2014-03-17,45.50282287597656
2014-03-18,45.448123931884766
2014-03-19,45.11223220825195
2014-03-20,45.43251419067383
2014-03-21,45.69810104370117
2014-03-24,44.955997467041016
2014-03-25,45.78404235839844
2014-03-26,45.15128707885742
2014-03-27,45.362205505371094
2014-03-28,45.37002182006836
2014-03-31,45.97932815551758
2014-04-01,45.98712921142578
2014-04-02,46.4792594909668
2014-04-03,46.651126861572266
2014-04-04,46.705806732177734
2014-04-07,46.260536193847656
2014-04-08,46.260536193847656
2014-04-09,46.34648895263672
2014-04-10,45.33094024658203
2014-04-11,44.58885192871094
2014-04-14,44.94818878173828
2014-04-15,44.737274169921875
2014-04-16,45.721534729003906
2014-04-17,45.54969024658203
2014-04-21,45.43251419067383
2014-04-22,46.15117645263672
2014-04-23,45.75278854370117
2014-04-24,46.15117645263672
2014-04-25,45.744972229003906
2014-04-28,46.98703384399414
2014-04-29,46.99484634399414
2014-04-30,46.84642028808594
2014-05-01,47.24481201171875
2014-05-02,47.32292556762695
2014-05-05,47.29949188232422
2014-05-06,46.69019317626953
2014-05-07,48.39310836791992
2014-05-08,49.57268142700195
2014-05-09,49.84608459472656
2014-05-12,49.736724853515625
2014-05-13,50.0179328918457
2014-05-14,49.66642761230469
2014-05-15,49.783592224121094
2014-05-16,50.70537185668945
2014-05-19,50.744441986083984
2014-05-20,50.596004486083984
2014-05-21,50.40071487426758
2014-05-22,50.424156188964844
2014-05-23,50.30698776245117
2014-05-27,50.61163330078125
2014-05-28,50.51734924316406
2014-05-29,51.33443069458008
2014-05-30,51.640830993652344
2014-06-02,51.67225646972656
2014-06-03,51.53084182739258
2014-06-04,51.51512908935547
2014-06-05,51.5779914855957
2014-06-06,52.41864013671875
2014-06-09,52.72503662109375
2014-06-10,55.55336380004883
2014-06-11,56.62186813354492
2014-06-12,56.15047073364258
2014-06-13,55.9619140625
2014-06-16,56.197601318359375
2014-06-17,56.17404556274414
2014-06-18,56.95969772338867
2014-06-19,57.47823715209961
2014-06-20,58.8138313293457
2014-06-23,57.90247344970703
2014-06-24,57.62748718261719
2014-06-25,58.028167724609375
2014-06-26,58.30315017700195
2014-06-27,58.452415466308594
2014-06-30,58.263858795166016
2014-07-01,58.2952880859375
2014-07-02,57.808204650878906
2014-07-03,57.981040954589844
2014-07-07,57.635353088378906
2014-07-08,57.48607635498047
2014-07-09,57.776771545410156
2014-07-10,57.60393142700195
2014-07-11,57.81605529785156
2014-07-14,57.321075439453125
2014-07-15,56.98324203491211
2014-07-16,56.92040252685547
2014-07-17,56.08762741088867
2014-07-18,56.95969772338867
2014-07-21,56.71613693237305
2014-07-22,56.91255187988281
2014-07-23,57.01470184326172
2014-07-24,57.36036682128906
2014-07-25,56.229034423828125
2014-07-28,55.27840042114258
2014-07-29,55.06626510620117
2014-07-30,54.288475036621094
2014-07-31,53.05500030517578
2014-08-01,53.14142608642578
2014-08-04,53.34569549560547
2014-08-05,52.80358123779297
2014-08-06,55.84405517578125
2014-08-07,54.75986099243164
2014-08-08,55.93049240112305
2014-08-11,56.504005432128906
2014-08-12,56.763267517089844
