,AMT
2014-01-02,62.71441650390625
2014-01-03,62.89598083496094
2014-01-06,63.298519134521484
2014-01-07,64.17474365234375
2014-01-08,64.67993927001953
2014-01-09,64.80621337890625
2014-01-10,65.2324447631836
2014-01-13,64.83776092529297
2014-01-14,65.24824523925781
2014-01-15,65.72186279296875
2014-01-16,65.72975158691406
2014-01-17,65.63502502441406
2014-01-21,66.01390838623047
2014-01-22,65.84815979003906
2014-01-23,65.73764038085938
2014-01-24,62.848602294921875
2014-01-27,62.55652618408203
2014-01-28,63.59056854248047
2014-01-29,62.80123519897461
2014-01-30,64.07998657226562
2014-01-31,63.84318542480469
2014-02-03,62.22501754760742
2014-02-04,62.46970748901367
2014-02-05,62.36709213256836
2014-02-06,62.95912170410156
2014-02-07,63.448482513427734
2014-02-10,64.348388671875
2014-02-11,64.66413116455078
2014-02-12,64.56150817871094
2014-02-13,65.11405181884766
2014-02-14,65.67449951171875
2014-02-18,65.93498229980469
2014-02-19,66.108642578125
2014-02-20,66.70854949951172
2014-02-21,66.34545135498047
2014-02-24,65.50083923339844
2014-02-25,63.27485656738281
2014-02-26,63.80370330810547
2014-02-27,64.30098724365234
2014-02-28,64.30889129638672
2014-03-03,64.30098724365234
2014-03-04,64.36415100097656
2014-03-05,63.780052185058594
2014-03-06,64.66413116455078
2014-03-07,64.18260955810547
2014-03-10,64.07998657226562
2014-03-11,64.49044799804688
2014-03-12,63.811607360839844
2014-03-13,63.424827575683594
2014-03-14,63.45641326904297
2014-03-17,64.52203369140625
2014-03-18,64.56941223144531
2014-03-19,63.68532180786133
2014-03-20,64.11946105957031
2014-03-21,63.99317169189453
2014-03-24,63.85895538330078
2014-03-25,64.49838256835938
2014-03-26,63.78791809082031
2014-03-27,63.67741394042969
2014-03-28,64.82987213134766
2014-03-31,64.62464904785156
2014-04-01,64.41942596435547
2014-04-02,64.15103149414062
2014-04-03,64.13526916503906
2014-04-04,63.72479248046875
2014-04-07,63.67741394042969
2014-04-08,64.58879089355469
2014-04-09,64.88201141357422
2014-04-10,64.62842559814453
2014-04-11,63.8359489440918
2014-04-14,64.4382095336914
2014-04-15,64.7314453125
2014-04-16,65.28617095947266
2014-04-17,65.50019073486328
2014-04-21,65.84886169433594
2014-04-22,66.51456451416016
2014-04-23,66.59381103515625
2014-04-24,66.2213363647461
2014-04-25,65.84095001220703
2014-04-28,66.1421127319336
2014-04-29,65.77751922607422
2014-04-30,66.18965911865234
2014-05-01,68.33731842041016
2014-05-02,68.94754028320312
2014-05-05,70.05705261230469
2014-05-06,69.10604858398438
2014-05-07,70.01742553710938
2014-05-08,69.93817901611328
2014-05-09,70.25517272949219
2014-05-12,69.98570251464844
2014-05-13,70.16007232666016
2014-05-14,70.34235382080078
2014-05-15,70.26309967041016
2014-05-16,70.42159271240234
2014-05-19,69.61326599121094
2014-05-20,69.76382446289062
2014-05-21,70.04118347167969
2014-05-22,70.1045913696289
2014-05-23,70.06497192382812
2014-05-27,70.5325698852539
2014-05-28,70.68313598632812
2014-05-29,70.83368682861328
2014-05-30,71.03182983398438
2014-06-02,70.04913330078125
2014-06-03,70.31065368652344
2014-06-04,70.54046630859375
2014-06-05,71.11109924316406
2014-06-06,71.65790557861328
2014-06-09,71.05560302734375
2014-06-10,70.7861328125
2014-06-11,70.35026550292969
2014-06-12,69.93025207519531
2014-06-13,70.35987091064453
2014-06-16,69.95410919189453
2014-06-17,70.19279479980469
2014-06-18,70.06550598144531
2014-06-19,70.60648345947266
2014-06-20,70.88494873046875
2014-06-23,70.87696838378906
2014-06-24,71.00426483154297
2014-06-25,71.02813720703125
2014-06-26,70.5110092163086
2014-06-27,70.8212890625
2014-06-30,71.58504486083984
2014-07-01,71.37022399902344
2014-07-02,71.39408874511719
2014-07-03,71.60889434814453
2014-07-07,72.18171691894531
2014-07-08,71.88735961914062
2014-07-09,72.29307556152344
2014-07-10,72.72271728515625
2014-07-11,72.90567016601562
2014-07-14,73.16820526123047
2014-07-15,72.89769744873047
2014-07-16,73.23185729980469
2014-07-17,72.26922607421875
2014-07-18,73.56599426269531
2014-07-21,73.08069610595703
2014-07-22,73.89218139648438
2014-07-23,73.9558334350586
2014-07-24,73.4864273071289
2014-07-25,73.36708068847656
2014-07-28,73.51029205322266
2014-07-29,73.47051239013672
2014-07-30,76.57321166992188
2014-07-31,75.09346771240234
2014-08-01,75.0616683959961
2014-08-04,76.0242919921875
2014-08-05,75.41171264648438
2014-08-06,76.09587860107422
2014-08-07,77.36084747314453
2014-08-08,78.0530014038086
2014-08-11,77.9893569946289
2014-08-12,76.9391860961914
2014-08-13,77.33696746826172
2014-08-14,77.60745239257812
2014-08-15,78.13251495361328
2014-08-18,79.38157653808594
2014-08-19,78.80878448486328
2014-08-20,78.49056243896484
2014-08-21,78.70536041259766
2014-08-22,78.06889343261719
2014-08-25,78.68148040771484
2014-08-26,78.44280242919922
2014-08-27,78.60193634033203
2014-08-28,78.58599853515625
2014-08-29,78.44280242919922
2014-09-02,78.58599853515625
2014-09-03,78.0530014038086
2014-09-04,78.44280242919922
2014-09-05,79.26222229003906
2014-09-08,79.04744720458984
2014-09-09,78.41097259521484
2014-09-10,77.54383087158203
2014-09-11,77.83023834228516
2014-09-12,76.38229370117188
2014-09-15,75.69014739990234
2014-09-16,75.95269012451172
2014-09-17,76.0799789428711
2014-09-18,76.27886962890625
2014-09-19,75.99138641357422
2014-09-22,75.3125991821289
2014-09-23,75.00917053222656
2014-09-24,75.21678924560547
2014-09-25,74.36231231689453
2014-09-26,74.62582397460938
2014-09-29,74.7056655883789
2014-09-30,74.76956939697266
2014-10-01,74.62582397460938
2014-10-02,74.65777587890625
2014-10-03,74.96923828125
2014-10-06,74.96923828125
2014-10-07,74.55398559570312
2014-10-08,76.12712860107422
2014-10-09,75.66397857666016
2014-10-10,75.63201904296875
2014-10-13,74.29841613769531
2014-10-14,74.54598999023438
2014-10-15,73.45196533203125
2014-10-16,73.83526611328125
2014-10-17,74.4022216796875
2014-10-20,75.13691711425781
2014-10-21,76.34274291992188
2014-10-22,75.81570434570312
2014-10-23,76.55838775634766
2014-10-24,76.79791259765625
2014-10-27,76.781982421875
2014-10-28,76.98159790039062
2014-10-29,75.90353393554688
2014-10-30,78.97803497314453
2014-10-31,77.8600082397461
2014-11-03,77.34894561767578
2014-11-04,77.36491394042969
2014-11-05,77.97980499267578
2014-11-06,79.49710845947266
2014-11-07,79.43319702148438
2014-11-10,79.29744720458984
2014-11-11,79.45716857910156
2014-11-12,79.6488037109375
2014-11-13,79.81649780273438
2014-11-14,79.4811019897461
2014-11-17,79.48908996582031
2014-11-18,80.37550354003906
2014-11-19,80.50325775146484
2014-11-20,80.4234390258789
2014-11-21,81.53343963623047
2014-11-24,81.82891082763672
2014-11-25,83.18646240234375
2014-11-26,83.60971069335938
2014-11-28,83.85726165771484
2014-12-01,82.64342498779297
2014-12-02,81.42960357666016
2014-12-03,81.19801330566406
2014-12-04,81.14213562011719
2014-12-05,80.28765869140625
2014-12-08,80.47132110595703
2014-12-09,80.47932434082031
2014-12-10,79.99221801757812
2014-12-11,79.81649780273438
2014-12-12,79.02291107177734
2014-12-15,78.11708068847656
2014-12-16,76.77839660644531
2014-12-17,77.86857604980469
2014-12-18,79.02291107177734
2014-12-19,79.78443145751953
2014-12-22,80.70631408691406
2014-12-23,80.6822509765625
2014-12-24,80.76242065429688
2014-12-26,80.67423248291016
2014-12-29,80.66620635986328
2014-12-30,80.43376159667969
2014-12-31,79.23932647705078
2015-01-02,79.89666748046875
2015-01-05,78.74234008789062
2015-01-06,78.53395080566406
2015-01-07,79.35958862304688
2015-01-08,80.09709167480469
2015-01-09,79.68824768066406
2015-01-12,79.34356689453125
2015-01-13,78.46177673339844
2015-01-14,77.96479797363281
2015-01-15,77.17920684814453
2015-01-16,78.0930404663086
2015-01-20,77.860595703125
2015-01-21,77.5559310913086
2015-01-22,79.22332000732422
2015-01-23,79.84053802490234
2015-01-26,81.57203674316406
2015-01-27,80.47382354736328
2015-01-28,79.2634048461914
2015-01-29,78.89466094970703
2015-01-30,77.71627807617188
2015-02-02,78.43772888183594
2015-02-03,79.43173217773438
2015-02-04,78.43772888183594
2015-02-05,79.8325424194336
2015-02-06,76.73831176757812
2015-02-09,77.51588439941406
2015-02-10,77.25135803222656
2015-02-11,76.92269134521484
2015-02-12,76.93071746826172
2015-02-13,77.275390625
2015-02-17,77.13111877441406
2015-02-18,77.11506652832031
2015-02-19,76.3615493774414
2015-02-20,77.37960052490234
2015-02-23,78.02088928222656
2015-02-24,75.87256622314453
2015-02-25,78.43772888183594
2015-02-26,79.2634048461914
2015-02-27,79.47179412841797
2015-03-02,79.68022918701172
2015-03-03,78.78244018554688
2015-03-04,79.00686645507812
2015-03-05,79.552001953125
2015-03-06,77.44373321533203
2015-03-09,77.41969299316406
2015-03-10,75.8084487915039
2015-03-11,75.8565444946289
2015-03-12,77.17118072509766
2015-03-13,75.54393005371094
2015-03-16,75.84051513671875
2015-03-17,75.44772338867188
2015-03-18,76.56196594238281
2015-03-19,75.82447814941406
2015-03-20,78.30947875976562
2015-03-23,78.26940155029297
2015-03-24,77.8846206665039
2015-03-25,76.5298843383789
2015-03-26,76.31344604492188
2015-03-27,76.98681640625
2015-03-30,77.0830307006836
2015-03-31,75.47178649902344
2015-04-01,77.32350158691406
2015-04-02,77.57999420166016
2015-04-06,78.59004211425781
2015-04-07,77.65216827392578
2015-04-08,77.71653747558594
2015-04-09,76.75848388671875
2015-04-10,76.5411148071289
2015-04-13,76.3076171875
2015-04-14,76.08219909667969
2015-04-15,76.62162017822266
2015-04-16,77.90176391601562
2015-04-17,77.370361328125
2015-04-20,77.16102600097656
2015-04-21,76.46863555908203
2015-04-22,77.22545623779297
2015-04-23,77.32203674316406
2015-04-24,76.74237823486328
2015-04-27,76.63771057128906
2015-04-28,77.09661865234375
2015-04-29,75.28516387939453
2015-04-30,76.10635375976562
2015-05-01,75.26100158691406
2015-05-04,76.19491577148438
2015-05-05,74.87454223632812
2015-05-06,74.76184844970703
2015-05-07,75.38175201416016
2015-05-08,76.44447326660156
2015-05-11,75.39785766601562
2015-05-12,75.35763549804688
2015-05-13,74.82625579833984
2015-05-14,76.33177947998047
2015-05-15,76.89535522460938
2015-05-18,76.645751953125
2015-05-19,76.84706115722656
2015-05-20,75.9372787475586
2015-05-21,75.59915161132812
2015-05-22,75.9614486694336
2015-05-26,76.1707763671875
