,AMGN
2014-01-02,85.42015075683594
2014-01-03,84.4390640258789
2014-01-06,83.7088394165039
2014-01-07,85.88488006591797
2014-01-08,85.47917175292969
2014-01-09,87.6994857788086
2014-01-10,87.03561401367188
2014-01-13,85.86274719238281
2014-01-14,86.83642578125
2014-01-15,87.41920471191406
2014-01-16,87.8027572631836
2014-01-17,87.89131164550781
2014-01-21,87.96504974365234
2014-01-22,91.74182891845703
2014-01-23,91.17384338378906
2014-01-24,87.99453735351562
2014-01-27,87.42657470703125
2014-01-28,89.0346450805664
2014-01-29,87.90605926513672
2014-01-30,89.1748275756836
2014-01-31,87.74375915527344
2014-02-03,86.12093353271484
2014-02-04,85.4054183959961
2014-02-05,84.88164520263672
2014-02-06,85.61932373046875
2014-02-07,87.70687103271484
2014-02-10,88.73958587646484
2014-02-11,89.88878631591797
2014-02-12,90.60792541503906
2014-02-13,92.0462875366211
2014-02-14,91.81645965576172
2014-02-18,92.63204193115234
2014-02-19,91.45317840576172
2014-02-20,91.55693817138672
2014-02-21,91.82388305664062
2014-02-24,93.26219940185547
2014-02-25,92.20198059082031
2014-02-26,90.34846496582031
2014-02-27,91.25300598144531
2014-02-28,91.94988250732422
2014-03-03,91.70525360107422
2014-03-04,93.41790771484375
2014-03-05,93.55876159667969
2014-03-06,92.07594299316406
2014-03-07,90.64503479003906
2014-03-10,92.9730453491211
2014-03-11,92.13523864746094
2014-03-12,93.403076171875
2014-03-13,91.90542602539062
2014-03-14,90.85260772705078
2014-03-17,91.83126831054688
2014-03-18,94.50777435302734
2014-03-19,93.8479232788086
2014-03-20,94.1963882446289
2014-03-21,91.14175415039062
2014-03-24,89.91844177246094
2014-03-25,89.43648529052734
2014-03-26,89.05099487304688
2014-03-27,90.66728210449219
2014-03-28,89.37720489501953
2014-03-31,91.44575500488281
2014-04-01,93.46980285644531
2014-04-02,93.403076171875
2014-04-03,92.03144073486328
2014-04-04,88.30958557128906
2014-04-07,88.09458923339844
2014-04-08,87.47179412841797
2014-04-09,88.96939849853516
2014-04-10,84.60252380371094
2014-04-11,82.99364471435547
2014-04-14,84.01677703857422
2014-04-15,85.26235961914062
2014-04-16,85.6627197265625
2014-04-17,85.60342407226562
2014-04-21,86.76001739501953
2014-04-22,88.45044708251953
2014-04-23,84.01677703857422
2014-04-24,84.31336975097656
2014-04-25,82.60067749023438
2014-04-28,82.6526107788086
2014-04-29,82.96397399902344
2014-04-30,82.85276794433594
2014-05-01,83.60161590576172
2014-05-02,83.34953308105469
2014-05-05,83.91301727294922
2014-05-06,83.24573516845703
2014-05-07,83.60901641845703
2014-05-08,82.13362121582031
2014-05-09,82.6526107788086
2014-05-12,82.83794403076172
2014-05-13,82.60685729980469
2014-05-14,83.5461654663086
2014-05-15,82.21920776367188
2014-05-16,83.4492416381836
2014-05-19,83.55363464355469
2014-05-20,83.65797424316406
2014-05-21,84.60472106933594
2014-05-22,85.62606811523438
2014-05-23,85.23094940185547
2014-05-27,86.39390563964844
2014-05-28,86.22989654541016
2014-05-29,86.47590637207031
2014-05-30,86.46846771240234
2014-06-02,86.81134796142578
2014-06-03,87.31085205078125
2014-06-04,88.82415771484375
2014-06-05,87.7730484008789
2014-06-06,87.83270263671875
2014-06-09,86.77411651611328
2014-06-10,87.29593658447266
2014-06-11,86.72936248779297
2014-06-12,86.62499237060547
2014-06-13,86.49828338623047
2014-06-16,86.59518432617188
2014-06-17,86.6026382446289
2014-06-18,87.58665466308594
2014-06-19,87.85505676269531
2014-06-20,90.18095397949219
2014-06-23,88.80928039550781
2014-06-24,88.5558090209961
2014-06-25,89.02545166015625
2014-06-26,88.81674194335938
2014-06-27,88.40670776367188
2014-06-30,88.24270629882812
2014-07-01,89.68894958496094
2014-07-02,90.22569274902344
2014-07-03,91.58245849609375
2014-07-07,89.57711791992188
2014-07-08,89.42801666259766
2014-07-09,89.13726806640625
2014-07-10,88.67508697509766
2014-07-11,89.28638458251953
2014-07-14,88.69743347167969
2014-07-15,87.11703491210938
2014-07-16,87.75066375732422
2014-07-17,86.02116394042969
2014-07-18,88.19051361083984
2014-07-21,88.73471069335938
2014-07-22,90.28533172607422
2014-07-23,90.95625305175781
2014-07-24,91.14263916015625
2014-07-25,91.5749740600586
2014-07-28,91.4333724975586
2014-07-29,91.92536926269531
2014-07-30,96.92012023925781
2014-07-31,94.96695709228516
2014-08-01,93.59526824951172
2014-08-04,95.90625
2014-08-05,95.33222961425781
2014-08-06,94.74329376220703
2014-08-07,93.74435424804688
2014-08-08,94.63893127441406
2014-08-11,94.91474151611328
2014-08-12,94.62265014648438
2014-08-13,95.38668060302734
2014-08-14,98.7724838256836
2014-08-15,99.47660827636719
2014-08-18,99.7912368774414
2014-08-19,99.6413803100586
2014-08-20,99.38672637939453
2014-08-21,99.27436828613281
2014-08-22,99.4915771484375
2014-08-25,100.96728515625
2014-08-26,102.82496643066406
2014-08-27,103.24443054199219
2014-08-28,103.88866424560547
2014-08-29,104.40547180175781
2014-09-02,103.34182739257812
2014-09-03,103.80625915527344
2014-09-04,103.37926483154297
2014-09-05,103.28191375732422
2014-09-08,104.3230972290039
2014-09-09,102.9148178100586
2014-09-10,104.26317596435547
2014-09-11,104.09089660644531
2014-09-12,103.28936004638672
2014-09-15,103.34930419921875
2014-09-16,104.36804962158203
2014-09-17,105.4017562866211
2014-09-18,106.383056640625
2014-09-19,107.8736801147461
2014-09-22,106.50289154052734
2014-09-23,105.37930297851562
2014-09-24,106.5478515625
2014-09-25,104.75756072998047
2014-09-26,105.6639175415039
2014-09-29,104.92234802246094
2014-09-30,105.21449279785156
2014-10-01,103.98600006103516
2014-10-02,102.77252960205078
2014-10-03,104.23323059082031
2014-10-06,103.0796127319336
2014-10-07,101.89610290527344
2014-10-08,104.92234802246094
2014-10-09,103.0571517944336
2014-10-10,102.9148178100586
2014-10-13,100.04591369628906
2014-10-14,99.02716827392578
2014-10-15,98.0533676147461
2014-10-16,97.7162857055664
2014-10-17,100.14326477050781
2014-10-20,103.00470733642578
2014-10-21,107.93360900878906
2014-10-22,107.59651947021484
2014-10-23,110.30066680908203
2014-10-24,110.30817413330078
2014-10-27,111.01232147216797
2014-10-28,117.7464370727539
2014-10-29,119.01240539550781
2014-10-30,121.03485107421875
2014-10-31,121.48433685302734
2014-11-03,121.01990509033203
2014-11-04,120.1584701538086
2014-11-05,119.05732727050781
2014-11-06,120.11349487304688
2014-11-07,120.03861999511719
2014-11-10,122.63273620605469
2014-11-11,122.12896728515625
2014-11-12,121.76055908203125
2014-11-13,120.94842529296875
2014-11-14,118.5648193359375
2014-11-17,119.66262817382812
2014-11-18,121.99358367919922
2014-11-19,122.29439544677734
2014-11-20,122.324462890625
2014-11-21,122.4222412109375
2014-11-24,123.452392578125
2014-11-25,121.99358367919922
2014-11-26,123.85839080810547
2014-11-28,124.30208587646484
2014-12-01,125.12921142578125
2014-12-02,127.28723907470703
2014-12-03,126.37738037109375
2014-12-04,125.23444366455078
2014-12-05,127.2571029663086
2014-12-08,129.06178283691406
2014-12-09,127.36996459960938
2014-12-10,124.36221313476562
2014-12-11,124.88104248046875
2014-12-12,123.71554565429688
2014-12-15,120.00852966308594
2014-12-16,119.88819885253906
2014-12-17,122.92604064941406
2014-12-18,126.68570709228516
2014-12-19,127.95642852783203
2014-12-22,123.71554565429688
2014-12-23,118.44451141357422
2014-12-24,120.81307983398438
2014-12-26,122.91100311279297
2014-12-29,122.45233154296875
2014-12-30,120.78299713134766
2014-12-31,119.7754135131836
2015-01-02,120.22657012939453
2015-01-05,118.79788970947266
2015-01-06,114.97057342529297
2015-01-07,118.98584747314453
2015-01-08,118.55731201171875
2015-01-09,117.09855651855469
2015-01-12,117.46697235107422
2015-01-13,116.6549072265625
2015-01-14,116.66991424560547
2015-01-15,114.23365020751953
2015-01-16,119.12873077392578
2015-01-20,118.50466918945312
2015-01-21,118.33915710449219
2015-01-22,119.9859619140625
2015-01-23,120.16645050048828
2015-01-26,120.10626983642578
2015-01-27,119.47465515136719
2015-01-28,116.27892303466797
2015-01-29,117.57975769042969
2015-01-30,114.48932647705078
2015-02-02,114.66976928710938
2015-02-03,114.46676635742188
2015-02-04,113.88024139404297
2015-02-05,115.3164291381836
2015-02-06,113.84268951416016
2015-02-09,112.79745483398438
2015-02-10,115.32979583740234
2015-02-11,115.73797607421875
2015-02-12,115.79090118408203
2015-02-13,116.01765441894531
2015-02-17,116.5921859741211
2015-02-18,117.75623321533203
2015-02-19,117.96035766601562
2015-02-20,119.17741394042969
2015-02-23,119.75189971923828
2015-02-24,118.95818328857422
2015-02-25,119.49488067626953
2015-02-26,120.16758728027344
2015-02-27,119.22274780273438
2015-03-02,120.66654968261719
2015-03-03,119.85770416259766
2015-03-04,120.33392333984375
2015-03-05,120.64384460449219
2015-03-06,117.07596588134766
2015-03-09,117.1742172241211
2015-03-10,116.0932388305664
2015-03-11,115.42803192138672
2015-03-12,116.59974670410156
2015-03-13,116.60729217529297
2015-03-16,123.23660278320312
2015-03-17,123.26692962646484
2015-03-18,125.88990783691406
2015-03-19,127.83258056640625
2015-03-20,128.58094787597656
2015-03-23,125.88990783691406
2015-03-24,125.48922729492188
2015-03-25,121.4149169921875
2015-03-26,121.36199188232422
2015-03-27,122.9040298461914
2015-03-30,124.20423126220703
2015-03-31,120.83283233642578
2015-04-01,118.75405883789062
2015-04-02,117.83189392089844
2015-04-06,117.3782958984375
2015-04-07,118.89012908935547
2015-04-08,121.1957015991211
2015-04-09,122.07254791259766
2015-04-10,123.50123596191406
2015-04-13,122.82843780517578
2015-04-14,122.88892364501953
2015-04-15,125.08112335205078
2015-04-16,126.1393814086914
2015-04-17,123.65242004394531
2015-04-20,125.4590072631836
2015-04-21,127.34123229980469
2015-04-22,127.82505798339844
2015-04-23,127.87797546386719
2015-04-24,126.92554473876953
2015-04-27,122.745361328125
2015-04-28,122.82843780517578
2015-04-29,121.68704223632812
2015-04-30,119.36639404296875
2015-05-01,121.21834564208984
2015-05-04,122.54124450683594
2015-05-05,120.52294921875
2015-05-06,120.15250396728516
2015-05-07,119.35877990722656
