,ATO
2014-01-02,33.98279571533203
2014-01-03,34.036048889160156
2014-01-06,33.61762619018555
2014-01-07,34.37077713012695
2014-01-08,34.553348541259766
2014-01-09,34.72834396362305
2014-01-10,34.85005187988281
2014-01-13,34.41642761230469
2014-01-14,34.705501556396484
2014-01-15,34.766361236572266
2014-01-16,34.87287902832031
2014-01-17,35.16957473754883
2014-01-21,35.81621170043945
2014-01-22,35.9531364440918
2014-01-23,36.16616439819336
2014-01-24,35.67166519165039
2014-01-27,35.428218841552734
2014-01-28,35.580379486083984
2014-01-29,35.451053619384766
2014-01-30,36.16616439819336
2014-01-31,36.52370834350586
2014-02-03,35.534725189208984
2014-02-04,35.60318374633789
2014-02-05,35.20759963989258
2014-02-06,35.81621170043945
2014-02-07,35.89988708496094
2014-02-10,36.06725311279297
2014-02-11,34.59139633178711
2014-02-12,34.29469680786133
2014-02-13,34.888092041015625
2014-02-14,34.63703918457031
2014-02-18,34.73593521118164
2014-02-19,34.18819808959961
2014-02-20,34.74814987182617
2014-02-21,34.94760513305664
2014-02-24,35.024295806884766
2014-02-25,35.154701232910156
2014-02-26,34.87089157104492
2014-02-27,35.062644958496094
2014-02-28,35.36180877685547
2014-03-03,35.21607208251953
2014-03-04,35.645633697509766
2014-03-05,35.277435302734375
2014-03-06,35.11635208129883
2014-03-07,34.87855911254883
2014-03-10,34.89390182495117
2014-03-11,34.564056396484375
2014-03-12,34.76348876953125
2014-03-13,35.239078521728516
2014-03-14,35.515228271484375
2014-03-17,35.8834228515625
2014-03-18,35.98313522338867
2014-03-19,35.653297424316406
2014-03-20,35.277435302734375
2014-03-21,35.37714767456055
2014-03-24,35.36948776245117
2014-03-25,35.21607208251953
2014-03-26,35.131690979003906
2014-03-27,35.239078521728516
2014-03-28,35.33879470825195
2014-03-31,36.151893615722656
2014-04-01,36.006134033203125
2014-04-02,36.35898971557617
2014-04-03,36.658145904541016
2014-04-04,36.55076217651367
2014-04-07,36.55076217651367
2014-04-08,36.81157302856445
2014-04-09,37.21811294555664
2014-04-10,37.509605407714844
2014-04-11,37.21811294555664
2014-04-14,37.57863235473633
2014-04-15,38.40707015991211
2014-04-16,38.675533294677734
2014-04-17,38.27667236328125
