,BALL
2014-01-02,23.14003562927246
2014-01-03,23.248062133789062
2014-01-06,23.16254425048828
2014-01-07,23.423606872558594
2014-01-08,23.423606872558594
2014-01-09,23.47762107849121
2014-01-10,23.374099731445312
2014-01-13,22.856464385986328
2014-01-14,23.050016403198242
2014-01-15,22.946491241455078
2014-01-16,22.937484741210938
2014-01-17,22.74395179748535
2014-01-21,22.7574462890625
2014-01-22,22.842967987060547
2014-01-23,22.509885787963867
2014-01-24,21.875232696533203
2014-01-27,21.843725204467773
2014-01-28,21.7266902923584
2014-01-29,22.0867862701416
2014-01-30,23.225557327270508
2014-01-31,23.041004180908203
2014-02-03,23.027515411376953
2014-02-04,23.041004180908203
2014-02-05,23.248062133789062
2014-02-06,23.41010284423828
2014-02-07,23.765682220458984
2014-02-10,23.972736358642578
2014-02-11,24.2788143157959
2014-02-12,24.238300323486328
2014-02-13,24.521867752075195
2014-02-14,24.589387893676758
2014-02-18,24.697418212890625
2014-02-19,24.71541976928711
2014-02-20,24.643402099609375
2014-02-21,24.719919204711914
2014-02-24,24.701913833618164
2014-02-25,24.620893478393555
2014-02-26,24.733421325683594
2014-02-27,24.949981689453125
2014-02-28,25.067289352416992
2014-03-03,24.922914505004883
2014-03-04,25.26129150390625
2014-03-05,25.157520294189453
2014-03-06,25.243249893188477
2014-03-07,25.306411743164062
2014-03-10,25.053754806518555
2014-03-11,24.85072898864746
2014-03-12,24.62062644958496
2014-03-13,24.611600875854492
2014-03-14,24.37698745727539
2014-03-17,24.60258674621582
2014-03-18,24.629650115966797
2014-03-19,24.358951568603516
2014-03-20,24.24163055419922
2014-03-21,24.381505966186523
2014-03-24,24.10628318786621
2014-03-25,24.169448852539062
2014-03-26,24.052146911621094
2014-03-27,24.182987213134766
2014-03-28,24.34992218017578
2014-03-31,24.728906631469727
2014-04-01,24.84170913696289
2014-04-02,24.9951114654541
2014-04-03,24.945472717285156
2014-04-04,24.89583969116211
2014-04-07,24.543928146362305
2014-04-08,24.72439193725586
2014-04-09,24.891324996948242
2014-04-10,24.701839447021484
2014-04-11,24.336389541625977
2014-04-14,24.295778274536133
2014-04-15,24.958999633789062
2014-04-16,25.283851623535156
2014-04-17,25.374094009399414
2014-04-21,25.315425872802734
2014-04-22,25.0898494720459
2014-04-23,25.026681900024414
2014-04-24,24.9951114654541
2014-04-25,25.243249893188477
2014-04-28,25.35152816772461
2014-04-29,25.306411743164062
2014-04-30,25.35152816772461
2014-05-01,25.689912796020508
2014-05-02,25.121435165405273
2014-05-05,25.48688316345215
2014-05-06,25.635765075683594
2014-05-07,26.10499382019043
2014-05-08,26.2222957611084
2014-05-09,26.456912994384766
2014-05-12,26.614816665649414
2014-05-13,26.52006721496582
2014-05-14,26.93064308166504
2014-05-15,26.822362899780273
2014-05-16,26.998321533203125
2014-05-19,27.246461868286133
2014-05-20,27.075021743774414
2014-05-21,27.056970596313477
2014-05-22,27.038915634155273
2014-05-23,27.16975975036621
2014-05-27,27.282554626464844
2014-05-28,27.11562156677246
2014-05-29,27.255788803100586
2014-05-30,27.291963577270508
2014-06-02,27.165359497070312
2014-06-03,27.594905853271484
2014-06-04,27.36430549621582
2014-06-05,27.59037971496582
2014-06-06,27.62203025817871
2014-06-09,27.68532943725586
2014-06-10,27.762205123901367
2014-06-11,27.545164108276367
2014-06-12,27.391433715820312
2014-06-13,27.522558212280273
2014-06-16,27.368831634521484
2014-06-17,27.499956130981445
2014-06-18,27.554214477539062
2014-06-19,27.68532943725586
2014-06-20,27.811941146850586
2014-06-23,27.911418914794922
2014-06-24,27.744115829467773
2014-06-25,28.13296890258789
2014-06-26,28.16461753845215
2014-06-27,28.481128692626953
2014-06-30,28.340959548950195
2014-07-01,28.481128692626953
2014-07-02,28.336437225341797
2014-07-03,28.49921226501465
2014-07-07,28.422348022460938
2014-07-08,28.49921226501465
2014-07-09,28.684598922729492
2014-07-10,28.63937759399414
2014-07-11,28.517297744750977
2014-07-14,28.815723419189453
2014-07-15,29.001100540161133
2014-07-16,29.023706436157227
2014-07-17,28.702682495117188
2014-07-18,29.09153175354004
2014-07-21,29.209091186523438
2014-07-22,28.58059310913086
2014-07-23,28.467552185058594
2014-07-24,28.860933303833008
2014-07-25,28.648420333862305
2014-07-28,28.444948196411133
2014-07-29,28.236963272094727
2014-07-30,28.25505256652832
2014-07-31,27.698896408081055
2014-08-01,27.88880729675293
2014-08-04,28.010883331298828
2014-08-05,27.7667293548584
2014-08-06,28.137495040893555
2014-08-07,28.15105438232422
2014-08-08,28.146526336669922
2014-08-11,28.322872161865234
2014-08-12,28.39069366455078
2014-08-13,28.331911087036133
2014-08-14,28.458511352539062
2014-08-15,28.53990936279297
2014-08-18,28.86998176574707
2014-08-19,28.969451904296875
2014-08-20,28.59417152404785
2014-08-21,28.747886657714844
2014-08-22,28.57607650756836
2014-08-25,28.530858993530273
2014-08-26,28.71172332763672
2014-08-27,28.797632217407227
2014-08-28,28.84747314453125
2014-08-29,29.042299270629883
2014-09-02,29.563335418701172
2014-09-03,29.93032455444336
2014-09-04,29.839710235595703
2014-09-05,30.05265998840332
2014-09-08,29.862375259399414
2014-09-09,29.753625869750977
2014-09-10,29.85783576965332
2014-09-11,29.94391441345215
2014-09-12,29.771743774414062
2014-09-15,29.749099731445312
2014-09-16,29.740041732788086
2014-09-17,29.246173858642578
2014-09-18,29.087596893310547
2014-09-19,29.169158935546875
2014-09-22,29.196346282958984
2014-09-23,28.960739135742188
2014-09-24,28.9834041595459
2014-09-25,28.774980545043945
2014-09-26,28.7115478515625
2014-09-29,29.08307456970215
2014-09-30,28.666240692138672
2014-10-01,28.14067840576172
2014-10-02,28.231285095214844
2014-10-03,28.598281860351562
2014-10-06,28.589214324951172
2014-10-07,28.27659034729004
2014-10-08,28.924495697021484
2014-10-09,28.571094512939453
2014-10-10,28.371742248535156
2014-10-13,28.004751205444336
2014-10-14,28.57562255859375
2014-10-15,28.97886848449707
2014-10-16,28.9834041595459
2014-10-17,29.463661193847656
2014-10-20,29.889545440673828
2014-10-21,30.75945472717285
2014-10-22,30.297319412231445
2014-10-23,30.16593360900879
2014-10-24,30.24295997619629
2014-10-27,29.681127548217773
2014-10-28,30.16593360900879
2014-10-29,30.170454025268555
2014-10-30,28.679826736450195
2014-10-31,29.191814422607422
2014-11-03,28.72060775756836
2014-11-04,28.96527099609375
2014-11-05,29.223527908325195
2014-11-06,29.309616088867188
2014-11-07,29.436471939086914
2014-11-10,29.85783576965332
2014-11-11,29.85330581665039
2014-11-12,29.699262619018555
2014-11-13,29.522554397583008
2014-11-14,29.10572624206543
2014-11-17,29.182756423950195
2014-11-18,29.418350219726562
2014-11-19,29.223527908325195
2014-11-20,29.377574920654297
2014-11-21,29.318666458129883
2014-11-24,29.436471939086914
2014-11-25,29.726442337036133
2014-11-26,30.09416389465332
2014-11-28,30.448266983032227
2014-12-01,30.593549728393555
2014-12-02,30.779672622680664
2014-12-03,31.54688262939453
2014-12-04,31.692167282104492
2014-12-05,31.52417755126953
2014-12-08,30.888629913330078
2014-12-09,31.015737533569336
2014-12-10,30.720659255981445
2014-12-11,30.548137664794922
2014-12-12,30.171348571777344
2014-12-15,29.721899032592773
2014-12-16,29.490371704101562
2014-12-17,29.740060806274414
2014-12-18,30.793285369873047
2014-12-19,31.14739990234375
2014-12-22,31.415231704711914
2014-12-23,31.705795288085938
2014-12-24,31.642227172851562
2014-12-26,31.55143165588379
2014-12-29,31.84651756286621
2014-12-30,31.54688262939453
2014-12-31,30.94764518737793
2015-01-02,31.01120376586914
2015-01-05,30.33477210998535
2015-01-06,29.8217830657959
2015-01-07,30.0850887298584
2015-01-08,30.60262680053711
2015-01-09,29.998838424682617
2015-01-12,29.867185592651367
