,COR
2014-01-02,59.62445831298828
2014-01-03,59.66713333129883
2014-01-06,59.4538459777832
2014-01-07,60.10221481323242
2014-01-08,60.69087600708008
2014-01-09,60.895599365234375
2014-01-10,60.86150360107422
2014-01-13,60.23872375488281
2014-01-14,60.17900085449219
2014-01-15,60.18753433227539
2014-01-16,60.14487838745117
2014-01-17,60.17045211791992
2014-01-21,60.16193771362305
2014-01-22,59.957183837890625
2014-01-23,59.41117477416992
2014-01-24,57.37222671508789
2014-01-27,56.99686813354492
2014-01-28,57.773193359375
2014-01-29,57.380767822265625
2014-01-30,57.81584548950195
2014-01-31,57.34664535522461
2014-02-03,55.597740173339844
2014-02-04,55.461238861083984
2014-02-05,55.21384811401367
2014-02-06,55.887813568115234
2014-02-07,56.76652908325195
2014-02-10,56.62150955200195
2014-02-11,57.6367073059082
2014-02-12,57.790252685546875
2014-02-13,58.11985397338867
2014-02-14,58.214012145996094
2014-02-18,58.64205551147461
2014-02-19,58.308204650878906
2014-02-20,58.54790115356445
2014-02-21,58.55646896362305
2014-02-24,58.7105712890625
2014-02-25,58.830421447753906
2014-02-26,58.43661880493164
2014-02-27,58.222591400146484
2014-02-28,58.085609436035156
2014-03-03,57.785987854003906
2014-03-04,58.86465072631836
2014-03-05,58.97595977783203
2014-03-06,58.856082916259766
2014-03-07,59.01875686645508
2014-03-10,59.15571975708008
2014-03-11,58.50509262084961
2014-03-12,57.9400749206543
2014-03-13,58.03425598144531
2014-03-14,57.845909118652344
2014-03-17,58.28251266479492
2014-03-18,58.085609436035156
2014-03-19,57.24666213989258
2014-03-20,56.91276931762695
2014-03-21,55.491668701171875
2014-03-24,55.063629150390625
2014-03-25,55.269073486328125
2014-03-26,55.51734924316406
2014-03-27,54.88383483886719
2014-03-28,55.491668701171875
2014-03-31,56.15083694458008
2014-04-01,56.42481994628906
2014-04-02,56.14229965209961
2014-04-03,56.33064651489258
2014-04-04,55.68857192993164
2014-04-07,54.94377517700195
2014-04-08,54.93519592285156
2014-04-09,56.19365692138672
2014-04-10,55.64577102661133
2014-04-11,54.93519592285156
2014-04-14,55.226295471191406
2014-04-15,54.97800827026367
2014-04-16,55.60295867919922
2014-04-17,55.3718147277832
2014-04-21,55.474552154541016
2014-04-22,55.3718147277832
2014-04-23,55.50878143310547
2014-04-24,55.55159378051758
2014-04-25,53.78804397583008
2014-04-28,54.31882858276367
2014-04-29,54.78110885620117
2014-04-30,55.799861907958984
2014-05-01,55.534488677978516
2014-05-02,55.02081298828125
2014-05-05,55.73137664794922
2014-05-06,55.44887161254883
2014-05-07,55.25196075439453
2014-05-08,55.13212966918945
2014-05-09,56.14229965209961
2014-05-12,57.0754280090332
2014-05-13,57.22950744628906
2014-05-14,57.61478042602539
2014-05-15,57.988468170166016
2014-05-16,58.684322357177734
2014-05-19,59.63792037963867
2014-05-20,59.955780029296875
2014-05-21,60.746150970458984
2014-05-22,61.295963287353516
2014-05-23,61.54508590698242
2014-05-27,62.197998046875
2014-05-28,62.43853759765625
2014-05-29,62.95399856567383
2014-05-30,62.86811447143555
2014-06-02,62.89386749267578
2014-06-03,62.790794372558594
2014-06-04,63.28046417236328
2014-06-05,62.53303909301758
2014-06-06,62.283897399902344
2014-06-09,62.146488189697266
2014-06-10,61.862953186035156
2014-06-11,61.7856330871582
2014-06-12,61.39044952392578
2014-06-13,61.66535568237305
2014-06-16,61.44198989868164
2014-06-17,61.631004333496094
2014-06-18,61.94026184082031
2014-06-19,61.794227600097656
2014-06-20,62.077735900878906
2014-06-23,62.2667121887207
2014-06-24,62.32688903808594
2014-06-25,62.49010467529297
2014-06-26,62.472923278808594
2014-06-27,62.60177993774414
2014-06-30,62.421382904052734
2014-07-01,62.696285247802734
2014-07-02,62.75639724731445
2014-07-03,62.91105651855469
2014-07-07,62.72205352783203
2014-07-08,62.60177993774414
2014-07-09,62.696285247802734
2014-07-10,62.64474868774414
2014-07-11,62.696285247802734
2014-07-14,62.79935836791992
2014-07-15,62.45573043823242
2014-07-16,62.68769454956055
2014-07-17,62.45573043823242
2014-07-18,62.764991760253906
2014-07-21,62.49010467529297
2014-07-22,63.33199691772461
2014-07-23,63.62409973144531
2014-07-24,65.60858154296875
2014-07-25,65.96941375732422
2014-07-28,66.49343872070312
2014-07-29,66.68243408203125
2014-07-30,66.96593475341797
2014-07-31,66.072509765625
2014-08-01,66.40754699707031
2014-08-04,66.82849884033203
2014-08-05,66.19276428222656
2014-08-06,65.31651306152344
2014-08-07,64.39727783203125
2014-08-08,64.80106353759766
2014-08-11,65.19623565673828
2014-08-12,65.13609313964844
2014-08-13,65.41097259521484
2014-08-14,66.02713775634766
2014-08-15,65.7772445678711
2014-08-18,66.00993347167969
2014-08-19,66.29429626464844
2014-08-20,66.23396301269531
2014-08-21,66.29429626464844
2014-08-22,66.00993347167969
2014-08-25,66.28567504882812
2014-08-26,66.11333465576172
2014-08-27,65.81171417236328
2014-08-28,66.11333465576172
2014-08-29,66.69070434570312
2014-09-02,66.48387145996094
2014-09-03,66.66484069824219
2014-09-04,66.65621185302734
2014-09-05,67.33702850341797
2014-09-08,67.500732421875
2014-09-09,67.21636199951172
2014-09-10,67.18189239501953
2014-09-11,66.65621185302734
2014-09-12,66.4407958984375
2014-09-15,66.21671295166016
2014-09-16,66.44940948486328
2014-09-17,65.94959259033203
2014-09-18,66.4666519165039
2014-09-19,66.63899993896484
2014-09-22,66.50973510742188
2014-09-23,66.17363739013672
2014-09-24,67.25084686279297
2014-09-25,66.77686309814453
2014-09-26,66.71653747558594
2014-09-29,66.89751434326172
2014-09-30,66.61312866210938
2014-10-01,66.08745574951172
2014-10-02,66.24259185791016
2014-10-03,67.12157440185547
2014-10-06,66.80270385742188
2014-10-07,65.92373657226562
2014-10-08,67.12157440185547
2014-10-09,66.52696228027344
2014-10-10,66.26844024658203
2014-10-13,65.35498046875
2014-10-14,66.0357437133789
2014-10-15,65.5101089477539
2014-10-16,64.64836883544922
2014-10-17,65.35498046875
2014-10-20,65.05338287353516
2014-10-21,66.02713775634766
2014-10-22,66.0357437133789
2014-10-23,66.73377990722656
2014-10-24,67.4576416015625
2014-10-27,68.46588897705078
2014-10-28,68.63825225830078
2014-10-29,68.7157974243164
2014-10-30,73.11071014404297
2014-10-31,73.60193634033203
2014-11-03,74.88590240478516
2014-11-04,75.99757385253906
2014-11-05,75.67012023925781
2014-11-06,75.31678771972656
2014-11-07,74.73941802978516
2014-11-10,75.58393096923828
2014-11-11,75.77352905273438
2014-11-12,76.44568634033203
2014-11-13,77.01630401611328
2014-11-14,76.80016326904297
2014-11-17,76.95580291748047
2014-11-18,77.60421752929688
2014-11-19,77.22380065917969
2014-11-20,76.86066436767578
2014-11-21,76.72235870361328
2014-11-24,77.84627532958984
2014-11-25,78.08836364746094
2014-11-26,77.88951873779297
2014-11-28,78.71951293945312
2014-12-01,78.53794860839844
2014-12-02,79.57543182373047
2014-12-03,79.53221130371094
2014-12-04,79.49763488769531
2014-12-05,79.72242736816406
2014-12-08,80.0250244140625
2014-12-09,79.61865234375
2014-12-10,78.60713958740234
2014-12-11,80.01636505126953
2014-12-12,78.65901184082031
2014-12-15,78.40824890136719
2014-12-16,77.31889343261719
2014-12-17,78.29586029052734
2014-12-18,78.9183349609375
2014-12-19,79.26419067382812
2014-12-22,79.48898315429688
2014-12-23,79.03942108154297
2014-12-24,79.19503784179688
2014-12-26,79.11721801757812
2014-12-29,79.22093963623047
2014-12-30,78.9183349609375
2014-12-31,77.95005798339844
2015-01-02,78.20939636230469
2015-01-05,77.543701171875
2015-01-06,77.96733856201172
2015-01-07,79.5235824584961
2015-01-08,79.70512390136719
2015-01-09,80.40542602539062
2015-01-12,78.61576080322266
2015-01-13,79.2296142578125
2015-01-14,79.62731170654297
2015-01-15,79.0221176147461
2015-01-16,79.90399169921875
2015-01-20,79.9212875366211
2015-01-21,80.21521759033203
2015-01-22,81.39971160888672
2015-01-23,81.90115356445312
2015-01-26,82.86946868896484
2015-01-27,82.93000793457031
2015-01-28,83.31904602050781
2015-01-29,83.2930908203125
2015-01-30,82.17781066894531
2015-02-02,82.26426696777344
2015-02-03,82.68790435791016
2015-02-04,82.88675689697266
2015-02-05,83.2930908203125
2015-02-06,83.8983154296875
2015-02-09,82.61871337890625
2015-02-10,83.78594207763672
2015-02-11,85.36808776855469
2015-02-12,86.5647201538086
2015-02-13,87.00694274902344
2015-02-17,87.23240661621094
2015-02-18,87.28443908691406
2015-02-19,87.58792877197266
2015-02-20,88.42903137207031
2015-02-23,89.10537719726562
2015-02-24,89.28748321533203
2015-02-25,89.56495666503906
2015-02-26,89.29615020751953
2015-02-27,89.10537719726562
2015-03-02,89.40019989013672
2015-03-03,89.34821319580078
2015-03-04,89.72970581054688
2015-03-05,89.86844635009766
2015-03-06,88.67181396484375
2015-03-09,89.60832977294922
2015-03-10,89.2527847290039
2015-03-11,90.04186248779297
2015-03-12,91.37722778320312
2015-03-13,92.04490661621094
2015-03-16,95.49606323242188
2015-03-17,95.69550323486328
2015-03-18,96.85743713378906
2015-03-19,97.43842315673828
2015-03-20,98.38359069824219
2015-03-23,98.53965759277344
2015-03-24,98.75643920898438
2015-03-25,97.23899841308594
2015-03-26,97.19564056396484
2015-03-27,98.14947509765625
2015-03-30,98.40959930419922
2015-03-31,98.56568145751953
2015-04-01,97.14359283447266
2015-04-02,97.45574188232422
2015-04-06,97.5858383178711
2015-04-07,97.70722198486328
2015-04-08,98.19281005859375
2015-04-09,98.41827392578125
2015-04-10,100.0224380493164
2015-04-13,98.8431396484375
2015-04-14,98.85184478759766
2015-04-15,98.52232360839844
2015-04-16,98.70446014404297
2015-04-17,97.64654541015625
2015-04-20,98.14947509765625
2015-04-21,98.75643920898438
2015-04-22,98.68707275390625
2015-04-23,99.89238739013672
2015-04-24,100.13516998291016
2015-04-27,98.94720458984375
2015-04-28,98.817138671875
2015-04-29,97.49913024902344
2015-04-30,99.11196899414062
2015-05-01,99.38076782226562
2015-05-04,99.93572998046875
2015-05-05,99.45879364013672
2015-05-06,98.90384674072266
2015-05-07,98.91252899169922
2015-05-08,99.97908782958984
2015-05-11,99.64089965820312
2015-05-12,99.76232147216797
2015-05-13,99.11196899414062
2015-05-14,99.67704010009766
2015-05-15,99.25975799560547
2015-05-18,98.50345611572266
2015-05-19,100.0682144165039
2015-05-20,99.72048950195312
2015-05-21,99.0511245727539
2015-05-22,98.92938232421875
2015-05-26,98.23393249511719
2015-05-27,98.7468490600586
2015-05-28,98.32087707519531
2015-05-29,97.85144805908203
2015-06-01,98.45997619628906
2015-06-02,97.7818603515625
2015-06-03,97.6949462890625
2015-06-04,96.92129516601562
2015-06-05,96.92994689941406
2015-06-08,95.81720733642578
2015-06-09,94.86096954345703
2015-06-10,94.53929901123047
2015-06-11,95.98239135742188
2015-06-12,95.7563705444336
2015-06-15,96.17367553710938
2015-06-16,96.65176391601562
2015-06-17,96.93865203857422
2015-06-18,97.29507446289062
2015-06-19,96.90386962890625
2015-06-22,97.18204498291016
2015-06-23,97.19945526123047
2015-06-24,95.27822875976562
2015-06-25,93.54827117919922
2015-06-26,93.74820709228516
2015-06-29,92.235595703125
2015-06-30,92.44422912597656
2015-07-01,93.63522338867188
2015-07-02,93.10490417480469
2015-07-06,93.91341400146484
2015-07-07,94.43498992919922
2015-07-08,93.7395248413086
2015-07-09,94.63493347167969
2015-07-10,95.15653228759766
2015-07-13,95.68681335449219
2015-07-14,95.97371673583984
2015-07-15,96.08671569824219
2015-07-16,97.26029968261719
2015-07-17,98.40780639648438
2015-07-20,99.76395416259766
2015-07-21,99.19021606445312
2015-07-22,99.92916107177734
2015-07-23,95.73027038574219
2015-07-24,94.52192687988281
2015-07-27,93.3396224975586
2015-07-28,93.88731384277344
2015-07-29,93.69605255126953
2015-07-30,90.81861114501953
2015-07-31,91.93131256103516
2015-08-03,91.9921875
2015-08-04,92.33122253417969
2015-08-05,93.2353286743164
2015-08-06,91.0619888305664
2015-08-07,90.72296142578125
2015-08-10,90.97506713867188
2015-08-11,90.85335540771484
2015-08-12,90.74031829833984
2015-08-13,90.55728149414062
2015-08-14,90.60958099365234
2015-08-17,91.20236206054688
2015-08-18,91.49004364013672
2015-08-19,92.52742767333984
2015-08-20,90.11270904541016
2015-08-21,88.7440414428711
2015-08-24,85.8934097290039
2015-08-25,84.91706848144531
2015-08-26,87.7066650390625
2015-08-27,88.17739868164062
2015-08-28,87.93331909179688
2015-08-31,87.20976257324219
2015-09-01,86.53849792480469
2015-09-02,87.41899108886719
2015-09-03,87.1749038696289
2015-09-04,86.29442596435547
2015-09-08,88.09022521972656
2015-09-09,87.82870483398438
2015-09-10,88.94453430175781
2015-09-11,90.95828247070312
2015-09-14,91.20236206054688
2015-09-15,92.02181243896484
2015-09-16,92.65818786621094
2015-09-17,93.08534240722656
2015-09-18,92.49254608154297
2015-09-21,91.77774810791016
2015-09-22,90.02555084228516
2015-09-23,89.63323211669922
2015-09-24,88.89225769042969
2015-09-25,87.03543853759766
2015-09-28,83.85350036621094
2015-09-29,82.8597412109375
2015-09-30,82.80742645263672
2015-10-01,82.38897705078125
2015-10-02,82.73768615722656
2015-10-05,82.80742645263672
2015-10-06,81.09878540039062
2015-10-07,81.02033233642578
2015-10-08,81.54340362548828
2015-10-09,80.93316650390625
2015-10-12,81.70028686523438
2015-10-13,82.07518005371094
2015-10-14,81.09878540039062
2015-10-15,82.00540924072266
2015-10-16,82.86843872070312
2015-10-19,82.6330795288086
2015-10-20,81.22955322265625
2015-10-21,80.81983184814453
2015-10-22,80.89830017089844
2015-10-23,81.18597412109375
2015-10-26,81.6218490600586
2015-10-27,85.0303955078125
2015-10-28,84.99552154541016
2015-10-29,84.40275573730469
2015-10-30,84.13248443603516
2015-11-02,85.283203125
2015-11-03,85.14371490478516
2015-11-04,84.96937561035156
2015-11-05,85.33551025390625
2015-11-06,85.09142303466797
2015-11-09,84.9083251953125
2015-11-10,86.18980407714844
2015-11-11,85.64061737060547
2015-11-12,84.77458190917969
2015-11-13,84.49463653564453
2015-11-16,85.11575317382812
2015-11-17,86.75157928466797
2015-11-18,87.74882507324219
2015-11-19,86.7690658569336
2015-11-20,86.69034576416016
2015-11-23,86.36668395996094
2015-11-24,86.16546630859375
2015-11-25,86.54163360595703
2015-11-27,86.5941162109375
2015-11-30,86.2879409790039
2015-12-01,87.04024505615234
2015-12-02,86.4716567993164
2015-12-03,86.34918212890625
2015-12-04,87.38139343261719
2015-12-07,87.46015167236328
2015-12-08,87.88878631591797
2015-12-09,88.06373596191406
2015-12-10,89.18344116210938
2015-12-11,89.29718017578125
2015-12-14,89.69084167480469
2015-12-15,88.95602416992188
2015-12-16,88.86854553222656
2015-12-17,89.52459716796875
2015-12-18,89.12220764160156
2015-12-21,90.00574493408203
2015-12-22,90.24193572998047
2015-12-23,90.92427062988281
2015-12-24,90.93301391601562
2015-12-28,91.1429672241211
2015-12-29,91.65030670166016
2015-12-30,91.8690185546875
2015-12-31,90.72306060791016
2016-01-04,89.11346435546875
2016-01-05,90.41690826416016
2016-01-06,89.03474426269531
2016-01-07,86.19171142578125
2016-01-08,85.69309997558594
2016-01-11,82.28146362304688
2016-01-12,82.3864517211914
2016-01-13,81.47666931152344
2016-01-14,81.98402404785156
2016-01-15,81.15300750732422
2016-01-19,80.95181274414062
2016-01-20,79.5171890258789
2016-01-21,79.22850036621094
2016-01-22,79.6046371459961
2016-01-25,79.84085083007812
2016-01-26,79.83209991455078
2016-01-27,78.8873291015625
2016-01-28,76.35922241210938
2016-01-29,78.344970703125
2016-02-01,77.8551025390625
2016-02-02,77.10279846191406
2016-02-03,76.97157287597656
2016-02-04,73.83112335205078
2016-02-05,74.09355926513672
2016-02-08,73.14879608154297
2016-02-09,74.13729858398438
2016-02-10,74.88086700439453
2016-02-11,73.96234893798828
2016-02-12,74.88957977294922
2016-02-16,74.88957977294922
2016-02-17,76.53418731689453
2016-02-18,76.13019561767578
2016-02-19,76.2619400024414
2016-02-22,77.0171890258789
2016-02-23,76.70982360839844
2016-02-24,76.47273254394531
2016-02-25,76.92936706542969
2016-02-26,76.87667083740234
2016-02-29,76.06875610351562
2016-03-01,76.78007507324219
2016-03-02,76.95569610595703
2016-03-03,77.47386169433594
2016-03-04,77.28065490722656
2016-03-07,77.36846160888672
2016-03-08,77.12256622314453
2016-03-09,76.90303802490234
2016-03-10,75.68235778808594
2016-03-11,78.641845703125
2016-03-14,77.24552154541016
2016-03-15,75.78772735595703
2016-03-16,76.46394348144531
2016-03-17,75.41888427734375
2016-03-18,76.82402038574219
2016-03-21,76.51663970947266
2016-03-22,76.54296112060547
2016-03-23,76.63953399658203
2016-03-24,75.67354583740234
2016-03-28,75.94580841064453
2016-03-29,75.89311218261719
2016-03-30,76.48147583007812
2016-03-31,76.00728607177734
2016-04-01,75.97215270996094
2016-04-04,76.54296112060547
2016-04-05,75.25202941894531
2016-04-06,76.87667083740234
2016-04-07,76.10387420654297
2016-04-08,74.91832733154297
2016-04-11,74.15431213378906
2016-04-12,74.55827331542969
2016-04-13,74.79535675048828
2016-04-14,76.13900756835938
2016-04-15,77.13136291503906
2016-04-18,77.8602523803711
2016-04-19,78.58914947509766
2016-04-20,80.67046356201172
2016-04-21,80.64411926269531
2016-04-22,80.69682312011719
2016-04-25,80.36308288574219
2016-04-26,80.16107940673828
2016-04-27,79.59906768798828
2016-04-28,75.89311218261719
2016-04-29,74.73388671875
2016-05-02,74.84806823730469
2016-05-03,75.06761932373047
2016-05-04,74.0225601196289
2016-05-05,68.49877166748047
2016-05-06,67.19903564453125
2016-05-09,67.94551849365234
2016-05-10,67.33955383300781
2016-05-11,66.5316162109375
2016-05-12,65.67098999023438
2016-05-13,64.68742370605469
2016-05-16,65.50414276123047
2016-05-17,65.45144653320312
2016-05-18,65.99590301513672
2016-05-19,66.2076416015625
2016-05-20,66.00473022460938
2016-05-23,65.22843933105469
2016-05-24,65.5812759399414
2016-05-25,65.31663513183594
2016-05-26,65.00787353515625
2016-05-27,65.30781555175781
2016-05-31,66.1458969116211
2016-06-01,66.72814178466797
2016-06-02,67.99844360351562
2016-06-03,67.52207946777344
2016-06-06,67.44268798828125
2016-06-07,67.23980712890625
2016-06-08,67.26628112792969
2016-06-09,67.1956787109375
2016-06-10,67.45149993896484
2016-06-13,67.40740966796875
2016-06-14,66.61345672607422
2016-06-15,67.1515884399414
2016-06-16,67.04571533203125
2016-06-17,66.78105926513672
2016-06-20,67.37210083007812
2016-06-21,67.5485610961914
2016-06-22,68.04258728027344
2016-06-23,68.4130859375
2016-06-24,66.55168151855469
2016-06-27,65.14904022216797
2016-06-28,66.44581604003906
2016-06-29,68.15726470947266
2016-06-30,69.97457885742188
2016-07-01,70.71560668945312
2016-07-05,70.89203643798828
2016-07-06,71.6242446899414
2016-07-07,71.44779205322266
2016-07-08,72.2682113647461
2016-07-11,72.49759674072266
2016-07-12,74.26195526123047
2016-07-13,74.923583984375
2016-07-14,75.82339477539062
2016-07-15,75.47053527832031
2016-07-18,75.89397430419922
2016-07-19,75.79695129394531
2016-07-20,76.43211364746094
2016-07-21,75.69992065429688
2016-07-22,75.74398803710938
2016-07-25,75.3470458984375
2016-07-26,75.61168670654297
2016-07-27,75.3558349609375
2016-07-28,74.82652282714844
2016-07-29,75.1529769897461
2016-08-01,75.4616928100586
2016-08-02,78.8934097290039
2016-08-03,79.29918670654297
2016-08-04,78.49642181396484
2016-08-05,78.82282257080078
2016-08-08,78.22295379638672
2016-08-09,78.17884063720703
2016-08-10,77.54366302490234
2016-08-11,78.46996307373047
2016-08-12,78.43465423583984
2016-08-15,78.85811614990234
2016-08-16,78.91984558105469
2016-08-17,78.46114349365234
2016-08-18,78.78878784179688
2016-08-19,78.68252563476562
2016-08-22,78.59396362304688
2016-08-23,78.80650329589844
2016-08-24,78.27516174316406
2016-08-25,75.7247314453125
2016-08-26,75.937255859375
2016-08-29,76.43315887451172
2016-08-30,76.19406127929688
2016-08-31,77.01766204833984
2016-09-01,77.17706298828125
2016-09-02,77.4338607788086
2016-09-06,77.60213470458984
2016-09-07,77.70841979980469
2016-09-08,77.28331756591797
2016-09-09,75.547607421875
2016-09-12,76.99994659423828
2016-09-13,75.49446868896484
2016-09-14,74.25467681884766
2016-09-15,74.56464385986328
2016-09-16,74.48493194580078
2016-09-19,73.73220825195312
2016-09-20,72.68724060058594
2016-09-21,73.51968383789062
2016-09-22,74.0244369506836
2016-09-23,73.79420471191406
2016-09-26,73.25399017333984
2016-09-27,73.72335052490234
2016-09-28,73.67906951904297
2016-09-29,71.95220184326172
2016-09-30,71.53599548339844
2016-10-03,70.95153045654297
2016-10-04,71.31462097167969
2016-10-05,70.87181854248047
2016-10-06,70.96926879882812
2016-10-07,70.3050537109375
2016-10-10,70.52645111083984
2016-10-11,70.49988555908203
2016-10-12,71.38545227050781
2016-10-13,71.1817855834961
2016-10-14,70.65931701660156
2016-10-17,70.6150131225586
2016-10-18,71.810546875
2016-10-19,71.15519714355469
2016-10-20,71.50057220458984
2016-10-21,70.86297607421875
2016-10-24,70.88067626953125
2016-10-25,71.19062805175781
2016-10-26,70.287353515625
2016-10-27,70.40248107910156
2016-10-28,61.22801971435547
2016-10-31,62.27299880981445
2016-11-01,61.803619384765625
2016-11-02,67.26758575439453
2016-11-03,64.04412841796875
2016-11-04,62.40581130981445
2016-11-07,63.6987419128418
2016-11-08,61.130611419677734
2016-11-09,66.95764923095703
2016-11-10,70.48218536376953
2016-11-11,69.88882446289062
2016-11-14,72.02308654785156
2016-11-15,70.42903900146484
2016-11-16,69.83570861816406
2016-11-17,71.31705474853516
2016-11-18,70.47183990478516
2016-11-21,69.79566955566406
2016-11-22,69.7601089477539
2016-11-23,70.01811218261719
2016-11-25,69.90245819091797
2016-11-28,70.32949829101562
2016-11-29,69.0661392211914
2016-11-30,69.38643646240234
2016-12-01,69.21739959716797
2016-12-02,70.10707092285156
2016-12-05,70.76542663574219
2016-12-06,70.1693344116211
2016-12-07,67.95404815673828
2016-12-08,68.39889526367188
2016-12-09,70.1960220336914
2016-12-12,69.45762634277344
2016-12-13,70.3205795288086
2016-12-14,68.55012512207031
2016-12-15,68.21206665039062
2016-12-16,68.84373474121094
2016-12-19,69.76898193359375
2016-12-20,70.55192565917969
2016-12-21,70.15156555175781
2016-12-22,69.22627258300781
2016-12-23,69.8935546875
2016-12-27,70.12487030029297
2016-12-28,69.70671081542969
2016-12-29,70.5875015258789
2016-12-30,69.56441497802734
2017-01-03,73.49677276611328
2017-01-04,75.32063293457031
2017-01-05,74.44871520996094
2017-01-06,75.44518280029297
2017-01-09,76.05015563964844
2017-01-10,75.47187042236328
2017-01-11,72.5359115600586
2017-01-12,74.60887908935547
2017-01-13,75.28504180908203
2017-01-17,76.50389099121094
2017-01-18,76.07683563232422
2017-01-19,76.04125213623047
2017-01-20,74.51101684570312
2017-01-23,75.5163345336914
2017-01-24,75.09821319580078
2017-01-25,76.36154174804688
2017-01-26,74.19071197509766
