,META
2014-01-02,54.501808166503906
2014-01-03,54.352378845214844
2014-01-06,56.982330322265625
2014-01-07,57.6995849609375
2014-01-08,58.0084114074707
2014-01-09,57.00225830078125
2014-01-10,57.719512939453125
2014-01-13,55.697242736816406
2014-01-14,57.5202751159668
2014-01-15,57.38080596923828
2014-01-16,56.97237014770508
2014-01-17,56.085758209228516
2014-01-21,58.2873420715332
2014-01-22,57.29115295410156
2014-01-23,56.41450119018555
2014-01-24,54.242794036865234
2014-01-27,53.34621810913086
2014-01-28,54.930171966552734
2014-01-29,53.3262939453125
2014-01-30,60.84756851196289
2014-01-31,62.3318977355957
2014-02-03,61.24604034423828
2014-02-04,62.51121139526367
2014-02-05,61.95334243774414
2014-02-06,61.92345428466797
2014-02-07,64.07524871826172
2014-02-10,63.308162689208984
2014-02-11,64.60321807861328
2014-02-12,64.2047348022461
2014-02-13,67.07378387451172
2014-02-14,66.8346939086914
2014-02-18,67.04390716552734
2014-02-19,67.8010025024414
2014-02-20,69.36502838134766
2014-02-21,68.32898712158203
2014-02-24,70.51065063476562
2014-02-25,69.58418273925781
2014-02-26,68.9964370727539
2014-02-27,68.67765808105469
2014-02-28,68.1994857788086
2014-03-03,67.15348052978516
2014-03-04,68.5381851196289
2014-03-05,71.29764556884766
2014-03-06,70.57042694091797
2014-03-07,69.53438568115234
2014-03-10,71.75588989257812
2014-03-11,69.83324432373047
2014-03-12,70.61027526855469
2014-03-13,68.56808471679688
2014-03-14,67.46229553222656
2014-03-17,68.4784164428711
2014-03-18,68.92671203613281
2014-03-19,67.98031616210938
2014-03-20,66.71514892578125
2014-03-21,66.98412322998047
2014-03-24,63.856075286865234
2014-03-25,64.64306640625
2014-03-26,60.16019058227539
2014-03-27,60.73798751831055
2014-03-28,59.781639099121094
2014-03-31,60.010765075683594
2014-04-01,62.3817024230957
2014-04-02,62.481327056884766
2014-04-03,59.26362228393555
2014-04-04,56.53404235839844
2014-04-07,56.73328399658203
2014-04-08,57.96855926513672
2014-04-09,62.172508239746094
2014-04-10,58.934871673583984
2014-04-11,58.30727005004883
2014-04-14,58.665897369384766
2014-04-15,58.86513900756836
2014-04-16,59.492740631103516
2014-04-17,58.7157096862793
2014-04-21,61.006961822509766
2014-04-22,62.79014587402344
2014-04-23,61.12650680541992
2014-04-24,60.63836669921875
2014-04-25,57.490394592285156
2014-04-28,55.92636489868164
2014-04-29,57.92871856689453
2014-04-30,59.55251693725586
2014-05-01,60.917301177978516
2014-05-02,60.229923248291016
2014-05-05,60.98703384399414
2014-05-06,58.30727005004883
2014-05-07,57.17161178588867
2014-05-08,56.54400634765625
2014-05-09,57.02218246459961
2014-05-12,59.60232925415039
2014-05-13,59.60232925415039
2014-05-14,59.004600524902344
2014-05-15,57.6995849609375
2014-05-16,57.79920959472656
2014-05-19,58.98468017578125
2014-05-20,58.337158203125
2014-05-21,60.25981140136719
2014-05-22,60.28969955444336
2014-05-23,61.11653518676758
2014-05-27,63.23843002319336
2014-05-28,63.26831817626953
2014-05-29,63.587100982666016
2014-05-30,63.05911636352539
2014-06-02,62.83995819091797
2014-06-03,62.63075637817383
2014-06-04,63.098968505859375
2014-06-05,62.94953536987305
2014-06-06,62.26216506958008
2014-06-09,62.640716552734375
2014-06-10,65.51972198486328
2014-06-11,65.52967834472656
2014-06-12,64.04535675048828
2014-06-13,64.25455474853516
2014-06-16,63.94573974609375
2014-06-17,64.1549301147461
2014-06-18,65.35037231445312
2014-06-19,64.09515380859375
2014-06-20,64.25455474853516
2014-06-23,65.12124633789062
2014-06-24,65.46990966796875
2014-06-25,67.18336486816406
2014-06-26,66.87454223632812
2014-06-27,67.3427505493164
2014-06-30,67.033935546875
2014-07-01,67.8010025024414
2014-07-02,66.19712829589844
2014-07-03,66.0377426147461
2014-07-07,65.04154205322266
2014-07-08,62.52117156982422
2014-07-09,64.7227554321289
2014-07-10,64.6231460571289
