,VRSK
2014-01-02,62.66190719604492
2014-01-03,62.67151641845703
2014-01-06,61.24738693237305
2014-01-07,61.20888900756836
2014-01-08,60.96834182739258
2014-01-09,60.756629943847656
2014-01-10,60.55455780029297
2014-01-13,60.092689514160156
2014-01-14,60.621917724609375
2014-01-15,61.03569030761719
2014-01-16,61.69965362548828
2014-01-17,61.05493927001953
2014-01-21,61.60340881347656
2014-01-22,61.555301666259766
2014-01-23,61.738136291503906
2014-01-24,61.170406341552734
2014-01-27,60.920223236083984
2014-01-28,61.449462890625
2014-01-29,61.276248931884766
2014-01-30,62.1134147644043
2014-01-31,61.449462890625
2014-02-03,60.410213470458984
2014-02-04,60.371742248535156
2014-02-05,59.929100036621094
2014-02-06,59.97721481323242
2014-02-07,60.04457092285156
2014-02-10,59.94834518432617
2014-02-11,60.410213470458984
2014-02-12,60.8913459777832
2014-02-13,63.40282440185547
2014-02-14,63.17188262939453
2014-02-18,62.74850845336914
2014-02-19,63.01793670654297
2014-02-20,63.556785583496094
2014-02-21,63.05641555786133
2014-02-24,62.91206359863281
2014-02-25,62.738868713378906
2014-02-26,61.372474670410156
2014-02-27,61.382110595703125
2014-02-28,61.31474304199219
2014-03-03,61.01643753051758
2014-03-04,61.07417297363281
2014-03-05,59.755889892578125
2014-03-06,60.21778106689453
2014-03-07,59.89060592651367
2014-03-10,61.4398307800293
2014-03-11,61.32435607910156
2014-03-12,60.90097427368164
2014-03-13,60.00607681274414
2014-03-14,60.015708923339844
2014-03-17,60.50644302368164
2014-03-18,60.564178466796875
2014-03-19,60.45833969116211
2014-03-20,60.11193084716797
2014-03-21,60.121551513671875
2014-03-24,59.29400634765625
2014-03-25,58.90909957885742
2014-03-26,58.476097106933594
2014-03-27,58.21628952026367
2014-03-28,57.61005783081055
2014-03-31,57.69667053222656
2014-04-01,57.484981536865234
2014-04-02,58.32213592529297
2014-04-03,58.456844329833984
2014-04-04,57.32139587402344
2014-04-07,56.13782501220703
2014-04-08,56.67668914794922
2014-04-09,56.77289962768555
2014-04-10,55.88764190673828
2014-04-11,54.41539001464844
2014-04-14,55.598960876464844
2014-04-15,54.96387481689453
2014-04-16,55.78178787231445
2014-04-17,55.425750732421875
2014-04-21,55.416133880615234
2014-04-22,55.81064987182617
2014-04-23,55.81064987182617
2014-04-24,56.13782501220703
2014-04-25,55.62782669067383
2014-04-28,55.47386932373047
2014-04-29,55.6951904296875
2014-04-30,57.82176971435547
2014-05-01,57.6485595703125
2014-05-02,57.475345611572266
2014-05-05,57.975738525390625
2014-05-06,57.59082794189453
2014-05-07,57.475345611572266
2014-05-08,57.92760467529297
2014-05-09,58.245155334472656
2014-05-12,59.13043212890625
2014-05-13,58.52421188354492
2014-05-14,58.610816955566406
2014-05-15,57.975738525390625
2014-05-16,58.66856002807617
2014-05-19,58.85137939453125
2014-05-20,58.447235107421875
2014-05-21,58.68779754638672
2014-05-22,58.34138107299805
2014-05-23,58.6492919921875
2014-05-27,58.82250213623047
2014-05-28,58.254783630371094
2014-05-29,58.51458740234375
2014-05-30,56.95573043823242
2014-06-02,57.32139587402344
2014-06-03,57.65818786621094
2014-06-04,58.58194351196289
2014-06-05,59.02458572387695
2014-06-06,59.02458572387695
2014-06-09,59.45759582519531
2014-06-10,58.880245208740234
2014-06-11,58.83213806152344
2014-06-12,58.31251525878906
2014-06-13,58.13929748535156
2014-06-16,58.50495529174805
2014-06-17,58.10081481933594
2014-06-18,57.72554397583008
2014-06-19,57.92760467529297
2014-06-20,58.17780685424805
2014-06-23,58.0911979675293
2014-06-24,57.29252243041992
2014-06-25,56.99422836303711
2014-06-26,56.91725158691406
2014-06-27,57.4176139831543
2014-06-30,57.75440216064453
2014-07-01,58.601192474365234
2014-07-02,58.29326629638672
2014-07-03,58.84174728393555
2014-07-07,59.08232116699219
2014-07-08,58.84174728393555
2014-07-09,58.6492919921875
2014-07-10,58.716670989990234
2014-07-11,58.81288528442383
2014-07-14,58.83213806152344
2014-07-15,59.159297943115234
2014-07-16,59.17854690551758
