,HST
2014-01-02,12.885266304016113
2014-01-03,12.798293113708496
2014-01-06,12.744770050048828
2014-01-07,12.744770050048828
2014-01-08,12.871888160705566
2014-01-09,12.912025451660156
2014-01-10,12.831744194030762
2014-01-13,12.764840126037598
2014-01-14,12.938793182373047
2014-01-15,13.012381553649902
2014-01-16,12.985618591308594
2014-01-17,12.992311477661133
2014-01-21,13.032448768615723
2014-01-22,13.09266185760498
2014-01-23,12.958858489990234
2014-01-24,12.570828437805176
2014-01-27,12.329981803894043
2014-01-28,12.383502960205078
2014-01-29,12.182796478271484
2014-01-30,12.263082504272461
2014-01-31,12.303220748901367
2014-02-03,12.042306900024414
2014-02-04,12.20287036895752
2014-02-05,12.075753211975098
2014-02-06,12.263082504272461
2014-02-07,12.32329273223877
2014-02-10,12.276464462280273
2014-02-11,12.530688285827637
2014-02-12,12.537376403808594
2014-02-13,12.61766242980957
2014-02-14,12.704627990722656
2014-02-18,12.61766242980957
2014-02-19,12.87857723236084
2014-02-20,13.012381553649902
2014-02-21,13.072591781616211
2014-02-24,13.126113891601562
2014-02-25,13.126113891601562
2014-02-26,13.159563064575195
2014-02-27,13.09935188293457
2014-02-28,13.159563064575195
2014-03-03,13.1461820602417
2014-03-04,13.427169799804688
2014-03-05,13.360270500183105
2014-03-06,13.460620880126953
2014-03-07,13.467312812805176
2014-03-10,13.393718719482422
2014-03-11,13.473998069763184
2014-03-12,13.554283142089844
2014-03-13,13.494073867797852
2014-03-14,13.641255378723145
2014-03-17,13.66801643371582
2014-03-18,13.694777488708496
2014-03-19,13.40710163116455
2014-03-20,13.393718719482422
2014-03-21,13.567662239074707
2014-03-24,13.34688949584961
2014-03-25,13.413793563842773
2014-03-26,13.199706077575684
2014-03-27,13.294037818908691
2014-03-28,13.435534477233887
2014-03-31,13.63767147064209
2014-04-01,13.853292465209961
2014-04-02,13.920669555664062
2014-04-03,13.920669555664062
2014-04-04,13.826333999633789
2014-04-07,13.907194137573242
2014-04-08,13.961097717285156
2014-04-09,13.88023853302002
2014-04-10,13.570293426513672
2014-04-11,13.509650230407715
2014-04-14,13.630938529968262
2014-04-15,13.806118965148926
2014-04-16,14.16997241973877
2014-04-17,14.136282920837402
2014-04-21,14.163229942321777
2014-04-22,14.217138290405273
2014-04-23,14.149761199951172
2014-04-24,14.230615615844727
2014-04-25,14.082380294799805
2014-04-28,14.129541397094727
2014-04-29,14.102594375610352
2014-04-30,14.45296859741211
2014-05-01,14.48666000366211
2014-05-02,14.466446876525879
2014-05-05,14.358641624450684
2014-05-06,14.31147289276123
2014-05-07,14.405804634094238
2014-05-08,14.48666000366211
2014-05-09,14.439492225646973
2014-05-12,14.628155708312988
2014-05-13,14.419279098510742
2014-05-14,14.459704399108887
2014-05-15,14.439492225646973
2014-05-16,14.628155708312988
2014-05-19,14.655109405517578
2014-05-20,14.5472993850708
2014-05-21,14.45296859741211
2014-05-22,14.493392944335938
2014-05-23,14.63489818572998
2014-05-27,14.695539474487305
2014-05-28,14.607941627502441
2014-05-29,14.688798904418945
2014-05-30,14.870721817016602
2014-06-02,14.911149024963379
2014-06-03,14.924626350402832
2014-06-04,14.951581954956055
2014-06-05,15.308690071105957
2014-06-06,15.342381477355957
2014-06-09,15.187406539916992
2014-06-10,15.039172172546387
2014-06-11,15.07286548614502
2014-06-12,14.90441608428955
2014-06-13,14.951581954956055
2014-06-16,14.776394844055176
2014-06-17,14.89768123626709
2014-06-18,14.965058326721191
2014-06-19,15.07286548614502
2014-06-20,15.07286548614502
2014-06-23,15.0593900680542
2014-06-24,14.951581954956055
2014-06-25,14.870721817016602
2014-06-26,14.897859573364258
2014-06-27,15.067462921142578
2014-06-30,14.931779861450195
2014-07-01,14.999621391296387
2014-07-02,14.938566207885742
2014-07-03,15.01997184753418
2014-07-07,15.013192176818848
2014-07-08,15.013192176818848
2014-07-09,15.176010131835938
2014-07-10,15.332040786743164
2014-07-11,15.2777681350708
2014-07-14,15.440585136413574
2014-07-15,15.501643180847168
2014-07-16,15.610189437866211
2014-07-17,15.399885177612305
2014-07-18,15.637327194213867
2014-07-21,15.562698364257812
2014-07-22,15.664460182189941
2014-07-23,15.664460182189941
2014-07-24,15.583053588867188
2014-07-25,15.57626724243164
2014-07-28,15.583053588867188
2014-07-29,15.433799743652344
2014-07-30,15.325260162353516
2014-07-31,14.748611450195312
2014-08-01,14.673988342285156
2014-08-04,14.897859573364258
2014-08-05,14.640063285827637
2014-08-06,14.59257984161377
2014-08-07,14.517948150634766
2014-08-08,14.660419464111328
2014-08-11,14.741827964782715
2014-08-12,14.768959999084473
2014-08-13,15.013192176818848
2014-08-14,15.033544540405273
2014-08-15,15.074248313903809
2014-08-18,15.311688423156738
2014-08-19,15.372743606567383
2014-08-20,15.440585136413574
2014-08-21,15.386317253112793
2014-08-22,15.332040786743164
2014-08-25,15.30490779876709
2014-08-26,15.264200210571289
2014-08-27,15.352395057678223
2014-08-28,15.345610618591309
2014-08-29,15.481291770935059
2014-09-02,15.488080978393555
2014-09-03,15.467721939086914
2014-09-04,15.2777681350708
2014-09-05,15.413448333740234
2014-09-08,15.440585136413574
2014-09-09,15.325260162353516
2014-09-10,15.101386070251465
2014-09-11,15.16243839263916
2014-09-12,14.741827964782715
2014-09-15,14.660419464111328
2014-09-16,14.952131271362305
2014-09-17,14.918210983276367
2014-09-18,14.897859573364258
2014-09-19,14.789316177368164
2014-09-22,14.673988342285156
2014-09-23,14.382265090942383
2014-09-24,14.517948150634766
2014-09-25,14.40262508392334
2014-09-26,14.717658042907715
2014-09-29,14.799845695495605
2014-09-30,14.60807991027832
2014-10-01,14.395771980285645
2014-10-02,14.368376731872559
2014-10-03,14.601234436035156
2014-10-06,14.573838233947754
2014-10-07,14.334136962890625
2014-10-08,14.738204956054688
2014-10-09,14.505353927612305
2014-10-10,14.231405258178711
2014-10-13,13.85473346710205
2014-10-14,14.190316200256348
2014-10-15,14.094433784484863
2014-10-16,14.48480224609375
2014-10-17,14.710808753967285
2014-10-20,15.005297660827637
2014-10-21,15.388818740844727
2014-10-22,15.251852989196777
2014-10-23,15.443607330322266
2014-10-24,15.539490699768066
2014-10-27,15.601126670837402
2014-10-28,15.690159797668457
2014-10-29,15.772342681884766
2014-10-30,15.738100051879883
2014-10-31,15.96410083770752
2014-11-03,15.902459144592285
2014-11-04,15.724404335021973
2014-11-05,15.669615745544434
2014-11-06,15.607978820800781
2014-11-07,15.518941879272461
2014-11-10,15.58742904663086
2014-11-11,15.58742904663086
2014-11-12,15.532642364501953
2014-11-13,15.566890716552734
2014-11-14,15.525790214538574
2014-11-17,15.477852821350098
2014-11-18,15.58742904663086
2014-11-19,15.375123977661133
2014-11-20,15.58742904663086
2014-11-21,15.621670722961426
2014-11-24,15.703856468200684
2014-11-25,15.83398151397705
2014-11-26,15.868224143981934
2014-11-28,15.916163444519043
2014-12-01,15.861374855041504
2014-12-02,16.053136825561523
2014-12-03,16.149023056030273
2014-12-04,16.142168045043945
2014-12-05,16.12162208557129
2014-12-08,16.149023056030273
2014-12-09,16.251745223999023
2014-12-10,16.183258056640625
2014-12-11,16.251745223999023
2014-12-12,16.01204490661621
2014-12-15,15.923016548156738
2014-12-16,15.977802276611328
2014-12-17,16.340776443481445
2014-12-18,16.354473114013672
2014-12-19,16.3681697845459
2014-12-22,16.66266441345215
2014-12-23,16.642114639282227
2014-12-24,16.59416961669922
2014-12-26,16.635269165039062
2014-12-29,16.7114200592041
2014-12-30,16.697572708129883
2014-12-31,16.455278396606445
2015-01-02,16.482969284057617
2015-01-05,16.351436614990234
2015-01-06,16.28221321105957
2015-01-07,16.372209548950195
2015-01-08,16.545270919799805
2015-01-09,16.43450355529785
2015-01-12,16.469118118286133
2015-01-13,16.441429138183594
2015-01-14,16.420663833618164
2015-01-15,16.448360443115234
2015-01-16,16.420663833618164
2015-01-20,16.399890899658203
2015-01-21,16.344512939453125
2015-01-22,16.690650939941406
2015-01-23,16.704492568969727
2015-01-26,16.7114200592041
2015-01-27,16.600650787353516
2015-01-28,16.26836585998535
2015-01-29,16.365283966064453
2015-01-30,15.846078872680664
2015-02-02,15.9083833694458
2015-02-03,16.136829376220703
2015-02-04,15.97068977355957
2015-02-05,16.21297836303711
2015-02-06,16.032991409301758
2015-02-09,15.880691528320312
2015-02-10,16.01915168762207
2015-02-11,16.060684204101562
2015-02-12,16.406816482543945
2015-02-13,16.351436614990234
2015-02-17,16.30989646911621
2015-02-18,16.29605484008789
2015-02-19,15.139959335327148
2015-02-20,15.070732116699219
2015-02-23,14.959977149963379
2015-02-24,14.759217262268066
2015-02-25,14.710756301879883
2015-02-26,14.620759963989258
2015-02-27,14.537689208984375
2015-03-02,14.835363388061523
2015-03-03,14.773058891296387
2015-03-04,14.468460083007812
2015-03-05,14.302314758300781
2015-03-06,14.039251327514648
2015-03-09,14.143092155456543
2015-03-10,14.02540397644043
