,AIG
2014-01-02,39.40719985961914
2014-01-03,39.57040023803711
2014-01-06,39.25954055786133
2014-01-07,39.79575729370117
2014-01-08,40.26202392578125
2014-01-09,40.49514389038086
2014-01-10,40.58063507080078
2014-01-13,39.99002456665039
2014-01-14,40.22316360473633
2014-01-15,40.49514389038086
2014-01-16,40.021121978759766
2014-01-17,39.54707336425781
2014-01-21,39.30617141723633
2014-01-22,39.08081817626953
2014-01-23,38.241539001464844
2014-01-24,37.19242477416992
2014-01-27,36.749481201171875
2014-01-28,37.658695220947266
2014-01-29,37.26237869262695
2014-01-30,37.98509216308594
2014-01-31,37.270145416259766
2014-02-03,36.43086624145508
2014-02-04,37.00592041015625
2014-02-05,37.02146911621094
2014-02-06,37.083641052246094
2014-02-07,38.08612060546875
2014-02-10,37.98509216308594
2014-02-11,38.07835006713867
2014-02-12,38.10941696166992
2014-02-13,38.53682327270508
2014-02-14,38.06279754638672
2014-02-18,38.9875602722168
2014-02-19,38.272605895996094
2014-02-20,38.24931335449219
2014-02-21,38.06279754638672
2014-02-24,38.42803955078125
2014-02-25,38.08612060546875
2014-02-26,37.86075210571289
2014-02-27,38.31924819946289
2014-02-28,38.67671203613281
2014-03-03,38.42803955078125
2014-03-04,39.049720764160156
2014-03-05,39.54707336425781
2014-03-06,39.8346061706543
2014-03-07,39.9241828918457
2014-03-10,39.74502182006836
2014-03-11,39.36330032348633
2014-03-12,38.89590072631836
2014-03-13,37.9688720703125
2014-03-14,37.852027893066406
2014-03-17,38.10910415649414
2014-03-18,38.76347351074219
2014-03-19,38.74009704589844
2014-03-20,39.24645233154297
2014-03-21,38.96601486206055
2014-03-24,38.72450637817383
2014-03-25,39.11402130126953
2014-03-26,38.716732025146484
2014-03-27,38.49083709716797
2014-03-28,38.85695266723633
2014-03-31,38.95821762084961
2014-04-01,38.92706298828125
2014-04-02,39.38667297363281
2014-04-03,39.597015380859375
2014-04-04,39.378875732421875
2014-04-07,38.66219711303711
2014-04-08,38.981590270996094
2014-04-09,39.80733871459961
2014-04-10,38.99716567993164
2014-04-11,38.4830322265625
2014-04-14,38.61546325683594
2014-04-15,38.8257942199707
2014-04-16,39.2542610168457
2014-04-17,39.5892219543457
2014-04-21,39.581443786621094
2014-04-22,39.729434967041016
2014-04-23,40.228004455566406
2014-04-24,40.89015197753906
2014-04-25,40.20463943481445
2014-04-28,40.59413528442383
2014-04-29,41.13945388793945
2014-04-30,41.38872146606445
2014-05-01,41.240718841552734
2014-05-02,40.78110885620117
2014-05-05,41.06932067871094
2014-05-06,39.3711051940918
2014-05-07,40.243595123291016
2014-05-08,40.79668426513672
2014-05-09,40.72657012939453
2014-05-12,41.58348846435547
2014-05-13,42.03529357910156
2014-05-14,41.59126663208008
2014-05-15,41.17839813232422
2014-05-16,40.8979377746582
2014-05-19,41.06154251098633
2014-05-20,40.89015197753906
2014-05-21,41.68475341796875
2014-05-22,41.70811462402344
2014-05-23,41.75485610961914
2014-05-27,41.87172317504883
2014-05-28,41.66138458251953
2014-05-29,42.20669174194336
2014-05-30,42.121002197265625
2014-06-02,42.26900863647461
2014-06-03,42.526092529296875
2014-06-04,42.74421310424805
2014-06-05,42.80653381347656
2014-06-06,43.16958999633789
2014-06-09,42.997825622558594
2014-06-10,42.95096969604492
2014-06-11,42.77138137817383
2014-06-12,42.490299224853516
2014-06-13,42.708927154541016
2014-06-16,42.92753982543945
2014-06-17,43.11493682861328
2014-06-18,43.40382766723633
2014-06-19,43.489707946777344
2014-06-20,43.39601516723633
2014-06-23,43.505332946777344
2014-06-24,43.14616775512695
2014-06-25,42.857269287109375
2014-06-26,42.857269287109375
2014-06-27,42.63865280151367
2014-06-30,42.615238189697266
2014-07-01,43.239845275878906
2014-07-02,43.13835525512695
2014-07-03,43.44286346435547
2014-07-07,43.185203552246094
2014-07-08,42.888511657714844
2014-07-09,42.997825622558594
2014-07-10,42.53715133666992
2014-07-11,42.56837463378906
2014-07-14,43.021240234375
2014-07-15,42.98220443725586
2014-07-16,42.97438430786133
2014-07-17,42.708927154541016
2014-07-18,43.09932327270508
2014-07-21,43.029048919677734
2014-07-22,42.708927154541016
2014-07-23,42.958778381347656
2014-07-24,43.075897216796875
2014-07-25,42.28730392456055
2014-07-28,42.12334442138672
2014-07-29,41.654876708984375
2014-07-30,41.42063903808594
2014-07-31,40.5851936340332
2014-08-01,40.63983917236328
2014-08-04,41.11613082885742
2014-08-05,40.75698471069336
2014-08-06,40.991188049316406
2014-08-07,40.64765548706055
2014-08-08,40.95216751098633
2014-08-11,41.30350875854492
2014-08-12,41.654876708984375
2014-08-13,41.79541015625
2014-08-14,42.209232330322266
2014-08-15,42.15458297729492
2014-08-18,42.53715133666992
2014-08-19,42.64647674560547
2014-08-20,42.84166717529297
2014-08-21,43.39601516723633
2014-08-22,43.2008171081543
2014-08-25,43.63806915283203
2014-08-26,43.786415100097656
2014-08-27,43.84886932373047
2014-08-28,43.51313018798828
2014-08-29,43.77079772949219
2014-09-02,43.567787170410156
2014-09-03,43.39601516723633
2014-09-04,43.122745513916016
2014-09-05,42.97438430786133
2014-09-08,43.19300842285156
2014-09-09,43.103023529052734
2014-09-10,43.314308166503906
2014-09-11,43.376914978027344
2014-09-12,43.18909454345703
2014-09-15,43.35344314575195
2014-09-16,43.52558517456055
2014-09-17,43.70559310913086
2014-09-18,44.081199645996094
2014-09-19,43.22823715209961
2014-09-22,42.98564147949219
2014-09-23,42.65696716308594
2014-09-24,43.0325813293457
2014-09-25,42.38307189941406
2014-09-26,42.66477966308594
2014-09-29,42.39089584350586
2014-09-30,42.27351760864258
2014-10-01,41.44400405883789
2014-10-02,41.17011260986328
2014-10-03,41.74920654296875
2014-10-06,41.29533004760742
2014-10-07,39.918025970458984
2014-10-08,40.70057678222656
2014-10-09,39.45631790161133
2014-10-10,39.096351623535156
2014-10-13,38.97896194458008
2014-10-14,39.18242263793945
2014-10-15,38.88506317138672
2014-10-16,38.658119201660156
2014-10-17,39.72239303588867
2014-10-20,39.918025970458984
2014-10-21,40.810142517089844
2014-10-22,40.43450164794922
2014-10-23,40.39537811279297
2014-10-24,40.817962646484375
2014-10-27,40.48929214477539
2014-10-28,41.35011291503906
2014-10-29,40.9744758605957
2014-10-30,41.420528411865234
2014-10-31,41.92135238647461
2014-11-03,42.101356506347656
2014-11-04,41.788330078125
2014-11-05,42.0857048034668
2014-11-06,42.18741989135742
2014-11-07,42.28134536743164
2014-11-10,42.53958511352539
2014-11-11,42.53958511352539
2014-11-12,42.53175735473633
2014-11-13,42.649139404296875
2014-11-14,42.17960739135742
2014-11-17,42.27351760864258
2014-11-18,42.17177200317383
2014-11-19,42.27351760864258
2014-11-20,42.61001205444336
2014-11-21,42.71957778930664
2014-11-24,43.11867141723633
2014-11-25,42.78999328613281
2014-11-26,42.73522186279297
2014-11-28,42.883907318115234
2014-12-01,42.5943603515625
2014-12-02,43.12379455566406
2014-12-03,43.06105422973633
2014-12-04,43.272830963134766
2014-12-05,43.398319244384766
2014-12-08,43.680702209472656
2014-12-09,43.60224533081055
2014-12-10,43.01397705078125
2014-12-11,43.28066635131836
2014-12-12,42.39435958862305
2014-12-15,41.947261810302734
2014-12-16,41.47665786743164
2014-12-17,42.370811462402344
2014-12-18,43.1473274230957
2014-12-19,43.751277923583984
2014-12-22,44.02580642700195
2014-12-23,44.26894760131836
2014-12-24,44.143463134765625
2014-12-26,44.253273010253906
2014-12-29,44.30817413330078
2014-12-30,44.32387161254883
2014-12-31,43.93168640136719
2015-01-02,44.01011276245117
2015-01-05,43.139488220214844
2015-01-06,42.5276985168457
2015-01-07,42.73162078857422
2015-01-08,42.543373107910156
2015-01-09,41.82177734375
2015-01-12,41.068790435791016
2015-01-13,40.68446350097656
2015-01-14,40.300132751464844
2015-01-15,39.531455993652344
2015-01-16,40.088340759277344
2015-01-20,39.727535247802734
2015-01-21,39.86874008178711
2015-01-22,41.00602340698242
2015-01-23,40.4020881652832
2015-01-26,40.16679382324219
2015-01-27,39.58635330200195
2015-01-28,38.59806442260742
2015-01-29,38.637290954589844
2015-01-30,38.33140182495117
2015-02-02,39.57851028442383
2015-02-03,40.26089859008789
2015-02-04,40.4020881652832
2015-02-05,40.48836898803711
2015-02-06,40.864864349365234
2015-02-09,40.89622497558594
2015-02-10,41.10800552368164
2015-02-11,40.982513427734375
2015-02-12,41.139373779296875
2015-02-13,42.323753356933594
2015-02-17,43.13163757324219
2015-02-18,42.91202926635742
2015-02-19,43.12379455566406
2015-02-20,43.312034606933594
2015-02-23,42.80221176147461
2015-02-24,43.170860290527344
2015-02-25,42.98262023925781
2015-02-26,43.0845832824707
2015-02-27,43.398319244384766
2015-03-02,43.64930725097656
2015-03-03,43.59440994262695
2015-03-04,43.437538146972656
2015-03-05,43.61795425415039
2015-03-06,43.92384719848633
2015-03-09,44.01011276245117
2015-03-10,42.77986145019531
2015-03-11,43.01569747924805
2015-03-12,43.707462310791016
2015-03-13,43.47163391113281
2015-03-16,43.966896057128906
2015-03-17,43.86468505859375
2015-03-18,44.35206985473633
2015-03-19,43.74677276611328
2015-03-20,43.97473907470703
2015-03-23,43.88826370239258
2015-03-24,43.526668548583984
2015-03-25,42.85847854614258
2015-03-26,42.58333969116211
2015-03-27,42.4732780456543
2015-03-30,42.9842643737793
2015-03-31,43.07073211669922
2015-04-01,43.08644485473633
2015-04-02,43.34585952758789
2015-04-06,43.56597137451172
2015-04-07,43.2200813293457
2015-04-08,43.58955383300781
2015-04-09,44.24987030029297
2015-04-10,44.48571014404297
2015-04-13,45.16962814331055
2015-04-14,45.2010612487793
2015-04-15,45.806365966796875
2015-04-16,45.71989822387695
2015-04-17,45.14604187011719
2015-04-20,45.20892333984375
2015-04-21,44.525020599365234
2015-04-22,44.47785186767578
2015-04-23,44.611480712890625
2015-04-24,44.80014419555664
2015-04-27,44.808006286621094
2015-04-28,44.650787353515625
2015-04-29,44.53288650512695
2015-04-30,44.24987030029297
2015-05-01,45.38972473144531
2015-05-04,45.751338958740234
2015-05-05,45.59412384033203
2015-05-06,45.7120361328125
2015-05-07,46.35663986206055
2015-05-08,46.90692138671875
2015-05-11,46.53744125366211
2015-05-12,46.19155502319336
2015-05-13,46.17584228515625
2015-05-14,46.35663986206055
2015-05-15,45.87711715698242
2015-05-18,46.29375076293945
2015-05-19,46.7025260925293
2015-05-20,47.13488006591797
2015-05-21,47.339271545410156
2015-05-22,47.071998596191406
2015-05-26,46.56101989746094
2015-05-27,46.68680953979492
2015-05-28,46.73398208618164
2015-05-29,46.073638916015625
2015-06-01,46.12868118286133
2015-06-02,46.91477966308594
2015-06-03,48.03891372680664
2015-06-04,47.64585876464844
2015-06-05,47.559391021728516
2015-06-08,46.8990592956543
2015-06-09,47.257484436035156
2015-06-10,48.58879089355469
2015-06-11,48.83299255371094
2015-06-12,48.75422286987305
2015-06-15,49.289894104003906
2015-06-16,48.82511520385742
2015-06-17,48.7305908203125
2015-06-18,49.069332122802734
2015-06-19,48.70695495605469
2015-06-22,49.29779052734375
2015-06-23,49.88071823120117
2015-06-24,49.56560516357422
2015-06-25,49.17961502075195
2015-06-26,49.41593933105469
2015-06-29,48.51790237426758
2015-06-30,48.6990852355957
2015-07-01,49.11660385131836
2015-07-02,48.903907775878906
