,MLM
2014-01-02,90.64888000488281
2014-01-03,90.50313568115234
2014-01-06,89.8838882446289
2014-01-07,91.78721618652344
2014-01-08,94.19142150878906
2014-01-09,95.63027954101562
2014-01-10,96.3861083984375
2014-01-13,95.8488540649414
2014-01-14,97.333251953125
2014-01-15,98.4078369140625
2014-01-16,98.8904800415039
2014-01-17,98.48980712890625
2014-01-21,99.69190216064453
2014-01-22,98.7356948852539
2014-01-23,99.41868591308594
2014-01-24,95.00190734863281
2014-01-27,93.59947204589844
2014-01-28,97.21487426757812
2014-01-29,98.35320281982422
2014-01-30,98.14374542236328
2014-01-31,99.27299499511719
2014-02-03,95.09297180175781
2014-02-04,96.65019989013672
2014-02-05,96.91433715820312
2014-02-06,102.50588989257812
2014-02-07,102.4876937866211
2014-02-10,103.62602233886719
2014-02-11,104.59136199951172
2014-02-12,105.28347778320312
2014-02-13,105.54756164550781
2014-02-14,107.89712524414062
2014-02-18,107.94263458251953
2014-02-19,105.57485961914062
2014-02-20,106.44913482666016
2014-02-21,106.80429077148438
2014-02-24,106.28524017333984
2014-02-25,107.60566711425781
2014-02-26,110.65645599365234
2014-02-27,112.04524230957031
2014-02-28,111.45136260986328
2014-03-03,111.46965789794922
2014-03-04,111.42395782470703
2014-03-05,110.59248352050781
2014-03-06,110.4645767211914
2014-03-07,113.22393035888672
2014-03-10,112.33765411376953
2014-03-11,111.69804382324219
2014-03-12,112.46556854248047
2014-03-13,110.96710205078125
2014-03-14,111.7437515258789
2014-03-17,112.44729614257812
2014-03-18,115.43501281738281
2014-03-19,115.78224182128906
2014-03-20,116.019775390625
2014-03-21,115.57208251953125
2014-03-24,112.95894622802734
2014-03-25,115.82792663574219
2014-03-26,114.60354614257812
2014-03-27,114.78630828857422
2014-03-28,115.99237060546875
2014-03-31,117.27153778076172
2014-04-01,117.04312896728516
2014-04-02,115.93754577636719
2014-04-03,113.93660736083984
2014-04-04,116.6776351928711
2014-04-07,111.51534271240234
2014-04-08,112.31935119628906
2014-04-09,115.58122253417969
2014-04-10,115.86446380615234
2014-04-11,113.671630859375
2014-04-14,114.25637817382812
2014-04-15,114.19243621826172
2014-04-16,115.43501281738281
2014-04-17,114.71324157714844
2014-04-21,115.80052185058594
2014-04-22,116.97916412353516
2014-04-23,115.88273620605469
2014-04-24,115.70913696289062
2014-04-25,112.96807861328125
2014-04-28,106.80068969726562
2014-04-29,113.63505554199219
2014-04-30,113.59852600097656
2014-05-01,114.6766586303711
2014-05-02,115.352783203125
2014-05-05,114.92338562011719
2014-05-06,113.37922668457031
2014-05-07,111.86249542236328
2014-05-08,109.57830047607422
2014-05-09,108.64636993408203
2014-05-12,111.9082260131836
2014-05-13,110.11738586425781
2014-05-14,108.6920166015625
2014-05-15,107.83317565917969
2014-05-16,109.03009796142578
2014-05-19,109.2493896484375
2014-05-20,107.3763198852539
2014-05-21,108.41793823242188
2014-05-22,110.55596160888672
2014-05-23,113.04119873046875
2014-05-27,113.54370880126953
2014-05-28,112.96807861328125
2014-05-29,113.27973175048828
