,BBY
2014-01-02,27.892335891723633
2014-01-03,28.016311645507812
2014-01-06,27.141658782958984
2014-01-07,26.432294845581055
2014-01-08,26.06040382385254
2014-01-09,25.846895217895508
2014-01-10,26.03974723815918
2014-01-13,25.385473251342773
2014-01-14,25.51633644104004
2014-01-15,25.87444305419922
2014-01-16,18.477825164794922
2014-01-17,16.82493782043457
2014-01-21,16.852489471435547
2014-01-22,17.913082122802734
2014-01-23,17.954404830932617
2014-01-24,17.231271743774414
2014-01-27,16.942012786865234
2014-01-28,17.02465057373047
2014-01-29,16.50813102722168
2014-01-30,15.647261619567871
2014-01-31,16.21199607849121
2014-02-03,15.888307571411133
2014-02-04,15.688582420349121
2014-02-05,15.922738075256348
2014-02-06,16.329071044921875
2014-02-07,16.907577514648438
2014-02-10,17.38278579711914
2014-02-11,17.506752014160156
2014-02-12,17.14173698425293
2014-02-13,16.997108459472656
2014-02-14,17.065982818603516
2014-02-18,17.210609436035156
2014-02-19,17.134845733642578
2014-02-20,17.1072998046875
2014-02-21,16.969562530517578
2014-02-24,17.334575653076172
2014-02-25,17.430997848510742
2014-02-26,17.7822322845459
2014-02-27,17.610055923461914
2014-02-28,18.340076446533203
2014-03-03,18.009498596191406
2014-03-04,17.76845932006836
2014-03-05,17.58939552307129
2014-03-06,17.520524978637695
2014-03-07,17.76845932006836
2014-03-10,18.071483612060547
2014-03-11,17.885534286499023
2014-03-12,17.727142333984375
2014-03-13,17.417224884033203
2014-03-14,17.699586868286133
2014-03-17,17.913082122802734
2014-03-18,17.940807342529297
2014-03-19,17.850685119628906
2014-03-20,17.913084030151367
2014-03-21,18.68950080871582
2014-03-24,18.266632080078125
2014-03-25,18.15571403503418
2014-03-26,17.864553451538086
2014-03-27,17.836824417114258
2014-03-28,18.072526931762695
2014-03-31,18.30821990966797
2014-04-01,18.287425994873047
2014-04-02,18.578588485717773
2014-04-03,18.557790756225586
2014-04-04,19.20249366760254
2014-04-07,18.84894371032715
2014-04-08,18.973726272583008
2014-04-09,18.966794967651367
2014-04-10,18.169578552246094
2014-04-11,17.684316635131836
2014-04-14,17.81603240966797
2014-04-15,17.330768585205078
2014-04-16,16.963359832763672
2014-04-17,16.97028350830078
2014-04-21,16.72072410583496
2014-04-22,16.97722053527832
2014-04-23,16.82470703125
2014-04-24,16.76925277709961
2014-04-25,16.900964736938477
2014-04-28,17.712045669555664
2014-04-29,17.878433227539062
2014-04-30,17.97547149658203
2014-05-01,18.03786849975586
2014-05-02,18.12798309326172
2014-05-05,17.961610794067383
2014-05-06,17.455551147460938
2014-05-07,17.504077911376953
2014-05-08,17.684316635131836
2014-05-09,17.968544006347656
2014-05-12,18.197311401367188
2014-05-13,18.05866241455078
2014-05-14,18.03786849975586
2014-05-15,17.656587600708008
2014-05-16,17.670452117919922
2014-05-19,18.107192993164062
2014-05-20,17.09506607055664
2014-05-21,17.573400497436523
2014-05-22,18.1765079498291
2014-05-23,18.724159240722656
2014-05-27,18.765758514404297
2014-05-28,18.675636291503906
2014-05-29,19.043046951293945
2014-05-30,19.174762725830078
2014-06-02,19.036115646362305
2014-06-03,19.452054977416992
2014-06-04,19.791736602783203
2014-06-05,19.87492561340332
2014-06-06,20.124483108520508
2014-06-09,20.082895278930664
2014-06-10,20.564048767089844
2014-06-11,20.103811264038086
2014-06-12,19.83185577392578
2014-06-13,19.971317291259766
2014-06-16,20.05500602722168
2014-06-17,20.229328155517578
2014-06-18,20.299060821533203
2014-06-19,20.16657066345215
2014-06-20,19.741207122802734
2014-06-23,19.92251205444336
2014-06-24,20.26420021057129
2014-06-25,21.310178756713867
2014-06-26,21.142824172973633
2014-06-27,21.64490509033203
2014-06-30,21.623977661132812
2014-07-01,21.59608268737793
2014-07-02,21.923826217651367
2014-07-03,22.384056091308594
2014-07-07,22.153945922851562
2014-07-08,21.72160530090332
2014-07-09,21.958690643310547
2014-07-10,21.26137351989746
2014-07-11,20.84297752380371
2014-07-14,20.54313087463379
2014-07-15,20.717453002929688
2014-07-16,21.400836944580078
2014-07-17,20.612855911254883
2014-07-18,20.98244285583496
2014-07-21,21.010337829589844
2014-07-22,21.533329010009766
2014-07-23,21.547271728515625
2014-07-24,21.930795669555664
2014-07-25,21.637922286987305
2014-07-28,22.000526428222656
2014-07-29,21.568191528320312
2014-07-30,21.554244995117188
2014-07-31,20.731403350830078
2014-08-01,20.34090232849121
2014-08-04,20.710487365722656
2014-08-05,20.612855911254883
2014-08-06,20.619831085205078
2014-08-07,20.243274688720703
2014-08-08,20.68259048461914
2014-08-11,20.66864585876465
