,HUM
2014-07-01,120.13333892822266
2014-07-02,120.42140197753906
2014-07-03,120.98818969726562
2014-07-07,119.18558502197266
2014-07-08,118.38651275634766
2014-07-09,118.65596008300781
2014-07-10,118.07987976074219
2014-07-11,118.37718963623047
2014-07-14,119.3992919921875
2014-07-15,119.52935791015625
2014-07-16,118.40506744384766
2014-07-17,121.88018035888672
2014-07-18,123.20896911621094
2014-07-21,123.59918212890625
2014-07-22,124.10093688964844
2014-07-23,123.63634490966797
2014-07-24,123.48764038085938
2014-07-25,119.44575500488281
2014-07-28,121.65718078613281
2014-07-29,118.48870849609375
2014-07-30,111.81720733642578
2014-07-31,109.31773376464844
2014-08-01,110.38628387451172
2014-08-04,111.83578491210938
2014-08-05,111.04598999023438
2014-08-06,111.56632995605469
2014-08-07,107.75669860839844
2014-08-08,109.74512481689453
2014-08-11,108.93675231933594
2014-08-12,109.32701110839844
2014-08-13,111.03668975830078
2014-08-14,111.62207794189453
2014-08-15,111.91938781738281
2014-08-18,113.29459381103516
2014-08-19,114.22377014160156
2014-08-20,114.42821502685547
2014-08-21,114.70693969726562
2014-08-22,114.46533966064453
2014-08-25,115.42239379882812
2014-08-26,116.19364166259766
2014-08-27,118.3028564453125
2014-08-28,118.60018920898438
2014-08-29,119.62229919433594
2014-09-02,118.42366027832031
2014-09-03,118.23784637451172
2014-09-04,117.89403533935547
2014-09-05,120.04971313476562
2014-09-08,120.37493896484375
2014-09-09,121.21118927001953
2014-09-10,119.82674407958984
2014-09-11,120.23554229736328
2014-09-12,119.17630004882812
2014-09-15,118.6187744140625
2014-09-16,122.99522399902344
2014-09-17,123.13459014892578
2014-09-18,123.74781036376953
2014-09-19,125.3553237915039
2014-09-22,125.23452758789062
2014-09-23,122.97660827636719
2014-09-24,125.91280364990234
2014-09-25,121.98241424560547
2014-09-26,122.66211700439453
2014-09-29,122.82048034667969
2014-09-30,121.32124328613281
2014-10-01,119.1795883178711
2014-10-02,118.39740753173828
2014-10-03,120.04561614990234
2014-10-06,117.55008697509766
2014-10-07,116.1440200805664
2014-10-08,118.64884185791016
2014-10-09,116.42334747314453
2014-10-10,117.68975067138672
