,FAST
2014-01-02,17.403575897216797
2014-01-03,17.325315475463867
2014-01-06,17.023454666137695
2014-01-07,17.09798812866211
2014-01-08,17.09798812866211
2014-01-09,17.362585067749023
2014-01-10,17.776241302490234
2014-01-13,17.67562484741211
2014-01-14,17.966306686401367
2014-01-15,17.165069580078125
2014-01-16,17.39239501953125
2014-01-17,17.74271011352539
2014-01-21,17.686800003051758
2014-01-22,17.83587074279785
2014-01-23,17.716617584228516
2014-01-24,16.8035831451416
2014-01-27,16.606063842773438
2014-01-28,16.550167083740234
2014-01-29,16.55766487121582
2014-01-30,16.587642669677734
2014-01-31,16.46396827697754
2014-02-03,16.00299644470215
2014-02-04,16.456466674804688
2014-02-05,16.59139060974121
2014-02-06,16.621374130249023
2014-02-07,16.57640266418457
2014-02-10,16.54642105102539
2014-02-11,16.801265716552734
2014-02-12,16.812511444091797
2014-02-13,16.741304397583008
2014-02-14,16.857479095458984
2014-02-18,16.93244171142578
2014-02-19,16.902454376220703
2014-02-20,17.063617706298828
2014-02-21,17.09359359741211
2014-02-24,17.239757537841797
2014-02-25,17.262243270874023
2014-02-26,17.370927810668945
2014-02-27,17.828157424926758
2014-02-28,17.685741424560547
2014-03-03,17.43463706970215
2014-03-04,17.558319091796875
2014-03-05,18.217927932739258
2014-03-06,18.199182510375977
2014-03-07,18.382827758789062
2014-03-10,18.401567459106445
2014-03-11,18.296630859375
2014-03-12,18.31911277770996
2014-03-13,18.13922691345215
2014-03-14,18.184200286865234
2014-03-17,18.70513916015625
2014-03-18,18.900022506713867
2014-03-19,18.70513916015625
2014-03-20,18.63017463684082
2014-03-21,18.409061431884766
2014-03-24,18.41280746459961
2014-03-25,18.45029067993164
2014-03-26,18.22916603088379
2014-03-27,18.13922691345215
2014-03-28,18.35659408569336
2014-03-31,18.476512908935547
2014-04-01,18.682647705078125
2014-04-02,18.881282806396484
2014-04-03,19.188600540161133
2014-04-04,19.11363983154297
2014-04-07,18.866291046142578
2014-04-08,19.053674697875977
2014-04-09,19.091154098510742
2014-04-10,19.012447357177734
2014-04-11,18.686399459838867
2014-04-14,18.896272659301758
2014-04-15,18.76885223388672
2014-04-16,18.795082092285156
2014-04-17,18.783838272094727
2014-04-21,18.73886489868164
2014-04-22,18.9375
2014-04-23,18.79437255859375
2014-04-24,18.813207626342773
2014-04-25,18.4968318939209
2014-04-28,18.621118545532227
2014-04-29,18.617355346679688
2014-04-30,18.862173080444336
2014-05-01,18.651254653930664
2014-05-02,18.621118545532227
2014-05-05,18.34993553161621
2014-05-06,18.297208786010742
2014-05-07,18.285907745361328
2014-05-08,18.17292022705078
2014-05-09,18.17292022705078
2014-05-12,18.526958465576172
2014-05-13,18.10135269165039
2014-05-14,18.12772560119629
2014-05-15,18.135255813598633
2014-05-16,18.165382385253906
2014-05-19,18.346172332763672
2014-05-20,18.00342559814453
2014-05-21,18.11265754699707
2014-05-22,18.12395477294922
2014-05-23,18.252012252807617
2014-05-27,18.34993553161621
2014-05-28,18.267074584960938
2014-05-29,18.39890480041504
2014-05-30,18.36123275756836
2014-06-02,18.49306297302246
2014-06-03,18.470460891723633
2014-06-04,18.606054306030273
2014-06-05,18.700214385986328
2014-06-06,18.813207626342773
2014-06-09,19.054258346557617
2014-06-10,19.069320678710938
2014-06-11,19.084381103515625
2014-06-12,18.69268226623535
2014-06-13,18.67007827758789
2014-06-16,18.617355346679688
